date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01 00:00:00,-1,-12,31.9,1.7,1,37,12:50 PM,No moonset,09:46 AM,04:17 PM,1,-3,-0,-3,13,100,98,0.3,988,-2,9,78,6,"juneau,ak"
2020-01-01 01:00:00,-1,-12,31.9,1.7,1,37,12:50 PM,No moonset,09:46 AM,04:17 PM,0,-3,-0,-3,13,100,99,0.1,987,-1,7,82,7,"juneau,ak"
2020-01-01 02:00:00,-1,-12,31.9,1.7,1,37,12:50 PM,No moonset,09:46 AM,04:17 PM,0,-3,-0,-3,14,100,99,0.6,987,-0,6,87,7,"juneau,ak"
2020-01-01 03:00:00,-1,-12,31.9,1.7,1,37,12:50 PM,No moonset,09:46 AM,04:17 PM,0,-2,0,-2,15,100,99,0.8,986,0,4,92,8,"juneau,ak"
2020-01-01 04:00:00,-1,-12,31.9,1.7,1,37,12:50 PM,No moonset,09:46 AM,04:17 PM,-0,-2,-0,-2,14,100,99,0.4,986,-0,4,97,7,"juneau,ak"
2020-01-01 05:00:00,-1,-12,31.9,1.7,1,37,12:50 PM,No moonset,09:46 AM,04:17 PM,-0,-3,-0,-3,13,100,99,1.1,985,-0,3,102,7,"juneau,ak"
2020-01-01 06:00:00,-1,-12,31.9,1.7,1,37,12:50 PM,No moonset,09:46 AM,04:17 PM,-0,-3,-0,-3,12,100,99,1.5,985,-0,2,107,6,"juneau,ak"
2020-01-01 07:00:00,-1,-12,31.9,1.7,1,37,12:50 PM,No moonset,09:46 AM,04:17 PM,-1,-3,-1,-3,13,100,99,0.7,985,-1,2,122,7,"juneau,ak"
2020-01-01 08:00:00,-1,-12,31.9,1.7,1,37,12:50 PM,No moonset,09:46 AM,04:17 PM,-1,-4,-1,-4,13,100,99,2.9,986,-1,2,136,7,"juneau,ak"
2020-01-01 09:00:00,-1,-12,31.9,1.7,1,37,12:50 PM,No moonset,09:46 AM,04:17 PM,-1,-4,-1,-4,14,100,99,3.9,987,-1,2,151,8,"juneau,ak"
