date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01 00:00:00,1,-6,0.0,8.7,1,37,01:13 PM,No moonset,09:12 AM,06:20 PM,-5,-10,-4,-10,30,94,92,0.3,1009,-4,5,268,19,"kalamazoo,mi"
2020-01-01 01:00:00,1,-6,0.0,8.7,1,37,01:13 PM,No moonset,09:12 AM,06:20 PM,-5,-10,-4,-10,29,84,92,0.1,1009,-4,6,266,18,"kalamazoo,mi"
2020-01-01 02:00:00,1,-6,0.0,8.7,1,37,01:13 PM,No moonset,09:12 AM,06:20 PM,-6,-10,-5,-10,28,73,91,0.0,1009,-5,8,265,17,"kalamazoo,mi"
2020-01-01 03:00:00,1,-6,0.0,8.7,1,37,01:13 PM,No moonset,09:12 AM,06:20 PM,-6,-11,-5,-11,27,63,91,0.0,1009,-5,10,263,15,"kalamazoo,mi"
2020-01-01 04:00:00,1,-6,0.0,8.7,1,37,01:13 PM,No moonset,09:12 AM,06:20 PM,-6,-11,-5,-11,27,48,91,0.0,1009,-5,10,258,15,"kalamazoo,mi"
2020-01-01 05:00:00,1,-6,0.0,8.7,1,37,01:13 PM,No moonset,09:12 AM,06:20 PM,-7,-11,-5,-11,27,32,91,0.0,1009,-5,10,254,15,"kalamazoo,mi"
2020-01-01 06:00:00,1,-6,0.0,8.7,1,37,01:13 PM,No moonset,09:12 AM,06:20 PM,-7,-11,-5,-11,28,17,91,0.0,1009,-5,10,250,15,"kalamazoo,mi"
2020-01-01 07:00:00,1,-6,0.0,8.7,1,37,01:13 PM,No moonset,09:12 AM,06:20 PM,-6,-11,-5,-11,27,15,90,0.0,1009,-5,10,245,15,"kalamazoo,mi"
2020-01-01 08:00:00,1,-6,0.0,8.7,1,37,01:13 PM,No moonset,09:12 AM,06:20 PM,-6,-10,-5,-10,27,14,90,0.0,1010,-5,10,241,15,"kalamazoo,mi"
2020-01-01 09:00:00,1,-6,0.0,8.7,1,37,01:13 PM,No moonset,09:12 AM,06:20 PM,-6,-10,-5,-10,26,12,90,0.0,1010,-5,10,236,15,"kalamazoo,mi"
2020-01-01 10:00:00,1,-6,0.0,8.7,1,37,01:13 PM,No moonset,09:12 AM,06:20 PM,-5,-9,-4,-9,26,16,89,0.0,1010,-4,10,232,16,"kalamazoo,mi"
2020-01-01 11:00:00,1,-6,0.0,8.7,1,37,01:13 PM,No moonset,09:12 AM,06:20 PM,-5,-9,-3,-9,26,20,89,0.0,1009,-3,10,228,18,"kalamazoo,mi"
