date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01 00:00:00,23,17,0.0,4.1,5,37,11:03 AM,10:55 PM,06:42 AM,05:33 PM,18,19,19,19,3,73,96,0.2,1024,19,7,132,2,"kansascity,mo"
2020-01-01 01:00:00,23,17,0.0,4.1,5,37,11:03 AM,10:55 PM,06:42 AM,05:33 PM,18,19,19,19,3,72,96,0.1,1023,19,8,141,2,"kansascity,mo"
2020-01-01 02:00:00,23,17,0.0,4.1,5,37,11:03 AM,10:55 PM,06:42 AM,05:33 PM,18,19,19,19,3,71,96,0.1,1023,19,9,150,2,"kansascity,mo"
2020-01-01 03:00:00,23,17,0.0,4.1,5,37,11:03 AM,10:55 PM,06:42 AM,05:33 PM,18,19,19,19,3,71,96,0.1,1023,19,10,160,2,"kansascity,mo"
2020-01-01 04:00:00,23,17,0.0,4.1,5,37,11:03 AM,10:55 PM,06:42 AM,05:33 PM,18,19,19,19,2,74,96,0.1,1023,19,10,165,2,"kansascity,mo"
2020-01-01 05:00:00,23,17,0.0,4.1,5,37,11:03 AM,10:55 PM,06:42 AM,05:33 PM,18,19,19,19,2,77,97,0.1,1023,19,10,170,2,"kansascity,mo"
2020-01-01 06:00:00,23,17,0.0,4.1,5,37,11:03 AM,10:55 PM,06:42 AM,05:33 PM,18,19,19,19,2,80,97,0.2,1023,19,10,175,2,"kansascity,mo"
2020-01-01 07:00:00,23,17,0.0,4.1,5,37,11:03 AM,10:55 PM,06:42 AM,05:33 PM,18,19,20,19,3,78,95,0.1,1024,19,10,179,2,"kansascity,mo"
2020-01-01 08:00:00,23,17,0.0,4.1,5,37,11:03 AM,10:55 PM,06:42 AM,05:33 PM,19,20,21,20,3,77,93,0.2,1024,20,10,183,2,"kansascity,mo"
2020-01-01 09:00:00,23,17,0.0,4.1,5,37,11:03 AM,10:55 PM,06:42 AM,05:33 PM,19,21,22,21,3,75,92,0.2,1025,21,10,187,3,"kansascity,mo"
2020-01-01 10:00:00,23,17,0.0,4.1,5,37,11:03 AM,10:55 PM,06:42 AM,05:33 PM,18,20,21,20,4,76,90,0.1,1024,20,10,188,3,"kansascity,mo"
2020-01-01 11:00:00,23,17,0.0,4.1,5,37,11:03 AM,10:55 PM,06:42 AM,05:33 PM,17,19,20,19,4,76,88,0.5,1024,19,10,189,3,"kansascity,mo"
2020-01-01 12:00:00,23,17,0.0,4.1,5,37,11:03 AM,10:55 PM,06:42 AM,05:33 PM,16,19,19,19,5,77,86,0.6,1023,19,10,190,3,"kansascity,mo"
2020-01-01 13:00:00,23,17,0.0,4.1,5,37,11:03 AM,10:55 PM,06:42 AM,05:33 PM,17,19,20,19,4,80,85,0.3,1022,19,10,183,3,"kansascity,mo"
2020-01-01 14:00:00,23,17,0.0,4.1,5,37,11:03 AM,10:55 PM,06:42 AM,05:33 PM,18,20,22,20,4,82,85,0.3,1021,20,10,177,3,"kansascity,mo"
2020-01-01 15:00:00,23,17,0.0,4.1,5,37,11:03 AM,10:55 PM,06:42 AM,05:33 PM,18,21,23,21,4,85,84,0.4,1021,21,9,170,3,"kansascity,mo"
2020-01-01 16:00:00,23,17,0.0,4.1,5,37,11:03 AM,10:55 PM,06:42 AM,05:33 PM,19,21,22,21,3,81,87,0.2,1021,21,9,158,3,"kansascity,mo"
2020-01-01 17:00:00,23,17,0.0,4.1,5,37,11:03 AM,10:55 PM,06:42 AM,05:33 PM,19,21,22,21,3,77,90,0.2,1021,21,10,146,2,"kansascity,mo"
2020-01-01 18:00:00,23,17,0.0,4.1,5,37,11:03 AM,10:55 PM,06:42 AM,05:33 PM,20,21,22,21,3,72,92,0.3,1021,21,10,134,2,"kansascity,mo"
2020-01-01 19:00:00,23,17,0.0,4.1,5,37,11:03 AM,10:55 PM,06:42 AM,05:33 PM,20,21,21,21,2,69,94,0.1,1022,21,8,135,2,"kansascity,mo"
2020-01-01 20:00:00,23,17,0.0,4.1,5,37,11:03 AM,10:55 PM,06:42 AM,05:33 PM,19,20,20,20,2,65,95,0.1,1022,20,6,136,1,"kansascity,mo"
2020-01-01 21:00:00,23,17,0.0,4.1,5,37,11:03 AM,10:55 PM,06:42 AM,05:33 PM,19,20,20,20,1,61,96,0.1,1023,20,5,137,1,"kansascity,mo"
2020-01-01 22:00:00,23,17,0.0,4.1,5,37,11:03 AM,10:55 PM,06:42 AM,05:33 PM,19,19,19,19,1,66,96,0.0,1023,19,6,153,1,"kansascity,mo"
2020-01-01 23:00:00,23,17,0.0,4.1,5,37,11:03 AM,10:55 PM,06:42 AM,05:33 PM,19,19,19,19,1,70,97,0.0,1023,19,6,169,1,"kansascity,mo"
2020-01-02 00:00:00,25,19,0.0,5.6,5,44,11:37 AM,11:44 PM,06:43 AM,05:33 PM,19,19,19,19,1,75,97,0.0,1023,19,7,185,1,"kansascity,mo"
2020-01-02 01:00:00,25,19,0.0,5.6,5,44,11:37 AM,11:44 PM,06:43 AM,05:33 PM,19,19,19,19,1,82,97,0.0,1023,19,6,190,1,"kansascity,mo"
2020-01-02 02:00:00,25,19,0.0,5.6,5,44,11:37 AM,11:44 PM,06:43 AM,05:33 PM,18,19,19,19,1,88,97,0.0,1022,19,5,196,1,"kansascity,mo"
2020-01-02 03:00:00,25,19,0.0,5.6,5,44,11:37 AM,11:44 PM,06:43 AM,05:33 PM,18,19,19,19,1,94,98,0.0,1022,19,3,201,1,"kansascity,mo"
2020-01-02 04:00:00,25,19,0.0,5.6,5,44,11:37 AM,11:44 PM,06:43 AM,05:33 PM,18,19,19,19,1,96,98,0.0,1022,19,2,200,1,"kansascity,mo"
2020-01-02 05:00:00,25,19,0.0,5.6,5,44,11:37 AM,11:44 PM,06:43 AM,05:33 PM,18,19,19,19,1,98,98,0.0,1022,19,1,199,1,"kansascity,mo"
2020-01-02 06:00:00,25,19,0.0,5.6,5,44,11:37 AM,11:44 PM,06:43 AM,05:33 PM,18,19,19,19,1,100,98,0.0,1022,19,0,197,1,"kansascity,mo"
2020-01-02 07:00:00,25,19,0.0,5.6,5,44,11:37 AM,11:44 PM,06:43 AM,05:33 PM,19,20,20,20,2,96,96,0.0,1023,20,2,197,1,"kansascity,mo"
2020-01-02 08:00:00,25,19,0.0,5.6,5,44,11:37 AM,11:44 PM,06:43 AM,05:33 PM,19,20,21,20,2,92,94,0.0,1023,20,4,197,2,"kansascity,mo"
2020-01-02 09:00:00,25,19,0.0,5.6,5,44,11:37 AM,11:44 PM,06:43 AM,05:33 PM,20,21,23,21,2,88,92,0.0,1024,21,7,197,2,"kansascity,mo"
2020-01-02 10:00:00,25,19,0.0,5.6,5,44,11:37 AM,11:44 PM,06:43 AM,05:33 PM,19,21,22,21,2,86,87,0.0,1023,21,8,202,2,"kansascity,mo"
2020-01-02 11:00:00,25,19,0.0,5.6,5,44,11:37 AM,11:44 PM,06:43 AM,05:33 PM,18,21,22,21,2,84,83,0.0,1023,21,9,206,2,"kansascity,mo"
