date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01 00:00:00,25,21,0.0,5.7,5,37,10:46 AM,10:45 PM,06:20 AM,05:30 PM,20,21,24,21,19,63,93,1.2,1020,21,10,116,10,"kauai,hi"
2020-01-01 01:00:00,25,21,0.0,5.7,5,37,10:46 AM,10:45 PM,06:20 AM,05:30 PM,20,21,24,21,20,71,93,0.6,1020,21,10,113,10,"kauai,hi"
2020-01-01 02:00:00,25,21,0.0,5.7,5,37,10:46 AM,10:45 PM,06:20 AM,05:30 PM,20,21,24,21,20,79,93,0.7,1020,21,10,111,11,"kauai,hi"
2020-01-01 03:00:00,25,21,0.0,5.7,5,37,10:46 AM,10:45 PM,06:20 AM,05:30 PM,20,21,24,21,21,87,93,1.0,1019,21,10,109,12,"kauai,hi"
2020-01-01 04:00:00,25,21,0.0,5.7,5,37,10:46 AM,10:45 PM,06:20 AM,05:30 PM,20,21,24,21,23,90,93,0.5,1020,21,9,106,12,"kauai,hi"
2020-01-01 05:00:00,25,21,0.0,5.7,5,37,10:46 AM,10:45 PM,06:20 AM,05:30 PM,20,22,24,22,25,92,93,1.4,1020,22,9,104,13,"kauai,hi"
2020-01-01 06:00:00,25,21,0.0,5.7,5,37,10:46 AM,10:45 PM,06:20 AM,05:30 PM,21,22,25,22,26,95,93,1.8,1020,22,8,102,14,"kauai,hi"
2020-01-01 07:00:00,25,21,0.0,5.7,5,37,10:46 AM,10:45 PM,06:20 AM,05:30 PM,21,25,25,22,26,96,92,0.9,1021,22,8,101,15,"kauai,hi"
2020-01-01 08:00:00,25,21,0.0,5.7,5,37,10:46 AM,10:45 PM,06:20 AM,05:30 PM,21,25,25,23,26,96,91,1.1,1021,23,9,100,15,"kauai,hi"
2020-01-01 09:00:00,25,21,0.0,5.7,5,37,10:46 AM,10:45 PM,06:20 AM,05:30 PM,21,26,26,23,26,96,90,1.5,1022,23,9,99,15,"kauai,hi"
2020-01-01 10:00:00,25,21,0.0,5.7,5,37,10:46 AM,10:45 PM,06:20 AM,05:30 PM,22,26,26,24,27,89,89,0.7,1021,24,9,96,16,"kauai,hi"
2020-01-01 11:00:00,25,21,0.0,5.7,5,37,10:46 AM,10:45 PM,06:20 AM,05:30 PM,22,26,26,24,29,81,88,1.2,1021,24,8,94,17,"kauai,hi"
2020-01-01 12:00:00,25,21,0.0,5.7,5,37,10:46 AM,10:45 PM,06:20 AM,05:30 PM,22,27,27,24,30,74,87,1.6,1020,24,8,92,18,"kauai,hi"
