date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01 00:00:00,24,18,0.0,10.3,6,37,12:39 PM,No moonset,08:09 AM,06:39 PM,9,21,23,21,15,14,47,0.0,1018,21,10,117,10,"keywest,fl"
2020-01-01 01:00:00,24,18,0.0,10.3,6,37,12:39 PM,No moonset,08:09 AM,06:39 PM,9,21,22,21,16,12,47,0.0,1018,21,10,189,11,"keywest,fl"
2020-01-01 02:00:00,24,18,0.0,10.3,6,37,12:39 PM,No moonset,08:09 AM,06:39 PM,9,20,21,20,16,10,46,0.0,1018,20,10,262,11,"keywest,fl"
2020-01-01 03:00:00,24,18,0.0,10.3,6,37,12:39 PM,No moonset,08:09 AM,06:39 PM,8,20,20,20,16,9,46,0.0,1018,20,10,334,11,"keywest,fl"
2020-01-01 04:00:00,24,18,0.0,10.3,6,37,12:39 PM,No moonset,08:09 AM,06:39 PM,8,20,20,20,16,8,46,0.0,1017,20,10,331,11,"keywest,fl"
2020-01-01 05:00:00,24,18,0.0,10.3,6,37,12:39 PM,No moonset,08:09 AM,06:39 PM,7,19,19,19,16,7,45,0.0,1017,19,10,328,11,"keywest,fl"
2020-01-01 06:00:00,24,18,0.0,10.3,6,37,12:39 PM,No moonset,08:09 AM,06:39 PM,7,19,19,19,16,5,44,0.0,1017,19,10,325,10,"keywest,fl"
2020-01-01 07:00:00,24,18,0.0,10.3,6,37,12:39 PM,No moonset,08:09 AM,06:39 PM,6,19,19,19,15,5,43,0.0,1018,19,10,330,10,"keywest,fl"
2020-01-01 08:00:00,24,18,0.0,10.3,6,37,12:39 PM,No moonset,08:09 AM,06:39 PM,6,19,19,19,15,5,42,0.0,1018,19,10,335,10,"keywest,fl"
2020-01-01 09:00:00,24,18,0.0,10.3,6,37,12:39 PM,No moonset,08:09 AM,06:39 PM,5,19,19,19,14,5,41,0.0,1018,19,10,340,10,"keywest,fl"
2020-01-01 10:00:00,24,18,0.0,10.3,6,37,12:39 PM,No moonset,08:09 AM,06:39 PM,6,20,20,20,13,4,39,0.0,1019,20,10,341,10,"keywest,fl"
2020-01-01 11:00:00,24,18,0.0,10.3,6,37,12:39 PM,No moonset,08:09 AM,06:39 PM,6,21,21,21,12,4,38,0.0,1019,21,10,342,9,"keywest,fl"
2020-01-01 12:00:00,24,18,0.0,10.3,6,37,12:39 PM,No moonset,08:09 AM,06:39 PM,6,22,22,22,11,4,36,0.0,1019,22,10,344,9,"keywest,fl"
2020-01-01 13:00:00,24,18,0.0,10.3,6,37,12:39 PM,No moonset,08:09 AM,06:39 PM,6,23,23,22,11,4,36,0.0,1018,22,10,312,9,"keywest,fl"
2020-01-01 14:00:00,24,18,0.0,10.3,6,37,12:39 PM,No moonset,08:09 AM,06:39 PM,7,23,23,23,10,3,36,0.0,1018,23,10,279,8,"keywest,fl"
2020-01-01 15:00:00,24,18,0.0,10.3,6,37,12:39 PM,No moonset,08:09 AM,06:39 PM,7,24,24,24,10,3,35,0.0,1017,24,10,247,8,"keywest,fl"
2020-01-01 16:00:00,24,18,0.0,10.3,6,37,12:39 PM,No moonset,08:09 AM,06:39 PM,8,24,24,23,11,3,38,0.0,1017,23,10,178,9,"keywest,fl"
2020-01-01 17:00:00,24,18,0.0,10.3,6,37,12:39 PM,No moonset,08:09 AM,06:39 PM,9,24,24,23,12,3,41,0.0,1017,23,10,109,9,"keywest,fl"
2020-01-01 18:00:00,24,18,0.0,10.3,6,37,12:39 PM,No moonset,08:09 AM,06:39 PM,10,25,25,23,13,2,44,0.0,1017,23,10,40,10,"keywest,fl"
2020-01-01 19:00:00,24,18,0.0,10.3,6,37,12:39 PM,No moonset,08:09 AM,06:39 PM,10,24,24,22,14,3,46,0.0,1017,22,10,43,10,"keywest,fl"
