date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01 00:00:00,-21,-29,0.0,0.3,2,37,03:01 PM,12:17 AM,01:45 PM,04:04 PM,-28,-39,-27,-39,62,28,80,0.0,1002,-29,10,340,40,"kotzebue,ak"
2020-01-01 01:00:00,-21,-29,0.0,0.3,2,37,03:01 PM,12:17 AM,01:45 PM,04:04 PM,-28,-40,-27,-40,61,33,80,0.0,1002,-28,10,340,40,"kotzebue,ak"
2020-01-01 02:00:00,-21,-29,0.0,0.3,2,37,03:01 PM,12:17 AM,01:45 PM,04:04 PM,-28,-41,-26,-41,60,38,80,0.0,1002,-27,10,341,39,"kotzebue,ak"
2020-01-01 03:00:00,-21,-29,0.0,0.3,2,37,03:01 PM,12:17 AM,01:45 PM,04:04 PM,-28,-42,-26,-42,59,44,80,0.0,1003,-26,10,341,39,"kotzebue,ak"
2020-01-01 04:00:00,-21,-29,0.0,0.3,2,37,03:01 PM,12:17 AM,01:45 PM,04:04 PM,-28,-41,-25,-41,59,57,80,0.0,1003,-25,10,342,40,"kotzebue,ak"
2020-01-01 05:00:00,-21,-29,0.0,0.3,2,37,03:01 PM,12:17 AM,01:45 PM,04:04 PM,-28,-41,-25,-41,60,70,80,0.0,1003,-25,10,343,41,"kotzebue,ak"
2020-01-01 06:00:00,-21,-29,0.0,0.3,2,37,03:01 PM,12:17 AM,01:45 PM,04:04 PM,-27,-41,-25,-41,60,83,79,0.0,1003,-25,10,344,41,"kotzebue,ak"
2020-01-01 07:00:00,-21,-29,0.0,0.3,2,37,03:01 PM,12:17 AM,01:45 PM,04:04 PM,-27,-40,-24,-40,60,89,79,0.0,1003,-24,10,345,42,"kotzebue,ak"
2020-01-01 08:00:00,-21,-29,0.0,0.3,2,37,03:01 PM,12:17 AM,01:45 PM,04:04 PM,-26,-40,-24,-40,60,94,80,0.0,1003,-24,10,346,42,"kotzebue,ak"
2020-01-01 09:00:00,-21,-29,0.0,0.3,2,37,03:01 PM,12:17 AM,01:45 PM,04:04 PM,-26,-39,-23,-39,59,100,80,0.0,1003,-23,10,347,42,"kotzebue,ak"
2020-01-01 10:00:00,-21,-29,0.0,0.3,2,37,03:01 PM,12:17 AM,01:45 PM,04:04 PM,-26,-38,-23,-38,58,100,79,0.0,1003,-23,8,348,42,"kotzebue,ak"
2020-01-01 11:00:00,-21,-29,0.0,0.3,2,37,03:01 PM,12:17 AM,01:45 PM,04:04 PM,-25,-38,-23,-38,57,100,79,0.0,1003,-23,6,350,41,"kotzebue,ak"
2020-01-01 12:00:00,-21,-29,0.0,0.3,2,37,03:01 PM,12:17 AM,01:45 PM,04:04 PM,-25,-37,-22,-37,56,100,79,0.0,1003,-22,5,351,40,"kotzebue,ak"
2020-01-01 13:00:00,-21,-29,0.0,0.3,2,37,03:01 PM,12:17 AM,01:45 PM,04:04 PM,-25,-36,-22,-36,55,100,78,0.0,1004,-22,4,352,38,"kotzebue,ak"
2020-01-01 14:00:00,-21,-29,0.0,0.3,2,37,03:01 PM,12:17 AM,01:45 PM,04:04 PM,-24,-36,-22,-36,54,100,78,0.0,1004,-22,3,353,37,"kotzebue,ak"
