date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01 00:00:00,7,-2,0.0,9.6,2,37,12:57 PM,No moonset,08:51 AM,06:09 PM,-4,-7,-2,-7,32,0,85,0.0,1013,-3,10,226,16,"lincoln,ne"
2020-01-01 01:00:00,7,-2,0.0,9.6,2,37,12:57 PM,No moonset,08:51 AM,06:09 PM,-5,-7,-2,-7,33,1,83,0.0,1012,-3,10,224,16,"lincoln,ne"
2020-01-01 02:00:00,7,-2,0.0,9.6,2,37,12:57 PM,No moonset,08:51 AM,06:09 PM,-5,-7,-2,-7,34,1,81,0.0,1011,-2,10,223,17,"lincoln,ne"
2020-01-01 03:00:00,7,-2,0.0,9.6,2,37,12:57 PM,No moonset,08:51 AM,06:09 PM,-5,-7,-2,-7,36,2,79,0.0,1010,-2,10,221,18,"lincoln,ne"
2020-01-01 04:00:00,7,-2,0.0,9.6,2,37,12:57 PM,No moonset,08:51 AM,06:09 PM,-6,-7,-2,-7,38,3,74,0.0,1009,-2,10,219,18,"lincoln,ne"
2020-01-01 05:00:00,7,-2,0.0,9.6,2,37,12:57 PM,No moonset,08:51 AM,06:09 PM,-6,-7,-2,-7,39,3,69,0.0,1008,-2,10,217,19,"lincoln,ne"
2020-01-01 06:00:00,7,-2,0.0,9.6,2,37,12:57 PM,No moonset,08:51 AM,06:09 PM,-7,-7,-1,-7,41,3,65,0.0,1007,-1,10,216,20,"lincoln,ne"
2020-01-01 07:00:00,7,-2,0.0,9.6,2,37,12:57 PM,No moonset,08:51 AM,06:09 PM,-7,-6,-1,-6,41,9,62,0.0,1006,-1,10,216,21,"lincoln,ne"
2020-01-01 08:00:00,7,-2,0.0,9.6,2,37,12:57 PM,No moonset,08:51 AM,06:09 PM,-8,-6,-0,-6,40,15,58,0.0,1005,-0,10,217,22,"lincoln,ne"
2020-01-01 09:00:00,7,-2,0.0,9.6,2,37,12:57 PM,No moonset,08:51 AM,06:09 PM,-8,-6,0,-6,40,21,55,0.0,1005,0,10,218,23,"lincoln,ne"
2020-01-01 10:00:00,7,-2,0.0,9.6,2,37,12:57 PM,No moonset,08:51 AM,06:09 PM,-7,-4,1,-4,38,21,53,0.0,1004,1,10,219,24,"lincoln,ne"
2020-01-01 11:00:00,7,-2,0.0,9.6,2,37,12:57 PM,No moonset,08:51 AM,06:09 PM,-7,-3,3,-3,36,21,51,0.0,1003,3,10,221,24,"lincoln,ne"
2020-01-01 12:00:00,7,-2,0.0,9.6,2,37,12:57 PM,No moonset,08:51 AM,06:09 PM,-6,-1,4,-1,34,21,48,0.0,1002,4,10,222,25,"lincoln,ne"
2020-01-01 13:00:00,7,-2,0.0,9.6,2,37,12:57 PM,No moonset,08:51 AM,06:09 PM,-5,0,5,0,32,20,49,0.0,1001,5,10,221,24,"lincoln,ne"
2020-01-01 14:00:00,7,-2,0.0,9.6,2,37,12:57 PM,No moonset,08:51 AM,06:09 PM,-4,1,5,1,31,20,50,0.0,1000,5,10,220,23,"lincoln,ne"
2020-01-01 15:00:00,7,-2,0.0,9.6,2,37,12:57 PM,No moonset,08:51 AM,06:09 PM,-3,3,6,3,29,19,51,0.0,999,6,10,218,21,"lincoln,ne"
2020-01-01 16:00:00,7,-2,0.0,9.6,2,37,12:57 PM,No moonset,08:51 AM,06:09 PM,-3,2,5,2,28,19,57,0.0,999,5,10,216,19,"lincoln,ne"
2020-01-01 17:00:00,7,-2,0.0,9.6,2,37,12:57 PM,No moonset,08:51 AM,06:09 PM,-2,1,4,1,27,19,63,0.0,998,4,10,215,17,"lincoln,ne"
2020-01-01 18:00:00,7,-2,0.0,9.6,2,37,12:57 PM,No moonset,08:51 AM,06:09 PM,-2,-0,3,-0,26,19,70,0.0,998,3,10,213,14,"lincoln,ne"
2020-01-01 19:00:00,7,-2,0.0,9.6,2,37,12:57 PM,No moonset,08:51 AM,06:09 PM,-2,-1,3,-1,27,32,72,0.0,997,2,9,219,14,"lincoln,ne"
2020-01-01 20:00:00,7,-2,0.0,9.6,2,37,12:57 PM,No moonset,08:51 AM,06:09 PM,-2,-1,2,-1,28,46,75,0.0,997,1,8,225,14,"lincoln,ne"
2020-01-01 21:00:00,7,-2,0.0,9.6,2,37,12:57 PM,No moonset,08:51 AM,06:09 PM,-1,-2,2,-2,30,60,78,0.0,997,-1,7,232,14,"lincoln,ne"
2020-01-01 22:00:00,7,-2,0.0,9.6,2,37,12:57 PM,No moonset,08:51 AM,06:09 PM,-1,-2,2,-2,28,61,81,0.0,997,-1,6,235,14,"lincoln,ne"
2020-01-01 23:00:00,7,-2,0.0,9.6,2,37,12:57 PM,No moonset,08:51 AM,06:09 PM,-1,-2,1,-2,27,62,83,0.1,997,-0,6,239,13,"lincoln,ne"
2020-01-02 00:00:00,7,0,0.0,9.6,1,44,01:22 PM,12:36 AM,08:51 AM,06:10 PM,-1,-3,1,-3,26,63,86,0.1,997,-0,5,242,13,"lincoln,ne"
2020-01-02 01:00:00,7,0,0.0,9.6,1,44,01:22 PM,12:36 AM,08:51 AM,06:10 PM,-1,-2,1,-2,25,54,87,0.0,997,0,6,240,12,"lincoln,ne"
2020-01-02 02:00:00,7,0,0.0,9.6,1,44,01:22 PM,12:36 AM,08:51 AM,06:10 PM,-0,-2,1,-2,24,45,89,0.0,998,1,7,237,12,"lincoln,ne"
2020-01-02 03:00:00,7,0,0.0,9.6,1,44,01:22 PM,12:36 AM,08:51 AM,06:10 PM,-0,-2,1,-2,23,36,91,0.0,998,1,8,235,11,"lincoln,ne"
2020-01-02 04:00:00,7,0,0.0,9.6,1,44,01:22 PM,12:36 AM,08:51 AM,06:10 PM,-0,-2,1,-2,23,31,91,0.0,999,1,9,240,11,"lincoln,ne"
2020-01-02 05:00:00,7,0,0.0,9.6,1,44,01:22 PM,12:36 AM,08:51 AM,06:10 PM,0,-2,1,-2,22,25,91,0.0,999,1,9,245,11,"lincoln,ne"
2020-01-02 06:00:00,7,0,0.0,9.6,1,44,01:22 PM,12:36 AM,08:51 AM,06:10 PM,0,-2,1,-2,22,20,91,0.0,1000,1,10,250,10,"lincoln,ne"
2020-01-02 07:00:00,7,0,0.0,9.6,1,44,01:22 PM,12:36 AM,08:51 AM,06:10 PM,0,-1,2,-1,21,17,91,0.0,1000,2,10,264,10,"lincoln,ne"
2020-01-02 08:00:00,7,0,0.0,9.6,1,44,01:22 PM,12:36 AM,08:51 AM,06:10 PM,0,-1,2,-1,20,13,90,0.0,1001,2,10,279,10,"lincoln,ne"
2020-01-02 09:00:00,7,0,0.0,9.6,1,44,01:22 PM,12:36 AM,08:51 AM,06:10 PM,1,-1,2,-1,19,9,90,0.0,1001,2,10,293,9,"lincoln,ne"
2020-01-02 10:00:00,7,0,0.0,9.6,1,44,01:22 PM,12:36 AM,08:51 AM,06:10 PM,1,0,3,0,18,9,86,0.0,1002,3,10,307,10,"lincoln,ne"
2020-01-02 11:00:00,7,0,0.0,9.6,1,44,01:22 PM,12:36 AM,08:51 AM,06:10 PM,1,2,4,2,17,9,82,0.0,1002,4,10,321,10,"lincoln,ne"
2020-01-02 12:00:00,7,0,0.0,9.6,1,44,01:22 PM,12:36 AM,08:51 AM,06:10 PM,2,3,5,3,15,9,78,0.0,1003,5,10,335,11,"lincoln,ne"
2020-01-02 13:00:00,7,0,0.0,9.6,1,44,01:22 PM,12:36 AM,08:51 AM,06:10 PM,2,3,6,3,16,23,77,0.0,1003,6,10,339,12,"lincoln,ne"
2020-01-02 14:00:00,7,0,0.0,9.6,1,44,01:22 PM,12:36 AM,08:51 AM,06:10 PM,3,4,7,4,17,37,76,0.0,1003,7,10,344,14,"lincoln,ne"
2020-01-02 15:00:00,7,0,0.0,9.6,1,44,01:22 PM,12:36 AM,08:51 AM,06:10 PM,3,4,7,4,18,51,75,0.0,1003,7,10,348,16,"lincoln,ne"
