date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01 00:00:00,8,1,0.0,9.3,1,37,01:11 PM,No moonset,09:00 AM,06:33 PM,-1,-2,2,-2,22,92,80,0.0,1015,2,10,268,15,"louisville,ky"
2020-01-01 01:00:00,8,1,0.0,9.3,1,37,01:11 PM,No moonset,09:00 AM,06:33 PM,-1,-2,2,-2,21,87,80,0.0,1015,2,10,268,15,"louisville,ky"
2020-01-01 02:00:00,8,1,0.0,9.3,1,37,01:11 PM,No moonset,09:00 AM,06:33 PM,-1,-2,2,-2,21,83,80,0.0,1015,2,10,268,15,"louisville,ky"
2020-01-01 03:00:00,8,1,0.0,9.3,1,37,01:11 PM,No moonset,09:00 AM,06:33 PM,-1,-2,2,-2,21,79,80,0.0,1015,2,10,268,14,"louisville,ky"
2020-01-01 04:00:00,8,1,0.0,9.3,1,37,01:11 PM,No moonset,09:00 AM,06:33 PM,-1,-2,2,-2,19,74,80,0.0,1015,2,10,265,13,"louisville,ky"
2020-01-01 05:00:00,8,1,0.0,9.3,1,37,01:11 PM,No moonset,09:00 AM,06:33 PM,-1,-2,2,-2,18,70,80,0.0,1015,2,10,262,12,"louisville,ky"
2020-01-01 06:00:00,8,1,0.0,9.3,1,37,01:11 PM,No moonset,09:00 AM,06:33 PM,-1,-1,2,-1,17,65,81,0.0,1015,2,10,259,12,"louisville,ky"
2020-01-01 07:00:00,8,1,0.0,9.3,1,37,01:11 PM,No moonset,09:00 AM,06:33 PM,-1,-1,2,-1,16,52,81,0.0,1016,2,10,251,11,"louisville,ky"
2020-01-01 08:00:00,8,1,0.0,9.3,1,37,01:11 PM,No moonset,09:00 AM,06:33 PM,-1,-1,2,-1,16,38,82,0.0,1016,2,10,244,11,"louisville,ky"
2020-01-01 09:00:00,8,1,0.0,9.3,1,37,01:11 PM,No moonset,09:00 AM,06:33 PM,-1,-1,2,-1,15,24,82,0.0,1016,2,10,237,10,"louisville,ky"
2020-01-01 10:00:00,8,1,0.0,9.3,1,37,01:11 PM,No moonset,09:00 AM,06:33 PM,-1,-0,3,-0,15,23,79,0.0,1016,3,10,235,11,"louisville,ky"
2020-01-01 11:00:00,8,1,0.0,9.3,1,37,01:11 PM,No moonset,09:00 AM,06:33 PM,-0,1,4,1,16,21,75,0.0,1016,4,10,233,12,"louisville,ky"
2020-01-01 12:00:00,8,1,0.0,9.3,1,37,01:11 PM,No moonset,09:00 AM,06:33 PM,-0,1,4,1,16,19,71,0.0,1016,4,10,231,13,"louisville,ky"
2020-01-01 13:00:00,8,1,0.0,9.3,1,37,01:11 PM,No moonset,09:00 AM,06:33 PM,-1,2,5,2,16,13,66,0.0,1016,5,10,230,14,"louisville,ky"
2020-01-01 14:00:00,8,1,0.0,9.3,1,37,01:11 PM,No moonset,09:00 AM,06:33 PM,-1,3,6,3,17,7,61,0.0,1015,6,10,228,14,"louisville,ky"
2020-01-01 15:00:00,8,1,0.0,9.3,1,37,01:11 PM,No moonset,09:00 AM,06:33 PM,-1,5,7,5,18,1,56,0.0,1015,7,10,227,15,"louisville,ky"
2020-01-01 16:00:00,8,1,0.0,9.3,1,37,01:11 PM,No moonset,09:00 AM,06:33 PM,-1,4,7,4,19,1,56,0.0,1014,7,10,221,15,"louisville,ky"
2020-01-01 17:00:00,8,1,0.0,9.3,1,37,01:11 PM,No moonset,09:00 AM,06:33 PM,-1,4,7,4,21,0,55,0.0,1013,7,10,215,15,"louisville,ky"
2020-01-01 18:00:00,8,1,0.0,9.3,1,37,01:11 PM,No moonset,09:00 AM,06:33 PM,-2,4,7,4,22,0,54,0.0,1013,7,10,209,15,"louisville,ky"
2020-01-01 19:00:00,8,1,0.0,9.3,1,37,01:11 PM,No moonset,09:00 AM,06:33 PM,-2,3,7,3,24,2,57,0.0,1013,7,10,205,16,"louisville,ky"
2020-01-01 20:00:00,8,1,0.0,9.3,1,37,01:11 PM,No moonset,09:00 AM,06:33 PM,-1,3,6,3,26,3,60,0.0,1013,6,10,200,16,"louisville,ky"
2020-01-01 21:00:00,8,1,0.0,9.3,1,37,01:11 PM,No moonset,09:00 AM,06:33 PM,-1,2,5,2,28,5,62,0.0,1012,5,10,195,16,"louisville,ky"
2020-01-01 22:00:00,8,1,0.0,9.3,1,37,01:11 PM,No moonset,09:00 AM,06:33 PM,-2,2,5,2,28,7,61,0.0,1012,5,10,194,16,"louisville,ky"
2020-01-01 23:00:00,8,1,0.0,9.3,1,37,01:11 PM,No moonset,09:00 AM,06:33 PM,-2,2,5,2,29,10,60,0.0,1012,5,10,194,16,"louisville,ky"
2020-01-02 00:00:00,10,5,0.0,4.7,3,44,01:37 PM,12:52 AM,09:00 AM,06:34 PM,-2,2,5,2,29,13,59,0.0,1012,5,10,194,17,"louisville,ky"
2020-01-02 01:00:00,10,5,0.0,4.7,3,44,01:37 PM,12:52 AM,09:00 AM,06:34 PM,-2,2,5,2,29,13,59,0.0,1012,5,10,195,17,"louisville,ky"
2020-01-02 02:00:00,10,5,0.0,4.7,3,44,01:37 PM,12:52 AM,09:00 AM,06:34 PM,-2,2,5,2,29,13,59,0.0,1011,5,10,196,17,"louisville,ky"
2020-01-02 03:00:00,10,5,0.0,4.7,3,44,01:37 PM,12:52 AM,09:00 AM,06:34 PM,-2,2,5,2,29,13,59,0.0,1011,5,10,197,17,"louisville,ky"
2020-01-02 04:00:00,10,5,0.0,4.7,3,44,01:37 PM,12:52 AM,09:00 AM,06:34 PM,-2,2,5,2,29,21,60,0.0,1011,5,10,196,17,"louisville,ky"
