date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01 00:00:00,9,2,0.0,9.8,3,37,12:43 PM,No moonset,08:31 AM,06:09 PM,-1,1,4,1,18,20,75,0.0,1010,4,10,254,9,"lynchburg,va"
2020-01-01 01:00:00,9,2,0.0,9.8,3,37,12:43 PM,No moonset,08:31 AM,06:09 PM,-1,1,3,1,18,15,76,0.0,1010,3,10,249,9,"lynchburg,va"
2020-01-01 02:00:00,9,2,0.0,9.8,3,37,12:43 PM,No moonset,08:31 AM,06:09 PM,-1,0,3,0,18,10,78,0.0,1011,3,10,244,9,"lynchburg,va"
2020-01-01 03:00:00,9,2,0.0,9.8,3,37,12:43 PM,No moonset,08:31 AM,06:09 PM,-1,-0,3,-0,18,5,79,0.0,1011,3,10,240,9,"lynchburg,va"
2020-01-01 04:00:00,9,2,0.0,9.8,3,37,12:43 PM,No moonset,08:31 AM,06:09 PM,-1,-0,2,-0,18,4,79,0.0,1011,2,10,242,9,"lynchburg,va"
2020-01-01 05:00:00,9,2,0.0,9.8,3,37,12:43 PM,No moonset,08:31 AM,06:09 PM,-1,-1,2,-1,18,4,79,0.0,1011,2,10,245,9,"lynchburg,va"
2020-01-01 06:00:00,9,2,0.0,9.8,3,37,12:43 PM,No moonset,08:31 AM,06:09 PM,-1,-1,2,-1,19,3,78,0.0,1011,2,10,247,9,"lynchburg,va"
2020-01-01 07:00:00,9,2,0.0,9.8,3,37,12:43 PM,No moonset,08:31 AM,06:09 PM,-1,-0,2,-0,19,3,76,0.0,1012,2,10,249,10,"lynchburg,va"
2020-01-01 08:00:00,9,2,0.0,9.8,3,37,12:43 PM,No moonset,08:31 AM,06:09 PM,-2,-0,3,-0,19,2,74,0.0,1012,3,10,251,11,"lynchburg,va"
2020-01-01 09:00:00,9,2,0.0,9.8,3,37,12:43 PM,No moonset,08:31 AM,06:09 PM,-2,0,3,0,19,2,73,0.0,1013,3,10,252,11,"lynchburg,va"
2020-01-01 10:00:00,9,2,0.0,9.8,3,37,12:43 PM,No moonset,08:31 AM,06:09 PM,-2,1,4,1,19,1,66,0.0,1013,4,10,257,13,"lynchburg,va"
2020-01-01 11:00:00,9,2,0.0,9.8,3,37,12:43 PM,No moonset,08:31 AM,06:09 PM,-2,3,6,3,19,1,60,0.0,1013,6,10,262,14,"lynchburg,va"
2020-01-01 12:00:00,9,2,0.0,9.8,3,37,12:43 PM,No moonset,08:31 AM,06:09 PM,-2,4,7,4,19,0,54,0.0,1013,7,10,266,16,"lynchburg,va"
2020-01-01 13:00:00,9,2,0.0,9.8,3,37,12:43 PM,No moonset,08:31 AM,06:09 PM,-2,5,7,5,19,0,53,0.0,1013,7,10,267,16,"lynchburg,va"
2020-01-01 14:00:00,9,2,0.0,9.8,3,37,12:43 PM,No moonset,08:31 AM,06:09 PM,-1,5,8,5,19,0,52,0.0,1013,8,10,267,16,"lynchburg,va"
2020-01-01 15:00:00,9,2,0.0,9.8,3,37,12:43 PM,No moonset,08:31 AM,06:09 PM,-1,6,9,6,19,0,51,0.0,1013,9,10,267,15,"lynchburg,va"
2020-01-01 16:00:00,9,2,0.0,9.8,3,37,12:43 PM,No moonset,08:31 AM,06:09 PM,-1,6,8,6,20,0,55,0.0,1013,8,10,266,15,"lynchburg,va"
2020-01-01 17:00:00,9,2,0.0,9.8,3,37,12:43 PM,No moonset,08:31 AM,06:09 PM,-0,5,7,5,21,0,59,0.0,1013,7,10,264,14,"lynchburg,va"
