date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01 00:00:00,11,3,0.0,8.7,3,37,12:25 PM,No moonset,08:08 AM,05:59 PM,-0,2,5,2,19,0,70,0.0,1019,5,10,261,10,"memphis,tn"
2020-01-01 01:00:00,11,3,0.0,8.7,3,37,12:25 PM,No moonset,08:08 AM,05:59 PM,-1,2,4,2,17,4,70,0.0,1019,4,10,257,9,"memphis,tn"
2020-01-01 02:00:00,11,3,0.0,8.7,3,37,12:25 PM,No moonset,08:08 AM,05:59 PM,-1,2,4,2,15,7,69,0.0,1019,4,10,254,9,"memphis,tn"
2020-01-01 03:00:00,11,3,0.0,8.7,3,37,12:25 PM,No moonset,08:08 AM,05:59 PM,-2,2,4,2,14,11,69,0.0,1019,4,10,251,8,"memphis,tn"
2020-01-01 04:00:00,11,3,0.0,8.7,3,37,12:25 PM,No moonset,08:08 AM,05:59 PM,-2,2,3,2,13,11,69,0.0,1019,3,10,241,7,"memphis,tn"
2020-01-01 05:00:00,11,3,0.0,8.7,3,37,12:25 PM,No moonset,08:08 AM,05:59 PM,-2,1,3,1,13,12,68,0.0,1019,3,10,231,7,"memphis,tn"
2020-01-01 06:00:00,11,3,0.0,8.7,3,37,12:25 PM,No moonset,08:08 AM,05:59 PM,-2,1,3,1,12,13,68,0.0,1019,3,10,222,6,"memphis,tn"
2020-01-01 07:00:00,11,3,0.0,8.7,3,37,12:25 PM,No moonset,08:08 AM,05:59 PM,-2,2,3,2,12,14,66,0.0,1019,3,10,212,7,"memphis,tn"
2020-01-01 08:00:00,11,3,0.0,8.7,3,37,12:25 PM,No moonset,08:08 AM,05:59 PM,-2,2,4,2,12,15,65,0.0,1019,4,10,203,7,"memphis,tn"
2020-01-01 09:00:00,11,3,0.0,8.7,3,37,12:25 PM,No moonset,08:08 AM,05:59 PM,-2,2,4,2,13,17,63,0.0,1019,4,10,194,8,"memphis,tn"
2020-01-01 10:00:00,11,3,0.0,8.7,3,37,12:25 PM,No moonset,08:08 AM,05:59 PM,-2,4,6,4,14,15,60,0.0,1018,6,10,193,10,"memphis,tn"
2020-01-01 11:00:00,11,3,0.0,8.7,3,37,12:25 PM,No moonset,08:08 AM,05:59 PM,-1,5,7,5,16,14,56,0.0,1018,7,10,193,12,"memphis,tn"
2020-01-01 12:00:00,11,3,0.0,8.7,3,37,12:25 PM,No moonset,08:08 AM,05:59 PM,-1,6,9,6,17,12,53,0.0,1018,9,10,193,14,"memphis,tn"
2020-01-01 13:00:00,11,3,0.0,8.7,3,37,12:25 PM,No moonset,08:08 AM,05:59 PM,-0,7,9,7,19,15,52,0.0,1017,9,10,194,15,"memphis,tn"
2020-01-01 14:00:00,11,3,0.0,8.7,3,37,12:25 PM,No moonset,08:08 AM,05:59 PM,0,8,10,8,22,19,52,0.0,1016,10,10,195,16,"memphis,tn"
2020-01-01 15:00:00,11,3,0.0,8.7,3,37,12:25 PM,No moonset,08:08 AM,05:59 PM,1,8,10,8,24,23,52,0.0,1015,10,10,196,18,"memphis,tn"
2020-01-01 16:00:00,11,3,0.0,8.7,3,37,12:25 PM,No moonset,08:08 AM,05:59 PM,1,7,10,7,25,20,56,0.0,1014,10,10,193,17,"memphis,tn"
2020-01-01 17:00:00,11,3,0.0,8.7,3,37,12:25 PM,No moonset,08:08 AM,05:59 PM,1,7,9,7,26,17,59,0.0,1014,9,10,190,17,"memphis,tn"
2020-01-01 18:00:00,11,3,0.0,8.7,3,37,12:25 PM,No moonset,08:08 AM,05:59 PM,2,6,9,6,27,14,62,0.0,1013,9,10,188,16,"memphis,tn"
2020-01-01 19:00:00,11,3,0.0,8.7,3,37,12:25 PM,No moonset,08:08 AM,05:59 PM,2,5,8,5,30,22,63,0.0,1013,7,10,186,18,"memphis,tn"
2020-01-01 20:00:00,11,3,0.0,8.7,3,37,12:25 PM,No moonset,08:08 AM,05:59 PM,2,5,7,5,33,30,63,0.0,1013,6,10,185,19,"memphis,tn"
2020-01-01 21:00:00,11,3,0.0,8.7,3,37,12:25 PM,No moonset,08:08 AM,05:59 PM,2,4,6,4,35,38,63,0.0,1012,5,10,183,21,"memphis,tn"
2020-01-01 22:00:00,11,3,0.0,8.7,3,37,12:25 PM,No moonset,08:08 AM,05:59 PM,2,4,7,4,35,45,63,0.0,1012,6,10,181,20,"memphis,tn"
2020-01-01 23:00:00,11,3,0.0,8.7,3,37,12:25 PM,No moonset,08:08 AM,05:59 PM,2,5,7,5,34,52,64,0.0,1012,7,10,179,20,"memphis,tn"
2020-01-02 00:00:00,12,9,0.0,5.0,4,44,12:53 PM,12:12 AM,08:09 AM,06:00 PM,3,6,8,6,33,58,64,0.0,1011,7,10,177,20,"memphis,tn"
2020-01-02 01:00:00,12,9,0.0,5.0,4,44,12:53 PM,12:12 AM,08:09 AM,06:00 PM,3,6,8,6,33,68,65,0.0,1011,8,10,178,20,"memphis,tn"
2020-01-02 02:00:00,12,9,0.0,5.0,4,44,12:53 PM,12:12 AM,08:09 AM,06:00 PM,3,6,9,6,33,77,66,0.0,1010,9,10,179,21,"memphis,tn"
2020-01-02 03:00:00,12,9,0.0,5.0,4,44,12:53 PM,12:12 AM,08:09 AM,06:00 PM,4,7,9,7,33,87,67,0.0,1010,9,10,179,21,"memphis,tn"
2020-01-02 04:00:00,12,9,0.0,5.0,4,44,12:53 PM,12:12 AM,08:09 AM,06:00 PM,5,7,9,7,33,91,73,0.0,1010,9,9,182,21,"memphis,tn"
2020-01-02 05:00:00,12,9,0.0,5.0,4,44,12:53 PM,12:12 AM,08:09 AM,06:00 PM,6,7,9,7,32,96,79,0.7,1010,9,9,184,20,"memphis,tn"
2020-01-02 06:00:00,12,9,0.0,5.0,4,44,12:53 PM,12:12 AM,08:09 AM,06:00 PM,7,7,10,7,31,100,85,0.9,1010,10,8,187,20,"memphis,tn"
2020-01-02 07:00:00,12,9,0.0,5.0,4,44,12:53 PM,12:12 AM,08:09 AM,06:00 PM,8,7,10,7,29,100,89,0.5,1009,10,8,182,18,"memphis,tn"
2020-01-02 08:00:00,12,9,0.0,5.0,4,44,12:53 PM,12:12 AM,08:09 AM,06:00 PM,9,8,10,8,26,100,92,1.0,1009,10,7,177,17,"memphis,tn"
2020-01-02 09:00:00,12,9,0.0,5.0,4,44,12:53 PM,12:12 AM,08:09 AM,06:00 PM,10,8,10,8,24,100,96,1.3,1009,10,7,172,15,"memphis,tn"
2020-01-02 10:00:00,12,9,0.0,5.0,4,44,12:53 PM,12:12 AM,08:09 AM,06:00 PM,10,9,11,9,24,100,96,0.7,1008,11,7,163,15,"memphis,tn"
2020-01-02 11:00:00,12,9,0.0,5.0,4,44,12:53 PM,12:12 AM,08:09 AM,06:00 PM,10,9,11,9,23,100,97,1.5,1008,11,7,154,15,"memphis,tn"
2020-01-02 12:00:00,12,9,0.0,5.0,4,44,12:53 PM,12:12 AM,08:09 AM,06:00 PM,11,9,11,9,23,100,98,2.0,1007,11,7,146,14,"memphis,tn"
2020-01-02 13:00:00,12,9,0.0,5.0,4,44,12:53 PM,12:12 AM,08:09 AM,06:00 PM,11,10,11,10,21,100,98,1.0,1006,11,7,131,13,"memphis,tn"
2020-01-02 14:00:00,12,9,0.0,5.0,4,44,12:53 PM,12:12 AM,08:09 AM,06:00 PM,11,10,12,10,18,100,98,1.7,1005,12,7,116,12,"memphis,tn"
