date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01 00:00:00,25,19,0.0,10.3,6,37,12:39 PM,No moonset,08:07 AM,06:41 PM,15,25,25,23,15,7,61,0.0,1018,23,10,26,12,"miami,fl"
2020-01-01 01:00:00,25,19,0.0,10.3,6,37,12:39 PM,No moonset,08:07 AM,06:41 PM,15,25,25,23,15,6,59,0.0,1017,23,10,59,11,"miami,fl"
2020-01-01 02:00:00,25,19,0.0,10.3,6,37,12:39 PM,No moonset,08:07 AM,06:41 PM,14,25,25,23,14,6,56,0.0,1017,23,10,92,11,"miami,fl"
2020-01-01 03:00:00,25,19,0.0,10.3,6,37,12:39 PM,No moonset,08:07 AM,06:41 PM,13,25,25,23,14,6,54,0.0,1017,23,10,125,11,"miami,fl"
2020-01-01 04:00:00,25,19,0.0,10.3,6,37,12:39 PM,No moonset,08:07 AM,06:41 PM,12,25,25,23,14,5,53,0.0,1017,23,10,200,11,"miami,fl"
2020-01-01 05:00:00,25,19,0.0,10.3,6,37,12:39 PM,No moonset,08:07 AM,06:41 PM,12,25,25,22,15,5,52,0.0,1017,22,10,275,12,"miami,fl"
2020-01-01 06:00:00,25,19,0.0,10.3,6,37,12:39 PM,No moonset,08:07 AM,06:41 PM,11,22,24,22,16,4,51,0.0,1017,22,10,350,12,"miami,fl"
2020-01-01 07:00:00,25,19,0.0,10.3,6,37,12:39 PM,No moonset,08:07 AM,06:41 PM,11,22,24,22,17,3,50,0.0,1017,22,10,352,13,"miami,fl"
2020-01-01 08:00:00,25,19,0.0,10.3,6,37,12:39 PM,No moonset,08:07 AM,06:41 PM,11,22,24,22,18,3,50,0.0,1018,22,10,354,13,"miami,fl"
2020-01-01 09:00:00,25,19,0.0,10.3,6,37,12:39 PM,No moonset,08:07 AM,06:41 PM,11,21,24,21,18,2,50,0.0,1018,21,10,356,14,"miami,fl"
2020-01-01 10:00:00,25,19,0.0,10.3,6,37,12:39 PM,No moonset,08:07 AM,06:41 PM,11,22,24,22,17,2,49,0.0,1018,22,10,321,14,"miami,fl"
2020-01-01 11:00:00,25,19,0.0,10.3,6,37,12:39 PM,No moonset,08:07 AM,06:41 PM,11,25,25,22,16,2,48,0.0,1018,22,10,287,13,"miami,fl"
2020-01-01 12:00:00,25,19,0.0,10.3,6,37,12:39 PM,No moonset,08:07 AM,06:41 PM,11,25,25,23,15,2,47,0.0,1019,23,10,252,13,"miami,fl"
2020-01-01 13:00:00,25,19,0.0,10.3,6,37,12:39 PM,No moonset,08:07 AM,06:41 PM,12,25,25,23,13,2,47,0.0,1018,23,10,188,11,"miami,fl"
2020-01-01 14:00:00,25,19,0.0,10.3,6,37,12:39 PM,No moonset,08:07 AM,06:41 PM,12,25,25,24,11,2,47,0.0,1018,24,10,124,9,"miami,fl"
2020-01-01 15:00:00,25,19,0.0,10.3,6,37,12:39 PM,No moonset,08:07 AM,06:41 PM,13,26,26,25,9,2,47,0.0,1017,25,10,60,8,"miami,fl"
2020-01-01 16:00:00,25,19,0.0,10.3,6,37,12:39 PM,No moonset,08:07 AM,06:41 PM,13,25,25,24,11,2,48,0.0,1017,24,10,71,9,"miami,fl"
2020-01-01 17:00:00,25,19,0.0,10.3,6,37,12:39 PM,No moonset,08:07 AM,06:41 PM,13,25,25,24,12,2,49,0.0,1017,24,10,82,10,"miami,fl"
2020-01-01 18:00:00,25,19,0.0,10.3,6,37,12:39 PM,No moonset,08:07 AM,06:41 PM,13,25,25,24,14,2,50,0.0,1017,24,10,93,11,"miami,fl"
2020-01-01 19:00:00,25,19,0.0,10.3,6,37,12:39 PM,No moonset,08:07 AM,06:41 PM,13,25,25,23,15,2,51,0.0,1017,23,10,88,12,"miami,fl"
2020-01-01 20:00:00,25,19,0.0,10.3,6,37,12:39 PM,No moonset,08:07 AM,06:41 PM,13,24,24,23,17,3,51,0.0,1017,23,10,83,13,"miami,fl"
