date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01 00:00:00,-4,-9,0.2,8.2,1,37,12:48 PM,No moonset,08:36 AM,06:07 PM,-12,-9,-9,-9,6,75,79,0.0,1028,-9,10,115,3,"moab,ut"
2020-01-01 01:00:00,-4,-9,0.2,8.2,1,37,12:48 PM,No moonset,08:36 AM,06:07 PM,-12,-9,-9,-9,6,55,79,0.0,1028,-9,10,109,3,"moab,ut"
2020-01-01 02:00:00,-4,-9,0.2,8.2,1,37,12:48 PM,No moonset,08:36 AM,06:07 PM,-12,-9,-9,-9,6,35,80,0.0,1027,-9,10,103,3,"moab,ut"
2020-01-01 03:00:00,-4,-9,0.2,8.2,1,37,12:48 PM,No moonset,08:36 AM,06:07 PM,-12,-9,-9,-9,6,15,80,0.0,1027,-9,10,97,3,"moab,ut"
2020-01-01 04:00:00,-4,-9,0.2,8.2,1,37,12:48 PM,No moonset,08:36 AM,06:07 PM,-12,-10,-9,-10,6,18,81,0.0,1026,-9,10,75,3,"moab,ut"
2020-01-01 05:00:00,-4,-9,0.2,8.2,1,37,12:48 PM,No moonset,08:36 AM,06:07 PM,-12,-10,-9,-10,6,21,82,0.0,1025,-9,10,53,3,"moab,ut"
2020-01-01 06:00:00,-4,-9,0.2,8.2,1,37,12:48 PM,No moonset,08:36 AM,06:07 PM,-11,-10,-9,-10,6,24,82,0.0,1025,-9,10,31,3,"moab,ut"
2020-01-01 07:00:00,-4,-9,0.2,8.2,1,37,12:48 PM,No moonset,08:36 AM,06:07 PM,-11,-10,-8,-10,6,37,82,0.0,1024,-8,10,28,3,"moab,ut"
2020-01-01 08:00:00,-4,-9,0.2,8.2,1,37,12:48 PM,No moonset,08:36 AM,06:07 PM,-10,-9,-8,-9,6,50,83,0.0,1023,-8,10,25,3,"moab,ut"
2020-01-01 09:00:00,-4,-9,0.2,8.2,1,37,12:48 PM,No moonset,08:36 AM,06:07 PM,-10,-9,-7,-9,5,62,83,0.0,1022,-7,10,22,3,"moab,ut"
2020-01-01 10:00:00,-4,-9,0.2,8.2,1,37,12:48 PM,No moonset,08:36 AM,06:07 PM,-10,-9,-7,-9,6,74,82,0.0,1022,-7,8,50,4,"moab,ut"
2020-01-01 11:00:00,-4,-9,0.2,8.2,1,37,12:48 PM,No moonset,08:36 AM,06:07 PM,-9,-9,-7,-9,8,86,82,0.1,1022,-7,7,79,5,"moab,ut"
2020-01-01 12:00:00,-4,-9,0.2,8.2,1,37,12:48 PM,No moonset,08:36 AM,06:07 PM,-9,-9,-7,-9,9,98,81,0.1,1022,-7,5,108,6,"moab,ut"
2020-01-01 13:00:00,-4,-9,0.2,8.2,1,37,12:48 PM,No moonset,08:36 AM,06:07 PM,-9,-8,-6,-8,9,75,79,0.0,1020,-6,7,142,6,"moab,ut"
2020-01-01 14:00:00,-4,-9,0.2,8.2,1,37,12:48 PM,No moonset,08:36 AM,06:07 PM,-8,-7,-5,-7,8,52,76,0.0,1018,-5,8,176,6,"moab,ut"
2020-01-01 15:00:00,-4,-9,0.2,8.2,1,37,12:48 PM,No moonset,08:36 AM,06:07 PM,-8,-6,-4,-6,8,29,74,0.0,1016,-4,10,210,5,"moab,ut"
2020-01-01 16:00:00,-4,-9,0.2,8.2,1,37,12:48 PM,No moonset,08:36 AM,06:07 PM,-8,-6,-4,-6,7,25,77,0.0,1015,-4,10,226,4,"moab,ut"
2020-01-01 17:00:00,-4,-9,0.2,8.2,1,37,12:48 PM,No moonset,08:36 AM,06:07 PM,-8,-6,-5,-6,6,21,79,0.0,1015,-5,10,242,3,"moab,ut"
2020-01-01 18:00:00,-4,-9,0.2,8.2,1,37,12:48 PM,No moonset,08:36 AM,06:07 PM,-8,-5,-5,-5,4,17,81,0.0,1014,-5,10,258,2,"moab,ut"
2020-01-01 19:00:00,-4,-9,0.2,8.2,1,37,12:48 PM,No moonset,08:36 AM,06:07 PM,-7,-6,-5,-6,5,45,84,0.0,1014,-6,10,175,3,"moab,ut"
2020-01-01 20:00:00,-4,-9,0.2,8.2,1,37,12:48 PM,No moonset,08:36 AM,06:07 PM,-7,-7,-5,-7,6,72,87,0.0,1013,-7,10,91,3,"moab,ut"
2020-01-01 21:00:00,-4,-9,0.2,8.2,1,37,12:48 PM,No moonset,08:36 AM,06:07 PM,-6,-8,-5,-8,6,100,91,0.0,1013,-8,10,8,4,"moab,ut"
2020-01-01 22:00:00,-4,-9,0.2,8.2,1,37,12:48 PM,No moonset,08:36 AM,06:07 PM,-6,-8,-5,-8,6,85,92,0.0,1013,-7,9,102,3,"moab,ut"
2020-01-01 23:00:00,-4,-9,0.2,8.2,1,37,12:48 PM,No moonset,08:36 AM,06:07 PM,-6,-7,-5,-7,6,70,93,0.1,1014,-6,8,196,3,"moab,ut"
2020-01-02 00:00:00,-2,-7,0.2,9.7,1,44,01:13 PM,12:31 AM,08:36 AM,06:08 PM,-6,-6,-5,-6,6,55,94,0.1,1014,-5,7,290,3,"moab,ut"
2020-01-02 01:00:00,-2,-7,0.2,9.7,1,44,01:13 PM,12:31 AM,08:36 AM,06:08 PM,-6,-7,-6,-7,7,58,94,0.0,1014,-6,5,282,3,"moab,ut"
2020-01-02 02:00:00,-2,-7,0.2,9.7,1,44,01:13 PM,12:31 AM,08:36 AM,06:08 PM,-7,-8,-6,-8,8,62,94,0.0,1014,-6,4,275,4,"moab,ut"
2020-01-02 03:00:00,-2,-7,0.2,9.7,1,44,01:13 PM,12:31 AM,08:36 AM,06:08 PM,-8,-9,-7,-9,8,65,94,0.0,1014,-7,2,268,4,"moab,ut"
2020-01-02 04:00:00,-2,-7,0.2,9.7,1,44,01:13 PM,12:31 AM,08:36 AM,06:08 PM,-7,-8,-7,-8,6,54,94,0.0,1015,-7,5,233,3,"moab,ut"
2020-01-02 05:00:00,-2,-7,0.2,9.7,1,44,01:13 PM,12:31 AM,08:36 AM,06:08 PM,-7,-7,-6,-7,4,43,93,0.0,1015,-6,7,198,2,"moab,ut"
2020-01-02 06:00:00,-2,-7,0.2,9.7,1,44,01:13 PM,12:31 AM,08:36 AM,06:08 PM,-7,-6,-6,-6,1,32,93,0.0,1016,-6,10,163,1,"moab,ut"
2020-01-02 07:00:00,-2,-7,0.2,9.7,1,44,01:13 PM,12:31 AM,08:36 AM,06:08 PM,-7,-6,-6,-6,2,35,93,0.0,1017,-6,10,134,1,"moab,ut"
2020-01-02 08:00:00,-2,-7,0.2,9.7,1,44,01:13 PM,12:31 AM,08:36 AM,06:08 PM,-7,-6,-6,-6,3,37,93,0.0,1017,-6,10,106,1,"moab,ut"
2020-01-02 09:00:00,-2,-7,0.2,9.7,1,44,01:13 PM,12:31 AM,08:36 AM,06:08 PM,-7,-6,-6,-6,4,39,93,0.0,1018,-6,10,77,2,"moab,ut"
2020-01-02 10:00:00,-2,-7,0.2,9.7,1,44,01:13 PM,12:31 AM,08:36 AM,06:08 PM,-7,-5,-5,-5,4,35,89,0.0,1018,-5,10,163,2,"moab,ut"
2020-01-02 11:00:00,-2,-7,0.2,9.7,1,44,01:13 PM,12:31 AM,08:36 AM,06:08 PM,-7,-5,-5,-5,4,32,85,0.0,1018,-5,10,248,2,"moab,ut"
2020-01-02 12:00:00,-2,-7,0.2,9.7,1,44,01:13 PM,12:31 AM,08:36 AM,06:08 PM,-6,-4,-4,-4,4,28,82,0.0,1018,-4,10,333,2,"moab,ut"
