date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01 00:00:00,-2,-13,10.3,6.5,2,37,12:41 PM,No moonset,08:29 AM,06:01 PM,-22,-17,-13,-17,13,19,49,0.0,1028,-13,10,180,6,"montrose,co"
2020-01-01 01:00:00,-2,-13,10.3,6.5,2,37,12:41 PM,No moonset,08:29 AM,06:01 PM,-22,-17,-13,-17,14,16,49,0.0,1028,-13,10,179,7,"montrose,co"
2020-01-01 02:00:00,-2,-13,10.3,6.5,2,37,12:41 PM,No moonset,08:29 AM,06:01 PM,-21,-17,-13,-17,15,13,49,0.0,1027,-13,10,178,7,"montrose,co"
2020-01-01 03:00:00,-2,-13,10.3,6.5,2,37,12:41 PM,No moonset,08:29 AM,06:01 PM,-21,-17,-13,-17,16,10,48,0.0,1027,-13,10,177,8,"montrose,co"
2020-01-01 04:00:00,-2,-13,10.3,6.5,2,37,12:41 PM,No moonset,08:29 AM,06:01 PM,-21,-17,-13,-17,16,8,50,0.0,1027,-13,10,174,8,"montrose,co"
2020-01-01 05:00:00,-2,-13,10.3,6.5,2,37,12:41 PM,No moonset,08:29 AM,06:01 PM,-21,-18,-13,-18,16,5,51,0.0,1026,-13,10,171,8,"montrose,co"
2020-01-01 06:00:00,-2,-13,10.3,6.5,2,37,12:41 PM,No moonset,08:29 AM,06:01 PM,-21,-18,-13,-18,17,2,52,0.0,1026,-13,10,169,8,"montrose,co"
2020-01-01 07:00:00,-2,-13,10.3,6.5,2,37,12:41 PM,No moonset,08:29 AM,06:01 PM,-20,-17,-13,-17,16,16,55,0.0,1025,-13,10,169,8,"montrose,co"
2020-01-01 08:00:00,-2,-13,10.3,6.5,2,37,12:41 PM,No moonset,08:29 AM,06:01 PM,-19,-17,-12,-17,15,30,58,0.0,1025,-12,10,169,7,"montrose,co"
2020-01-01 09:00:00,-2,-13,10.3,6.5,2,37,12:41 PM,No moonset,08:29 AM,06:01 PM,-18,-16,-12,-16,14,44,61,0.0,1024,-12,10,169,7,"montrose,co"
2020-01-01 10:00:00,-2,-13,10.3,6.5,2,37,12:41 PM,No moonset,08:29 AM,06:01 PM,-13,-12,-8,-12,12,63,70,0.0,1023,-8,7,220,7,"montrose,co"
2020-01-01 11:00:00,-2,-13,10.3,6.5,2,37,12:41 PM,No moonset,08:29 AM,06:01 PM,-8,-8,-5,-8,10,81,79,0.2,1021,-5,5,271,7,"montrose,co"
2020-01-01 12:00:00,-2,-13,10.3,6.5,2,37,12:41 PM,No moonset,08:29 AM,06:01 PM,-4,-5,-2,-5,8,100,88,0.3,1020,-2,2,321,7,"montrose,co"
2020-01-01 13:00:00,-2,-13,10.3,6.5,2,37,12:41 PM,No moonset,08:29 AM,06:01 PM,-3,-4,-2,-4,7,100,90,0.1,1018,-2,2,323,6,"montrose,co"
2020-01-01 14:00:00,-2,-13,10.3,6.5,2,37,12:41 PM,No moonset,08:29 AM,06:01 PM,-3,-4,-2,-4,6,100,93,1.7,1016,-2,2,324,5,"montrose,co"
2020-01-01 15:00:00,-2,-13,10.3,6.5,2,37,12:41 PM,No moonset,08:29 AM,06:01 PM,-3,-4,-2,-4,5,100,95,2.2,1015,-2,2,325,4,"montrose,co"
2020-01-01 16:00:00,-2,-13,10.3,6.5,2,37,12:41 PM,No moonset,08:29 AM,06:01 PM,-5,-4,-2,-4,7,91,95,1.1,1014,-3,3,297,4,"montrose,co"
2020-01-01 17:00:00,-2,-13,10.3,6.5,2,37,12:41 PM,No moonset,08:29 AM,06:01 PM,-6,-4,-1,-4,8,82,96,2.1,1014,-3,4,268,5,"montrose,co"
2020-01-01 18:00:00,-2,-13,10.3,6.5,2,37,12:41 PM,No moonset,08:29 AM,06:01 PM,-8,-4,-1,-4,10,72,97,2.8,1014,-4,5,240,5,"montrose,co"
2020-01-01 19:00:00,-2,-13,10.3,6.5,2,37,12:41 PM,No moonset,08:29 AM,06:01 PM,-9,-5,-2,-5,10,72,95,1.4,1014,-5,6,228,5,"montrose,co"
2020-01-01 20:00:00,-2,-13,10.3,6.5,2,37,12:41 PM,No moonset,08:29 AM,06:01 PM,-10,-5,-2,-5,11,71,93,0.0,1014,-5,6,216,5,"montrose,co"
2020-01-01 21:00:00,-2,-13,10.3,6.5,2,37,12:41 PM,No moonset,08:29 AM,06:01 PM,-11,-6,-3,-6,11,70,92,0.0,1014,-6,7,204,5,"montrose,co"
2020-01-01 22:00:00,-2,-13,10.3,6.5,2,37,12:41 PM,No moonset,08:29 AM,06:01 PM,-11,-7,-5,-7,9,80,93,0.0,1014,-7,5,239,4,"montrose,co"
2020-01-01 23:00:00,-2,-13,10.3,6.5,2,37,12:41 PM,No moonset,08:29 AM,06:01 PM,-11,-9,-8,-9,7,90,95,0.5,1014,-9,4,274,3,"montrose,co"
2020-01-02 00:00:00,-4,-14,6.1,6.5,1,44,01:06 PM,12:24 AM,08:29 AM,06:02 PM,-11,-10,-10,-10,5,100,97,0.7,1013,-10,2,310,3,"montrose,co"
2020-01-02 01:00:00,-4,-14,6.1,6.5,1,44,01:06 PM,12:24 AM,08:29 AM,06:02 PM,-11,-12,-11,-12,7,97,97,0.3,1014,-11,2,307,3,"montrose,co"
2020-01-02 02:00:00,-4,-14,6.1,6.5,1,44,01:06 PM,12:24 AM,08:29 AM,06:02 PM,-11,-13,-11,-13,9,94,97,0.5,1014,-11,2,304,4,"montrose,co"
2020-01-02 03:00:00,-4,-14,6.1,6.5,1,44,01:06 PM,12:24 AM,08:29 AM,06:02 PM,-12,-15,-11,-15,11,91,98,0.6,1014,-11,2,301,5,"montrose,co"
2020-01-02 04:00:00,-4,-14,6.1,6.5,1,44,01:06 PM,12:24 AM,08:29 AM,06:02 PM,-13,-15,-12,-15,10,93,98,0.3,1014,-12,2,304,5,"montrose,co"
2020-01-02 05:00:00,-4,-14,6.1,6.5,1,44,01:06 PM,12:24 AM,08:29 AM,06:02 PM,-13,-16,-13,-16,10,95,98,0.8,1015,-13,2,307,5,"montrose,co"
2020-01-02 06:00:00,-4,-14,6.1,6.5,1,44,01:06 PM,12:24 AM,08:29 AM,06:02 PM,-14,-17,-14,-17,9,98,98,1.1,1015,-14,2,310,4,"montrose,co"
2020-01-02 07:00:00,-4,-14,6.1,6.5,1,44,01:06 PM,12:24 AM,08:29 AM,06:02 PM,-14,-16,-14,-16,7,98,98,0.5,1016,-14,2,214,3,"montrose,co"
2020-01-02 08:00:00,-4,-14,6.1,6.5,1,44,01:06 PM,12:24 AM,08:29 AM,06:02 PM,-14,-15,-14,-15,4,99,97,0.3,1017,-14,2,117,2,"montrose,co"
2020-01-02 09:00:00,-4,-14,6.1,6.5,1,44,01:06 PM,12:24 AM,08:29 AM,06:02 PM,-15,-14,-14,-14,2,100,97,0.4,1018,-14,2,20,1,"montrose,co"
2020-01-02 10:00:00,-4,-14,6.1,6.5,1,44,01:06 PM,12:24 AM,08:29 AM,06:02 PM,-12,-12,-11,-12,3,86,94,0.2,1017,-11,3,127,3,"montrose,co"
2020-01-02 11:00:00,-4,-14,6.1,6.5,1,44,01:06 PM,12:24 AM,08:29 AM,06:02 PM,-9,-10,-8,-10,5,73,91,0.3,1016,-8,4,233,4,"montrose,co"
2020-01-02 12:00:00,-4,-14,6.1,6.5,1,44,01:06 PM,12:24 AM,08:29 AM,06:02 PM,-7,-8,-5,-8,6,59,87,0.4,1016,-5,5,340,5,"montrose,co"
2020-01-02 13:00:00,-4,-14,6.1,6.5,1,44,01:06 PM,12:24 AM,08:29 AM,06:02 PM,-7,-7,-5,-7,7,69,85,0.2,1015,-5,7,336,6,"montrose,co"
2020-01-02 14:00:00,-4,-14,6.1,6.5,1,44,01:06 PM,12:24 AM,08:29 AM,06:02 PM,-7,-7,-4,-7,7,78,84,0.0,1013,-4,8,333,6,"montrose,co"
2020-01-02 15:00:00,-4,-14,6.1,6.5,1,44,01:06 PM,12:24 AM,08:29 AM,06:02 PM,-7,-7,-4,-7,8,88,82,0.0,1012,-4,10,329,7,"montrose,co"
2020-01-02 16:00:00,-4,-14,6.1,6.5,1,44,01:06 PM,12:24 AM,08:29 AM,06:02 PM,-10,-7,-4,-7,6,79,87,0.0,1014,-5,9,220,5,"montrose,co"
