date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01 00:00:00,3,-2,0.0,8.7,2,37,01:17 PM,No moonset,09:17 AM,06:20 PM,-5,-7,-2,-7,38,78,81,0.3,1008,-5,3,288,30,"muskegon,mi"
2020-01-01 01:00:00,3,-2,0.0,8.7,2,37,01:17 PM,No moonset,09:17 AM,06:20 PM,-5,-8,-2,-8,36,65,79,0.1,1008,-4,6,287,28,"muskegon,mi"
2020-01-01 02:00:00,3,-2,0.0,8.7,2,37,01:17 PM,No moonset,09:17 AM,06:20 PM,-5,-8,-2,-8,35,53,77,0.0,1008,-3,8,287,26,"muskegon,mi"
2020-01-01 03:00:00,3,-2,0.0,8.7,2,37,01:17 PM,No moonset,09:17 AM,06:20 PM,-6,-9,-2,-9,33,41,75,0.0,1008,-2,10,287,25,"muskegon,mi"
2020-01-01 04:00:00,3,-2,0.0,8.7,2,37,01:17 PM,No moonset,09:17 AM,06:20 PM,-6,-8,-2,-8,33,32,74,0.0,1008,-2,10,283,24,"muskegon,mi"
2020-01-01 05:00:00,3,-2,0.0,8.7,2,37,01:17 PM,No moonset,09:17 AM,06:20 PM,-6,-8,-2,-8,33,23,73,0.0,1009,-2,10,280,23,"muskegon,mi"
2020-01-01 06:00:00,3,-2,0.0,8.7,2,37,01:17 PM,No moonset,09:17 AM,06:20 PM,-6,-8,-2,-8,33,14,72,0.0,1009,-2,10,276,23,"muskegon,mi"
2020-01-01 07:00:00,3,-2,0.0,8.7,2,37,01:17 PM,No moonset,09:17 AM,06:20 PM,-6,-8,-2,-8,32,10,71,0.0,1009,-2,10,268,22,"muskegon,mi"
2020-01-01 08:00:00,3,-2,0.0,8.7,2,37,01:17 PM,No moonset,09:17 AM,06:20 PM,-6,-8,-2,-8,31,5,71,0.0,1009,-2,10,261,22,"muskegon,mi"
2020-01-01 09:00:00,3,-2,0.0,8.7,2,37,01:17 PM,No moonset,09:17 AM,06:20 PM,-6,-7,-1,-7,31,1,70,0.0,1009,-1,10,253,21,"muskegon,mi"
2020-01-01 10:00:00,3,-2,0.0,8.7,2,37,01:17 PM,No moonset,09:17 AM,06:20 PM,-5,-7,-1,-7,31,2,71,0.0,1008,-1,10,245,22,"muskegon,mi"
2020-01-01 11:00:00,3,-2,0.0,8.7,2,37,01:17 PM,No moonset,09:17 AM,06:20 PM,-5,-6,-0,-6,32,3,72,0.0,1008,-0,10,236,23,"muskegon,mi"
2020-01-01 12:00:00,3,-2,0.0,8.7,2,37,01:17 PM,No moonset,09:17 AM,06:20 PM,-4,-6,0,-6,32,4,72,0.0,1008,0,10,228,24,"muskegon,mi"
2020-01-01 13:00:00,3,-2,0.0,8.7,2,37,01:17 PM,No moonset,09:17 AM,06:20 PM,-3,-5,1,-5,35,4,73,0.0,1007,1,10,222,27,"muskegon,mi"
2020-01-01 14:00:00,3,-2,0.0,8.7,2,37,01:17 PM,No moonset,09:17 AM,06:20 PM,-3,-4,1,-4,39,5,74,0.0,1006,1,10,216,29,"muskegon,mi"
2020-01-01 15:00:00,3,-2,0.0,8.7,2,37,01:17 PM,No moonset,09:17 AM,06:20 PM,-2,-4,2,-4,42,5,76,0.0,1005,2,10,209,32,"muskegon,mi"
2020-01-01 16:00:00,3,-2,0.0,8.7,2,37,01:17 PM,No moonset,09:17 AM,06:20 PM,-1,-3,3,-3,46,10,75,0.0,1005,2,10,208,33,"muskegon,mi"
2020-01-01 17:00:00,3,-2,0.0,8.7,2,37,01:17 PM,No moonset,09:17 AM,06:20 PM,-1,-3,3,-3,49,14,75,0.0,1004,2,10,207,35,"muskegon,mi"
2020-01-01 18:00:00,3,-2,0.0,8.7,2,37,01:17 PM,No moonset,09:17 AM,06:20 PM,-1,-2,3,-2,53,18,74,0.0,1003,2,10,205,36,"muskegon,mi"
2020-01-01 19:00:00,3,-2,0.0,8.7,2,37,01:17 PM,No moonset,09:17 AM,06:20 PM,-1,-2,3,-2,55,30,74,0.0,1003,1,10,205,37,"muskegon,mi"
2020-01-01 20:00:00,3,-2,0.0,8.7,2,37,01:17 PM,No moonset,09:17 AM,06:20 PM,-0,-1,3,-1,58,41,74,0.0,1003,0,10,205,38,"muskegon,mi"
2020-01-01 21:00:00,3,-2,0.0,8.7,2,37,01:17 PM,No moonset,09:17 AM,06:20 PM,0,-1,3,-1,61,53,74,0.0,1002,-1,10,205,39,"muskegon,mi"
2020-01-01 22:00:00,3,-2,0.0,8.7,2,37,01:17 PM,No moonset,09:17 AM,06:20 PM,0,-1,2,-1,63,55,74,0.0,1002,-0,10,206,40,"muskegon,mi"
2020-01-01 23:00:00,3,-2,0.0,8.7,2,37,01:17 PM,No moonset,09:17 AM,06:20 PM,1,-1,2,-1,65,56,75,0.0,1002,0,10,207,41,"muskegon,mi"
2020-01-02 00:00:00,5,1,0.0,5.2,2,44,01:40 PM,12:51 AM,09:17 AM,06:21 PM,1,-2,2,-2,67,58,75,0.0,1002,0,10,208,42,"muskegon,mi"
2020-01-02 01:00:00,5,1,0.0,5.2,2,44,01:40 PM,12:51 AM,09:17 AM,06:21 PM,1,-1,3,-1,67,55,75,0.0,1002,2,10,208,43,"muskegon,mi"
