date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01 00:00:00,29,22,0.0,11.6,6,37,11:04 AM,11:29 PM,06:09 AM,06:33 PM,24,33,33,28,19,69,76,0.1,1011,28,10,238,14,"myrtlebeach,sc"
2020-01-01 01:00:00,29,22,0.0,11.6,6,37,11:04 AM,11:29 PM,06:09 AM,06:33 PM,24,32,32,28,18,57,75,0.0,1010,28,10,198,13,"myrtlebeach,sc"
2020-01-01 02:00:00,29,22,0.0,11.6,6,37,11:04 AM,11:29 PM,06:09 AM,06:33 PM,23,32,32,28,16,45,74,0.0,1010,28,10,159,12,"myrtlebeach,sc"
2020-01-01 03:00:00,29,22,0.0,11.6,6,37,11:04 AM,11:29 PM,06:09 AM,06:33 PM,23,32,32,28,15,32,74,0.0,1009,28,10,119,11,"myrtlebeach,sc"
2020-01-01 04:00:00,29,22,0.0,11.6,6,37,11:04 AM,11:29 PM,06:09 AM,06:33 PM,23,32,32,28,13,24,73,0.0,1010,28,10,82,10,"myrtlebeach,sc"
2020-01-01 05:00:00,29,22,0.0,11.6,6,37,11:04 AM,11:29 PM,06:09 AM,06:33 PM,23,32,32,28,12,16,71,0.0,1010,28,10,44,9,"myrtlebeach,sc"
2020-01-01 06:00:00,29,22,0.0,11.6,6,37,11:04 AM,11:29 PM,06:09 AM,06:33 PM,23,32,32,28,10,9,70,0.0,1011,28,10,7,8,"myrtlebeach,sc"
2020-01-01 07:00:00,29,22,0.0,11.6,6,37,11:04 AM,11:29 PM,06:09 AM,06:33 PM,22,32,32,28,9,9,69,0.0,1011,28,10,8,7,"myrtlebeach,sc"
2020-01-01 08:00:00,29,22,0.0,11.6,6,37,11:04 AM,11:29 PM,06:09 AM,06:33 PM,22,32,32,28,8,9,69,0.0,1012,28,10,9,6,"myrtlebeach,sc"
2020-01-01 09:00:00,29,22,0.0,11.6,6,37,11:04 AM,11:29 PM,06:09 AM,06:33 PM,22,32,32,29,7,9,68,0.0,1012,29,10,10,5,"myrtlebeach,sc"
