date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01 00:00:00,-5,-10,4.7,3.6,2,37,11:10 AM,10:44 PM,07:05 AM,04:55 PM,-14,-17,-11,-17,19,14,76,0.0,1026,-11,10,164,14,"northbend,or"
2020-01-01 01:00:00,-5,-10,4.7,3.6,2,37,11:10 AM,10:44 PM,07:05 AM,04:55 PM,-13,-17,-10,-17,19,20,78,0.0,1026,-10,10,163,15,"northbend,or"
2020-01-01 02:00:00,-5,-10,4.7,3.6,2,37,11:10 AM,10:44 PM,07:05 AM,04:55 PM,-13,-17,-10,-17,18,25,80,0.0,1026,-10,10,162,15,"northbend,or"
2020-01-01 03:00:00,-5,-10,4.7,3.6,2,37,11:10 AM,10:44 PM,07:05 AM,04:55 PM,-13,-17,-10,-17,18,30,83,0.0,1026,-10,10,160,15,"northbend,or"
2020-01-01 04:00:00,-5,-10,4.7,3.6,2,37,11:10 AM,10:44 PM,07:05 AM,04:55 PM,-12,-17,-10,-17,18,41,83,0.0,1026,-10,9,159,15,"northbend,or"
2020-01-01 05:00:00,-5,-10,4.7,3.6,2,37,11:10 AM,10:44 PM,07:05 AM,04:55 PM,-12,-17,-10,-17,18,53,84,0.0,1026,-10,8,158,15,"northbend,or"
2020-01-01 06:00:00,-5,-10,4.7,3.6,2,37,11:10 AM,10:44 PM,07:05 AM,04:55 PM,-12,-16,-10,-16,18,64,85,0.0,1026,-10,7,157,15,"northbend,or"
2020-01-01 07:00:00,-5,-10,4.7,3.6,2,37,11:10 AM,10:44 PM,07:05 AM,04:55 PM,-11,-15,-9,-15,18,74,85,0.0,1025,-9,5,155,16,"northbend,or"
2020-01-01 08:00:00,-5,-10,4.7,3.6,2,37,11:10 AM,10:44 PM,07:05 AM,04:55 PM,-10,-14,-8,-14,19,83,84,0.2,1025,-8,4,154,16,"northbend,or"
2020-01-01 09:00:00,-5,-10,4.7,3.6,2,37,11:10 AM,10:44 PM,07:05 AM,04:55 PM,-9,-13,-7,-13,19,93,84,0.2,1025,-7,3,153,17,"northbend,or"
2020-01-01 10:00:00,-5,-10,4.7,3.6,2,37,11:10 AM,10:44 PM,07:05 AM,04:55 PM,-9,-13,-7,-13,20,93,83,0.1,1024,-7,3,153,17,"northbend,or"
2020-01-01 11:00:00,-5,-10,4.7,3.6,2,37,11:10 AM,10:44 PM,07:05 AM,04:55 PM,-9,-14,-7,-14,21,92,83,0.3,1023,-7,2,152,17,"northbend,or"
2020-01-01 12:00:00,-5,-10,4.7,3.6,2,37,11:10 AM,10:44 PM,07:05 AM,04:55 PM,-10,-14,-7,-14,21,92,83,0.4,1022,-7,2,152,17,"northbend,or"
2020-01-01 13:00:00,-5,-10,4.7,3.6,2,37,11:10 AM,10:44 PM,07:05 AM,04:55 PM,-9,-14,-7,-14,21,90,84,0.2,1021,-7,3,151,17,"northbend,or"
2020-01-01 14:00:00,-5,-10,4.7,3.6,2,37,11:10 AM,10:44 PM,07:05 AM,04:55 PM,-9,-13,-7,-13,21,87,85,0.5,1021,-7,3,150,17,"northbend,or"
2020-01-01 15:00:00,-5,-10,4.7,3.6,2,37,11:10 AM,10:44 PM,07:05 AM,04:55 PM,-9,-13,-7,-13,21,84,86,0.7,1021,-7,4,149,17,"northbend,or"
2020-01-01 16:00:00,-5,-10,4.7,3.6,2,37,11:10 AM,10:44 PM,07:05 AM,04:55 PM,-8,-13,-7,-13,20,78,87,0.3,1022,-7,4,149,17,"northbend,or"
2020-01-01 17:00:00,-5,-10,4.7,3.6,2,37,11:10 AM,10:44 PM,07:05 AM,04:55 PM,-8,-13,-7,-13,20,71,89,0.4,1023,-7,5,149,18,"northbend,or"
2020-01-01 18:00:00,-5,-10,4.7,3.6,2,37,11:10 AM,10:44 PM,07:05 AM,04:55 PM,-8,-13,-7,-13,20,65,90,0.5,1023,-7,5,149,18,"northbend,or"
2020-01-01 19:00:00,-5,-10,4.7,3.6,2,37,11:10 AM,10:44 PM,07:05 AM,04:55 PM,-9,-14,-7,-14,20,72,90,0.3,1024,-7,4,152,18,"northbend,or"
2020-01-01 20:00:00,-5,-10,4.7,3.6,2,37,11:10 AM,10:44 PM,07:05 AM,04:55 PM,-9,-15,-8,-15,20,78,90,0.5,1025,-8,4,155,18,"northbend,or"
2020-01-01 21:00:00,-5,-10,4.7,3.6,2,37,11:10 AM,10:44 PM,07:05 AM,04:55 PM,-10,-15,-8,-15,21,85,90,0.7,1026,-8,3,158,18,"northbend,or"
2020-01-01 22:00:00,-5,-10,4.7,3.6,2,37,11:10 AM,10:44 PM,07:05 AM,04:55 PM,-10,-15,-8,-15,20,82,90,0.3,1026,-8,3,156,18,"northbend,or"
2020-01-01 23:00:00,-5,-10,4.7,3.6,2,37,11:10 AM,10:44 PM,07:05 AM,04:55 PM,-9,-15,-8,-15,20,79,91,0.6,1026,-8,4,154,18,"northbend,or"
2020-01-02 00:00:00,-4,-8,9.2,3.6,1,44,11:38 AM,11:39 PM,07:05 AM,04:55 PM,-9,-15,-8,-15,20,76,91,0.8,1026,-8,4,152,18,"northbend,or"
2020-01-02 01:00:00,-4,-8,9.2,3.6,1,44,11:38 AM,11:39 PM,07:05 AM,04:55 PM,-9,-15,-8,-15,20,80,91,0.4,1026,-8,4,151,18,"northbend,or"
2020-01-02 02:00:00,-4,-8,9.2,3.6,1,44,11:38 AM,11:39 PM,07:05 AM,04:55 PM,-9,-15,-8,-15,20,84,91,0.8,1026,-8,3,150,17,"northbend,or"
