date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01 00:00:00,1,-10,14.5,4.8,2,37,12:58 PM,No moonset,08:49 AM,06:11 PM,-12,-12,-9,-12,12,15,77,0.0,1026,-9,10,130,6,"provo,ut"
2020-01-01 01:00:00,1,-10,14.5,4.8,2,37,12:58 PM,No moonset,08:49 AM,06:11 PM,-12,-12,-9,-12,11,19,76,0.0,1025,-9,10,137,5,"provo,ut"
2020-01-01 02:00:00,1,-10,14.5,4.8,2,37,12:58 PM,No moonset,08:49 AM,06:11 PM,-13,-12,-9,-12,11,22,74,0.0,1024,-9,10,144,5,"provo,ut"
2020-01-01 03:00:00,1,-10,14.5,4.8,2,37,12:58 PM,No moonset,08:49 AM,06:11 PM,-14,-13,-10,-13,10,25,72,0.0,1024,-10,10,151,5,"provo,ut"
2020-01-01 04:00:00,1,-10,14.5,4.8,2,37,12:58 PM,No moonset,08:49 AM,06:11 PM,-13,-12,-9,-12,10,36,73,0.0,1023,-9,9,148,5,"provo,ut"
2020-01-01 05:00:00,1,-10,14.5,4.8,2,37,12:58 PM,No moonset,08:49 AM,06:11 PM,-13,-12,-9,-12,11,47,73,0.0,1022,-9,8,144,5,"provo,ut"
2020-01-01 06:00:00,1,-10,14.5,4.8,2,37,12:58 PM,No moonset,08:49 AM,06:11 PM,-12,-11,-8,-11,11,59,74,0.0,1021,-8,7,140,5,"provo,ut"
2020-01-01 07:00:00,1,-10,14.5,4.8,2,37,12:58 PM,No moonset,08:49 AM,06:11 PM,-10,-10,-7,-10,11,72,79,0.0,1020,-7,5,145,6,"provo,ut"
2020-01-01 08:00:00,1,-10,14.5,4.8,2,37,12:58 PM,No moonset,08:49 AM,06:11 PM,-7,-8,-5,-8,10,86,84,0.7,1019,-5,4,150,6,"provo,ut"
2020-01-01 09:00:00,1,-10,14.5,4.8,2,37,12:58 PM,No moonset,08:49 AM,06:11 PM,-5,-7,-4,-7,10,100,90,0.9,1019,-4,2,155,6,"provo,ut"
