date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01 00:00:00,9,-1,0.0,7.0,3,37,12:30 PM,No moonset,08:20 AM,05:46 PM,-6,-1,1,-1,10,40,60,0.0,1022,1,10,286,5,"reno,nv"
2020-01-01 01:00:00,9,-1,0.0,7.0,3,37,12:30 PM,No moonset,08:20 AM,05:46 PM,-7,-1,1,-1,12,41,56,0.0,1021,1,10,280,6,"reno,nv"
2020-01-01 02:00:00,9,-1,0.0,7.0,3,37,12:30 PM,No moonset,08:20 AM,05:46 PM,-7,-1,1,-1,15,42,53,0.0,1021,1,10,274,7,"reno,nv"
2020-01-01 03:00:00,9,-1,0.0,7.0,3,37,12:30 PM,No moonset,08:20 AM,05:46 PM,-8,-1,1,-1,17,43,50,0.0,1020,1,10,268,8,"reno,nv"
2020-01-01 04:00:00,9,-1,0.0,7.0,3,37,12:30 PM,No moonset,08:20 AM,05:46 PM,-7,-1,1,-1,19,40,52,0.0,1020,1,10,258,9,"reno,nv"
2020-01-01 05:00:00,9,-1,0.0,7.0,3,37,12:30 PM,No moonset,08:20 AM,05:46 PM,-7,-2,2,-2,22,37,55,0.0,1019,2,10,247,10,"reno,nv"
2020-01-01 06:00:00,9,-1,0.0,7.0,3,37,12:30 PM,No moonset,08:20 AM,05:46 PM,-6,-2,2,-2,24,33,57,0.0,1019,2,10,237,12,"reno,nv"
2020-01-01 07:00:00,9,-1,0.0,7.0,3,37,12:30 PM,No moonset,08:20 AM,05:46 PM,-4,-1,3,-1,24,31,63,0.0,1019,3,10,240,12,"reno,nv"
2020-01-01 08:00:00,9,-1,0.0,7.0,3,37,12:30 PM,No moonset,08:20 AM,05:46 PM,-2,1,4,1,24,28,68,0.0,1019,4,10,243,13,"reno,nv"
2020-01-01 09:00:00,9,-1,0.0,7.0,3,37,12:30 PM,No moonset,08:20 AM,05:46 PM,1,2,5,2,24,26,74,0.0,1018,5,10,246,13,"reno,nv"
2020-01-01 10:00:00,9,-1,0.0,7.0,3,37,12:30 PM,No moonset,08:20 AM,05:46 PM,2,3,6,3,21,31,73,0.0,1018,6,10,254,13,"reno,nv"
2020-01-01 11:00:00,9,-1,0.0,7.0,3,37,12:30 PM,No moonset,08:20 AM,05:46 PM,3,5,8,5,18,36,71,0.0,1018,8,10,262,14,"reno,nv"
2020-01-01 12:00:00,9,-1,0.0,7.0,3,37,12:30 PM,No moonset,08:20 AM,05:46 PM,4,7,9,7,15,41,70,0.0,1018,9,10,270,14,"reno,nv"
2020-01-01 13:00:00,9,-1,0.0,7.0,3,37,12:30 PM,No moonset,08:20 AM,05:46 PM,4,7,9,7,16,55,69,0.0,1017,9,10,270,14,"reno,nv"
2020-01-01 14:00:00,9,-1,0.0,7.0,3,37,12:30 PM,No moonset,08:20 AM,05:46 PM,3,7,9,7,16,70,69,0.0,1017,9,10,270,14,"reno,nv"
2020-01-01 15:00:00,9,-1,0.0,7.0,3,37,12:30 PM,No moonset,08:20 AM,05:46 PM,3,6,9,6,16,84,69,0.0,1016,9,10,269,14,"reno,nv"
2020-01-01 16:00:00,9,-1,0.0,7.0,3,37,12:30 PM,No moonset,08:20 AM,05:46 PM,3,6,8,6,16,76,71,0.0,1016,8,10,263,13,"reno,nv"
2020-01-01 17:00:00,9,-1,0.0,7.0,3,37,12:30 PM,No moonset,08:20 AM,05:46 PM,2,5,8,5,15,68,74,0.0,1017,7,10,256,11,"reno,nv"
2020-01-01 18:00:00,9,-1,0.0,7.0,3,37,12:30 PM,No moonset,08:20 AM,05:46 PM,1,5,7,5,14,60,77,0.0,1017,6,10,249,10,"reno,nv"
2020-01-01 19:00:00,9,-1,0.0,7.0,3,37,12:30 PM,No moonset,08:20 AM,05:46 PM,0,4,6,4,16,42,78,0.0,1017,5,10,246,9,"reno,nv"
2020-01-01 20:00:00,9,-1,0.0,7.0,3,37,12:30 PM,No moonset,08:20 AM,05:46 PM,-1,3,5,3,18,25,80,0.0,1017,4,10,244,9,"reno,nv"
2020-01-01 21:00:00,9,-1,0.0,7.0,3,37,12:30 PM,No moonset,08:20 AM,05:46 PM,-2,2,4,2,19,7,81,0.0,1018,2,10,241,9,"reno,nv"
2020-01-01 22:00:00,9,-1,0.0,7.0,3,37,12:30 PM,No moonset,08:20 AM,05:46 PM,-3,0,3,0,17,6,79,0.0,1018,1,10,240,8,"reno,nv"
2020-01-01 23:00:00,9,-1,0.0,7.0,3,37,12:30 PM,No moonset,08:20 AM,05:46 PM,-4,-2,1,-2,16,6,77,0.0,1019,0,10,239,7,"reno,nv"
2020-01-02 00:00:00,9,-1,0.0,8.7,3,44,12:55 PM,12:13 AM,08:20 AM,05:47 PM,-5,-3,-1,-3,14,5,75,0.0,1019,-1,10,238,6,"reno,nv"
2020-01-02 01:00:00,9,-1,0.0,8.7,3,44,12:55 PM,12:13 AM,08:20 AM,05:47 PM,-5,-3,-1,-3,13,6,72,0.0,1020,-1,10,244,6,"reno,nv"
2020-01-02 02:00:00,9,-1,0.0,8.7,3,44,12:55 PM,12:13 AM,08:20 AM,05:47 PM,-6,-3,-1,-3,12,6,69,0.0,1020,-1,10,250,6,"reno,nv"
