date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01 00:00:00,8,1,0.0,9.8,2,37,12:46 PM,No moonset,08:34 AM,06:13 PM,-1,-1,3,-1,14,74,73,0.0,1011,1,10,274,9,"roanoke,va"
2020-01-01 01:00:00,8,1,0.0,9.8,2,37,12:46 PM,No moonset,08:34 AM,06:13 PM,-1,-1,2,-1,15,76,74,0.0,1011,1,10,272,9,"roanoke,va"
2020-01-01 02:00:00,8,1,0.0,9.8,2,37,12:46 PM,No moonset,08:34 AM,06:13 PM,-2,-1,2,-1,15,78,74,0.0,1011,2,10,270,9,"roanoke,va"
2020-01-01 03:00:00,8,1,0.0,9.8,2,37,12:46 PM,No moonset,08:34 AM,06:13 PM,-2,-1,2,-1,15,80,74,0.0,1012,2,10,268,9,"roanoke,va"
2020-01-01 04:00:00,8,1,0.0,9.8,2,37,12:46 PM,No moonset,08:34 AM,06:13 PM,-2,-0,2,-0,15,79,74,0.0,1012,2,10,269,9,"roanoke,va"
2020-01-01 05:00:00,8,1,0.0,9.8,2,37,12:46 PM,No moonset,08:34 AM,06:13 PM,-2,-0,2,-0,14,79,74,0.0,1012,2,10,270,8,"roanoke,va"
2020-01-01 06:00:00,8,1,0.0,9.8,2,37,12:46 PM,No moonset,08:34 AM,06:13 PM,-2,-0,2,-0,13,79,74,0.0,1012,2,10,271,8,"roanoke,va"
2020-01-01 07:00:00,8,1,0.0,9.8,2,37,12:46 PM,No moonset,08:34 AM,06:13 PM,-2,-0,2,-0,13,67,73,0.0,1013,2,10,275,9,"roanoke,va"
2020-01-01 08:00:00,8,1,0.0,9.8,2,37,12:46 PM,No moonset,08:34 AM,06:13 PM,-2,0,2,0,13,56,72,0.0,1013,2,10,279,9,"roanoke,va"
2020-01-01 09:00:00,8,1,0.0,9.8,2,37,12:46 PM,No moonset,08:34 AM,06:13 PM,-2,0,3,0,14,44,71,0.0,1013,3,10,284,10,"roanoke,va"
2020-01-01 10:00:00,8,1,0.0,9.8,2,37,12:46 PM,No moonset,08:34 AM,06:13 PM,-2,1,4,1,15,37,66,0.0,1013,4,10,285,12,"roanoke,va"
2020-01-01 11:00:00,8,1,0.0,9.8,2,37,12:46 PM,No moonset,08:34 AM,06:13 PM,-2,2,5,2,17,30,61,0.0,1014,5,10,286,14,"roanoke,va"
2020-01-01 12:00:00,8,1,0.0,9.8,2,37,12:46 PM,No moonset,08:34 AM,06:13 PM,-2,3,6,3,19,23,57,0.0,1014,6,10,288,17,"roanoke,va"
2020-01-01 13:00:00,8,1,0.0,9.8,2,37,12:46 PM,No moonset,08:34 AM,06:13 PM,-2,3,6,3,19,30,57,0.0,1014,6,10,286,16,"roanoke,va"
2020-01-01 14:00:00,8,1,0.0,9.8,2,37,12:46 PM,No moonset,08:34 AM,06:13 PM,-1,4,7,4,19,36,57,0.0,1014,7,10,283,16,"roanoke,va"
2020-01-01 15:00:00,8,1,0.0,9.8,2,37,12:46 PM,No moonset,08:34 AM,06:13 PM,-1,5,7,5,19,43,57,0.0,1014,7,10,281,16,"roanoke,va"
2020-01-01 16:00:00,8,1,0.0,9.8,2,37,12:46 PM,No moonset,08:34 AM,06:13 PM,-1,4,7,4,18,35,60,0.0,1014,7,10,281,14,"roanoke,va"
2020-01-01 17:00:00,8,1,0.0,9.8,2,37,12:46 PM,No moonset,08:34 AM,06:13 PM,-0,4,6,4,16,26,63,0.0,1014,6,10,281,12,"roanoke,va"
2020-01-01 18:00:00,8,1,0.0,9.8,2,37,12:46 PM,No moonset,08:34 AM,06:13 PM,-0,3,6,3,14,17,66,0.0,1014,6,10,281,10,"roanoke,va"
2020-01-01 19:00:00,8,1,0.0,9.8,2,37,12:46 PM,No moonset,08:34 AM,06:13 PM,-0,3,4,3,13,22,71,0.0,1015,4,10,281,8,"roanoke,va"
2020-01-01 20:00:00,8,1,0.0,9.8,2,37,12:46 PM,No moonset,08:34 AM,06:13 PM,-0,2,3,2,12,26,76,0.0,1015,3,10,281,7,"roanoke,va"
2020-01-01 21:00:00,8,1,0.0,9.8,2,37,12:46 PM,No moonset,08:34 AM,06:13 PM,-0,1,2,1,10,30,81,0.0,1016,2,10,282,5,"roanoke,va"
2020-01-01 22:00:00,8,1,0.0,9.8,2,37,12:46 PM,No moonset,08:34 AM,06:13 PM,-1,1,2,1,9,50,82,0.0,1016,2,10,284,5,"roanoke,va"
2020-01-01 23:00:00,8,1,0.0,9.8,2,37,12:46 PM,No moonset,08:34 AM,06:13 PM,-1,1,2,1,9,69,83,0.0,1016,2,10,286,4,"roanoke,va"
2020-01-02 00:00:00,10,1,0.0,8.2,2,44,01:12 PM,12:28 AM,08:34 AM,06:13 PM,-1,1,2,1,8,89,84,0.0,1016,2,10,288,4,"roanoke,va"
2020-01-02 01:00:00,10,1,0.0,8.2,2,44,01:12 PM,12:28 AM,08:34 AM,06:13 PM,-1,1,2,1,7,84,85,0.0,1016,2,10,295,4,"roanoke,va"
2020-01-02 02:00:00,10,1,0.0,8.2,2,44,01:12 PM,12:28 AM,08:34 AM,06:13 PM,-1,1,1,1,7,79,85,0.0,1016,1,10,302,3,"roanoke,va"
2020-01-02 03:00:00,10,1,0.0,8.2,2,44,01:12 PM,12:28 AM,08:34 AM,06:13 PM,-1,1,1,1,6,74,86,0.0,1016,1,10,309,3,"roanoke,va"
2020-01-02 04:00:00,10,1,0.0,8.2,2,44,01:12 PM,12:28 AM,08:34 AM,06:13 PM,-1,1,1,1,7,65,86,0.0,1016,1,10,306,3,"roanoke,va"
2020-01-02 05:00:00,10,1,0.0,8.2,2,44,01:12 PM,12:28 AM,08:34 AM,06:13 PM,-1,1,1,1,7,55,86,0.0,1016,1,10,304,3,"roanoke,va"
2020-01-02 06:00:00,10,1,0.0,8.2,2,44,01:12 PM,12:28 AM,08:34 AM,06:13 PM,-1,0,1,0,8,46,86,0.0,1016,1,10,302,4,"roanoke,va"
2020-01-02 07:00:00,10,1,0.0,8.2,2,44,01:12 PM,12:28 AM,08:34 AM,06:13 PM,-1,1,1,1,7,42,83,0.0,1016,1,10,291,3,"roanoke,va"
2020-01-02 08:00:00,10,1,0.0,8.2,2,44,01:12 PM,12:28 AM,08:34 AM,06:13 PM,-1,1,2,1,7,39,79,0.0,1016,2,10,281,3,"roanoke,va"
