date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01 00:00:00,0,-9,0.0,5.1,2,37,12:43 PM,No moonset,08:45 AM,05:42 PM,-11,-14,-9,-14,29,4,83,0.0,1011,-10,10,246,14,"rochester,mn"
2020-01-01 01:00:00,0,-9,0.0,5.1,2,37,12:43 PM,No moonset,08:45 AM,05:42 PM,-11,-14,-9,-14,30,7,83,0.0,1010,-9,10,238,14,"rochester,mn"
2020-01-01 02:00:00,0,-9,0.0,5.1,2,37,12:43 PM,No moonset,08:45 AM,05:42 PM,-10,-14,-8,-14,31,11,84,0.0,1009,-9,10,231,15,"rochester,mn"
2020-01-01 03:00:00,0,-9,0.0,5.1,2,37,12:43 PM,No moonset,08:45 AM,05:42 PM,-10,-14,-8,-14,32,14,84,0.0,1008,-8,10,223,15,"rochester,mn"
2020-01-01 04:00:00,0,-9,0.0,5.1,2,37,12:43 PM,No moonset,08:45 AM,05:42 PM,-9,-13,-7,-13,33,15,85,0.0,1007,-7,10,218,16,"rochester,mn"
2020-01-01 05:00:00,0,-9,0.0,5.1,2,37,12:43 PM,No moonset,08:45 AM,05:42 PM,-8,-13,-7,-13,35,15,86,0.0,1006,-7,10,212,17,"rochester,mn"
2020-01-01 06:00:00,0,-9,0.0,5.1,2,37,12:43 PM,No moonset,08:45 AM,05:42 PM,-8,-12,-6,-12,36,16,88,0.0,1005,-6,10,206,18,"rochester,mn"
2020-01-01 07:00:00,0,-9,0.0,5.1,2,37,12:43 PM,No moonset,08:45 AM,05:42 PM,-7,-12,-5,-12,38,14,87,0.0,1004,-5,10,206,20,"rochester,mn"
2020-01-01 08:00:00,0,-9,0.0,5.1,2,37,12:43 PM,No moonset,08:45 AM,05:42 PM,-7,-12,-5,-12,39,12,86,0.0,1003,-5,10,206,22,"rochester,mn"
2020-01-01 09:00:00,0,-9,0.0,5.1,2,37,12:43 PM,No moonset,08:45 AM,05:42 PM,-6,-11,-4,-11,41,10,86,0.0,1002,-4,10,206,23,"rochester,mn"
2020-01-01 10:00:00,0,-9,0.0,5.1,2,37,12:43 PM,No moonset,08:45 AM,05:42 PM,-6,-10,-3,-10,41,30,84,0.0,1001,-3,10,207,25,"rochester,mn"
2020-01-01 11:00:00,0,-9,0.0,5.1,2,37,12:43 PM,No moonset,08:45 AM,05:42 PM,-5,-9,-3,-9,41,49,82,0.0,1001,-3,10,209,26,"rochester,mn"
2020-01-01 12:00:00,0,-9,0.0,5.1,2,37,12:43 PM,No moonset,08:45 AM,05:42 PM,-5,-9,-2,-9,41,69,81,0.0,1000,-2,10,211,28,"rochester,mn"
2020-01-01 13:00:00,0,-9,0.0,5.1,2,37,12:43 PM,No moonset,08:45 AM,05:42 PM,-4,-8,-1,-8,40,67,80,0.0,999,-1,10,213,27,"rochester,mn"
2020-01-01 14:00:00,0,-9,0.0,5.1,2,37,12:43 PM,No moonset,08:45 AM,05:42 PM,-4,-7,-1,-7,39,65,79,0.0,998,-1,10,215,26,"rochester,mn"
2020-01-01 15:00:00,0,-9,0.0,5.1,2,37,12:43 PM,No moonset,08:45 AM,05:42 PM,-4,-6,-0,-6,37,63,78,0.0,997,-0,10,217,24,"rochester,mn"
2020-01-01 16:00:00,0,-9,0.0,5.1,2,37,12:43 PM,No moonset,08:45 AM,05:42 PM,-4,-6,-0,-6,38,52,78,0.0,997,-0,10,216,24,"rochester,mn"
2020-01-01 17:00:00,0,-9,0.0,5.1,2,37,12:43 PM,No moonset,08:45 AM,05:42 PM,-4,-6,-1,-6,39,40,78,0.0,996,-1,10,215,24,"rochester,mn"
2020-01-01 18:00:00,0,-9,0.0,5.1,2,37,12:43 PM,No moonset,08:45 AM,05:42 PM,-4,-7,-1,-7,40,29,78,0.0,996,-1,10,214,23,"rochester,mn"
