date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01 00:00:00,17,2,0.0,10.0,4,37,12:23 PM,No moonset,08:02 AM,06:01 PM,-6,1,4,1,26,5,50,0.0,1017,4,10,200,12,"roswell,nm"
2020-01-01 01:00:00,17,2,0.0,10.0,4,37,12:23 PM,No moonset,08:02 AM,06:01 PM,-6,1,3,1,22,4,52,0.0,1016,3,10,200,10,"roswell,nm"
2020-01-01 02:00:00,17,2,0.0,10.0,4,37,12:23 PM,No moonset,08:02 AM,06:01 PM,-6,1,3,1,18,3,53,0.0,1016,3,10,200,8,"roswell,nm"
2020-01-01 03:00:00,17,2,0.0,10.0,4,37,12:23 PM,No moonset,08:02 AM,06:01 PM,-6,1,2,1,14,2,54,0.0,1015,2,10,200,6,"roswell,nm"
2020-01-01 04:00:00,17,2,0.0,10.0,4,37,12:23 PM,No moonset,08:02 AM,06:01 PM,-6,1,2,1,14,2,54,0.0,1015,2,10,221,7,"roswell,nm"
2020-01-01 05:00:00,17,2,0.0,10.0,4,37,12:23 PM,No moonset,08:02 AM,06:01 PM,-6,0,2,0,14,1,53,0.0,1014,2,10,243,7,"roswell,nm"
2020-01-01 06:00:00,17,2,0.0,10.0,4,37,12:23 PM,No moonset,08:02 AM,06:01 PM,-6,0,2,0,14,0,52,0.0,1013,2,10,265,7,"roswell,nm"
2020-01-01 07:00:00,17,2,0.0,10.0,4,37,12:23 PM,No moonset,08:02 AM,06:01 PM,-6,1,3,1,17,0,50,0.0,1013,3,10,257,8,"roswell,nm"
2020-01-01 08:00:00,17,2,0.0,10.0,4,37,12:23 PM,No moonset,08:02 AM,06:01 PM,-6,1,4,1,20,0,48,0.0,1013,4,10,249,10,"roswell,nm"
2020-01-01 09:00:00,17,2,0.0,10.0,4,37,12:23 PM,No moonset,08:02 AM,06:01 PM,-6,2,5,2,23,0,46,0.0,1012,5,10,241,11,"roswell,nm"
2020-01-01 10:00:00,17,2,0.0,10.0,4,37,12:23 PM,No moonset,08:02 AM,06:01 PM,-6,6,8,6,22,0,39,0.0,1011,8,10,239,13,"roswell,nm"
2020-01-01 11:00:00,17,2,0.0,10.0,4,37,12:23 PM,No moonset,08:02 AM,06:01 PM,-6,10,11,10,20,0,32,0.0,1010,11,10,236,14,"roswell,nm"
2020-01-01 12:00:00,17,2,0.0,10.0,4,37,12:23 PM,No moonset,08:02 AM,06:01 PM,-6,13,15,13,18,0,25,0.0,1008,15,10,233,15,"roswell,nm"
2020-01-01 13:00:00,17,2,0.0,10.0,4,37,12:23 PM,No moonset,08:02 AM,06:01 PM,-7,15,15,15,19,0,22,0.0,1006,15,10,243,17,"roswell,nm"
2020-01-01 14:00:00,17,2,0.0,10.0,4,37,12:23 PM,No moonset,08:02 AM,06:01 PM,-8,16,16,16,20,0,19,0.0,1005,16,10,252,18,"roswell,nm"
2020-01-01 15:00:00,17,2,0.0,10.0,4,37,12:23 PM,No moonset,08:02 AM,06:01 PM,-9,17,17,17,22,0,16,0.0,1003,17,10,262,19,"roswell,nm"
2020-01-01 16:00:00,17,2,0.0,10.0,4,37,12:23 PM,No moonset,08:02 AM,06:01 PM,-8,15,16,15,28,0,19,0.0,1002,16,10,265,19,"roswell,nm"
2020-01-01 17:00:00,17,2,0.0,10.0,4,37,12:23 PM,No moonset,08:02 AM,06:01 PM,-7,13,14,13,35,0,22,0.0,1002,14,10,269,20,"roswell,nm"
2020-01-01 18:00:00,17,2,0.0,10.0,4,37,12:23 PM,No moonset,08:02 AM,06:01 PM,-7,11,13,11,41,0,25,0.0,1002,13,10,272,21,"roswell,nm"
2020-01-01 19:00:00,17,2,0.0,10.0,4,37,12:23 PM,No moonset,08:02 AM,06:01 PM,-7,9,12,9,41,2,27,0.0,1002,12,10,271,20,"roswell,nm"
2020-01-01 20:00:00,17,2,0.0,10.0,4,37,12:23 PM,No moonset,08:02 AM,06:01 PM,-6,8,11,8,40,4,30,0.0,1002,11,10,270,20,"roswell,nm"
2020-01-01 21:00:00,17,2,0.0,10.0,4,37,12:23 PM,No moonset,08:02 AM,06:01 PM,-6,7,10,7,40,6,32,0.0,1003,10,10,269,19,"roswell,nm"
2020-01-01 22:00:00,17,2,0.0,10.0,4,37,12:23 PM,No moonset,08:02 AM,06:01 PM,-6,6,9,6,40,19,35,0.0,1002,9,10,260,19,"roswell,nm"
2020-01-01 23:00:00,17,2,0.0,10.0,4,37,12:23 PM,No moonset,08:02 AM,06:01 PM,-5,6,9,6,39,32,38,0.0,1002,9,10,251,19,"roswell,nm"
2020-01-02 00:00:00,12,4,0.0,10.0,3,44,12:52 PM,12:12 AM,08:02 AM,06:02 PM,-4,5,8,5,39,45,41,0.0,1002,8,10,242,19,"roswell,nm"
