date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01 00:00:00,-10,-20,0.0,8.7,2,37,12:18 PM,11:31 PM,08:34 AM,05:29 PM,-19,-21,-14,-21,24,0,65,0.0,1030,-14,10,256,12,"saintcloud,mn"
2020-01-01 01:00:00,-10,-20,0.0,8.7,2,37,12:18 PM,11:31 PM,08:34 AM,05:29 PM,-19,-20,-14,-20,24,0,65,0.0,1030,-14,10,258,12,"saintcloud,mn"
2020-01-01 02:00:00,-10,-20,0.0,8.7,2,37,12:18 PM,11:31 PM,08:34 AM,05:29 PM,-18,-19,-13,-19,23,0,64,0.0,1031,-13,10,261,12,"saintcloud,mn"
2020-01-01 03:00:00,-10,-20,0.0,8.7,2,37,12:18 PM,11:31 PM,08:34 AM,05:29 PM,-18,-19,-12,-19,23,0,64,0.0,1031,-12,10,263,13,"saintcloud,mn"
2020-01-01 04:00:00,-10,-20,0.0,8.7,2,37,12:18 PM,11:31 PM,08:34 AM,05:29 PM,-17,-18,-11,-18,21,0,62,0.0,1031,-11,10,269,13,"saintcloud,mn"
2020-01-01 05:00:00,-10,-20,0.0,8.7,2,37,12:18 PM,11:31 PM,08:34 AM,05:29 PM,-17,-17,-10,-17,20,0,60,0.0,1030,-10,10,275,13,"saintcloud,mn"
2020-01-01 06:00:00,-10,-20,0.0,8.7,2,37,12:18 PM,11:31 PM,08:34 AM,05:29 PM,-16,-16,-10,-16,19,0,58,0.0,1030,-10,10,281,13,"saintcloud,mn"
2020-01-01 07:00:00,-10,-20,0.0,8.7,2,37,12:18 PM,11:31 PM,08:34 AM,05:29 PM,-16,-16,-10,-16,18,0,60,0.0,1030,-10,10,282,11,"saintcloud,mn"
2020-01-01 08:00:00,-10,-20,0.0,8.7,2,37,12:18 PM,11:31 PM,08:34 AM,05:29 PM,-16,-16,-11,-16,17,0,63,0.0,1031,-11,10,283,10,"saintcloud,mn"
2020-01-01 09:00:00,-10,-20,0.0,8.7,2,37,12:18 PM,11:31 PM,08:34 AM,05:29 PM,-16,-16,-11,-16,16,0,65,0.0,1032,-11,10,285,8,"saintcloud,mn"
2020-01-01 10:00:00,-10,-20,0.0,8.7,2,37,12:18 PM,11:31 PM,08:34 AM,05:29 PM,-17,-16,-12,-16,15,4,65,0.0,1032,-12,10,272,7,"saintcloud,mn"
2020-01-01 11:00:00,-10,-20,0.0,8.7,2,37,12:18 PM,11:31 PM,08:34 AM,05:29 PM,-17,-16,-12,-16,14,8,64,0.0,1033,-12,10,260,7,"saintcloud,mn"
2020-01-01 12:00:00,-10,-20,0.0,8.7,2,37,12:18 PM,11:31 PM,08:34 AM,05:29 PM,-18,-16,-12,-16,13,12,64,0.0,1033,-12,10,247,6,"saintcloud,mn"
2020-01-01 13:00:00,-10,-20,0.0,8.7,2,37,12:18 PM,11:31 PM,08:34 AM,05:29 PM,-18,-16,-12,-16,12,19,63,0.0,1034,-12,10,233,6,"saintcloud,mn"
2020-01-01 14:00:00,-10,-20,0.0,8.7,2,37,12:18 PM,11:31 PM,08:34 AM,05:29 PM,-18,-16,-12,-16,12,26,62,0.0,1034,-12,10,219,6,"saintcloud,mn"
2020-01-01 15:00:00,-10,-20,0.0,8.7,2,37,12:18 PM,11:31 PM,08:34 AM,05:29 PM,-18,-16,-12,-16,11,33,62,0.0,1034,-12,10,205,5,"saintcloud,mn"
2020-01-01 16:00:00,-10,-20,0.0,8.7,2,37,12:18 PM,11:31 PM,08:34 AM,05:29 PM,-18,-16,-13,-16,11,24,59,0.0,1034,-13,10,201,5,"saintcloud,mn"
2020-01-01 17:00:00,-10,-20,0.0,8.7,2,37,12:18 PM,11:31 PM,08:34 AM,05:29 PM,-18,-16,-13,-16,11,15,56,0.0,1034,-15,10,198,5,"saintcloud,mn"
2020-01-01 18:00:00,-10,-20,0.0,8.7,2,37,12:18 PM,11:31 PM,08:34 AM,05:29 PM,-19,-16,-14,-16,10,7,54,0.0,1034,-16,10,195,5,"saintcloud,mn"
2020-01-01 19:00:00,-10,-20,0.0,8.7,2,37,12:18 PM,11:31 PM,08:34 AM,05:29 PM,-19,-17,-15,-17,10,7,51,0.0,1033,-17,10,194,5,"saintcloud,mn"
2020-01-01 20:00:00,-10,-20,0.0,8.7,2,37,12:18 PM,11:31 PM,08:34 AM,05:29 PM,-19,-19,-17,-19,10,8,49,0.0,1033,-19,10,193,5,"saintcloud,mn"
2020-01-01 21:00:00,-10,-20,0.0,8.7,2,37,12:18 PM,11:31 PM,08:34 AM,05:29 PM,-19,-20,-18,-20,10,9,47,0.0,1033,-20,10,192,5,"saintcloud,mn"
2020-01-01 22:00:00,-10,-20,0.0,8.7,2,37,12:18 PM,11:31 PM,08:34 AM,05:29 PM,-19,-18,-15,-18,10,39,47,0.0,1033,-17,10,208,5,"saintcloud,mn"
2020-01-01 23:00:00,-10,-20,0.0,8.7,2,37,12:18 PM,11:31 PM,08:34 AM,05:29 PM,-19,-15,-13,-15,10,70,47,0.0,1033,-13,10,224,5,"saintcloud,mn"
2020-01-02 00:00:00,-6,-10,0.0,8.7,1,44,12:41 PM,No moonset,08:34 AM,05:29 PM,-19,-13,-10,-13,10,100,47,0.0,1033,-10,10,239,5,"saintcloud,mn"
2020-01-02 01:00:00,-6,-10,0.0,8.7,1,44,12:41 PM,No moonset,08:34 AM,05:29 PM,-18,-13,-9,-13,12,100,50,0.0,1033,-9,10,241,6,"saintcloud,mn"
2020-01-02 02:00:00,-6,-10,0.0,8.7,1,44,12:41 PM,No moonset,08:34 AM,05:29 PM,-17,-12,-9,-12,14,100,53,0.0,1034,-9,10,243,7,"saintcloud,mn"
2020-01-02 03:00:00,-6,-10,0.0,8.7,1,44,12:41 PM,No moonset,08:34 AM,05:29 PM,-15,-12,-8,-12,16,100,56,0.0,1034,-8,10,245,8,"saintcloud,mn"
2020-01-02 04:00:00,-6,-10,0.0,8.7,1,44,12:41 PM,No moonset,08:34 AM,05:29 PM,-14,-12,-7,-12,17,81,57,0.0,1033,-7,10,255,10,"saintcloud,mn"
2020-01-02 05:00:00,-6,-10,0.0,8.7,1,44,12:41 PM,No moonset,08:34 AM,05:29 PM,-13,-12,-7,-12,18,62,59,0.0,1032,-7,10,265,11,"saintcloud,mn"
2020-01-02 06:00:00,-6,-10,0.0,8.7,1,44,12:41 PM,No moonset,08:34 AM,05:29 PM,-13,-12,-6,-12,19,43,60,0.0,1031,-6,10,274,13,"saintcloud,mn"
2020-01-02 07:00:00,-6,-10,0.0,8.7,1,44,12:41 PM,No moonset,08:34 AM,05:29 PM,-13,-12,-7,-12,21,30,62,0.0,1031,-7,10,267,12,"saintcloud,mn"
2020-01-02 08:00:00,-6,-10,0.0,8.7,1,44,12:41 PM,No moonset,08:34 AM,05:29 PM,-13,-13,-8,-13,22,16,64,0.0,1031,-8,10,260,12,"saintcloud,mn"
2020-01-02 09:00:00,-6,-10,0.0,8.7,1,44,12:41 PM,No moonset,08:34 AM,05:29 PM,-14,-14,-8,-14,23,3,66,0.0,1031,-8,10,254,11,"saintcloud,mn"
