date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01 00:00:00,31,25,0.0,11.3,7,37,11:56 AM,No moonset,07:04 AM,06:35 PM,23,29,29,26,27,8,81,0.0,1013,26,10,21,19,"sanfrancisco,ca"
2020-01-01 01:00:00,31,25,0.0,11.3,7,37,11:56 AM,No moonset,07:04 AM,06:35 PM,22,28,28,26,25,9,82,0.0,1013,26,10,20,17,"sanfrancisco,ca"
2020-01-01 02:00:00,31,25,0.0,11.3,7,37,11:56 AM,No moonset,07:04 AM,06:35 PM,22,28,28,26,23,11,82,0.0,1013,26,10,19,16,"sanfrancisco,ca"
2020-01-01 03:00:00,31,25,0.0,11.3,7,37,11:56 AM,No moonset,07:04 AM,06:35 PM,22,28,28,25,21,12,83,0.0,1012,25,10,18,14,"sanfrancisco,ca"
2020-01-01 04:00:00,31,25,0.0,11.3,7,37,11:56 AM,No moonset,07:04 AM,06:35 PM,22,27,27,25,19,11,82,0.0,1012,25,10,23,13,"sanfrancisco,ca"
2020-01-01 05:00:00,31,25,0.0,11.3,7,37,11:56 AM,No moonset,07:04 AM,06:35 PM,22,27,27,25,17,9,82,0.0,1012,25,10,28,12,"sanfrancisco,ca"
2020-01-01 06:00:00,31,25,0.0,11.3,7,37,11:56 AM,No moonset,07:04 AM,06:35 PM,22,27,27,25,15,8,81,0.0,1012,25,10,33,10,"sanfrancisco,ca"
2020-01-01 07:00:00,31,25,0.0,11.3,7,37,11:56 AM,No moonset,07:04 AM,06:35 PM,21,28,28,25,13,6,79,0.0,1012,25,10,61,9,"sanfrancisco,ca"
2020-01-01 08:00:00,31,25,0.0,11.3,7,37,11:56 AM,No moonset,07:04 AM,06:35 PM,21,28,28,26,10,5,76,0.0,1013,26,10,88,7,"sanfrancisco,ca"
2020-01-01 09:00:00,31,25,0.0,11.3,7,37,11:56 AM,No moonset,07:04 AM,06:35 PM,21,29,29,27,8,4,74,0.0,1013,27,10,116,6,"sanfrancisco,ca"
2020-01-01 10:00:00,31,25,0.0,11.3,7,37,11:56 AM,No moonset,07:04 AM,06:35 PM,22,30,30,28,6,4,70,0.0,1013,28,10,159,5,"sanfrancisco,ca"
2020-01-01 11:00:00,31,25,0.0,11.3,7,37,11:56 AM,No moonset,07:04 AM,06:35 PM,22,32,32,29,5,4,66,0.0,1013,29,10,203,4,"sanfrancisco,ca"
2020-01-01 12:00:00,31,25,0.0,11.3,7,37,11:56 AM,No moonset,07:04 AM,06:35 PM,22,33,33,30,4,3,62,0.0,1013,30,10,247,4,"sanfrancisco,ca"
2020-01-01 13:00:00,31,25,0.0,11.3,7,37,11:56 AM,No moonset,07:04 AM,06:35 PM,22,33,33,30,6,3,60,0.0,1012,30,10,251,5,"sanfrancisco,ca"
2020-01-01 14:00:00,31,25,0.0,11.3,7,37,11:56 AM,No moonset,07:04 AM,06:35 PM,22,34,34,30,8,3,59,0.0,1011,30,10,255,7,"sanfrancisco,ca"
2020-01-01 15:00:00,31,25,0.0,11.3,7,37,11:56 AM,No moonset,07:04 AM,06:35 PM,21,34,34,31,9,3,58,0.0,1010,31,10,258,8,"sanfrancisco,ca"
2020-01-01 16:00:00,31,25,0.0,11.3,7,37,11:56 AM,No moonset,07:04 AM,06:35 PM,21,33,33,30,12,3,59,0.0,1010,30,10,282,10,"sanfrancisco,ca"
2020-01-01 17:00:00,31,25,0.0,11.3,7,37,11:56 AM,No moonset,07:04 AM,06:35 PM,21,33,33,30,15,3,60,0.0,1009,30,10,305,12,"sanfrancisco,ca"
2020-01-01 18:00:00,31,25,0.0,11.3,7,37,11:56 AM,No moonset,07:04 AM,06:35 PM,21,32,32,29,18,4,60,0.0,1009,29,10,329,13,"sanfrancisco,ca"
2020-01-01 19:00:00,31,25,0.0,11.3,7,37,11:56 AM,No moonset,07:04 AM,06:35 PM,21,31,31,29,22,6,63,0.0,1010,29,10,299,15,"sanfrancisco,ca"
2020-01-01 20:00:00,31,25,0.0,11.3,7,37,11:56 AM,No moonset,07:04 AM,06:35 PM,21,30,30,28,26,8,66,0.0,1011,28,10,270,18,"sanfrancisco,ca"
2020-01-01 21:00:00,31,25,0.0,11.3,7,37,11:56 AM,No moonset,07:04 AM,06:35 PM,21,30,30,27,30,10,69,0.0,1011,27,10,240,20,"sanfrancisco,ca"
2020-01-01 22:00:00,31,25,0.0,11.3,7,37,11:56 AM,No moonset,07:04 AM,06:35 PM,21,29,29,27,28,14,71,0.0,1012,27,10,165,18,"sanfrancisco,ca"
2020-01-01 23:00:00,31,25,0.0,11.3,7,37,11:56 AM,No moonset,07:04 AM,06:35 PM,21,29,29,27,26,18,73,0.0,1013,27,10,91,17,"sanfrancisco,ca"
2020-01-02 00:00:00,30,25,0.0,11.3,7,44,12:33 PM,12:06 AM,07:05 AM,06:36 PM,22,29,29,26,23,22,76,0.0,1013,26,10,16,15,"sanfrancisco,ca"
2020-01-02 01:00:00,30,25,0.0,11.3,7,44,12:33 PM,12:06 AM,07:05 AM,06:36 PM,21,28,28,26,22,21,76,0.0,1013,26,10,23,14,"sanfrancisco,ca"
