date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01 00:00:00,4,-3,0.0,8.7,2,37,12:26 PM,No moonset,08:22 AM,05:34 PM,-8,-10,-3,-10,52,23,67,0.0,1011,-3,10,277,27,"scottsbluff,ne"
2020-01-01 01:00:00,4,-3,0.0,8.7,2,37,12:26 PM,No moonset,08:22 AM,05:34 PM,-8,-9,-2,-9,53,21,67,0.0,1010,-2,10,276,27,"scottsbluff,ne"
2020-01-01 02:00:00,4,-3,0.0,8.7,2,37,12:26 PM,No moonset,08:22 AM,05:34 PM,-7,-9,-2,-9,54,18,67,0.0,1009,-2,10,276,27,"scottsbluff,ne"
2020-01-01 03:00:00,4,-3,0.0,8.7,2,37,12:26 PM,No moonset,08:22 AM,05:34 PM,-7,-8,-2,-8,55,16,67,0.0,1008,-2,10,275,27,"scottsbluff,ne"
2020-01-01 04:00:00,4,-3,0.0,8.7,2,37,12:26 PM,No moonset,08:22 AM,05:34 PM,-7,-8,-1,-8,55,18,67,0.0,1007,-1,10,275,27,"scottsbluff,ne"
2020-01-01 05:00:00,4,-3,0.0,8.7,2,37,12:26 PM,No moonset,08:22 AM,05:34 PM,-6,-7,-1,-7,56,20,68,0.0,1006,-1,10,276,28,"scottsbluff,ne"
2020-01-01 06:00:00,4,-3,0.0,8.7,2,37,12:26 PM,No moonset,08:22 AM,05:34 PM,-6,-7,-0,-7,57,22,68,0.0,1005,-0,10,276,28,"scottsbluff,ne"
2020-01-01 07:00:00,4,-3,0.0,8.7,2,37,12:26 PM,No moonset,08:22 AM,05:34 PM,-5,-6,0,-6,57,22,68,0.0,1004,0,10,277,30,"scottsbluff,ne"
2020-01-01 08:00:00,4,-3,0.0,8.7,2,37,12:26 PM,No moonset,08:22 AM,05:34 PM,-4,-5,1,-5,58,22,68,0.0,1003,1,10,278,31,"scottsbluff,ne"
2020-01-01 09:00:00,4,-3,0.0,8.7,2,37,12:26 PM,No moonset,08:22 AM,05:34 PM,-3,-4,2,-4,59,23,69,0.0,1002,2,10,279,33,"scottsbluff,ne"
2020-01-01 10:00:00,4,-3,0.0,8.7,2,37,12:26 PM,No moonset,08:22 AM,05:34 PM,-3,-4,2,-4,60,28,70,0.0,1001,2,10,280,35,"scottsbluff,ne"
2020-01-01 11:00:00,4,-3,0.0,8.7,2,37,12:26 PM,No moonset,08:22 AM,05:34 PM,-2,-3,3,-3,62,34,71,0.0,1000,3,10,280,37,"scottsbluff,ne"
2020-01-01 12:00:00,4,-3,0.0,8.7,2,37,12:26 PM,No moonset,08:22 AM,05:34 PM,-1,-3,3,-3,63,39,72,0.0,1000,3,10,280,39,"scottsbluff,ne"
2020-01-01 13:00:00,4,-3,0.0,8.7,2,37,12:26 PM,No moonset,08:22 AM,05:34 PM,-1,-3,4,-3,64,34,71,0.0,999,4,10,281,40,"scottsbluff,ne"
2020-01-01 14:00:00,4,-3,0.0,8.7,2,37,12:26 PM,No moonset,08:22 AM,05:34 PM,-1,-3,4,-3,65,28,70,0.0,998,4,10,282,41,"scottsbluff,ne"
2020-01-01 15:00:00,4,-3,0.0,8.7,2,37,12:26 PM,No moonset,08:22 AM,05:34 PM,-1,-2,4,-2,66,23,69,0.0,997,4,10,282,42,"scottsbluff,ne"
2020-01-01 16:00:00,4,-3,0.0,8.7,2,37,12:26 PM,No moonset,08:22 AM,05:34 PM,-2,-3,4,-3,66,18,68,0.0,997,4,10,283,41,"scottsbluff,ne"
2020-01-01 17:00:00,4,-3,0.0,8.7,2,37,12:26 PM,No moonset,08:22 AM,05:34 PM,-2,-3,4,-3,67,14,68,0.0,996,4,10,284,40,"scottsbluff,ne"
2020-01-01 18:00:00,4,-3,0.0,8.7,2,37,12:26 PM,No moonset,08:22 AM,05:34 PM,-2,-3,3,-3,67,10,67,0.0,996,3,10,285,39,"scottsbluff,ne"
2020-01-01 19:00:00,4,-3,0.0,8.7,2,37,12:26 PM,No moonset,08:22 AM,05:34 PM,-2,-3,3,-3,61,15,69,0.0,997,3,10,284,35,"scottsbluff,ne"
2020-01-01 20:00:00,4,-3,0.0,8.7,2,37,12:26 PM,No moonset,08:22 AM,05:34 PM,-3,-4,2,-4,55,19,71,0.0,997,2,10,283,30,"scottsbluff,ne"
2020-01-01 21:00:00,4,-3,0.0,8.7,2,37,12:26 PM,No moonset,08:22 AM,05:34 PM,-3,-4,1,-4,49,24,73,0.0,998,1,10,282,26,"scottsbluff,ne"
2020-01-01 22:00:00,4,-3,0.0,8.7,2,37,12:26 PM,No moonset,08:22 AM,05:34 PM,-3,-4,1,-4,47,21,74,0.0,998,1,10,285,24,"scottsbluff,ne"
2020-01-01 23:00:00,4,-3,0.0,8.7,2,37,12:26 PM,No moonset,08:22 AM,05:34 PM,-3,-5,1,-5,45,18,75,0.0,999,1,10,287,22,"scottsbluff,ne"
2020-01-02 00:00:00,1,-2,0.0,8.7,2,44,12:50 PM,12:05 AM,08:22 AM,05:35 PM,-4,-5,0,-5,42,15,76,0.0,999,0,10,290,21,"scottsbluff,ne"
2020-01-02 01:00:00,1,-2,0.0,8.7,2,44,12:50 PM,12:05 AM,08:22 AM,05:35 PM,-4,-5,-0,-5,39,14,77,0.0,1000,-0,10,290,19,"scottsbluff,ne"
2020-01-02 02:00:00,1,-2,0.0,8.7,2,44,12:50 PM,12:05 AM,08:22 AM,05:35 PM,-4,-5,-1,-5,36,13,78,0.0,1001,-1,10,290,17,"scottsbluff,ne"
2020-01-02 03:00:00,1,-2,0.0,8.7,2,44,12:50 PM,12:05 AM,08:22 AM,05:35 PM,-4,-5,-1,-5,32,12,79,0.0,1001,-1,10,290,15,"scottsbluff,ne"
2020-01-02 04:00:00,1,-2,0.0,8.7,2,44,12:50 PM,12:05 AM,08:22 AM,05:35 PM,-4,-6,-1,-6,32,20,80,0.0,1002,-1,10,288,15,"scottsbluff,ne"
2020-01-02 05:00:00,1,-2,0.0,8.7,2,44,12:50 PM,12:05 AM,08:22 AM,05:35 PM,-4,-6,-1,-6,31,28,81,0.0,1003,-1,10,285,15,"scottsbluff,ne"
2020-01-02 06:00:00,1,-2,0.0,8.7,2,44,12:50 PM,12:05 AM,08:22 AM,05:35 PM,-4,-7,-2,-7,31,36,83,0.0,1004,-2,10,283,15,"scottsbluff,ne"
2020-01-02 07:00:00,1,-2,0.0,8.7,2,44,12:50 PM,12:05 AM,08:22 AM,05:35 PM,-4,-7,-2,-7,32,39,82,0.0,1005,-2,10,283,17,"scottsbluff,ne"
2020-01-02 08:00:00,1,-2,0.0,8.7,2,44,12:50 PM,12:05 AM,08:22 AM,05:35 PM,-5,-7,-2,-7,33,42,82,0.0,1006,-2,10,284,18,"scottsbluff,ne"
2020-01-02 09:00:00,1,-2,0.0,8.7,2,44,12:50 PM,12:05 AM,08:22 AM,05:35 PM,-5,-8,-2,-8,35,46,81,0.0,1007,-2,10,284,20,"scottsbluff,ne"
2020-01-02 10:00:00,1,-2,0.0,8.7,2,44,12:50 PM,12:05 AM,08:22 AM,05:35 PM,-4,-7,-1,-7,34,43,80,0.0,1007,-1,10,288,21,"scottsbluff,ne"
2020-01-02 11:00:00,1,-2,0.0,8.7,2,44,12:50 PM,12:05 AM,08:22 AM,05:35 PM,-4,-6,-1,-6,34,40,79,0.0,1008,-1,10,292,22,"scottsbluff,ne"
2020-01-02 12:00:00,1,-2,0.0,8.7,2,44,12:50 PM,12:05 AM,08:22 AM,05:35 PM,-3,-6,0,-6,33,37,78,0.0,1008,0,10,296,23,"scottsbluff,ne"
