date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01 00:00:00,9,6,0.0,3.9,2,37,01:10 PM,No moonset,09:40 AM,05:31 PM,5,5,7,5,15,74,86,0.0,1029,7,10,94,9,"siouxcity,ia"
2020-01-01 01:00:00,9,6,0.0,3.9,2,37,01:10 PM,No moonset,09:40 AM,05:31 PM,5,5,7,5,12,67,87,0.0,1028,7,10,96,7,"siouxcity,ia"
2020-01-01 02:00:00,9,6,0.0,3.9,2,37,01:10 PM,No moonset,09:40 AM,05:31 PM,4,6,6,6,9,60,88,0.0,1028,6,10,97,5,"siouxcity,ia"
2020-01-01 03:00:00,9,6,0.0,3.9,2,37,01:10 PM,No moonset,09:40 AM,05:31 PM,4,6,6,6,5,53,90,0.0,1027,6,10,98,3,"siouxcity,ia"
2020-01-01 04:00:00,9,6,0.0,3.9,2,37,01:10 PM,No moonset,09:40 AM,05:31 PM,4,6,6,6,6,58,89,0.0,1027,6,10,112,3,"siouxcity,ia"
2020-01-01 05:00:00,9,6,0.0,3.9,2,37,01:10 PM,No moonset,09:40 AM,05:31 PM,4,6,6,6,7,64,88,0.0,1027,6,10,126,4,"siouxcity,ia"
2020-01-01 06:00:00,9,6,0.0,3.9,2,37,01:10 PM,No moonset,09:40 AM,05:31 PM,4,6,6,6,8,70,87,0.0,1027,6,10,140,5,"siouxcity,ia"
2020-01-01 07:00:00,9,6,0.0,3.9,2,37,01:10 PM,No moonset,09:40 AM,05:31 PM,4,5,6,5,10,76,89,0.0,1027,6,10,148,6,"siouxcity,ia"
2020-01-01 08:00:00,9,6,0.0,3.9,2,37,01:10 PM,No moonset,09:40 AM,05:31 PM,4,5,6,5,12,82,90,0.0,1026,6,10,156,6,"siouxcity,ia"
2020-01-01 09:00:00,9,6,0.0,3.9,2,37,01:10 PM,No moonset,09:40 AM,05:31 PM,4,4,6,4,14,89,92,0.0,1026,6,10,164,7,"siouxcity,ia"
