date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01 00:00:00,16,8,0.0,8.7,4,37,12:35 PM,No moonset,08:21 AM,05:56 PM,4,9,9,9,8,6,70,0.0,1021,9,10,113,4,"stockton,ca"
2020-01-01 01:00:00,16,8,0.0,8.7,4,37,12:35 PM,No moonset,08:21 AM,05:56 PM,4,9,9,9,6,8,71,0.0,1021,9,10,115,3,"stockton,ca"
2020-01-01 02:00:00,16,8,0.0,8.7,4,37,12:35 PM,No moonset,08:21 AM,05:56 PM,4,8,9,8,4,11,72,0.0,1021,9,10,116,2,"stockton,ca"
2020-01-01 03:00:00,16,8,0.0,8.7,4,37,12:35 PM,No moonset,08:21 AM,05:56 PM,4,8,8,8,3,14,72,0.0,1021,8,10,118,1,"stockton,ca"
2020-01-01 04:00:00,16,8,0.0,8.7,4,37,12:35 PM,No moonset,08:21 AM,05:56 PM,4,8,8,8,3,16,73,0.0,1021,8,10,108,2,"stockton,ca"
2020-01-01 05:00:00,16,8,0.0,8.7,4,37,12:35 PM,No moonset,08:21 AM,05:56 PM,4,8,8,8,3,18,74,0.0,1021,8,10,98,2,"stockton,ca"
2020-01-01 06:00:00,16,8,0.0,8.7,4,37,12:35 PM,No moonset,08:21 AM,05:56 PM,4,8,8,8,4,21,75,0.0,1021,8,10,88,2,"stockton,ca"
2020-01-01 07:00:00,16,8,0.0,8.7,4,37,12:35 PM,No moonset,08:21 AM,05:56 PM,4,8,8,8,4,21,73,0.0,1021,8,10,93,2,"stockton,ca"
2020-01-01 08:00:00,16,8,0.0,8.7,4,37,12:35 PM,No moonset,08:21 AM,05:56 PM,4,9,9,9,4,21,72,0.0,1021,9,10,97,2,"stockton,ca"
2020-01-01 09:00:00,16,8,0.0,8.7,4,37,12:35 PM,No moonset,08:21 AM,05:56 PM,4,9,9,9,4,22,70,0.0,1021,9,10,102,2,"stockton,ca"
2020-01-01 10:00:00,16,8,0.0,8.7,4,37,12:35 PM,No moonset,08:21 AM,05:56 PM,4,10,10,10,4,23,66,0.0,1021,10,10,122,3,"stockton,ca"
2020-01-01 11:00:00,16,8,0.0,8.7,4,37,12:35 PM,No moonset,08:21 AM,05:56 PM,4,12,12,12,5,25,61,0.0,1020,12,10,143,4,"stockton,ca"
2020-01-01 12:00:00,16,8,0.0,8.7,4,37,12:35 PM,No moonset,08:21 AM,05:56 PM,5,13,13,13,6,26,57,0.0,1020,13,10,163,5,"stockton,ca"
2020-01-01 13:00:00,16,8,0.0,8.7,4,37,12:35 PM,No moonset,08:21 AM,05:56 PM,6,14,14,14,9,29,57,0.0,1020,14,10,217,8,"stockton,ca"
2020-01-01 14:00:00,16,8,0.0,8.7,4,37,12:35 PM,No moonset,08:21 AM,05:56 PM,6,14,15,14,13,32,58,0.0,1019,15,10,272,10,"stockton,ca"
2020-01-01 15:00:00,16,8,0.0,8.7,4,37,12:35 PM,No moonset,08:21 AM,05:56 PM,7,15,15,15,16,35,58,0.0,1019,15,10,326,13,"stockton,ca"
2020-01-01 16:00:00,16,8,0.0,8.7,4,37,12:35 PM,No moonset,08:21 AM,05:56 PM,8,14,15,14,17,39,63,0.0,1019,15,10,326,12,"stockton,ca"
2020-01-01 17:00:00,16,8,0.0,8.7,4,37,12:35 PM,No moonset,08:21 AM,05:56 PM,8,14,14,14,17,44,68,0.0,1019,14,10,326,12,"stockton,ca"
2020-01-01 18:00:00,16,8,0.0,8.7,4,37,12:35 PM,No moonset,08:21 AM,05:56 PM,9,13,14,13,18,48,73,0.0,1019,14,10,326,12,"stockton,ca"
2020-01-01 19:00:00,16,8,0.0,8.7,4,37,12:35 PM,No moonset,08:21 AM,05:56 PM,9,12,13,12,18,40,78,0.0,1019,13,10,323,11,"stockton,ca"
2020-01-01 20:00:00,16,8,0.0,8.7,4,37,12:35 PM,No moonset,08:21 AM,05:56 PM,9,11,12,11,18,31,82,0.0,1019,12,10,321,10,"stockton,ca"
2020-01-01 21:00:00,16,8,0.0,8.7,4,37,12:35 PM,No moonset,08:21 AM,05:56 PM,9,10,11,10,18,23,86,0.0,1019,11,10,318,9,"stockton,ca"
2020-01-01 22:00:00,16,8,0.0,8.7,4,37,12:35 PM,No moonset,08:21 AM,05:56 PM,9,10,11,10,18,30,86,0.0,1019,11,10,319,10,"stockton,ca"
2020-01-01 23:00:00,16,8,0.0,8.7,4,37,12:35 PM,No moonset,08:21 AM,05:56 PM,9,10,11,10,18,38,87,0.0,1019,11,10,320,10,"stockton,ca"
2020-01-02 00:00:00,15,8,0.0,8.7,3,44,01:01 PM,12:20 AM,08:21 AM,05:57 PM,9,9,11,9,19,45,88,0.0,1019,11,10,320,10,"stockton,ca"
2020-01-02 01:00:00,15,8,0.0,8.7,3,44,01:01 PM,12:20 AM,08:21 AM,05:57 PM,9,9,11,9,19,52,88,0.0,1019,11,10,324,11,"stockton,ca"
2020-01-02 02:00:00,15,8,0.0,8.7,3,44,01:01 PM,12:20 AM,08:21 AM,05:57 PM,9,9,11,9,20,59,88,0.0,1019,11,10,327,11,"stockton,ca"
2020-01-02 03:00:00,15,8,0.0,8.7,3,44,01:01 PM,12:20 AM,08:21 AM,05:57 PM,9,9,11,9,21,66,89,0.0,1019,11,10,331,12,"stockton,ca"
2020-01-02 04:00:00,15,8,0.0,8.7,3,44,01:01 PM,12:20 AM,08:21 AM,05:57 PM,8,9,10,9,22,49,89,0.0,1019,10,10,324,13,"stockton,ca"
2020-01-02 05:00:00,15,8,0.0,8.7,3,44,01:01 PM,12:20 AM,08:21 AM,05:57 PM,8,8,10,8,24,33,88,0.0,1019,10,10,317,14,"stockton,ca"
2020-01-02 06:00:00,15,8,0.0,8.7,3,44,01:01 PM,12:20 AM,08:21 AM,05:57 PM,8,8,10,8,25,17,88,0.0,1019,10,10,310,15,"stockton,ca"
