date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01 00:00:00,1,-5,0.0,3.4,2,37,12:35 PM,No moonset,08:36 AM,05:40 PM,-5,-7,-1,-7,28,83,75,0.0,1003,-1,10,251,21,"syracuse,ny"
2020-01-01 01:00:00,1,-5,0.0,3.4,2,37,12:35 PM,No moonset,08:36 AM,05:40 PM,-5,-7,-1,-7,29,76,74,0.0,1003,-1,10,254,21,"syracuse,ny"
2020-01-01 02:00:00,1,-5,0.0,3.4,2,37,12:35 PM,No moonset,08:36 AM,05:40 PM,-6,-8,-2,-8,30,69,73,0.0,1003,-2,10,258,22,"syracuse,ny"
2020-01-01 03:00:00,1,-5,0.0,3.4,2,37,12:35 PM,No moonset,08:36 AM,05:40 PM,-6,-8,-2,-8,32,63,72,0.0,1003,-2,10,261,23,"syracuse,ny"
2020-01-01 04:00:00,1,-5,0.0,3.4,2,37,12:35 PM,No moonset,08:36 AM,05:40 PM,-6,-8,-2,-8,32,71,72,0.0,1003,-2,10,261,23,"syracuse,ny"
2020-01-01 05:00:00,1,-5,0.0,3.4,2,37,12:35 PM,No moonset,08:36 AM,05:40 PM,-7,-8,-2,-8,32,78,72,0.0,1003,-2,10,261,23,"syracuse,ny"
2020-01-01 06:00:00,1,-5,0.0,3.4,2,37,12:35 PM,No moonset,08:36 AM,05:40 PM,-7,-9,-2,-9,32,86,72,0.0,1003,-2,10,261,23,"syracuse,ny"
2020-01-01 07:00:00,1,-5,0.0,3.4,2,37,12:35 PM,No moonset,08:36 AM,05:40 PM,-6,-8,-2,-8,31,85,72,0.0,1004,-2,10,262,23,"syracuse,ny"
2020-01-01 08:00:00,1,-5,0.0,3.4,2,37,12:35 PM,No moonset,08:36 AM,05:40 PM,-6,-8,-2,-8,30,85,72,0.0,1004,-2,10,263,23,"syracuse,ny"
2020-01-01 09:00:00,1,-5,0.0,3.4,2,37,12:35 PM,No moonset,08:36 AM,05:40 PM,-6,-8,-2,-8,29,84,73,0.0,1004,-2,10,263,23,"syracuse,ny"
2020-01-01 10:00:00,1,-5,0.0,3.4,2,37,12:35 PM,No moonset,08:36 AM,05:40 PM,-6,-7,-1,-7,28,88,72,0.0,1005,-1,10,265,23,"syracuse,ny"
2020-01-01 11:00:00,1,-5,0.0,3.4,2,37,12:35 PM,No moonset,08:36 AM,05:40 PM,-5,-7,-1,-7,28,92,71,0.0,1005,-1,10,267,23,"syracuse,ny"
2020-01-01 12:00:00,1,-5,0.0,3.4,2,37,12:35 PM,No moonset,08:36 AM,05:40 PM,-5,-6,-0,-6,27,96,70,0.0,1005,-0,10,269,23,"syracuse,ny"
2020-01-01 13:00:00,1,-5,0.0,3.4,2,37,12:35 PM,No moonset,08:36 AM,05:40 PM,-5,-6,-0,-6,27,97,69,0.0,1005,-0,10,271,23,"syracuse,ny"
2020-01-01 14:00:00,1,-5,0.0,3.4,2,37,12:35 PM,No moonset,08:36 AM,05:40 PM,-5,-5,0,-5,27,99,68,0.0,1005,0,10,272,23,"syracuse,ny"
2020-01-01 15:00:00,1,-5,0.0,3.4,2,37,12:35 PM,No moonset,08:36 AM,05:40 PM,-5,-5,1,-5,27,100,67,0.0,1006,1,10,273,23,"syracuse,ny"
2020-01-01 16:00:00,1,-5,0.0,3.4,2,37,12:35 PM,No moonset,08:36 AM,05:40 PM,-5,-5,0,-5,27,98,68,0.0,1006,0,10,273,22,"syracuse,ny"
2020-01-01 17:00:00,1,-5,0.0,3.4,2,37,12:35 PM,No moonset,08:36 AM,05:40 PM,-5,-6,-0,-6,27,96,69,0.0,1007,-0,10,272,22,"syracuse,ny"
2020-01-01 18:00:00,1,-5,0.0,3.4,2,37,12:35 PM,No moonset,08:36 AM,05:40 PM,-5,-6,-1,-6,26,94,71,0.0,1007,-1,10,271,21,"syracuse,ny"
2020-01-01 19:00:00,1,-5,0.0,3.4,2,37,12:35 PM,No moonset,08:36 AM,05:40 PM,-5,-6,-1,-6,25,85,71,0.0,1008,-1,10,268,20,"syracuse,ny"
2020-01-01 20:00:00,1,-5,0.0,3.4,2,37,12:35 PM,No moonset,08:36 AM,05:40 PM,-5,-6,-1,-6,25,76,72,0.0,1009,-2,10,266,19,"syracuse,ny"
2020-01-01 21:00:00,1,-5,0.0,3.4,2,37,12:35 PM,No moonset,08:36 AM,05:40 PM,-5,-6,-1,-6,24,67,73,0.0,1009,-3,10,263,18,"syracuse,ny"
2020-01-01 22:00:00,1,-5,0.0,3.4,2,37,12:35 PM,No moonset,08:36 AM,05:40 PM,-5,-6,-1,-6,23,58,72,0.0,1010,-3,10,255,17,"syracuse,ny"
2020-01-01 23:00:00,1,-5,0.0,3.4,2,37,12:35 PM,No moonset,08:36 AM,05:40 PM,-5,-6,-1,-6,21,49,72,0.0,1010,-4,10,247,16,"syracuse,ny"
2020-01-02 00:00:00,7,-1,0.0,8.7,2,44,12:59 PM,12:09 AM,08:36 AM,05:41 PM,-5,-5,-1,-5,20,40,72,0.0,1010,-4,10,239,15,"syracuse,ny"
2020-01-02 01:00:00,7,-1,0.0,8.7,2,44,12:59 PM,12:09 AM,08:36 AM,05:41 PM,-5,-5,-1,-5,20,46,72,0.0,1010,-3,10,233,14,"syracuse,ny"
2020-01-02 02:00:00,7,-1,0.0,8.7,2,44,12:59 PM,12:09 AM,08:36 AM,05:41 PM,-5,-5,-1,-5,19,52,71,0.0,1010,-2,10,227,13,"syracuse,ny"
2020-01-02 03:00:00,7,-1,0.0,8.7,2,44,12:59 PM,12:09 AM,08:36 AM,05:41 PM,-5,-5,-1,-5,19,58,71,0.0,1010,-1,10,220,12,"syracuse,ny"
2020-01-02 04:00:00,7,-1,0.0,8.7,2,44,12:59 PM,12:09 AM,08:36 AM,05:41 PM,-5,-4,-1,-4,20,63,71,0.0,1010,-1,10,217,12,"syracuse,ny"
2020-01-02 05:00:00,7,-1,0.0,8.7,2,44,12:59 PM,12:09 AM,08:36 AM,05:41 PM,-5,-4,-0,-4,21,67,71,0.0,1010,-0,10,213,12,"syracuse,ny"
2020-01-02 06:00:00,7,-1,0.0,8.7,2,44,12:59 PM,12:09 AM,08:36 AM,05:41 PM,-5,-4,-0,-4,21,71,71,0.0,1010,-0,10,210,12,"syracuse,ny"
2020-01-02 07:00:00,7,-1,0.0,8.7,2,44,12:59 PM,12:09 AM,08:36 AM,05:41 PM,-4,-3,0,-3,22,62,71,0.0,1010,0,10,208,12,"syracuse,ny"
2020-01-02 08:00:00,7,-1,0.0,8.7,2,44,12:59 PM,12:09 AM,08:36 AM,05:41 PM,-4,-3,1,-3,23,53,70,0.0,1011,1,10,207,13,"syracuse,ny"
2020-01-02 09:00:00,7,-1,0.0,8.7,2,44,12:59 PM,12:09 AM,08:36 AM,05:41 PM,-4,-2,1,-2,23,44,70,0.0,1011,1,10,205,14,"syracuse,ny"
2020-01-02 10:00:00,7,-1,0.0,8.7,2,44,12:59 PM,12:09 AM,08:36 AM,05:41 PM,-3,-1,3,-1,24,35,66,0.0,1010,3,10,207,16,"syracuse,ny"
2020-01-02 11:00:00,7,-1,0.0,8.7,2,44,12:59 PM,12:09 AM,08:36 AM,05:41 PM,-3,0,4,0,26,27,61,0.0,1010,4,10,209,18,"syracuse,ny"
2020-01-02 12:00:00,7,-1,0.0,8.7,2,44,12:59 PM,12:09 AM,08:36 AM,05:41 PM,-3,1,5,1,27,18,56,0.0,1010,5,10,212,20,"syracuse,ny"
2020-01-02 13:00:00,7,-1,0.0,8.7,2,44,12:59 PM,12:09 AM,08:36 AM,05:41 PM,-3,2,6,2,28,15,55,0.0,1009,6,10,211,20,"syracuse,ny"
2020-01-02 14:00:00,7,-1,0.0,8.7,2,44,12:59 PM,12:09 AM,08:36 AM,05:41 PM,-3,2,6,2,29,12,54,0.0,1009,6,10,210,20,"syracuse,ny"
2020-01-02 15:00:00,7,-1,0.0,8.7,2,44,12:59 PM,12:09 AM,08:36 AM,05:41 PM,-3,3,7,3,30,9,52,0.0,1008,7,10,209,20,"syracuse,ny"
2020-01-02 16:00:00,7,-1,0.0,8.7,2,44,12:59 PM,12:09 AM,08:36 AM,05:41 PM,-3,2,6,2,30,18,55,0.0,1008,6,10,206,19,"syracuse,ny"
2020-01-02 17:00:00,7,-1,0.0,8.7,2,44,12:59 PM,12:09 AM,08:36 AM,05:41 PM,-3,2,5,2,31,27,57,0.0,1008,5,10,204,18,"syracuse,ny"
2020-01-02 18:00:00,7,-1,0.0,8.7,2,44,12:59 PM,12:09 AM,08:36 AM,05:41 PM,-3,1,5,1,32,36,59,0.0,1008,5,10,202,16,"syracuse,ny"
2020-01-02 19:00:00,7,-1,0.0,8.7,2,44,12:59 PM,12:09 AM,08:36 AM,05:41 PM,-3,1,4,1,33,43,61,0.0,1008,4,10,205,17,"syracuse,ny"
2020-01-02 20:00:00,7,-1,0.0,8.7,2,44,12:59 PM,12:09 AM,08:36 AM,05:41 PM,-2,0,4,0,35,50,63,0.0,1008,3,10,207,17,"syracuse,ny"
2020-01-02 21:00:00,7,-1,0.0,8.7,2,44,12:59 PM,12:09 AM,08:36 AM,05:41 PM,-2,-0,3,-0,36,57,65,0.0,1008,2,10,210,18,"syracuse,ny"
2020-01-02 22:00:00,7,-1,0.0,8.7,2,44,12:59 PM,12:09 AM,08:36 AM,05:41 PM,-2,-0,3,-0,36,49,67,0.0,1008,2,10,210,18,"syracuse,ny"
2020-01-02 23:00:00,7,-1,0.0,8.7,2,44,12:59 PM,12:09 AM,08:36 AM,05:41 PM,-2,-0,2,-0,35,40,69,0.0,1008,1,10,210,17,"syracuse,ny"
2020-01-03 00:00:00,8,3,0.0,3.4,3,51,01:21 PM,01:09 AM,08:36 AM,05:42 PM,-1,-0,2,-0,35,32,71,0.0,1008,1,10,210,17,"syracuse,ny"
2020-01-03 01:00:00,8,3,0.0,3.4,3,51,01:21 PM,01:09 AM,08:36 AM,05:42 PM,-1,-0,2,-0,33,42,73,0.0,1008,2,10,208,16,"syracuse,ny"
2020-01-03 02:00:00,8,3,0.0,3.4,3,51,01:21 PM,01:09 AM,08:36 AM,05:42 PM,-1,-0,3,-0,31,51,76,0.0,1008,2,10,206,15,"syracuse,ny"
2020-01-03 03:00:00,8,3,0.0,3.4,3,51,01:21 PM,01:09 AM,08:36 AM,05:42 PM,-0,-0,3,-0,29,61,79,0.0,1008,3,10,205,14,"syracuse,ny"
2020-01-03 04:00:00,8,3,0.0,3.4,3,51,01:21 PM,01:09 AM,08:36 AM,05:42 PM,0,-0,3,-0,28,73,81,0.0,1008,3,10,204,14,"syracuse,ny"
2020-01-03 05:00:00,8,3,0.0,3.4,3,51,01:21 PM,01:09 AM,08:36 AM,05:42 PM,1,0,3,0,27,86,83,0.0,1008,3,10,204,13,"syracuse,ny"
2020-01-03 06:00:00,8,3,0.0,3.4,3,51,01:21 PM,01:09 AM,08:36 AM,05:42 PM,1,0,3,0,26,98,85,0.0,1008,3,10,203,13,"syracuse,ny"
2020-01-03 07:00:00,8,3,0.0,3.4,3,51,01:21 PM,01:09 AM,08:36 AM,05:42 PM,2,1,4,1,24,94,86,0.0,1008,4,10,204,12,"syracuse,ny"
2020-01-03 08:00:00,8,3,0.0,3.4,3,51,01:21 PM,01:09 AM,08:36 AM,05:42 PM,2,1,4,1,21,91,87,0.0,1008,4,10,204,11,"syracuse,ny"
2020-01-03 09:00:00,8,3,0.0,3.4,3,51,01:21 PM,01:09 AM,08:36 AM,05:42 PM,2,2,4,2,19,87,88,0.0,1008,4,10,204,10,"syracuse,ny"
2020-01-03 10:00:00,8,3,0.0,3.4,3,51,01:21 PM,01:09 AM,08:36 AM,05:42 PM,3,3,5,3,17,83,87,0.0,1008,5,10,211,9,"syracuse,ny"
2020-01-03 11:00:00,8,3,0.0,3.4,3,51,01:21 PM,01:09 AM,08:36 AM,05:42 PM,4,4,6,4,15,80,86,0.0,1008,6,10,217,9,"syracuse,ny"
2020-01-03 12:00:00,8,3,0.0,3.4,3,51,01:21 PM,01:09 AM,08:36 AM,05:42 PM,4,5,7,5,13,76,84,0.0,1008,7,10,224,8,"syracuse,ny"
2020-01-03 13:00:00,8,3,0.0,3.4,3,51,01:21 PM,01:09 AM,08:36 AM,05:42 PM,4,5,7,5,12,81,84,0.0,1008,7,10,234,8,"syracuse,ny"
2020-01-03 14:00:00,8,3,0.0,3.4,3,51,01:21 PM,01:09 AM,08:36 AM,05:42 PM,5,6,7,6,11,86,83,0.0,1008,7,10,244,7,"syracuse,ny"
2020-01-03 15:00:00,8,3,0.0,3.4,3,51,01:21 PM,01:09 AM,08:36 AM,05:42 PM,5,7,8,7,10,91,83,0.0,1008,8,10,255,7,"syracuse,ny"
