date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01 00:00:00,12,4,0.0,8.3,2,37,12:41 PM,No moonset,08:20 AM,06:19 PM,-4,4,5,4,10,99,53,0.0,1021,5,10,248,5,"texarkana,ar"
2020-01-01 01:00:00,12,4,0.0,8.3,2,37,12:41 PM,No moonset,08:20 AM,06:19 PM,-4,4,5,4,9,99,53,0.0,1020,5,10,241,4,"texarkana,ar"
2020-01-01 02:00:00,12,4,0.0,8.3,2,37,12:41 PM,No moonset,08:20 AM,06:19 PM,-4,4,5,4,9,99,53,0.0,1020,5,10,234,4,"texarkana,ar"
2020-01-01 03:00:00,12,4,0.0,8.3,2,37,12:41 PM,No moonset,08:20 AM,06:19 PM,-4,4,5,4,9,100,53,0.0,1020,5,10,227,4,"texarkana,ar"
2020-01-01 04:00:00,12,4,0.0,8.3,2,37,12:41 PM,No moonset,08:20 AM,06:19 PM,-4,4,5,4,9,97,53,0.0,1019,5,10,216,4,"texarkana,ar"
2020-01-01 05:00:00,12,4,0.0,8.3,2,37,12:41 PM,No moonset,08:20 AM,06:19 PM,-4,4,4,4,10,94,54,0.0,1019,4,10,205,5,"texarkana,ar"
2020-01-01 06:00:00,12,4,0.0,8.3,2,37,12:41 PM,No moonset,08:20 AM,06:19 PM,-4,3,4,3,11,91,54,0.0,1019,4,10,194,5,"texarkana,ar"
2020-01-01 07:00:00,12,4,0.0,8.3,2,37,12:41 PM,No moonset,08:20 AM,06:19 PM,-4,4,5,4,12,92,54,0.0,1019,5,10,190,6,"texarkana,ar"
2020-01-01 08:00:00,12,4,0.0,8.3,2,37,12:41 PM,No moonset,08:20 AM,06:19 PM,-3,4,5,4,12,94,54,0.0,1019,5,10,186,7,"texarkana,ar"
2020-01-01 09:00:00,12,4,0.0,8.3,2,37,12:41 PM,No moonset,08:20 AM,06:19 PM,-3,4,6,4,12,95,53,0.0,1019,6,10,182,7,"texarkana,ar"
2020-01-01 10:00:00,12,4,0.0,8.3,2,37,12:41 PM,No moonset,08:20 AM,06:19 PM,-2,5,7,5,12,81,51,0.0,1018,7,10,180,8,"texarkana,ar"
2020-01-01 11:00:00,12,4,0.0,8.3,2,37,12:41 PM,No moonset,08:20 AM,06:19 PM,-2,7,8,7,12,66,49,0.0,1018,8,10,178,9,"texarkana,ar"
2020-01-01 12:00:00,12,4,0.0,8.3,2,37,12:41 PM,No moonset,08:20 AM,06:19 PM,-1,8,10,8,12,52,47,0.0,1017,10,10,175,9,"texarkana,ar"
2020-01-01 13:00:00,12,4,0.0,8.3,2,37,12:41 PM,No moonset,08:20 AM,06:19 PM,-1,9,10,9,14,51,47,0.0,1016,10,10,176,10,"texarkana,ar"
2020-01-01 14:00:00,12,4,0.0,8.3,2,37,12:41 PM,No moonset,08:20 AM,06:19 PM,0,9,11,9,15,50,48,0.0,1015,11,10,177,11,"texarkana,ar"
2020-01-01 15:00:00,12,4,0.0,8.3,2,37,12:41 PM,No moonset,08:20 AM,06:19 PM,1,10,11,10,17,49,48,0.0,1014,11,10,178,12,"texarkana,ar"
2020-01-01 16:00:00,12,4,0.0,8.3,2,37,12:41 PM,No moonset,08:20 AM,06:19 PM,1,9,11,9,18,60,50,0.0,1013,11,10,177,13,"texarkana,ar"
2020-01-01 17:00:00,12,4,0.0,8.3,2,37,12:41 PM,No moonset,08:20 AM,06:19 PM,1,9,11,9,20,72,53,0.0,1012,11,10,176,13,"texarkana,ar"
2020-01-01 18:00:00,12,4,0.0,8.3,2,37,12:41 PM,No moonset,08:20 AM,06:19 PM,2,8,10,8,21,83,56,0.0,1012,10,10,175,14,"texarkana,ar"
2020-01-01 19:00:00,12,4,0.0,8.3,2,37,12:41 PM,No moonset,08:20 AM,06:19 PM,2,7,10,7,22,88,58,0.0,1011,9,10,176,14,"texarkana,ar"
2020-01-01 20:00:00,12,4,0.0,8.3,2,37,12:41 PM,No moonset,08:20 AM,06:19 PM,2,7,9,7,23,92,60,0.0,1011,8,10,177,15,"texarkana,ar"
2020-01-01 21:00:00,12,4,0.0,8.3,2,37,12:41 PM,No moonset,08:20 AM,06:19 PM,3,6,9,6,24,97,61,0.0,1010,7,10,178,15,"texarkana,ar"
2020-01-01 22:00:00,12,4,0.0,8.3,2,37,12:41 PM,No moonset,08:20 AM,06:19 PM,4,6,9,6,24,93,65,0.0,1010,7,10,178,15,"texarkana,ar"
2020-01-01 23:00:00,12,4,0.0,8.3,2,37,12:41 PM,No moonset,08:20 AM,06:19 PM,4,7,9,7,24,89,68,0.0,1010,8,10,178,15,"texarkana,ar"
2020-01-02 00:00:00,14,10,0.0,5.0,3,44,01:09 PM,12:29 AM,08:20 AM,06:20 PM,5,7,10,7,24,84,71,0.0,1009,9,10,178,15,"texarkana,ar"
2020-01-02 01:00:00,14,10,0.0,5.0,3,44,01:09 PM,12:29 AM,08:20 AM,06:20 PM,6,8,10,8,25,87,77,0.0,1009,9,10,180,15,"texarkana,ar"
2020-01-02 02:00:00,14,10,0.0,5.0,3,44,01:09 PM,12:29 AM,08:20 AM,06:20 PM,8,9,11,9,26,90,83,0.6,1009,10,10,182,16,"texarkana,ar"
2020-01-02 03:00:00,14,10,0.0,5.0,3,44,01:09 PM,12:29 AM,08:20 AM,06:20 PM,9,9,11,9,27,93,89,0.8,1008,11,9,184,16,"texarkana,ar"
2020-01-02 04:00:00,14,10,0.0,5.0,3,44,01:09 PM,12:29 AM,08:20 AM,06:20 PM,10,10,12,10,26,95,91,0.4,1007,12,9,184,16,"texarkana,ar"
2020-01-02 05:00:00,14,10,0.0,5.0,3,44,01:09 PM,12:29 AM,08:20 AM,06:20 PM,11,10,12,10,25,98,94,1.5,1007,12,8,183,15,"texarkana,ar"
2020-01-02 06:00:00,14,10,0.0,5.0,3,44,01:09 PM,12:29 AM,08:20 AM,06:20 PM,12,11,12,11,24,100,97,2.0,1006,12,8,182,15,"texarkana,ar"
2020-01-02 07:00:00,14,10,0.0,5.0,3,44,01:09 PM,12:29 AM,08:20 AM,06:20 PM,12,11,12,11,23,100,97,1.0,1006,12,8,177,14,"texarkana,ar"
2020-01-02 08:00:00,14,10,0.0,5.0,3,44,01:09 PM,12:29 AM,08:20 AM,06:20 PM,12,11,12,11,21,100,97,1.1,1006,12,8,172,13,"texarkana,ar"
2020-01-02 09:00:00,14,10,0.0,5.0,3,44,01:09 PM,12:29 AM,08:20 AM,06:20 PM,12,11,12,11,20,100,97,1.5,1005,12,8,167,13,"texarkana,ar"
2020-01-02 10:00:00,14,10,0.0,5.0,3,44,01:09 PM,12:29 AM,08:20 AM,06:20 PM,12,11,13,11,19,100,97,0.8,1005,13,8,165,12,"texarkana,ar"
2020-01-02 11:00:00,14,10,0.0,5.0,3,44,01:09 PM,12:29 AM,08:20 AM,06:20 PM,12,12,13,12,18,100,97,0.9,1005,13,8,164,12,"texarkana,ar"
2020-01-02 12:00:00,14,10,0.0,5.0,3,44,01:09 PM,12:29 AM,08:20 AM,06:20 PM,12,12,13,12,17,100,97,1.2,1005,13,8,163,11,"texarkana,ar"
2020-01-02 13:00:00,14,10,0.0,5.0,3,44,01:09 PM,12:29 AM,08:20 AM,06:20 PM,13,12,13,12,18,100,97,0.6,1004,13,7,168,11,"texarkana,ar"
2020-01-02 14:00:00,14,10,0.0,5.0,3,44,01:09 PM,12:29 AM,08:20 AM,06:20 PM,13,12,13,12,18,100,97,1.3,1004,13,7,173,12,"texarkana,ar"
2020-01-02 15:00:00,14,10,0.0,5.0,3,44,01:09 PM,12:29 AM,08:20 AM,06:20 PM,13,13,14,13,18,100,97,1.7,1003,14,7,178,12,"texarkana,ar"
2020-01-02 16:00:00,14,10,0.0,5.0,3,44,01:09 PM,12:29 AM,08:20 AM,06:20 PM,13,13,14,13,18,100,97,0.9,1003,14,7,182,12,"texarkana,ar"
2020-01-02 17:00:00,14,10,0.0,5.0,3,44,01:09 PM,12:29 AM,08:20 AM,06:20 PM,13,13,14,13,18,100,97,2.3,1003,14,6,186,11,"texarkana,ar"
2020-01-02 18:00:00,14,10,0.0,5.0,3,44,01:09 PM,12:29 AM,08:20 AM,06:20 PM,13,13,14,13,18,100,97,3.0,1003,14,6,190,11,"texarkana,ar"
2020-01-02 19:00:00,14,10,0.0,5.0,3,44,01:09 PM,12:29 AM,08:20 AM,06:20 PM,13,13,14,13,19,93,96,1.5,1003,13,6,188,12,"texarkana,ar"
2020-01-02 20:00:00,14,10,0.0,5.0,3,44,01:09 PM,12:29 AM,08:20 AM,06:20 PM,13,12,14,12,21,85,95,1.4,1004,13,7,185,13,"texarkana,ar"
2020-01-02 21:00:00,14,10,0.0,5.0,3,44,01:09 PM,12:29 AM,08:20 AM,06:20 PM,13,12,15,12,23,78,95,1.9,1004,12,8,183,14,"texarkana,ar"
2020-01-02 22:00:00,14,10,0.0,5.0,3,44,01:09 PM,12:29 AM,08:20 AM,06:20 PM,13,12,15,12,22,79,95,0.9,1005,12,8,182,13,"texarkana,ar"
2020-01-02 23:00:00,14,10,0.0,5.0,3,44,01:09 PM,12:29 AM,08:20 AM,06:20 PM,13,12,14,12,21,80,96,0.9,1005,12,8,182,12,"texarkana,ar"
2020-01-03 00:00:00,17,12,0.0,6.7,3,51,01:37 PM,01:23 AM,08:20 AM,06:20 PM,13,12,14,12,19,80,96,1.2,1005,13,8,182,11,"texarkana,ar"
2020-01-03 01:00:00,17,12,0.0,6.7,3,51,01:37 PM,01:23 AM,08:20 AM,06:20 PM,13,12,14,12,18,86,97,0.6,1006,13,6,182,10,"texarkana,ar"
2020-01-03 02:00:00,17,12,0.0,6.7,3,51,01:37 PM,01:23 AM,08:20 AM,06:20 PM,12,12,13,12,16,91,97,0.3,1006,13,4,182,9,"texarkana,ar"
2020-01-03 03:00:00,17,12,0.0,6.7,3,51,01:37 PM,01:23 AM,08:20 AM,06:20 PM,12,12,13,12,14,96,98,0.4,1006,13,2,182,8,"texarkana,ar"
2020-01-03 04:00:00,17,12,0.0,6.7,3,51,01:37 PM,01:23 AM,08:20 AM,06:20 PM,12,12,12,12,13,97,98,0.2,1007,12,2,182,7,"texarkana,ar"
2020-01-03 05:00:00,17,12,0.0,6.7,3,51,01:37 PM,01:23 AM,08:20 AM,06:20 PM,12,12,12,12,12,99,98,0.0,1007,12,1,182,7,"texarkana,ar"
2020-01-03 06:00:00,17,12,0.0,6.7,3,51,01:37 PM,01:23 AM,08:20 AM,06:20 PM,12,12,12,12,10,100,98,0.0,1007,12,0,182,6,"texarkana,ar"
2020-01-03 07:00:00,17,12,0.0,6.7,3,51,01:37 PM,01:23 AM,08:20 AM,06:20 PM,12,12,13,12,10,97,96,0.0,1008,13,2,195,6,"texarkana,ar"
2020-01-03 08:00:00,17,12,0.0,6.7,3,51,01:37 PM,01:23 AM,08:20 AM,06:20 PM,12,12,13,12,10,95,94,0.0,1008,13,4,207,7,"texarkana,ar"
2020-01-03 09:00:00,17,12,0.0,6.7,3,51,01:37 PM,01:23 AM,08:20 AM,06:20 PM,12,13,13,13,10,92,92,0.0,1009,13,7,220,7,"texarkana,ar"
2020-01-03 10:00:00,17,12,0.0,6.7,3,51,01:37 PM,01:23 AM,08:20 AM,06:20 PM,11,13,14,13,10,76,87,0.0,1010,14,8,230,7,"texarkana,ar"
2020-01-03 11:00:00,17,12,0.0,6.7,3,51,01:37 PM,01:23 AM,08:20 AM,06:20 PM,11,14,15,14,10,59,81,0.0,1010,15,9,240,7,"texarkana,ar"
2020-01-03 12:00:00,17,12,0.0,6.7,3,51,01:37 PM,01:23 AM,08:20 AM,06:20 PM,11,15,15,15,9,43,76,0.0,1011,15,10,251,8,"texarkana,ar"
2020-01-03 13:00:00,17,12,0.0,6.7,3,51,01:37 PM,01:23 AM,08:20 AM,06:20 PM,11,16,16,16,11,50,73,0.0,1011,16,10,258,9,"texarkana,ar"
2020-01-03 14:00:00,17,12,0.0,6.7,3,51,01:37 PM,01:23 AM,08:20 AM,06:20 PM,11,16,16,16,13,58,70,0.0,1011,16,10,266,10,"texarkana,ar"
2020-01-03 15:00:00,17,12,0.0,6.7,3,51,01:37 PM,01:23 AM,08:20 AM,06:20 PM,11,17,17,17,14,66,67,0.0,1011,17,9,273,12,"texarkana,ar"
2020-01-03 16:00:00,17,12,0.0,6.7,3,51,01:37 PM,01:23 AM,08:20 AM,06:20 PM,10,16,17,16,17,71,70,0.0,1011,16,9,283,12,"texarkana,ar"
2020-01-03 17:00:00,17,12,0.0,6.7,3,51,01:37 PM,01:23 AM,08:20 AM,06:20 PM,10,16,17,16,19,77,74,0.2,1012,16,9,292,13,"texarkana,ar"
2020-01-03 18:00:00,17,12,0.0,6.7,3,51,01:37 PM,01:23 AM,08:20 AM,06:20 PM,9,16,17,16,21,82,78,0.2,1013,16,9,301,14,"texarkana,ar"
2020-01-03 19:00:00,17,12,0.0,6.7,3,51,01:37 PM,01:23 AM,08:20 AM,06:20 PM,8,15,17,15,22,64,77,0.1,1014,15,9,308,14,"texarkana,ar"
2020-01-03 20:00:00,17,12,0.0,6.7,3,51,01:37 PM,01:23 AM,08:20 AM,06:20 PM,7,14,17,14,23,46,76,0.1,1015,14,9,315,14,"texarkana,ar"
2020-01-03 21:00:00,17,12,0.0,6.7,3,51,01:37 PM,01:23 AM,08:20 AM,06:20 PM,6,14,16,14,24,28,75,0.1,1017,14,10,323,14,"texarkana,ar"
2020-01-03 22:00:00,17,12,0.0,6.7,3,51,01:37 PM,01:23 AM,08:20 AM,06:20 PM,5,12,14,12,23,19,74,0.0,1018,12,10,323,13,"texarkana,ar"
2020-01-03 23:00:00,17,12,0.0,6.7,3,51,01:37 PM,01:23 AM,08:20 AM,06:20 PM,4,10,12,10,22,10,72,0.0,1019,11,10,323,12,"texarkana,ar"
2020-01-04 00:00:00,13,5,0.0,10.0,3,59,02:05 PM,02:17 AM,08:20 AM,06:21 PM,3,8,10,8,20,1,71,0.0,1020,9,10,323,11,"texarkana,ar"
2020-01-04 01:00:00,13,5,0.0,10.0,3,59,02:05 PM,02:17 AM,08:20 AM,06:21 PM,3,7,9,7,19,1,73,0.0,1021,8,10,319,10,"texarkana,ar"
2020-01-04 02:00:00,13,5,0.0,10.0,3,59,02:05 PM,02:17 AM,08:20 AM,06:21 PM,3,6,8,6,18,0,75,0.0,1021,8,10,314,9,"texarkana,ar"
2020-01-04 03:00:00,13,5,0.0,10.0,3,59,02:05 PM,02:17 AM,08:20 AM,06:21 PM,3,5,7,5,16,0,77,0.0,1022,7,10,310,8,"texarkana,ar"
2020-01-04 04:00:00,13,5,0.0,10.0,3,59,02:05 PM,02:17 AM,08:20 AM,06:21 PM,3,5,6,5,16,1,79,0.0,1022,6,10,310,8,"texarkana,ar"
2020-01-04 05:00:00,13,5,0.0,10.0,3,59,02:05 PM,02:17 AM,08:20 AM,06:21 PM,3,4,6,4,16,2,81,0.0,1023,6,10,311,8,"texarkana,ar"
2020-01-04 06:00:00,13,5,0.0,10.0,3,59,02:05 PM,02:17 AM,08:20 AM,06:21 PM,3,4,6,4,16,3,83,0.0,1023,6,10,311,8,"texarkana,ar"
2020-01-04 07:00:00,13,5,0.0,10.0,3,59,02:05 PM,02:17 AM,08:20 AM,06:21 PM,3,4,6,4,17,3,79,0.0,1024,6,10,322,9,"texarkana,ar"
2020-01-04 08:00:00,13,5,0.0,10.0,3,59,02:05 PM,02:17 AM,08:20 AM,06:21 PM,2,4,6,4,17,4,75,0.0,1025,6,10,332,10,"texarkana,ar"
2020-01-04 09:00:00,13,5,0.0,10.0,3,59,02:05 PM,02:17 AM,08:20 AM,06:21 PM,1,4,7,4,18,5,70,0.0,1026,7,10,342,12,"texarkana,ar"
2020-01-04 10:00:00,13,5,0.0,10.0,3,59,02:05 PM,02:17 AM,08:20 AM,06:21 PM,1,6,8,6,17,4,64,0.0,1027,8,10,338,12,"texarkana,ar"
2020-01-04 11:00:00,13,5,0.0,10.0,3,59,02:05 PM,02:17 AM,08:20 AM,06:21 PM,1,7,9,7,15,3,58,0.0,1027,9,10,334,12,"texarkana,ar"
2020-01-04 12:00:00,13,5,0.0,10.0,3,59,02:05 PM,02:17 AM,08:20 AM,06:21 PM,1,9,10,9,14,2,52,0.0,1028,10,10,331,12,"texarkana,ar"
2020-01-04 13:00:00,13,5,0.0,10.0,3,59,02:05 PM,02:17 AM,08:20 AM,06:21 PM,1,10,11,10,14,1,49,0.0,1028,11,10,324,11,"texarkana,ar"
2020-01-04 14:00:00,13,5,0.0,10.0,3,59,02:05 PM,02:17 AM,08:20 AM,06:21 PM,0,10,12,10,13,1,47,0.0,1027,12,10,318,11,"texarkana,ar"
2020-01-04 15:00:00,13,5,0.0,10.0,3,59,02:05 PM,02:17 AM,08:20 AM,06:21 PM,0,11,12,11,12,0,44,0.0,1027,12,10,312,10,"texarkana,ar"
2020-01-04 16:00:00,13,5,0.0,10.0,3,59,02:05 PM,02:17 AM,08:20 AM,06:21 PM,1,11,11,11,11,0,47,0.0,1027,11,10,313,9,"texarkana,ar"
2020-01-04 17:00:00,13,5,0.0,10.0,3,59,02:05 PM,02:17 AM,08:20 AM,06:21 PM,1,10,11,10,11,0,50,0.0,1027,11,10,313,7,"texarkana,ar"
2020-01-04 18:00:00,13,5,0.0,10.0,3,59,02:05 PM,02:17 AM,08:20 AM,06:21 PM,1,10,10,10,10,0,54,0.0,1027,10,10,313,6,"texarkana,ar"
2020-01-04 19:00:00,13,5,0.0,10.0,3,59,02:05 PM,02:17 AM,08:20 AM,06:21 PM,1,9,9,9,8,0,56,0.0,1027,9,10,276,5,"texarkana,ar"
2020-01-04 20:00:00,13,5,0.0,10.0,3,59,02:05 PM,02:17 AM,08:20 AM,06:21 PM,1,9,9,9,6,0,59,0.0,1027,9,10,238,3,"texarkana,ar"
2020-01-04 21:00:00,13,5,0.0,10.0,3,59,02:05 PM,02:17 AM,08:20 AM,06:21 PM,1,8,8,8,4,0,61,0.0,1027,8,10,200,2,"texarkana,ar"
2020-01-04 22:00:00,13,5,0.0,10.0,3,59,02:05 PM,02:17 AM,08:20 AM,06:21 PM,1,7,8,7,6,0,63,0.0,1027,8,10,189,3,"texarkana,ar"
2020-01-04 23:00:00,13,5,0.0,10.0,3,59,02:05 PM,02:17 AM,08:20 AM,06:21 PM,1,7,7,7,8,0,65,0.0,1027,7,10,178,4,"texarkana,ar"
2020-01-05 00:00:00,19,6,0.0,10.0,4,66,02:36 PM,03:13 AM,08:21 AM,06:22 PM,1,6,7,6,10,0,67,0.0,1027,7,10,168,5,"texarkana,ar"
2020-01-05 01:00:00,19,6,0.0,10.0,4,66,02:36 PM,03:13 AM,08:21 AM,06:22 PM,1,5,6,5,12,0,70,0.0,1027,6,10,171,6,"texarkana,ar"
2020-01-05 02:00:00,19,6,0.0,10.0,4,66,02:36 PM,03:13 AM,08:21 AM,06:22 PM,2,5,6,5,14,0,72,0.0,1027,6,10,175,7,"texarkana,ar"
2020-01-05 03:00:00,19,6,0.0,10.0,4,66,02:36 PM,03:13 AM,08:21 AM,06:22 PM,2,4,6,4,17,0,75,0.0,1027,6,10,179,8,"texarkana,ar"
2020-01-05 04:00:00,19,6,0.0,10.0,4,66,02:36 PM,03:13 AM,08:21 AM,06:22 PM,2,4,6,4,17,0,77,0.0,1027,6,10,179,8,"texarkana,ar"
2020-01-05 05:00:00,19,6,0.0,10.0,4,66,02:36 PM,03:13 AM,08:21 AM,06:22 PM,3,4,6,4,18,0,80,0.0,1027,6,10,180,9,"texarkana,ar"
2020-01-05 06:00:00,19,6,0.0,10.0,4,66,02:36 PM,03:13 AM,08:21 AM,06:22 PM,3,4,6,4,18,0,83,0.0,1027,6,10,180,9,"texarkana,ar"
2020-01-05 07:00:00,19,6,0.0,10.0,4,66,02:36 PM,03:13 AM,08:21 AM,06:22 PM,3,5,7,5,19,0,79,0.0,1027,7,10,187,10,"texarkana,ar"
2020-01-05 08:00:00,19,6,0.0,10.0,4,66,02:36 PM,03:13 AM,08:21 AM,06:22 PM,4,6,8,6,20,0,76,0.0,1027,8,10,194,11,"texarkana,ar"
2020-01-05 09:00:00,19,6,0.0,10.0,4,66,02:36 PM,03:13 AM,08:21 AM,06:22 PM,4,7,9,7,21,0,72,0.0,1026,9,10,200,13,"texarkana,ar"
2020-01-05 10:00:00,19,6,0.0,10.0,4,66,02:36 PM,03:13 AM,08:21 AM,06:22 PM,4,9,11,9,21,0,66,0.0,1026,11,10,208,13,"texarkana,ar"
2020-01-05 11:00:00,19,6,0.0,10.0,4,66,02:36 PM,03:13 AM,08:21 AM,06:22 PM,5,12,13,12,20,0,60,0.0,1026,13,10,215,14,"texarkana,ar"
2020-01-05 12:00:00,19,6,0.0,10.0,4,66,02:36 PM,03:13 AM,08:21 AM,06:22 PM,5,14,15,14,19,0,53,0.0,1026,15,10,222,15,"texarkana,ar"
2020-01-05 13:00:00,19,6,0.0,10.0,4,66,02:36 PM,03:13 AM,08:21 AM,06:22 PM,5,15,16,15,19,0,51,0.0,1025,16,10,225,15,"texarkana,ar"
