date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01 00:00:00,3,-3,0.0,8.7,1,37,01:05 PM,No moonset,09:01 AM,06:14 PM,-5,-9,-3,-9,32,64,83,0.0,1010,-3,10,256,22,"toledo,oh"
2020-01-01 01:00:00,3,-3,0.0,8.7,1,37,01:05 PM,No moonset,09:01 AM,06:14 PM,-5,-9,-3,-9,32,71,84,0.0,1010,-3,10,256,22,"toledo,oh"
2020-01-01 02:00:00,3,-3,0.0,8.7,1,37,01:05 PM,No moonset,09:01 AM,06:14 PM,-6,-10,-3,-10,32,79,84,0.0,1010,-3,10,257,22,"toledo,oh"
2020-01-01 03:00:00,3,-3,0.0,8.7,1,37,01:05 PM,No moonset,09:01 AM,06:14 PM,-6,-10,-3,-10,32,86,84,0.0,1010,-3,10,258,22,"toledo,oh"
2020-01-01 04:00:00,3,-3,0.0,8.7,1,37,01:05 PM,No moonset,09:01 AM,06:14 PM,-6,-10,-3,-10,32,91,84,0.0,1010,-3,10,259,22,"toledo,oh"
2020-01-01 05:00:00,3,-3,0.0,8.7,1,37,01:05 PM,No moonset,09:01 AM,06:14 PM,-5,-9,-3,-9,32,95,84,0.0,1010,-3,10,260,23,"toledo,oh"
2020-01-01 06:00:00,3,-3,0.0,8.7,1,37,01:05 PM,No moonset,09:01 AM,06:14 PM,-5,-9,-3,-9,32,100,84,0.0,1010,-3,10,262,23,"toledo,oh"
2020-01-01 07:00:00,3,-3,0.0,8.7,1,37,01:05 PM,No moonset,09:01 AM,06:14 PM,-5,-9,-3,-9,32,94,83,0.0,1010,-3,10,260,23,"toledo,oh"
2020-01-01 08:00:00,3,-3,0.0,8.7,1,37,01:05 PM,No moonset,09:01 AM,06:14 PM,-5,-9,-2,-9,32,88,83,0.0,1011,-2,10,258,24,"toledo,oh"
2020-01-01 09:00:00,3,-3,0.0,8.7,1,37,01:05 PM,No moonset,09:01 AM,06:14 PM,-5,-8,-2,-8,32,82,83,0.0,1011,-2,10,257,24,"toledo,oh"
2020-01-01 10:00:00,3,-3,0.0,8.7,1,37,01:05 PM,No moonset,09:01 AM,06:14 PM,-4,-8,-1,-8,31,66,81,0.0,1011,-1,10,253,24,"toledo,oh"
2020-01-01 11:00:00,3,-3,0.0,8.7,1,37,01:05 PM,No moonset,09:01 AM,06:14 PM,-4,-7,-1,-7,30,50,80,0.0,1011,-1,10,249,23,"toledo,oh"
2020-01-01 12:00:00,3,-3,0.0,8.7,1,37,01:05 PM,No moonset,09:01 AM,06:14 PM,-3,-6,-0,-6,28,33,79,0.0,1011,-0,10,245,22,"toledo,oh"
2020-01-01 13:00:00,3,-3,0.0,8.7,1,37,01:05 PM,No moonset,09:01 AM,06:14 PM,-3,-5,0,-5,29,24,79,0.0,1011,0,10,240,22,"toledo,oh"
2020-01-01 14:00:00,3,-3,0.0,8.7,1,37,01:05 PM,No moonset,09:01 AM,06:14 PM,-2,-4,1,-4,29,14,78,0.0,1010,1,10,236,23,"toledo,oh"
2020-01-01 15:00:00,3,-3,0.0,8.7,1,37,01:05 PM,No moonset,09:01 AM,06:14 PM,-2,-3,2,-3,30,5,77,0.0,1010,2,10,231,23,"toledo,oh"
2020-01-01 16:00:00,3,-3,0.0,8.7,1,37,01:05 PM,No moonset,09:01 AM,06:14 PM,-2,-3,2,-3,30,4,77,0.0,1009,2,10,227,22,"toledo,oh"
2020-01-01 17:00:00,3,-3,0.0,8.7,1,37,01:05 PM,No moonset,09:01 AM,06:14 PM,-2,-3,2,-3,31,4,77,0.0,1009,2,10,223,21,"toledo,oh"
2020-01-01 18:00:00,3,-3,0.0,8.7,1,37,01:05 PM,No moonset,09:01 AM,06:14 PM,-2,-3,2,-3,32,4,77,0.0,1009,2,10,219,20,"toledo,oh"
2020-01-01 19:00:00,3,-3,0.0,8.7,1,37,01:05 PM,No moonset,09:01 AM,06:14 PM,-1,-3,2,-3,34,5,79,0.0,1008,1,10,215,20,"toledo,oh"
2020-01-01 20:00:00,3,-3,0.0,8.7,1,37,01:05 PM,No moonset,09:01 AM,06:14 PM,-1,-3,2,-3,36,6,80,0.0,1008,1,10,210,21,"toledo,oh"
2020-01-01 21:00:00,3,-3,0.0,8.7,1,37,01:05 PM,No moonset,09:01 AM,06:14 PM,-1,-3,1,-3,39,7,81,0.0,1008,-0,10,206,21,"toledo,oh"
2020-01-01 22:00:00,3,-3,0.0,8.7,1,37,01:05 PM,No moonset,09:01 AM,06:14 PM,-1,-3,1,-3,40,7,81,0.0,1008,-0,10,208,22,"toledo,oh"
2020-01-01 23:00:00,3,-3,0.0,8.7,1,37,01:05 PM,No moonset,09:01 AM,06:14 PM,-1,-3,1,-3,42,8,80,0.0,1008,-1,10,209,23,"toledo,oh"
2020-01-02 00:00:00,7,2,0.0,5.2,2,44,01:29 PM,12:41 AM,09:01 AM,06:15 PM,-1,-3,2,-3,44,8,79,0.0,1008,-1,10,211,24,"toledo,oh"
2020-01-02 01:00:00,7,2,0.0,5.2,2,44,01:29 PM,12:41 AM,09:01 AM,06:15 PM,-1,-3,2,-3,43,8,78,0.0,1008,0,10,211,24,"toledo,oh"
2020-01-02 02:00:00,7,2,0.0,5.2,2,44,01:29 PM,12:41 AM,09:01 AM,06:15 PM,-1,-3,2,-3,43,9,78,0.0,1008,1,10,212,24,"toledo,oh"
2020-01-02 03:00:00,7,2,0.0,5.2,2,44,01:29 PM,12:41 AM,09:01 AM,06:15 PM,-1,-3,2,-3,42,9,77,0.0,1008,2,10,213,24,"toledo,oh"
2020-01-02 04:00:00,7,2,0.0,5.2,2,44,01:29 PM,12:41 AM,09:01 AM,06:15 PM,-1,-3,2,-3,41,12,77,0.0,1008,2,10,211,23,"toledo,oh"
2020-01-02 05:00:00,7,2,0.0,5.2,2,44,01:29 PM,12:41 AM,09:01 AM,06:15 PM,-2,-3,2,-3,40,15,76,0.0,1007,2,10,209,22,"toledo,oh"
2020-01-02 06:00:00,7,2,0.0,5.2,2,44,01:29 PM,12:41 AM,09:01 AM,06:15 PM,-2,-3,2,-3,39,18,76,0.0,1007,2,10,208,22,"toledo,oh"
2020-01-02 07:00:00,7,2,0.0,5.2,2,44,01:29 PM,12:41 AM,09:01 AM,06:15 PM,-2,-3,2,-3,39,20,76,0.0,1007,2,10,208,22,"toledo,oh"
2020-01-02 08:00:00,7,2,0.0,5.2,2,44,01:29 PM,12:41 AM,09:01 AM,06:15 PM,-2,-3,2,-3,39,21,76,0.0,1007,2,10,209,22,"toledo,oh"
2020-01-02 09:00:00,7,2,0.0,5.2,2,44,01:29 PM,12:41 AM,09:01 AM,06:15 PM,-1,-3,2,-3,38,23,76,0.0,1007,2,10,209,22,"toledo,oh"
2020-01-02 10:00:00,7,2,0.0,5.2,2,44,01:29 PM,12:41 AM,09:01 AM,06:15 PM,-1,-2,3,-2,39,25,76,0.0,1007,3,10,211,24,"toledo,oh"
2020-01-02 11:00:00,7,2,0.0,5.2,2,44,01:29 PM,12:41 AM,09:01 AM,06:15 PM,-0,-1,4,-1,41,27,76,0.0,1007,4,10,212,26,"toledo,oh"
