date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01 00:00:00,-5,-16,3.7,7.0,2,37,12:35 PM,No moonset,08:26 AM,05:52 PM,-22,-21,-16,-21,17,9,58,0.0,1021,-16,10,277,8,"vail,co"
2020-01-01 01:00:00,-5,-16,3.7,7.0,2,37,12:35 PM,No moonset,08:26 AM,05:52 PM,-21,-21,-15,-21,18,8,60,0.0,1020,-15,10,279,9,"vail,co"
2020-01-01 02:00:00,-5,-16,3.7,7.0,2,37,12:35 PM,No moonset,08:26 AM,05:52 PM,-21,-21,-15,-21,19,6,61,0.0,1020,-15,10,281,9,"vail,co"
2020-01-01 03:00:00,-5,-16,3.7,7.0,2,37,12:35 PM,No moonset,08:26 AM,05:52 PM,-21,-21,-15,-21,20,5,63,0.0,1019,-15,10,283,9,"vail,co"
2020-01-01 04:00:00,-5,-16,3.7,7.0,2,37,12:35 PM,No moonset,08:26 AM,05:52 PM,-20,-21,-15,-21,19,5,65,0.0,1018,-15,10,282,9,"vail,co"
2020-01-01 05:00:00,-5,-16,3.7,7.0,2,37,12:35 PM,No moonset,08:26 AM,05:52 PM,-20,-21,-15,-21,18,6,68,0.0,1018,-15,10,281,9,"vail,co"
2020-01-01 06:00:00,-5,-16,3.7,7.0,2,37,12:35 PM,No moonset,08:26 AM,05:52 PM,-19,-20,-15,-20,17,6,71,0.0,1017,-15,10,281,8,"vail,co"
2020-01-01 07:00:00,-5,-16,3.7,7.0,2,37,12:35 PM,No moonset,08:26 AM,05:52 PM,-17,-19,-14,-19,17,14,77,0.0,1016,-14,10,279,8,"vail,co"
2020-01-01 08:00:00,-5,-16,3.7,7.0,2,37,12:35 PM,No moonset,08:26 AM,05:52 PM,-15,-18,-13,-18,16,21,84,0.0,1015,-13,10,277,8,"vail,co"
2020-01-01 09:00:00,-5,-16,3.7,7.0,2,37,12:35 PM,No moonset,08:26 AM,05:52 PM,-13,-17,-12,-17,16,29,91,0.0,1014,-12,10,275,8,"vail,co"
2020-01-01 10:00:00,-5,-16,3.7,7.0,2,37,12:35 PM,No moonset,08:26 AM,05:52 PM,-11,-15,-10,-15,15,38,91,0.0,1013,-10,8,278,9,"vail,co"
2020-01-01 11:00:00,-5,-16,3.7,7.0,2,37,12:35 PM,No moonset,08:26 AM,05:52 PM,-9,-12,-8,-12,14,46,91,0.2,1011,-8,7,282,10,"vail,co"
2020-01-01 12:00:00,-5,-16,3.7,7.0,2,37,12:35 PM,No moonset,08:26 AM,05:52 PM,-7,-10,-5,-10,13,55,91,0.3,1009,-5,5,285,11,"vail,co"
2020-01-01 13:00:00,-5,-16,3.7,7.0,2,37,12:35 PM,No moonset,08:26 AM,05:52 PM,-7,-10,-5,-10,14,62,90,0.1,1008,-5,5,282,12,"vail,co"
2020-01-01 14:00:00,-5,-16,3.7,7.0,2,37,12:35 PM,No moonset,08:26 AM,05:52 PM,-7,-11,-6,-11,15,70,89,0.5,1006,-6,5,278,12,"vail,co"
2020-01-01 15:00:00,-5,-16,3.7,7.0,2,37,12:35 PM,No moonset,08:26 AM,05:52 PM,-7,-11,-6,-11,16,77,89,0.7,1004,-6,5,275,13,"vail,co"
2020-01-01 16:00:00,-5,-16,3.7,7.0,2,37,12:35 PM,No moonset,08:26 AM,05:52 PM,-8,-12,-7,-12,16,75,91,0.3,1004,-7,5,268,12,"vail,co"
2020-01-01 17:00:00,-5,-16,3.7,7.0,2,37,12:35 PM,No moonset,08:26 AM,05:52 PM,-9,-14,-9,-14,17,74,94,0.6,1005,-9,5,262,10,"vail,co"
2020-01-01 18:00:00,-5,-16,3.7,7.0,2,37,12:35 PM,No moonset,08:26 AM,05:52 PM,-10,-15,-10,-15,17,72,97,0.8,1005,-10,5,256,9,"vail,co"
2020-01-01 19:00:00,-5,-16,3.7,7.0,2,37,12:35 PM,No moonset,08:26 AM,05:52 PM,-11,-16,-10,-16,21,69,96,0.4,1005,-10,5,263,11,"vail,co"
2020-01-01 20:00:00,-5,-16,3.7,7.0,2,37,12:35 PM,No moonset,08:26 AM,05:52 PM,-11,-17,-11,-17,26,65,95,0.2,1006,-11,5,270,14,"vail,co"
2020-01-01 21:00:00,-5,-16,3.7,7.0,2,37,12:35 PM,No moonset,08:26 AM,05:52 PM,-12,-19,-11,-19,30,61,94,0.3,1007,-11,5,278,17,"vail,co"
2020-01-01 22:00:00,-5,-16,3.7,7.0,2,37,12:35 PM,No moonset,08:26 AM,05:52 PM,-13,-19,-12,-19,25,64,95,0.1,1007,-12,5,272,14,"vail,co"
2020-01-01 23:00:00,-5,-16,3.7,7.0,2,37,12:35 PM,No moonset,08:26 AM,05:52 PM,-13,-19,-13,-19,21,66,95,0.4,1007,-13,5,267,11,"vail,co"
2020-01-02 00:00:00,-10,-16,2.6,3.5,1,44,01:01 PM,12:17 AM,08:26 AM,05:53 PM,-14,-19,-14,-19,16,69,96,0.5,1008,-14,5,261,8,"vail,co"
2020-01-02 01:00:00,-10,-16,2.6,3.5,1,44,01:01 PM,12:17 AM,08:26 AM,05:53 PM,-15,-19,-14,-19,16,73,97,0.2,1008,-14,5,272,8,"vail,co"
2020-01-02 02:00:00,-10,-16,2.6,3.5,1,44,01:01 PM,12:17 AM,08:26 AM,05:53 PM,-15,-20,-15,-20,16,77,97,0.1,1009,-15,5,284,8,"vail,co"
2020-01-02 03:00:00,-10,-16,2.6,3.5,1,44,01:01 PM,12:17 AM,08:26 AM,05:53 PM,-16,-20,-15,-20,16,81,98,0.1,1009,-15,5,295,8,"vail,co"
2020-01-02 04:00:00,-10,-16,2.6,3.5,1,44,01:01 PM,12:17 AM,08:26 AM,05:53 PM,-16,-21,-15,-21,15,82,98,0.0,1010,-15,4,298,7,"vail,co"
2020-01-02 05:00:00,-10,-16,2.6,3.5,1,44,01:01 PM,12:17 AM,08:26 AM,05:53 PM,-16,-21,-16,-21,14,83,98,0.2,1011,-16,3,301,7,"vail,co"
2020-01-02 06:00:00,-10,-16,2.6,3.5,1,44,01:01 PM,12:17 AM,08:26 AM,05:53 PM,-16,-21,-16,-21,14,83,98,0.3,1012,-16,2,304,6,"vail,co"
2020-01-02 07:00:00,-10,-16,2.6,3.5,1,44,01:01 PM,12:17 AM,08:26 AM,05:53 PM,-16,-21,-16,-21,15,89,98,0.1,1013,-16,2,306,7,"vail,co"
2020-01-02 08:00:00,-10,-16,2.6,3.5,1,44,01:01 PM,12:17 AM,08:26 AM,05:53 PM,-16,-21,-16,-21,16,94,98,0.1,1015,-16,2,308,8,"vail,co"
2020-01-02 09:00:00,-10,-16,2.6,3.5,1,44,01:01 PM,12:17 AM,08:26 AM,05:53 PM,-16,-22,-16,-22,17,99,98,0.2,1016,-16,2,310,9,"vail,co"
2020-01-02 10:00:00,-10,-16,2.6,3.5,1,44,01:01 PM,12:17 AM,08:26 AM,05:53 PM,-15,-20,-14,-20,15,93,93,0.1,1015,-14,3,309,9,"vail,co"
2020-01-02 11:00:00,-10,-16,2.6,3.5,1,44,01:01 PM,12:17 AM,08:26 AM,05:53 PM,-14,-18,-13,-18,13,87,87,0.1,1014,-13,4,308,9,"vail,co"
2020-01-02 12:00:00,-10,-16,2.6,3.5,1,44,01:01 PM,12:17 AM,08:26 AM,05:53 PM,-14,-17,-11,-17,11,81,82,0.2,1014,-11,5,306,10,"vail,co"
2020-01-02 13:00:00,-10,-16,2.6,3.5,1,44,01:01 PM,12:17 AM,08:26 AM,05:53 PM,-13,-16,-11,-16,12,79,81,0.1,1013,-11,6,308,10,"vail,co"
2020-01-02 14:00:00,-10,-16,2.6,3.5,1,44,01:01 PM,12:17 AM,08:26 AM,05:53 PM,-13,-16,-10,-16,12,77,80,0.0,1011,-10,8,309,11,"vail,co"
2020-01-02 15:00:00,-10,-16,2.6,3.5,1,44,01:01 PM,12:17 AM,08:26 AM,05:53 PM,-13,-16,-10,-16,13,75,79,0.0,1010,-10,9,310,11,"vail,co"
2020-01-02 16:00:00,-10,-16,2.6,3.5,1,44,01:01 PM,12:17 AM,08:26 AM,05:53 PM,-14,-15,-10,-15,15,74,85,0.0,1012,-11,8,309,11,"vail,co"
2020-01-02 17:00:00,-10,-16,2.6,3.5,1,44,01:01 PM,12:17 AM,08:26 AM,05:53 PM,-15,-15,-10,-15,18,72,91,0.1,1014,-13,8,309,10,"vail,co"
2020-01-02 18:00:00,-10,-16,2.6,3.5,1,44,01:01 PM,12:17 AM,08:26 AM,05:53 PM,-16,-14,-10,-14,20,71,97,0.1,1016,-14,7,308,9,"vail,co"
2020-01-02 19:00:00,-10,-16,2.6,3.5,1,44,01:01 PM,12:17 AM,08:26 AM,05:53 PM,-16,-17,-12,-17,21,81,97,0.0,1018,-15,6,310,10,"vail,co"
2020-01-02 20:00:00,-10,-16,2.6,3.5,1,44,01:01 PM,12:17 AM,08:26 AM,05:53 PM,-16,-20,-14,-20,22,90,98,0.1,1019,-15,6,311,11,"vail,co"
2020-01-02 21:00:00,-10,-16,2.6,3.5,1,44,01:01 PM,12:17 AM,08:26 AM,05:53 PM,-16,-23,-16,-23,23,100,99,0.1,1021,-16,5,312,12,"vail,co"
2020-01-02 22:00:00,-10,-16,2.6,3.5,1,44,01:01 PM,12:17 AM,08:26 AM,05:53 PM,-17,-23,-16,-23,22,100,99,0.0,1022,-16,4,304,11,"vail,co"
2020-01-02 23:00:00,-10,-16,2.6,3.5,1,44,01:01 PM,12:17 AM,08:26 AM,05:53 PM,-17,-24,-17,-24,20,100,99,0.1,1023,-17,3,296,10,"vail,co"
2020-01-03 00:00:00,-7,-19,0.7,5.2,1,51,01:25 PM,01:15 AM,08:26 AM,05:54 PM,-18,-24,-18,-24,18,100,99,0.2,1025,-18,2,289,9,"vail,co"
2020-01-03 01:00:00,-7,-19,0.7,5.2,1,51,01:25 PM,01:15 AM,08:26 AM,05:54 PM,-18,-24,-18,-24,18,100,99,0.1,1025,-18,3,287,9,"vail,co"
2020-01-03 02:00:00,-7,-19,0.7,5.2,1,51,01:25 PM,01:15 AM,08:26 AM,05:54 PM,-18,-24,-18,-24,18,100,99,0.0,1026,-18,4,286,9,"vail,co"
2020-01-03 03:00:00,-7,-19,0.7,5.2,1,51,01:25 PM,01:15 AM,08:26 AM,05:54 PM,-18,-25,-18,-25,18,100,99,0.0,1027,-18,5,285,9,"vail,co"
2020-01-03 04:00:00,-7,-19,0.7,5.2,1,51,01:25 PM,01:15 AM,08:26 AM,05:54 PM,-19,-25,-19,-25,19,100,99,0.0,1028,-19,5,287,9,"vail,co"
2020-01-03 05:00:00,-7,-19,0.7,5.2,1,51,01:25 PM,01:15 AM,08:26 AM,05:54 PM,-19,-26,-19,-26,21,100,99,0.0,1028,-19,5,290,10,"vail,co"
2020-01-03 06:00:00,-7,-19,0.7,5.2,1,51,01:25 PM,01:15 AM,08:26 AM,05:54 PM,-19,-26,-19,-26,22,100,100,0.0,1029,-19,5,292,10,"vail,co"
2020-01-03 07:00:00,-7,-19,0.7,5.2,1,51,01:25 PM,01:15 AM,08:26 AM,05:54 PM,-19,-25,-18,-25,21,95,99,0.0,1029,-18,7,288,10,"vail,co"
2020-01-03 08:00:00,-7,-19,0.7,5.2,1,51,01:25 PM,01:15 AM,08:26 AM,05:54 PM,-18,-25,-18,-25,21,90,98,0.0,1030,-18,8,284,10,"vail,co"
2020-01-03 09:00:00,-7,-19,0.7,5.2,1,51,01:25 PM,01:15 AM,08:26 AM,05:54 PM,-18,-24,-17,-24,21,85,97,0.0,1030,-17,10,280,10,"vail,co"
2020-01-03 10:00:00,-7,-19,0.7,5.2,1,51,01:25 PM,01:15 AM,08:26 AM,05:54 PM,-15,-21,-15,-21,19,66,93,0.0,1028,-15,10,285,11,"vail,co"
2020-01-03 11:00:00,-7,-19,0.7,5.2,1,51,01:25 PM,01:15 AM,08:26 AM,05:54 PM,-13,-19,-12,-19,18,47,90,0.0,1026,-12,10,290,13,"vail,co"
2020-01-03 12:00:00,-7,-19,0.7,5.2,1,51,01:25 PM,01:15 AM,08:26 AM,05:54 PM,-11,-16,-9,-16,17,28,86,0.0,1025,-9,10,295,14,"vail,co"
2020-01-03 13:00:00,-7,-19,0.7,5.2,1,51,01:25 PM,01:15 AM,08:26 AM,05:54 PM,-11,-15,-9,-15,18,44,85,0.0,1023,-9,9,297,16,"vail,co"
2020-01-03 14:00:00,-7,-19,0.7,5.2,1,51,01:25 PM,01:15 AM,08:26 AM,05:54 PM,-10,-15,-8,-15,20,60,85,0.0,1022,-8,8,299,17,"vail,co"
2020-01-03 15:00:00,-7,-19,0.7,5.2,1,51,01:25 PM,01:15 AM,08:26 AM,05:54 PM,-9,-14,-7,-14,21,76,84,0.0,1021,-7,7,301,18,"vail,co"
2020-01-03 16:00:00,-7,-19,0.7,5.2,1,51,01:25 PM,01:15 AM,08:26 AM,05:54 PM,-10,-15,-8,-15,23,77,88,0.0,1023,-8,8,301,17,"vail,co"
2020-01-03 17:00:00,-7,-19,0.7,5.2,1,51,01:25 PM,01:15 AM,08:26 AM,05:54 PM,-11,-16,-10,-16,24,78,93,0.0,1024,-10,9,301,15,"vail,co"
2020-01-03 18:00:00,-7,-19,0.7,5.2,1,51,01:25 PM,01:15 AM,08:26 AM,05:54 PM,-11,-18,-11,-18,26,79,97,0.0,1026,-11,10,301,13,"vail,co"
