date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01 00:00:00,-7,-13,0.6,6.5,2,37,12:49 PM,No moonset,08:41 AM,06:02 PM,-13,-12,-12,-12,3,40,90,0.0,1027,-12,10,219,2,"vernal,ut"
2020-01-01 01:00:00,-7,-13,0.6,6.5,2,37,12:49 PM,No moonset,08:41 AM,06:02 PM,-14,-12,-12,-12,3,40,90,0.0,1027,-12,10,158,2,"vernal,ut"
2020-01-01 02:00:00,-7,-13,0.6,6.5,2,37,12:49 PM,No moonset,08:41 AM,06:02 PM,-14,-13,-13,-13,3,40,91,0.0,1026,-13,10,98,2,"vernal,ut"
2020-01-01 03:00:00,-7,-13,0.6,6.5,2,37,12:49 PM,No moonset,08:41 AM,06:02 PM,-14,-13,-13,-13,4,41,91,0.0,1026,-13,10,38,2,"vernal,ut"
2020-01-01 04:00:00,-7,-13,0.6,6.5,2,37,12:49 PM,No moonset,08:41 AM,06:02 PM,-14,-13,-13,-13,3,60,91,0.0,1025,-13,10,138,2,"vernal,ut"
2020-01-01 05:00:00,-7,-13,0.6,6.5,2,37,12:49 PM,No moonset,08:41 AM,06:02 PM,-14,-13,-13,-13,3,80,91,0.0,1024,-13,10,238,2,"vernal,ut"
2020-01-01 06:00:00,-7,-13,0.6,6.5,2,37,12:49 PM,No moonset,08:41 AM,06:02 PM,-13,-12,-12,-12,3,100,91,0.0,1023,-12,10,338,2,"vernal,ut"
2020-01-01 07:00:00,-7,-13,0.6,6.5,2,37,12:49 PM,No moonset,08:41 AM,06:02 PM,-13,-12,-12,-12,3,100,90,0.0,1022,-12,10,317,2,"vernal,ut"
2020-01-01 08:00:00,-7,-13,0.6,6.5,2,37,12:49 PM,No moonset,08:41 AM,06:02 PM,-13,-11,-11,-11,3,100,89,0.0,1021,-11,10,296,2,"vernal,ut"
2020-01-01 09:00:00,-7,-13,0.6,6.5,2,37,12:49 PM,No moonset,08:41 AM,06:02 PM,-12,-11,-11,-11,4,100,88,0.0,1021,-11,10,276,3,"vernal,ut"
2020-01-01 10:00:00,-7,-13,0.6,6.5,2,37,12:49 PM,No moonset,08:41 AM,06:02 PM,-12,-11,-10,-11,4,96,85,0.0,1020,-10,10,238,3,"vernal,ut"
2020-01-01 11:00:00,-7,-13,0.6,6.5,2,37,12:49 PM,No moonset,08:41 AM,06:02 PM,-13,-11,-10,-11,5,92,82,0.0,1020,-10,10,201,3,"vernal,ut"
2020-01-01 12:00:00,-7,-13,0.6,6.5,2,37,12:49 PM,No moonset,08:41 AM,06:02 PM,-13,-12,-10,-12,5,87,80,0.0,1019,-10,10,164,3,"vernal,ut"
2020-01-01 13:00:00,-7,-13,0.6,6.5,2,37,12:49 PM,No moonset,08:41 AM,06:02 PM,-12,-11,-9,-11,6,76,80,0.0,1017,-9,10,122,4,"vernal,ut"
2020-01-01 14:00:00,-7,-13,0.6,6.5,2,37,12:49 PM,No moonset,08:41 AM,06:02 PM,-11,-11,-8,-11,7,65,79,0.0,1015,-8,10,81,5,"vernal,ut"
2020-01-01 15:00:00,-7,-13,0.6,6.5,2,37,12:49 PM,No moonset,08:41 AM,06:02 PM,-10,-10,-7,-10,8,54,79,0.0,1013,-7,10,40,5,"vernal,ut"
2020-01-01 16:00:00,-7,-13,0.6,6.5,2,37,12:49 PM,No moonset,08:41 AM,06:02 PM,-10,-11,-8,-11,10,62,83,0.0,1012,-8,9,146,6,"vernal,ut"
2020-01-01 17:00:00,-7,-13,0.6,6.5,2,37,12:49 PM,No moonset,08:41 AM,06:02 PM,-10,-12,-8,-12,12,69,87,0.0,1012,-8,8,251,6,"vernal,ut"
2020-01-01 18:00:00,-7,-13,0.6,6.5,2,37,12:49 PM,No moonset,08:41 AM,06:02 PM,-10,-13,-9,-13,13,77,91,0.0,1012,-9,7,357,6,"vernal,ut"
2020-01-01 19:00:00,-7,-13,0.6,6.5,2,37,12:49 PM,No moonset,08:41 AM,06:02 PM,-10,-12,-9,-12,10,78,93,0.0,1012,-9,5,342,5,"vernal,ut"
2020-01-01 20:00:00,-7,-13,0.6,6.5,2,37,12:49 PM,No moonset,08:41 AM,06:02 PM,-10,-11,-9,-11,7,79,95,0.2,1012,-9,4,328,3,"vernal,ut"
2020-01-01 21:00:00,-7,-13,0.6,6.5,2,37,12:49 PM,No moonset,08:41 AM,06:02 PM,-10,-10,-10,-10,4,80,97,0.3,1012,-10,2,313,2,"vernal,ut"
2020-01-01 22:00:00,-7,-13,0.6,6.5,2,37,12:49 PM,No moonset,08:41 AM,06:02 PM,-10,-10,-10,-10,4,77,97,0.1,1012,-10,3,297,2,"vernal,ut"
2020-01-01 23:00:00,-7,-13,0.6,6.5,2,37,12:49 PM,No moonset,08:41 AM,06:02 PM,-10,-10,-10,-10,5,74,97,0.2,1013,-10,4,281,2,"vernal,ut"
