date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01 00:00:00,13,7,0.0,10.0,4,37,12:35 PM,No moonset,08:18 AM,06:13 PM,4,8,11,8,37,0,62,0.0,1013,9,10,264,23,"wilmington,nc"
2020-01-01 01:00:00,13,7,0.0,10.0,4,37,12:35 PM,No moonset,08:18 AM,06:13 PM,4,7,10,7,37,0,62,0.0,1013,9,10,268,23,"wilmington,nc"
2020-01-01 02:00:00,13,7,0.0,10.0,4,37,12:35 PM,No moonset,08:18 AM,06:13 PM,3,7,10,7,36,0,63,0.0,1013,9,10,273,23,"wilmington,nc"
2020-01-01 03:00:00,13,7,0.0,10.0,4,37,12:35 PM,No moonset,08:18 AM,06:13 PM,3,7,10,7,36,0,64,0.0,1013,10,10,278,23,"wilmington,nc"
2020-01-01 04:00:00,13,7,0.0,10.0,4,37,12:35 PM,No moonset,08:18 AM,06:13 PM,3,6,9,6,33,1,66,0.0,1014,9,10,282,21,"wilmington,nc"
2020-01-01 05:00:00,13,7,0.0,10.0,4,37,12:35 PM,No moonset,08:18 AM,06:13 PM,3,5,8,5,29,1,69,0.0,1014,8,10,287,19,"wilmington,nc"
2020-01-01 06:00:00,13,7,0.0,10.0,4,37,12:35 PM,No moonset,08:18 AM,06:13 PM,3,5,8,5,26,2,71,0.0,1014,8,10,292,17,"wilmington,nc"
2020-01-01 07:00:00,13,7,0.0,10.0,4,37,12:35 PM,No moonset,08:18 AM,06:13 PM,3,5,8,5,24,3,71,0.0,1015,8,10,291,15,"wilmington,nc"
2020-01-01 08:00:00,13,7,0.0,10.0,4,37,12:35 PM,No moonset,08:18 AM,06:13 PM,3,5,8,5,21,4,71,0.0,1015,8,10,290,14,"wilmington,nc"
2020-01-01 09:00:00,13,7,0.0,10.0,4,37,12:35 PM,No moonset,08:18 AM,06:13 PM,2,5,8,5,19,6,71,0.0,1016,8,10,289,12,"wilmington,nc"
2020-01-01 10:00:00,13,7,0.0,10.0,4,37,12:35 PM,No moonset,08:18 AM,06:13 PM,2,6,9,6,18,6,66,0.0,1016,9,10,288,12,"wilmington,nc"
2020-01-01 11:00:00,13,7,0.0,10.0,4,37,12:35 PM,No moonset,08:18 AM,06:13 PM,2,8,10,8,16,6,61,0.0,1016,10,10,286,12,"wilmington,nc"
2020-01-01 12:00:00,13,7,0.0,10.0,4,37,12:35 PM,No moonset,08:18 AM,06:13 PM,2,9,11,9,15,6,56,0.0,1017,11,10,285,13,"wilmington,nc"
2020-01-01 13:00:00,13,7,0.0,10.0,4,37,12:35 PM,No moonset,08:18 AM,06:13 PM,2,10,11,10,15,4,53,0.0,1016,11,10,285,13,"wilmington,nc"
2020-01-01 14:00:00,13,7,0.0,10.0,4,37,12:35 PM,No moonset,08:18 AM,06:13 PM,2,11,12,11,16,3,50,0.0,1016,12,10,284,13,"wilmington,nc"
2020-01-01 15:00:00,13,7,0.0,10.0,4,37,12:35 PM,No moonset,08:18 AM,06:13 PM,2,11,13,11,16,1,47,0.0,1015,13,10,284,13,"wilmington,nc"
2020-01-01 16:00:00,13,7,0.0,10.0,4,37,12:35 PM,No moonset,08:18 AM,06:13 PM,2,11,12,11,17,2,49,0.0,1015,12,10,284,13,"wilmington,nc"
2020-01-01 17:00:00,13,7,0.0,10.0,4,37,12:35 PM,No moonset,08:18 AM,06:13 PM,2,11,12,11,18,3,51,0.0,1015,12,10,283,13,"wilmington,nc"
2020-01-01 18:00:00,13,7,0.0,10.0,4,37,12:35 PM,No moonset,08:18 AM,06:13 PM,3,10,12,10,19,5,53,0.0,1015,12,10,283,13,"wilmington,nc"
2020-01-01 19:00:00,13,7,0.0,10.0,4,37,12:35 PM,No moonset,08:18 AM,06:13 PM,3,10,11,10,18,5,57,0.0,1016,11,10,283,12,"wilmington,nc"
