date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01 00:00:00,1,-8,4.8,1.5,1,37,01:14 PM,No moonset,10:17 AM,04:28 PM,4,2,6,2,36,100,89,0.5,982,6,9,79,25,"yakutat,ak"
2020-01-01 01:00:00,1,-8,4.8,1.5,1,37,01:14 PM,No moonset,10:17 AM,04:28 PM,4,1,6,1,38,100,88,0.3,981,6,9,80,26,"yakutat,ak"
2020-01-01 02:00:00,1,-8,4.8,1.5,1,37,01:14 PM,No moonset,10:17 AM,04:28 PM,4,1,6,1,40,100,88,0.1,980,6,10,81,27,"yakutat,ak"
2020-01-01 03:00:00,1,-8,4.8,1.5,1,37,01:14 PM,No moonset,10:17 AM,04:28 PM,4,1,6,1,41,100,87,0.2,980,6,10,83,28,"yakutat,ak"
2020-01-01 04:00:00,1,-8,4.8,1.5,1,37,01:14 PM,No moonset,10:17 AM,04:28 PM,3,-1,5,-1,47,100,90,0.1,979,5,8,125,35,"yakutat,ak"
2020-01-01 05:00:00,1,-8,4.8,1.5,1,37,01:14 PM,No moonset,10:17 AM,04:28 PM,3,-2,4,-2,53,100,92,1.5,979,4,5,166,41,"yakutat,ak"
2020-01-01 06:00:00,1,-8,4.8,1.5,1,37,01:14 PM,No moonset,10:17 AM,04:28 PM,2,-4,3,-4,59,100,94,2.0,979,3,3,208,48,"yakutat,ak"
2020-01-01 07:00:00,1,-8,4.8,1.5,1,37,01:14 PM,No moonset,10:17 AM,04:28 PM,1,-5,2,-5,53,100,94,1.0,981,2,3,226,44,"yakutat,ak"
2020-01-01 08:00:00,1,-8,4.8,1.5,1,37,01:14 PM,No moonset,10:17 AM,04:28 PM,0,-6,1,-6,48,100,94,1.8,982,1,2,245,40,"yakutat,ak"
2020-01-01 09:00:00,1,-8,4.8,1.5,1,37,01:14 PM,No moonset,10:17 AM,04:28 PM,-1,-6,0,-6,43,100,94,2.4,983,0,1,263,36,"yakutat,ak"
