date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01 00:00:00,18,9,0.0,8.7,4,37,12:04 PM,11:55 PM,07:41 AM,05:44 PM,-0,11,12,11,25,3,42,0.0,1018,12,10,350,12,"yuma,az"
2020-01-01 01:00:00,18,9,0.0,8.7,4,37,12:04 PM,11:55 PM,07:41 AM,05:44 PM,-1,11,12,11,24,3,43,0.0,1018,12,10,233,11,"yuma,az"
2020-01-01 02:00:00,18,9,0.0,8.7,4,37,12:04 PM,11:55 PM,07:41 AM,05:44 PM,-1,10,11,10,23,2,43,0.0,1018,11,10,117,11,"yuma,az"
2020-01-01 03:00:00,18,9,0.0,8.7,4,37,12:04 PM,11:55 PM,07:41 AM,05:44 PM,-1,10,11,10,22,2,44,0.0,1018,11,10,0,10,"yuma,az"
2020-01-01 04:00:00,18,9,0.0,8.7,4,37,12:04 PM,11:55 PM,07:41 AM,05:44 PM,-1,9,10,9,18,2,46,0.0,1018,10,10,112,9,"yuma,az"
2020-01-01 05:00:00,18,9,0.0,8.7,4,37,12:04 PM,11:55 PM,07:41 AM,05:44 PM,-1,9,10,9,14,2,47,0.0,1018,10,10,224,7,"yuma,az"
2020-01-01 06:00:00,18,9,0.0,8.7,4,37,12:04 PM,11:55 PM,07:41 AM,05:44 PM,-1,9,9,9,10,2,49,0.0,1017,9,10,336,5,"yuma,az"
2020-01-01 07:00:00,18,9,0.0,8.7,4,37,12:04 PM,11:55 PM,07:41 AM,05:44 PM,-1,8,9,8,12,1,49,0.0,1017,9,10,340,6,"yuma,az"
2020-01-01 08:00:00,18,9,0.0,8.7,4,37,12:04 PM,11:55 PM,07:41 AM,05:44 PM,-1,8,9,8,14,1,49,0.0,1017,9,10,345,6,"yuma,az"
2020-01-01 09:00:00,18,9,0.0,8.7,4,37,12:04 PM,11:55 PM,07:41 AM,05:44 PM,-1,8,9,8,15,0,49,0.0,1017,9,10,349,7,"yuma,az"
2020-01-01 10:00:00,18,9,0.0,8.7,4,37,12:04 PM,11:55 PM,07:41 AM,05:44 PM,-1,10,11,10,15,19,43,0.0,1018,11,10,238,8,"yuma,az"
2020-01-01 11:00:00,18,9,0.0,8.7,4,37,12:04 PM,11:55 PM,07:41 AM,05:44 PM,-2,12,13,12,14,39,37,0.0,1018,13,10,126,9,"yuma,az"
2020-01-01 12:00:00,18,9,0.0,8.7,4,37,12:04 PM,11:55 PM,07:41 AM,05:44 PM,-2,14,15,14,14,58,31,0.0,1018,15,10,14,10,"yuma,az"
2020-01-01 13:00:00,18,9,0.0,8.7,4,37,12:04 PM,11:55 PM,07:41 AM,05:44 PM,-2,16,16,16,11,40,29,0.0,1017,16,10,12,8,"yuma,az"
2020-01-01 14:00:00,18,9,0.0,8.7,4,37,12:04 PM,11:55 PM,07:41 AM,05:44 PM,-2,17,17,17,8,21,27,0.0,1015,17,10,10,6,"yuma,az"
2020-01-01 15:00:00,18,9,0.0,8.7,4,37,12:04 PM,11:55 PM,07:41 AM,05:44 PM,-2,18,18,18,5,3,25,0.0,1014,18,10,7,4,"yuma,az"
2020-01-01 16:00:00,18,9,0.0,8.7,4,37,12:04 PM,11:55 PM,07:41 AM,05:44 PM,-2,18,18,18,8,4,26,0.0,1013,18,10,123,6,"yuma,az"
2020-01-01 17:00:00,18,9,0.0,8.7,4,37,12:04 PM,11:55 PM,07:41 AM,05:44 PM,-2,18,18,18,11,5,27,0.0,1013,18,10,240,7,"yuma,az"
2020-01-01 18:00:00,18,9,0.0,8.7,4,37,12:04 PM,11:55 PM,07:41 AM,05:44 PM,-1,17,17,17,13,6,28,0.0,1012,17,10,356,9,"yuma,az"
2020-01-01 19:00:00,18,9,0.0,8.7,4,37,12:04 PM,11:55 PM,07:41 AM,05:44 PM,-0,16,16,16,10,5,33,0.0,1012,16,10,350,6,"yuma,az"
2020-01-01 20:00:00,18,9,0.0,8.7,4,37,12:04 PM,11:55 PM,07:41 AM,05:44 PM,0,15,15,15,7,4,37,0.0,1011,15,10,343,4,"yuma,az"
2020-01-01 21:00:00,18,9,0.0,8.7,4,37,12:04 PM,11:55 PM,07:41 AM,05:44 PM,1,14,14,14,4,4,41,0.0,1011,14,10,337,2,"yuma,az"
2020-01-01 22:00:00,18,9,0.0,8.7,4,37,12:04 PM,11:55 PM,07:41 AM,05:44 PM,1,13,13,13,3,3,42,0.0,1011,13,10,303,2,"yuma,az"
2020-01-01 23:00:00,18,9,0.0,8.7,4,37,12:04 PM,11:55 PM,07:41 AM,05:44 PM,1,13,13,13,2,3,43,0.0,1011,13,10,269,1,"yuma,az"
2020-01-02 00:00:00,20,10,0.0,8.7,5,44,12:32 PM,No moonset,07:41 AM,05:44 PM,1,13,13,13,1,2,44,0.0,1011,13,10,236,1,"yuma,az"
2020-01-02 01:00:00,20,10,0.0,8.7,5,44,12:32 PM,No moonset,07:41 AM,05:44 PM,0,12,12,12,5,3,44,0.0,1010,12,10,252,2,"yuma,az"
2020-01-02 02:00:00,20,10,0.0,8.7,5,44,12:32 PM,No moonset,07:41 AM,05:44 PM,-0,11,12,11,8,4,44,0.0,1010,12,10,269,4,"yuma,az"
2020-01-02 03:00:00,20,10,0.0,8.7,5,44,12:32 PM,No moonset,07:41 AM,05:44 PM,-1,11,11,11,11,5,44,0.0,1010,11,10,285,5,"yuma,az"
2020-01-02 04:00:00,20,10,0.0,8.7,5,44,12:32 PM,No moonset,07:41 AM,05:44 PM,-1,11,11,11,10,5,46,0.0,1010,11,10,293,5,"yuma,az"
2020-01-02 05:00:00,20,10,0.0,8.7,5,44,12:32 PM,No moonset,07:41 AM,05:44 PM,-0,11,11,11,9,6,47,0.0,1011,11,10,301,4,"yuma,az"
2020-01-02 06:00:00,20,10,0.0,8.7,5,44,12:32 PM,No moonset,07:41 AM,05:44 PM,-0,10,10,10,8,6,48,0.0,1011,10,10,309,4,"yuma,az"
2020-01-02 07:00:00,20,10,0.0,8.7,5,44,12:32 PM,No moonset,07:41 AM,05:44 PM,-0,10,10,10,14,11,48,0.0,1011,10,10,301,7,"yuma,az"
2020-01-02 08:00:00,20,10,0.0,8.7,5,44,12:32 PM,No moonset,07:41 AM,05:44 PM,-0,9,11,9,20,17,48,0.0,1012,11,10,294,10,"yuma,az"
2020-01-02 09:00:00,20,10,0.0,8.7,5,44,12:32 PM,No moonset,07:41 AM,05:44 PM,0,9,11,9,26,22,48,0.0,1012,11,10,287,13,"yuma,az"
2020-01-02 10:00:00,20,10,0.0,8.7,5,44,12:32 PM,No moonset,07:41 AM,05:44 PM,0,12,13,12,30,15,43,0.0,1013,13,10,305,18,"yuma,az"
2020-01-02 11:00:00,20,10,0.0,8.7,5,44,12:32 PM,No moonset,07:41 AM,05:44 PM,1,15,15,15,35,7,38,0.0,1014,15,10,323,24,"yuma,az"
2020-01-02 12:00:00,20,10,0.0,8.7,5,44,12:32 PM,No moonset,07:41 AM,05:44 PM,1,17,17,17,39,0,33,0.0,1015,17,10,341,29,"yuma,az"
2020-01-02 13:00:00,20,10,0.0,8.7,5,44,12:32 PM,No moonset,07:41 AM,05:44 PM,-0,18,18,18,38,2,29,0.0,1014,18,10,344,30,"yuma,az"
2020-01-02 14:00:00,20,10,0.0,8.7,5,44,12:32 PM,No moonset,07:41 AM,05:44 PM,-1,19,19,19,37,3,26,0.0,1013,19,10,346,30,"yuma,az"
2020-01-02 15:00:00,20,10,0.0,8.7,5,44,12:32 PM,No moonset,07:41 AM,05:44 PM,-2,20,20,20,36,5,23,0.0,1013,20,10,349,31,"yuma,az"
2020-01-02 16:00:00,20,10,0.0,8.7,5,44,12:32 PM,No moonset,07:41 AM,05:44 PM,-2,19,19,19,35,4,23,0.0,1013,19,10,233,27,"yuma,az"
2020-01-02 17:00:00,20,10,0.0,8.7,5,44,12:32 PM,No moonset,07:41 AM,05:44 PM,-3,19,19,19,33,4,23,0.0,1013,19,10,118,24,"yuma,az"
2020-01-02 18:00:00,20,10,0.0,8.7,5,44,12:32 PM,No moonset,07:41 AM,05:44 PM,-3,19,19,19,32,4,23,0.0,1014,19,10,2,20,"yuma,az"
2020-01-02 19:00:00,20,10,0.0,8.7,5,44,12:32 PM,No moonset,07:41 AM,05:44 PM,-3,17,17,17,28,7,25,0.0,1014,17,10,121,17,"yuma,az"
2020-01-02 20:00:00,20,10,0.0,8.7,5,44,12:32 PM,No moonset,07:41 AM,05:44 PM,-3,16,16,16,25,10,26,0.0,1015,16,10,240,14,"yuma,az"
2020-01-02 21:00:00,20,10,0.0,8.7,5,44,12:32 PM,No moonset,07:41 AM,05:44 PM,-4,14,15,14,22,13,28,0.0,1016,15,10,359,10,"yuma,az"
2020-01-02 22:00:00,20,10,0.0,8.7,5,44,12:32 PM,No moonset,07:41 AM,05:44 PM,-3,14,14,14,20,9,29,0.0,1017,14,10,351,10,"yuma,az"
2020-01-02 23:00:00,20,10,0.0,8.7,5,44,12:32 PM,No moonset,07:41 AM,05:44 PM,-3,13,14,13,19,4,30,0.0,1017,14,10,343,9,"yuma,az"
2020-01-03 00:00:00,18,10,0.0,8.7,4,51,01:01 PM,12:48 AM,07:41 AM,05:45 PM,-3,13,13,13,17,0,32,0.0,1018,13,10,335,8,"yuma,az"
2020-01-03 01:00:00,18,10,0.0,8.7,4,51,01:01 PM,12:48 AM,07:41 AM,05:45 PM,-3,13,13,13,20,3,32,0.0,1018,13,10,332,9,"yuma,az"
2020-01-03 02:00:00,18,10,0.0,8.7,4,51,01:01 PM,12:48 AM,07:41 AM,05:45 PM,-3,12,13,12,22,5,33,0.0,1019,13,10,330,10,"yuma,az"
2020-01-03 03:00:00,18,10,0.0,8.7,4,51,01:01 PM,12:48 AM,07:41 AM,05:45 PM,-2,12,13,12,24,8,34,0.0,1019,13,10,328,12,"yuma,az"
2020-01-03 04:00:00,18,10,0.0,8.7,4,51,01:01 PM,12:48 AM,07:41 AM,05:45 PM,-2,11,13,11,24,6,36,0.0,1019,13,10,338,11,"yuma,az"
2020-01-03 05:00:00,18,10,0.0,8.7,4,51,01:01 PM,12:48 AM,07:41 AM,05:45 PM,-2,11,12,11,24,4,37,0.0,1020,12,10,348,11,"yuma,az"
2020-01-03 06:00:00,18,10,0.0,8.7,4,51,01:01 PM,12:48 AM,07:41 AM,05:45 PM,-2,10,12,10,23,2,38,0.0,1020,12,10,359,11,"yuma,az"
2020-01-03 07:00:00,18,10,0.0,8.7,4,51,01:01 PM,12:48 AM,07:41 AM,05:45 PM,-2,10,11,10,22,6,39,0.0,1021,11,10,246,11,"yuma,az"
2020-01-03 08:00:00,18,10,0.0,8.7,4,51,01:01 PM,12:48 AM,07:41 AM,05:45 PM,-2,10,11,10,21,10,40,0.0,1022,11,10,133,10,"yuma,az"
2020-01-03 09:00:00,18,10,0.0,8.7,4,51,01:01 PM,12:48 AM,07:41 AM,05:45 PM,-2,9,10,9,20,14,41,0.0,1023,10,10,20,9,"yuma,az"
2020-01-03 10:00:00,18,10,0.0,8.7,4,51,01:01 PM,12:48 AM,07:41 AM,05:45 PM,-2,12,12,12,18,22,37,0.0,1023,12,10,24,10,"yuma,az"
