,Airport Code,City
0,ABR,"aberdeen,sd"
1,ABI,"abilene,tx"
2,ADK,"adakisland,ak"
3,CAK,"akron,oh"
4,ALB,"albany,ny"
5,ABQ,"albuquerque,nm"
6,AEX,"alexandria,la"
7,ABE,"easton,pa"
8,APN,"alpena,mi"
9,AMA,"amarillo,tx"
10,ANC,"anchorage,ak"
11,ATW,"appleton,wi"
12,ACV,"arcata,ca"
13,AVL,"asheville,nc"
14,HTS,"huntington,wv"
15,ASE,"aspen,co"
16,ATL,"atlanta,ga"
17,AGS,"augusta,ga"
18,AUS,"austin,tx"
19,BFL,"bakersfield,ca"
20,BWI,"baltimore,md"
21,BGR,"bangor,me"
22,BRW,"barrow,ak"
23,BTR,"batonrouge,la"
24,MBS,"saginaw,mi"
25,BPT,"beaumont,tx"
26,BLV,"belleville,il"
27,BLI,"bellingham,wa"
28,BJI,"bemidji,mn"
29,BET,"bethel,ak"
30,BIL,"billings,mt"
31,GPT,"gulfport,ms"
32,BGM,"johnsoncity,ny"
33,BHM,"birmingham,al"
34,BIS,"bismarck,nd"
35,BMI,"bloomington,il"
36,BOI,"boise,id"
37,BOS,"boston,ma"
38,BZN,"bozeman,mt"
39,BRD,"brainerd,mn"
40,TRI,"bristol,tn"
41,BRO,"brownsville,tx"
42,BQK,"brunswick,ga"
43,BUF,"buffalo,ny"
44,BUR,"burbank,ca"
45,BTV,"burlington,vt"
46,BTM,"butte,mt"
47,CGI,"capegirardeau,mo"
48,MRY,"monterey,ca"
49,CPR,"casper,wy"
50,CDC,"cedarcity,ut"
51,CID,"cedarrapids,ia"
52,CMI,"champaign,il"
53,CHS,"charleston,sc"
54,CRW,"charleston,wv"
55,CLT,"charlotte,nc"
56,CHO,"charlottesville,va"
57,CHA,"chattanooga,tn"
58,CYS,"cheyenne,wy"
59,MDW,"chicago,il"
60,ORD,"chicago,il"
61,HIB,"hibbing,mn"
62,CVG,"cincinnati,oh"
63,CKB,"clarksburg,wv"
64,PIE,"stpetersburg,fl"
65,CLE,"cleveland,oh"
66,COD,"yellowstone,wy"
67,CLL,"collegestation,tx"
68,COS,"coloradosprings,co"
69,COU,"columbia,mo"
70,CAE,"columbia,sc"
71,CSG,"columbus,ga"
72,GTR,"columbus,ms"
73,CMH,"columbus,oh"
74,CDV,"cordova,ak"
75,CRP,"corpuschristi,tx"
76,DFW,"fortworth,tx"
77,DAY,"dayton,oh"
78,DAB,"daytonabeach,fl"
79,DEN,"denver,co"
80,DSM,"desmoines,ia"
81,DTW,"detroit,mi"
82,DVL,"devil'slake,nd"
83,DHN,"dothan,al"
84,DBQ,"dubuque,ia"
85,DLH,"duluth,mn"
86,DRO,"durango,co"
87,RDU,"durham,nc"
88,EAU,"eauclaire,wi"
89,ELP,"elpaso,tx"
90,EKO,"elko,nv"
91,ELM,"elmira,ny"
92,ERI,"erie,pa"
93,ESC,"escanaba,mi"
94,EUG,"eugene,or"
95,EVV,"evansville,in"
96,FAI,"fairbanks,ak"
97,FAR,"fargo,nd"
98,XNA,"fayetteville,ar"
99,FAY,"fayetteville,nc"
100,FLG,"flagstaff,az"
101,FNT,"flint,mi"
102,FLL,"fortlauderdale,fl"
103,RSW,"fortmyers,fl"
104,FSM,"fortsmith,ar"
105,VPS,"valparaiso,fl"
106,FWA,"fortwayne,in"
107,FAT,"fresno,ca"
108,GNV,"gainesville,fl"
109,GCK,"gardencity,ks"
110,GCC,"gillette,wy"
111,GGG,"longview,tx"
112,GFK,"grandforks,nd"
113,GRI,"grandisland,ne"
114,GJT,"grandjunction,co"
115,GRR,"grandrapids,mi"
116,GTF,"greatfalls,mt"
117,GRB,"greenbay,wi"
118,GSO,"greensboro,nc"
119,GSP,"greer,sc"
120,GUC,"gunnison,co"
121,HGR,"hagerstown,md"
122,SUN,"sunvalley,id"
123,PHF,"newportnews,va"
124,CMX,"hancock,mi"
125,HRL,"harlingen,tx"
126,MDT,"harrisburg,pa"
127,BDL,"windsorlocks,ct"
128,HDN,"hayden,co"
129,HYS,"hays,ks"
130,HLN,"helena,mt"
131,ITO,"hilo,hi"
132,HHH,"hiltonhead,sc"
133,HNL,"honolulu,hi"
134,HOU,"houston,tx"
135,IAH,"houston,tx"
136,HSV,"huntsville,al"
137,IDA,"idahofalls,id"
138,IND,"indianapolis,in"
139,INL,"internationalfalls,mn"
140,IMT,"ironmountain,mi"
141,ISP,"islip,ny"
142,ITH,"ithaca,ny"
143,JAC,"jacksonhole,wy"
144,JAN,"jackson,ms"
145,JAX,"jacksonville,fl"
146,OAJ,"jacksonville,nc"
147,JMS,"jamestown,nd"
148,JLN,"joplin,mo"
149,JNU,"juneau,ak"
150,OGG,"kahului-maui,hi"
151,AZO,"kalamazoo,mi"
152,MCI,"kansascity,mo"
153,LIH,"kauai,hi"
154,EAR,"kearney,ne"
155,KTN,"ketchikan,ak"
156,EYW,"keywest,fl"
157,TYS,"knoxville,tn"
158,ADQ,"kodiak,ak"
159,KOA,"kona,hi"
160,OTZ,"kotzebue,ak"
161,LSE,"lacrosse,wi"
162,LFT,"lafayette,la"
163,LCH,"lakecharles,la"
164,LAN,"lansing,mi"
165,LAR,"laramie,wy"
166,LRD,"laredo,tx"
167,LAS,"lasvegas,nv"
168,LBE,"latrobe,pa"
169,PIB,"laurel,ms"
170,LAW,"lawton,ok"
171,LWB,"lewisburg,wv"
172,LWS,"lewiston,id"
173,LEX,"lexington,ky"
174,LBL,"liberal,ks"
175,LNK,"lincoln,ne"
176,LIT,"littlerock,ar"
177,LGB,"longbeach,ca"
178,LAX,"losangeles,ca"
179,SDF,"louisville,ky"
180,LBB,"lubbock,tx"
181,MSN,"madison,wi"
182,MHT,"manchester,nh"
183,MHK,"manhattan,ks"
184,MQT,"marquette,mi"
185,MFE,"mcallen,tx"
186,MFR,"medford,or"
187,MLB,"melbourne,fl"
188,MEM,"memphis,tn"
189,MEI,"meridian,ms"
190,MIA,"miami,fl"
191,MAF,"odessa,tx"
192,MKE,"milwaukee,wi"
193,MSP,"minneapolis,mn"
194,MOT,"minot,nd"
195,MSO,"missoula,mt"
196,CNY,"moab,ut"
197,MOB,"mobile,al"
198,MLI,"moline,il"
199,MLU,"monroe,la"
200,MGM,"montgomery,al"
201,MTJ,"montrose,co"
202,MKG,"muskegon,mi"
203,MYR,"myrtlebeach,sc"
204,BNA,"nashville,tn"
205,HVN,"newhaven,ct"
206,MSY,"neworleans,la"
207,JFK,"newyork,ny"
208,LGA,"newyork,ny"
209,EWR,"newark,nj"
210,SWF,"stewartfield,ny"
211,OME,"nome,ak"
212,ORF,"norfolk,va"
213,OTH,"northbend,or"
214,LBF,"northplatte,ne"
215,OAK,"oakland,ca"
216,OGS,"ogdensburg,ny"
217,OKC,"oklahomacity,ok"
218,OMA,"omaha,ne"
219,ONT,"ontario,ca"
220,SNA,"santaana,ca"
221,MCO,"orlando,fl"
222,OWB,"owensboro,ky"
223,PAH,"paducah,ky"
224,PSP,"palmsprings,ca"
225,PSC,"pasco,wa"
226,PLN,"pellston,mi"
227,PNS,"pensacola,fl"
228,PIA,"peoria,il"
229,PSG,"petersburg,ak"
230,PHL,"philadelphia,pa"
231,TTN,"trenton,nj"
232,PHX,"phoenix,az"
233,PIR,"pierre,sd"
234,PIT,"pittsburgh,pa"
235,PIH,"pocatello,id"
236,PSE,"ponce,pr"
237,PWM,"portland,me"
238,PDX,"portland,or"
239,PSM,"portsmouth,nh"
240,PRC,"prescott,az"
241,PVD,"providence,ri"
242,SCC,"prudhoebay,ak"
243,PUB,"pueblo,co"
244,UIN,"quincy,il"
245,RAP,"rapidcity,sd"
246,RDD,"redding,ca"
247,RDM,"redmond,or"
248,RNO,"reno,nv"
249,RHI,"rhinelander,wi,"
250,RIC,"richmond,va"
251,RIW,"riverton,wy"
252,ROA,"roanoke,va"
253,RST,"rochester,mn"
254,ROC,"rochester,ny"
255,RKS,"rocksprings,wy"
256,ROW,"roswell,nm"
257,SMF,"sacramento,ca"
258,STC,"saintcloud,mn"
259,SGU,"saintgeorge,ut"
260,STL,"saintlouis,mo"
261,SLN,"salina,ks"
262,SLC,"saltlakecity,ut"
263,SJT,"sanangelo,tx"
264,SAT,"sanantonio,tx"
265,SAN,"sandiego,ca"
266,SFO,"sanfrancisco,ca"
267,SJC,"sanjose,ca"
268,SJU,"sanjuan,pr"
269,SBP,"sanluisobispo,ca"
270,SBA,"santabarbara,ca"
271,SAF,"santafe,nm"
272,SMX,"santamaria,ca"
273,STS,"santarosa,ca"
274,SRQ,"sarasota,fl"
275,CIU,"saultstemarie,mi,"
276,SAV,"savannah,ga"
277,BFF,"scottsbluff,ne"
278,AVP,"scranton,pa"
279,SEA,"seattle,wa"
280,SHR,"sheridan,wy"
281,SHV,"shreveport,la"
282,SUX,"siouxcity,ia"
283,FSD,"siouxfalls,sd"
284,SIT,"sitka,ak"
285,SBN,"southbend,in"
286,GEG,"spokane,wa"
287,SPI,"springfield,il"
