Airport,flight_count
ATL,62696
ORD,48102
DFW,45934
CLT,38377
DEN,38373
LAX,35307
PHX,29731
IAH,28986
LAS,27113
LGA,27066
SFO,26576
DTW,24838
MCO,24558
MSP,24155
BOS,22807
DCA,22632
SEA,21586
EWR,21557
JFK,20508
SLC,19384
FLL,17940
PHL,17637
MIA,16125
BWI,15275
SAN,14766
TPA,13233
BNA,12547
MDW,11449
STL,10576
AUS,10191
IAD,10143
SJC,9854
HOU,9757
RDU,9663
PDX,9556
MSY,9192
HNL,8502
MCI,8387
SMF,8237
OAK,8153
PIT,7955
RSW,7695
IND,7536
CMH,7252
CLE,7233
CVG,7184
SNA,6636
SAT,6415
PBI,5140
BUR,4995
