date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-14,-21,0.0,8.7,2,97,05:27 PM,07:37 AM,08:25 AM,05:33 PM,-22,-28,-19,-28,20,6,78,0.0,1028,-19,10,313,13,"albany,ny"
2018-01-01 01:00:00,-14,-21,0.0,8.7,2,97,05:27 PM,07:37 AM,08:25 AM,05:33 PM,-22,-28,-20,-28,20,6,78,0.0,1029,-19,10,314,13,"albany,ny"
2018-01-01 02:00:00,-14,-21,0.0,8.7,2,97,05:27 PM,07:37 AM,08:25 AM,05:33 PM,-22,-28,-20,-28,20,6,78,0.0,1029,-20,10,314,13,"albany,ny"
2018-01-01 03:00:00,-14,-21,0.0,8.7,2,97,05:27 PM,07:37 AM,08:25 AM,05:33 PM,-22,-28,-20,-28,20,6,78,0.0,1029,-20,10,314,13,"albany,ny"
2018-01-01 04:00:00,-14,-21,0.0,8.7,2,97,05:27 PM,07:37 AM,08:25 AM,05:33 PM,-23,-29,-20,-29,21,6,78,0.0,1029,-20,10,312,14,"albany,ny"
2018-01-01 05:00:00,-14,-21,0.0,8.7,2,97,05:27 PM,07:37 AM,08:25 AM,05:33 PM,-23,-29,-20,-29,21,7,78,0.0,1029,-20,10,309,14,"albany,ny"
2018-01-01 06:00:00,-14,-21,0.0,8.7,2,97,05:27 PM,07:37 AM,08:25 AM,05:33 PM,-24,-30,-21,-30,21,7,77,0.0,1029,-21,10,307,14,"albany,ny"
2018-01-01 07:00:00,-14,-21,0.0,8.7,2,97,05:27 PM,07:37 AM,08:25 AM,05:33 PM,-23,-28,-20,-28,21,6,74,0.0,1029,-20,10,308,15,"albany,ny"
2018-01-01 08:00:00,-14,-21,0.0,8.7,2,97,05:27 PM,07:37 AM,08:25 AM,05:33 PM,-23,-27,-18,-27,20,5,70,0.0,1029,-18,10,310,15,"albany,ny"
2018-01-01 09:00:00,-14,-21,0.0,8.7,2,97,05:27 PM,07:37 AM,08:25 AM,05:33 PM,-22,-26,-17,-26,19,4,67,0.0,1029,-17,10,311,16,"albany,ny"
2018-01-01 10:00:00,-14,-21,0.0,8.7,2,97,05:27 PM,07:37 AM,08:25 AM,05:33 PM,-21,-25,-16,-25,19,6,64,0.0,1029,-16,10,311,16,"albany,ny"
2018-01-01 11:00:00,-14,-21,0.0,8.7,2,97,05:27 PM,07:37 AM,08:25 AM,05:33 PM,-21,-24,-15,-24,19,8,61,0.0,1028,-15,10,311,17,"albany,ny"
2018-01-01 12:00:00,-14,-21,0.0,8.7,2,97,05:27 PM,07:37 AM,08:25 AM,05:33 PM,-21,-23,-14,-23,19,10,59,0.0,1027,-14,10,312,17,"albany,ny"
2018-01-01 13:00:00,-14,-21,0.0,8.7,2,97,05:27 PM,07:37 AM,08:25 AM,05:33 PM,-20,-22,-14,-22,19,15,61,0.0,1028,-14,10,309,15,"albany,ny"
2018-01-01 14:00:00,-14,-21,0.0,8.7,2,97,05:27 PM,07:37 AM,08:25 AM,05:33 PM,-19,-21,-14,-21,18,20,64,0.0,1028,-14,10,305,14,"albany,ny"
2018-01-01 15:00:00,-14,-21,0.0,8.7,2,97,05:27 PM,07:37 AM,08:25 AM,05:33 PM,-19,-21,-14,-21,17,25,66,0.0,1028,-14,10,302,12,"albany,ny"
2018-01-01 16:00:00,-14,-21,0.0,8.7,2,97,05:27 PM,07:37 AM,08:25 AM,05:33 PM,-19,-19,-15,-19,12,47,73,0.0,1028,-15,10,287,9,"albany,ny"
2018-01-01 17:00:00,-14,-21,0.0,8.7,2,97,05:27 PM,07:37 AM,08:25 AM,05:33 PM,-18,-18,-16,-18,7,69,80,0.0,1028,-16,10,271,5,"albany,ny"
2018-01-01 18:00:00,-14,-21,0.0,8.7,2,97,05:27 PM,07:37 AM,08:25 AM,05:33 PM,-18,-16,-16,-16,2,91,86,0.0,1028,-16,10,256,1,"albany,ny"
2018-01-01 19:00:00,-14,-21,0.0,8.7,2,97,05:27 PM,07:37 AM,08:25 AM,05:33 PM,-18,-17,-16,-17,5,94,87,0.0,1027,-16,10,239,2,"albany,ny"
2018-01-01 20:00:00,-14,-21,0.0,8.7,2,97,05:27 PM,07:37 AM,08:25 AM,05:33 PM,-17,-18,-16,-18,7,97,87,0.0,1027,-16,10,222,4,"albany,ny"
2018-01-01 21:00:00,-14,-21,0.0,8.7,2,97,05:27 PM,07:37 AM,08:25 AM,05:33 PM,-17,-19,-16,-19,9,100,88,0.0,1027,-16,10,204,5,"albany,ny"
2018-01-01 22:00:00,-14,-21,0.0,8.7,2,97,05:27 PM,07:37 AM,08:25 AM,05:33 PM,-17,-20,-15,-20,12,100,86,0.0,1027,-15,10,230,7,"albany,ny"
2018-01-01 23:00:00,-14,-21,0.0,8.7,2,97,05:27 PM,07:37 AM,08:25 AM,05:33 PM,-17,-20,-15,-20,15,100,85,0.0,1026,-15,10,255,9,"albany,ny"
2018-01-02 00:00:00,-8,-18,0.0,3.4,1,100,06:34 PM,08:41 AM,08:25 AM,05:33 PM,-16,-21,-14,-21,18,100,84,0.0,1026,-14,10,280,12,"albany,ny"
2018-01-02 01:00:00,-8,-18,0.0,3.4,1,100,06:34 PM,08:41 AM,08:25 AM,05:33 PM,-17,-22,-15,-22,21,87,81,0.0,1027,-15,10,288,13,"albany,ny"
2018-01-02 02:00:00,-8,-18,0.0,3.4,1,100,06:34 PM,08:41 AM,08:25 AM,05:33 PM,-18,-23,-15,-23,24,74,79,0.0,1028,-15,10,295,15,"albany,ny"
2018-01-02 03:00:00,-8,-18,0.0,3.4,1,100,06:34 PM,08:41 AM,08:25 AM,05:33 PM,-19,-25,-16,-25,27,61,77,0.0,1028,-16,10,303,17,"albany,ny"
2018-01-02 04:00:00,-8,-18,0.0,3.4,1,100,06:34 PM,08:41 AM,08:25 AM,05:33 PM,-19,-24,-16,-24,21,57,80,0.0,1029,-16,10,311,13,"albany,ny"
2018-01-02 05:00:00,-8,-18,0.0,3.4,1,100,06:34 PM,08:41 AM,08:25 AM,05:33 PM,-19,-23,-17,-23,14,53,84,0.0,1029,-17,10,319,9,"albany,ny"
2018-01-02 06:00:00,-8,-18,0.0,3.4,1,100,06:34 PM,08:41 AM,08:25 AM,05:33 PM,-19,-21,-18,-21,8,49,87,0.0,1029,-18,10,327,5,"albany,ny"
2018-01-02 07:00:00,-8,-18,0.0,3.4,1,100,06:34 PM,08:41 AM,08:25 AM,05:33 PM,-18,-21,-16,-21,11,61,82,0.0,1029,-16,10,315,8,"albany,ny"
2018-01-02 08:00:00,-8,-18,0.0,3.4,1,100,06:34 PM,08:41 AM,08:25 AM,05:33 PM,-18,-20,-14,-20,14,73,77,0.0,1029,-14,10,303,10,"albany,ny"
2018-01-02 09:00:00,-8,-18,0.0,3.4,1,100,06:34 PM,08:41 AM,08:25 AM,05:33 PM,-17,-20,-13,-20,16,85,72,0.0,1028,-13,10,291,13,"albany,ny"
2018-01-02 10:00:00,-8,-18,0.0,3.4,1,100,06:34 PM,08:41 AM,08:25 AM,05:33 PM,-16,-17,-11,-17,14,86,69,0.0,1027,-11,10,275,11,"albany,ny"
2018-01-02 11:00:00,-8,-18,0.0,3.4,1,100,06:34 PM,08:41 AM,08:25 AM,05:33 PM,-15,-15,-10,-15,12,86,66,0.0,1026,-10,10,259,9,"albany,ny"
2018-01-02 12:00:00,-8,-18,0.0,3.4,1,100,06:34 PM,08:41 AM,08:25 AM,05:33 PM,-14,-12,-8,-12,10,87,63,0.0,1025,-8,10,242,8,"albany,ny"
2018-01-02 13:00:00,-8,-18,0.0,3.4,1,100,06:34 PM,08:41 AM,08:25 AM,05:33 PM,-13,-12,-8,-12,11,82,66,0.0,1025,-8,10,238,9,"albany,ny"
2018-01-02 14:00:00,-8,-18,0.0,3.4,1,100,06:34 PM,08:41 AM,08:25 AM,05:33 PM,-13,-13,-8,-13,13,78,69,0.0,1025,-8,10,233,9,"albany,ny"
2018-01-02 15:00:00,-8,-18,0.0,3.4,1,100,06:34 PM,08:41 AM,08:25 AM,05:33 PM,-12,-13,-8,-13,15,73,72,0.0,1024,-8,10,229,10,"albany,ny"
2018-01-02 16:00:00,-8,-18,0.0,3.4,1,100,06:34 PM,08:41 AM,08:25 AM,05:33 PM,-12,-13,-9,-13,14,73,77,0.0,1024,-9,10,225,9,"albany,ny"
2018-01-02 17:00:00,-8,-18,0.0,3.4,1,100,06:34 PM,08:41 AM,08:25 AM,05:33 PM,-12,-14,-10,-14,13,73,82,0.0,1024,-10,10,220,7,"albany,ny"
2018-01-02 18:00:00,-8,-18,0.0,3.4,1,100,06:34 PM,08:41 AM,08:25 AM,05:33 PM,-13,-14,-11,-14,12,73,87,0.0,1024,-11,10,216,6,"albany,ny"
2018-01-02 19:00:00,-8,-18,0.0,3.4,1,100,06:34 PM,08:41 AM,08:25 AM,05:33 PM,-13,-15,-11,-15,13,52,87,0.0,1024,-11,10,220,6,"albany,ny"
2018-01-02 20:00:00,-8,-18,0.0,3.4,1,100,06:34 PM,08:41 AM,08:25 AM,05:33 PM,-13,-16,-12,-16,15,31,87,0.0,1025,-12,10,225,7,"albany,ny"
2018-01-02 21:00:00,-8,-18,0.0,3.4,1,100,06:34 PM,08:41 AM,08:25 AM,05:33 PM,-14,-17,-12,-17,16,10,87,0.0,1025,-12,10,229,8,"albany,ny"
2018-01-02 22:00:00,-8,-18,0.0,3.4,1,100,06:34 PM,08:41 AM,08:25 AM,05:33 PM,-14,-16,-12,-16,14,11,87,0.0,1025,-12,10,219,7,"albany,ny"
2018-01-02 23:00:00,-8,-18,0.0,3.4,1,100,06:34 PM,08:41 AM,08:25 AM,05:33 PM,-14,-16,-12,-16,11,13,86,0.0,1025,-12,10,208,6,"albany,ny"
2018-01-03 00:00:00,-7,-14,0.0,8.7,2,89,07:45 PM,09:37 AM,08:25 AM,05:34 PM,-14,-15,-12,-15,9,14,85,0.0,1025,-13,10,198,5,"albany,ny"
2018-01-03 01:00:00,-7,-14,0.0,8.7,2,89,07:45 PM,09:37 AM,08:25 AM,05:34 PM,-14,-16,-13,-16,10,13,86,0.0,1025,-13,10,191,5,"albany,ny"
2018-01-03 02:00:00,-7,-14,0.0,8.7,2,89,07:45 PM,09:37 AM,08:25 AM,05:34 PM,-15,-16,-13,-16,10,11,88,0.0,1026,-13,10,184,5,"albany,ny"
2018-01-03 03:00:00,-7,-14,0.0,8.7,2,89,07:45 PM,09:37 AM,08:25 AM,05:34 PM,-15,-17,-14,-17,10,9,89,0.0,1026,-14,10,178,5,"albany,ny"
2018-01-03 04:00:00,-7,-14,0.0,8.7,2,89,07:45 PM,09:37 AM,08:25 AM,05:34 PM,-15,-17,-14,-17,10,36,88,0.0,1026,-14,10,171,5,"albany,ny"
2018-01-03 05:00:00,-7,-14,0.0,8.7,2,89,07:45 PM,09:37 AM,08:25 AM,05:34 PM,-16,-17,-14,-17,10,64,87,0.0,1026,-14,10,164,5,"albany,ny"
2018-01-03 06:00:00,-7,-14,0.0,8.7,2,89,07:45 PM,09:37 AM,08:25 AM,05:34 PM,-16,-17,-14,-17,9,91,86,0.0,1026,-14,10,158,5,"albany,ny"
2018-01-03 07:00:00,-7,-14,0.0,8.7,2,89,07:45 PM,09:37 AM,08:25 AM,05:34 PM,-15,-15,-12,-15,8,62,79,0.0,1026,-13,10,162,5,"albany,ny"
2018-01-03 08:00:00,-7,-14,0.0,8.7,2,89,07:45 PM,09:37 AM,08:25 AM,05:34 PM,-15,-14,-11,-14,7,33,73,0.0,1026,-11,10,167,5,"albany,ny"
2018-01-03 09:00:00,-7,-14,0.0,8.7,2,89,07:45 PM,09:37 AM,08:25 AM,05:34 PM,-14,-12,-9,-12,5,3,66,0.0,1026,-9,10,171,5,"albany,ny"
2018-01-03 10:00:00,-7,-14,0.0,8.7,2,89,07:45 PM,09:37 AM,08:25 AM,05:34 PM,-14,-11,-8,-11,7,6,63,0.0,1025,-9,10,170,6,"albany,ny"
