date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-3,-14,0.0,5.8,2,97,05:59 PM,08:30 AM,09:12 AM,05:56 PM,-17,-18,-12,-18,21,30,69,0.0,1031,-12,10,225,10,"butte,mt"
2018-01-01 01:00:00,-3,-14,0.0,5.8,2,97,05:59 PM,08:30 AM,09:12 AM,05:56 PM,-17,-18,-13,-18,19,23,68,0.0,1032,-13,10,221,9,"butte,mt"
2018-01-01 02:00:00,-3,-14,0.0,5.8,2,97,05:59 PM,08:30 AM,09:12 AM,05:56 PM,-18,-18,-13,-18,17,17,67,0.0,1032,-13,10,218,8,"butte,mt"
2018-01-01 03:00:00,-3,-14,0.0,5.8,2,97,05:59 PM,08:30 AM,09:12 AM,05:56 PM,-18,-18,-13,-18,15,11,66,0.0,1032,-13,10,215,7,"butte,mt"
2018-01-01 04:00:00,-3,-14,0.0,5.8,2,97,05:59 PM,08:30 AM,09:12 AM,05:56 PM,-18,-18,-13,-18,18,8,66,0.0,1032,-13,10,223,9,"butte,mt"
2018-01-01 05:00:00,-3,-14,0.0,5.8,2,97,05:59 PM,08:30 AM,09:12 AM,05:56 PM,-17,-18,-12,-18,21,6,65,0.0,1032,-12,10,232,10,"butte,mt"
2018-01-01 06:00:00,-3,-14,0.0,5.8,2,97,05:59 PM,08:30 AM,09:12 AM,05:56 PM,-17,-18,-12,-18,23,3,65,0.0,1033,-12,10,240,11,"butte,mt"
2018-01-01 07:00:00,-3,-14,0.0,5.8,2,97,05:59 PM,08:30 AM,09:12 AM,05:56 PM,-18,-18,-12,-18,19,3,66,0.0,1033,-12,10,242,9,"butte,mt"
2018-01-01 08:00:00,-3,-14,0.0,5.8,2,97,05:59 PM,08:30 AM,09:12 AM,05:56 PM,-18,-18,-13,-18,15,2,66,0.0,1033,-13,10,244,7,"butte,mt"
2018-01-01 09:00:00,-3,-14,0.0,5.8,2,97,05:59 PM,08:30 AM,09:12 AM,05:56 PM,-19,-18,-14,-18,11,1,67,0.0,1034,-14,10,245,5,"butte,mt"
2018-01-01 10:00:00,-3,-14,0.0,5.8,2,97,05:59 PM,08:30 AM,09:12 AM,05:56 PM,-16,-15,-11,-15,11,2,68,0.0,1033,-11,10,256,6,"butte,mt"
2018-01-01 11:00:00,-3,-14,0.0,5.8,2,97,05:59 PM,08:30 AM,09:12 AM,05:56 PM,-13,-12,-9,-12,11,3,69,0.0,1032,-9,10,267,7,"butte,mt"
2018-01-01 12:00:00,-3,-14,0.0,5.8,2,97,05:59 PM,08:30 AM,09:12 AM,05:56 PM,-11,-9,-6,-9,11,3,70,0.0,1032,-6,10,278,7,"butte,mt"
2018-01-01 13:00:00,-3,-14,0.0,5.8,2,97,05:59 PM,08:30 AM,09:12 AM,05:56 PM,-9,-8,-5,-8,11,3,71,0.0,1031,-5,10,290,7,"butte,mt"
2018-01-01 14:00:00,-3,-14,0.0,5.8,2,97,05:59 PM,08:30 AM,09:12 AM,05:56 PM,-8,-7,-4,-7,10,3,71,0.0,1030,-4,10,302,7,"butte,mt"
2018-01-01 15:00:00,-3,-14,0.0,5.8,2,97,05:59 PM,08:30 AM,09:12 AM,05:56 PM,-7,-6,-3,-6,10,4,72,0.0,1030,-3,10,314,8,"butte,mt"
2018-01-01 16:00:00,-3,-14,0.0,5.8,2,97,05:59 PM,08:30 AM,09:12 AM,05:56 PM,-9,-9,-5,-9,12,4,73,0.0,1031,-5,10,318,8,"butte,mt"
2018-01-01 17:00:00,-3,-14,0.0,5.8,2,97,05:59 PM,08:30 AM,09:12 AM,05:56 PM,-11,-11,-7,-11,15,5,75,0.0,1033,-7,10,322,8,"butte,mt"
2018-01-01 18:00:00,-3,-14,0.0,5.8,2,97,05:59 PM,08:30 AM,09:12 AM,05:56 PM,-13,-14,-10,-14,17,6,76,0.0,1034,-10,10,326,8,"butte,mt"
2018-01-01 19:00:00,-3,-14,0.0,5.8,2,97,05:59 PM,08:30 AM,09:12 AM,05:56 PM,-14,-15,-11,-15,15,6,78,0.0,1035,-11,10,311,7,"butte,mt"
2018-01-01 20:00:00,-3,-14,0.0,5.8,2,97,05:59 PM,08:30 AM,09:12 AM,05:56 PM,-15,-16,-12,-16,13,7,80,0.0,1036,-12,10,296,6,"butte,mt"
2018-01-01 21:00:00,-3,-14,0.0,5.8,2,97,05:59 PM,08:30 AM,09:12 AM,05:56 PM,-16,-17,-14,-17,11,7,81,0.0,1037,-14,10,281,5,"butte,mt"
2018-01-01 22:00:00,-3,-14,0.0,5.8,2,97,05:59 PM,08:30 AM,09:12 AM,05:56 PM,-16,-17,-13,-17,14,6,80,0.0,1038,-13,10,278,7,"butte,mt"
2018-01-01 23:00:00,-3,-14,0.0,5.8,2,97,05:59 PM,08:30 AM,09:12 AM,05:56 PM,-16,-18,-13,-18,17,5,78,0.0,1038,-13,10,276,8,"butte,mt"
2018-01-02 00:00:00,0,-15,0.0,5.8,2,100,07:06 PM,09:33 AM,09:12 AM,05:57 PM,-15,-18,-12,-18,20,4,77,0.0,1039,-12,10,273,10,"butte,mt"
2018-01-02 01:00:00,0,-15,0.0,5.8,2,100,07:06 PM,09:33 AM,09:12 AM,05:57 PM,-17,-18,-13,-18,17,3,75,0.0,1039,-13,10,266,8,"butte,mt"
2018-01-02 02:00:00,0,-15,0.0,5.8,2,100,07:06 PM,09:33 AM,09:12 AM,05:57 PM,-18,-18,-14,-18,14,3,73,0.0,1040,-14,10,259,7,"butte,mt"
2018-01-02 03:00:00,0,-15,0.0,5.8,2,100,07:06 PM,09:33 AM,09:12 AM,05:57 PM,-19,-19,-15,-19,11,2,72,0.0,1040,-15,10,251,5,"butte,mt"
2018-01-02 04:00:00,0,-15,0.0,5.8,2,100,07:06 PM,09:33 AM,09:12 AM,05:57 PM,-18,-18,-14,-18,16,1,68,0.0,1040,-14,10,253,7,"butte,mt"
2018-01-02 05:00:00,0,-15,0.0,5.8,2,100,07:06 PM,09:33 AM,09:12 AM,05:57 PM,-18,-18,-12,-18,20,1,64,0.0,1040,-12,10,255,9,"butte,mt"
2018-01-02 06:00:00,0,-15,0.0,5.8,2,100,07:06 PM,09:33 AM,09:12 AM,05:57 PM,-17,-17,-11,-17,24,0,60,0.0,1040,-11,10,257,12,"butte,mt"
2018-01-02 07:00:00,0,-15,0.0,5.8,2,100,07:06 PM,09:33 AM,09:12 AM,05:57 PM,-18,-17,-12,-17,20,0,59,0.0,1040,-11,10,256,10,"butte,mt"
2018-01-02 08:00:00,0,-15,0.0,5.8,2,100,07:06 PM,09:33 AM,09:12 AM,05:57 PM,-19,-16,-12,-16,16,0,58,0.0,1040,-12,10,255,8,"butte,mt"
2018-01-02 09:00:00,0,-15,0.0,5.8,2,100,07:06 PM,09:33 AM,09:12 AM,05:57 PM,-19,-16,-13,-16,12,0,57,0.0,1040,-12,10,254,6,"butte,mt"
2018-01-02 10:00:00,0,-15,0.0,5.8,2,100,07:06 PM,09:33 AM,09:12 AM,05:57 PM,-16,-13,-10,-13,13,0,61,0.0,1039,-10,10,259,6,"butte,mt"
2018-01-02 11:00:00,0,-15,0.0,5.8,2,100,07:06 PM,09:33 AM,09:12 AM,05:57 PM,-12,-10,-7,-10,14,0,65,0.0,1038,-7,10,263,7,"butte,mt"
2018-01-02 12:00:00,0,-15,0.0,5.8,2,100,07:06 PM,09:33 AM,09:12 AM,05:57 PM,-9,-7,-4,-7,14,0,69,0.0,1037,-4,10,267,8,"butte,mt"
2018-01-02 13:00:00,0,-15,0.0,5.8,2,100,07:06 PM,09:33 AM,09:12 AM,05:57 PM,-7,-5,-3,-5,11,1,73,0.0,1036,-3,10,260,6,"butte,mt"
2018-01-02 14:00:00,0,-15,0.0,5.8,2,100,07:06 PM,09:33 AM,09:12 AM,05:57 PM,-5,-2,-1,-2,7,2,77,0.0,1034,-1,10,253,4,"butte,mt"
2018-01-02 15:00:00,0,-15,0.0,5.8,2,100,07:06 PM,09:33 AM,09:12 AM,05:57 PM,-3,0,0,0,4,3,81,0.0,1033,0,10,246,3,"butte,mt"
2018-01-02 16:00:00,0,-15,0.0,5.8,2,100,07:06 PM,09:33 AM,09:12 AM,05:57 PM,-5,-2,-2,-2,4,4,80,0.0,1033,-2,10,232,3,"butte,mt"
2018-01-02 17:00:00,0,-15,0.0,5.8,2,100,07:06 PM,09:33 AM,09:12 AM,05:57 PM,-8,-4,-4,-4,5,4,79,0.0,1034,-4,10,219,3,"butte,mt"
2018-01-02 18:00:00,0,-15,0.0,5.8,2,100,07:06 PM,09:33 AM,09:12 AM,05:57 PM,-10,-7,-7,-7,5,5,77,0.0,1034,-7,10,206,3,"butte,mt"
2018-01-02 19:00:00,0,-15,0.0,5.8,2,100,07:06 PM,09:33 AM,09:12 AM,05:57 PM,-11,-8,-7,-8,7,5,77,0.0,1035,-7,10,203,3,"butte,mt"
2018-01-02 20:00:00,0,-15,0.0,5.8,2,100,07:06 PM,09:33 AM,09:12 AM,05:57 PM,-11,-9,-8,-9,9,6,76,0.0,1035,-8,10,201,4,"butte,mt"
2018-01-02 21:00:00,0,-15,0.0,5.8,2,100,07:06 PM,09:33 AM,09:12 AM,05:57 PM,-11,-11,-8,-11,11,6,76,0.0,1035,-8,10,199,5,"butte,mt"
2018-01-02 22:00:00,0,-15,0.0,5.8,2,100,07:06 PM,09:33 AM,09:12 AM,05:57 PM,-12,-11,-8,-11,10,6,74,0.0,1035,-8,10,202,5,"butte,mt"
2018-01-02 23:00:00,0,-15,0.0,5.8,2,100,07:06 PM,09:33 AM,09:12 AM,05:57 PM,-12,-11,-8,-11,10,5,72,0.0,1034,-8,10,204,5,"butte,mt"
2018-01-03 00:00:00,1,-8,0.0,4.0,2,89,08:19 PM,10:26 AM,09:12 AM,05:58 PM,-13,-11,-8,-11,10,5,70,0.0,1034,-8,10,207,5,"butte,mt"
2018-01-03 01:00:00,1,-8,0.0,4.0,2,89,08:19 PM,10:26 AM,09:12 AM,05:58 PM,-13,-11,-8,-11,11,8,68,0.0,1033,-8,10,201,5,"butte,mt"
2018-01-03 02:00:00,1,-8,0.0,4.0,2,89,08:19 PM,10:26 AM,09:12 AM,05:58 PM,-13,-11,-8,-11,12,11,67,0.0,1033,-8,10,194,6,"butte,mt"
2018-01-03 03:00:00,1,-8,0.0,4.0,2,89,08:19 PM,10:26 AM,09:12 AM,05:58 PM,-13,-11,-8,-11,14,15,66,0.0,1032,-8,10,188,6,"butte,mt"
2018-01-03 04:00:00,1,-8,0.0,4.0,2,89,08:19 PM,10:26 AM,09:12 AM,05:58 PM,-12,-10,-6,-10,15,41,65,0.0,1031,-6,10,203,7,"butte,mt"
2018-01-03 05:00:00,1,-8,0.0,4.0,2,89,08:19 PM,10:26 AM,09:12 AM,05:58 PM,-11,-9,-5,-9,16,67,64,0.0,1031,-5,10,219,8,"butte,mt"
