date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-19,-25,0.0,8.7,2,97,05:35 PM,07:31 AM,08:15 AM,05:38 PM,-22,-30,-21,-30,27,25,92,0.0,1042,-21,10,304,15,"champaign,il"
2018-01-01 01:00:00,-19,-25,0.0,8.7,2,97,05:35 PM,07:31 AM,08:15 AM,05:38 PM,-23,-31,-22,-31,27,28,92,0.0,1043,-22,10,305,15,"champaign,il"
2018-01-01 02:00:00,-19,-25,0.0,8.7,2,97,05:35 PM,07:31 AM,08:15 AM,05:38 PM,-23,-32,-22,-32,27,30,92,0.0,1043,-22,10,305,15,"champaign,il"
2018-01-01 03:00:00,-19,-25,0.0,8.7,2,97,05:35 PM,07:31 AM,08:15 AM,05:38 PM,-24,-33,-23,-33,27,33,92,0.0,1043,-23,10,306,15,"champaign,il"
2018-01-01 04:00:00,-19,-25,0.0,8.7,2,97,05:35 PM,07:31 AM,08:15 AM,05:38 PM,-25,-34,-24,-34,26,37,92,0.0,1044,-24,10,304,15,"champaign,il"
2018-01-01 05:00:00,-19,-25,0.0,8.7,2,97,05:35 PM,07:31 AM,08:15 AM,05:38 PM,-25,-35,-24,-35,26,42,92,0.0,1044,-24,10,302,15,"champaign,il"
2018-01-01 06:00:00,-19,-25,0.0,8.7,2,97,05:35 PM,07:31 AM,08:15 AM,05:38 PM,-26,-35,-25,-35,26,46,93,0.0,1045,-25,10,300,15,"champaign,il"
2018-01-01 07:00:00,-19,-25,0.0,8.7,2,97,05:35 PM,07:31 AM,08:15 AM,05:38 PM,-25,-35,-25,-35,25,42,92,0.0,1045,-25,10,299,16,"champaign,il"
2018-01-01 08:00:00,-19,-25,0.0,8.7,2,97,05:35 PM,07:31 AM,08:15 AM,05:38 PM,-25,-35,-24,-35,25,37,91,0.0,1045,-24,10,298,16,"champaign,il"
2018-01-01 09:00:00,-19,-25,0.0,8.7,2,97,05:35 PM,07:31 AM,08:15 AM,05:38 PM,-25,-34,-24,-34,25,33,90,0.0,1045,-24,10,297,17,"champaign,il"
2018-01-01 10:00:00,-19,-25,0.0,8.7,2,97,05:35 PM,07:31 AM,08:15 AM,05:38 PM,-24,-33,-23,-33,23,27,89,0.0,1046,-23,10,293,17,"champaign,il"
2018-01-01 11:00:00,-19,-25,0.0,8.7,2,97,05:35 PM,07:31 AM,08:15 AM,05:38 PM,-23,-32,-22,-32,22,21,88,0.0,1046,-22,10,290,17,"champaign,il"
2018-01-01 12:00:00,-19,-25,0.0,8.7,2,97,05:35 PM,07:31 AM,08:15 AM,05:38 PM,-22,-30,-21,-30,21,15,87,0.0,1046,-21,10,286,17,"champaign,il"
