date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,17,16,0.0,7.0,5,97,05:38 PM,07:11 AM,08:13 AM,05:59 PM,12,16,16,16,37,3,77,0.0,1023,16,10,282,26,"greatfalls,mt"
2018-01-01 01:00:00,17,16,0.0,7.0,5,97,05:38 PM,07:11 AM,08:13 AM,05:59 PM,12,16,16,16,37,6,77,0.0,1023,16,10,279,27,"greatfalls,mt"
2018-01-01 02:00:00,17,16,0.0,7.0,5,97,05:38 PM,07:11 AM,08:13 AM,05:59 PM,12,16,16,16,38,8,77,0.0,1023,16,10,276,27,"greatfalls,mt"
2018-01-01 03:00:00,17,16,0.0,7.0,5,97,05:38 PM,07:11 AM,08:13 AM,05:59 PM,12,16,16,16,38,11,76,0.0,1023,16,10,273,27,"greatfalls,mt"
2018-01-01 04:00:00,17,16,0.0,7.0,5,97,05:38 PM,07:11 AM,08:13 AM,05:59 PM,12,16,16,16,36,18,77,0.0,1023,16,10,267,25,"greatfalls,mt"
2018-01-01 05:00:00,17,16,0.0,7.0,5,97,05:38 PM,07:11 AM,08:13 AM,05:59 PM,12,16,16,16,34,25,77,0.0,1023,16,10,262,23,"greatfalls,mt"
2018-01-01 06:00:00,17,16,0.0,7.0,5,97,05:38 PM,07:11 AM,08:13 AM,05:59 PM,12,16,16,16,31,32,77,0.0,1023,16,10,257,22,"greatfalls,mt"
2018-01-01 07:00:00,17,16,0.0,7.0,5,97,05:38 PM,07:11 AM,08:13 AM,05:59 PM,13,16,16,16,34,32,78,0.0,1023,16,10,255,23,"greatfalls,mt"
2018-01-01 08:00:00,17,16,0.0,7.0,5,97,05:38 PM,07:11 AM,08:13 AM,05:59 PM,13,17,17,17,36,32,79,0.0,1023,17,10,252,24,"greatfalls,mt"
2018-01-01 09:00:00,17,16,0.0,7.0,5,97,05:38 PM,07:11 AM,08:13 AM,05:59 PM,13,17,17,17,38,32,81,0.0,1023,17,10,250,26,"greatfalls,mt"
2018-01-01 10:00:00,17,16,0.0,7.0,5,97,05:38 PM,07:11 AM,08:13 AM,05:59 PM,13,17,17,17,44,31,79,0.0,1023,17,10,264,29,"greatfalls,mt"
2018-01-01 11:00:00,17,16,0.0,7.0,5,97,05:38 PM,07:11 AM,08:13 AM,05:59 PM,13,17,17,17,49,30,78,0.0,1022,17,10,279,33,"greatfalls,mt"
2018-01-01 12:00:00,17,16,0.0,7.0,5,97,05:38 PM,07:11 AM,08:13 AM,05:59 PM,13,17,17,17,55,28,76,0.0,1022,17,10,293,37,"greatfalls,mt"
2018-01-01 13:00:00,17,16,0.0,7.0,5,97,05:38 PM,07:11 AM,08:13 AM,05:59 PM,13,17,17,17,58,44,76,0.0,1022,17,10,295,40,"greatfalls,mt"
2018-01-01 14:00:00,17,16,0.0,7.0,5,97,05:38 PM,07:11 AM,08:13 AM,05:59 PM,13,17,17,17,62,61,76,0.0,1022,17,10,298,44,"greatfalls,mt"
2018-01-01 15:00:00,17,16,0.0,7.0,5,97,05:38 PM,07:11 AM,08:13 AM,05:59 PM,12,17,17,17,66,77,75,0.0,1022,17,10,300,47,"greatfalls,mt"
2018-01-01 16:00:00,17,16,0.0,7.0,5,97,05:38 PM,07:11 AM,08:13 AM,05:59 PM,12,17,17,17,67,80,73,0.0,1022,17,10,303,48,"greatfalls,mt"
2018-01-01 17:00:00,17,16,0.0,7.0,5,97,05:38 PM,07:11 AM,08:13 AM,05:59 PM,11,16,16,16,69,83,72,0.0,1022,16,10,306,50,"greatfalls,mt"
2018-01-01 18:00:00,17,16,0.0,7.0,5,97,05:38 PM,07:11 AM,08:13 AM,05:59 PM,11,16,16,16,70,86,70,0.0,1022,16,10,308,51,"greatfalls,mt"
2018-01-01 19:00:00,17,16,0.0,7.0,5,97,05:38 PM,07:11 AM,08:13 AM,05:59 PM,10,16,16,16,69,62,69,0.0,1022,16,10,308,50,"greatfalls,mt"
2018-01-01 20:00:00,17,16,0.0,7.0,5,97,05:38 PM,07:11 AM,08:13 AM,05:59 PM,10,16,16,16,68,38,68,0.0,1022,16,10,307,50,"greatfalls,mt"
2018-01-01 21:00:00,17,16,0.0,7.0,5,97,05:38 PM,07:11 AM,08:13 AM,05:59 PM,10,16,16,16,67,14,68,0.0,1023,16,10,306,49,"greatfalls,mt"
2018-01-01 22:00:00,17,16,0.0,7.0,5,97,05:38 PM,07:11 AM,08:13 AM,05:59 PM,10,16,16,16,65,9,68,0.0,1022,16,10,305,48,"greatfalls,mt"
2018-01-01 23:00:00,17,16,0.0,7.0,5,97,05:38 PM,07:11 AM,08:13 AM,05:59 PM,10,16,16,16,64,5,68,0.0,1022,16,10,303,47,"greatfalls,mt"
2018-01-02 00:00:00,16,15,0.0,9.9,5,100,06:42 PM,08:16 AM,08:14 AM,06:00 PM,10,15,15,15,62,0,69,0.0,1022,15,10,302,46,"greatfalls,mt"
2018-01-02 01:00:00,16,15,0.0,9.9,5,100,06:42 PM,08:16 AM,08:14 AM,06:00 PM,10,15,15,15,61,1,70,0.0,1022,15,10,298,45,"greatfalls,mt"
2018-01-02 02:00:00,16,15,0.0,9.9,5,100,06:42 PM,08:16 AM,08:14 AM,06:00 PM,10,15,15,15,59,1,71,0.0,1021,15,10,295,44,"greatfalls,mt"
2018-01-02 03:00:00,16,15,0.0,9.9,5,100,06:42 PM,08:16 AM,08:14 AM,06:00 PM,10,15,15,15,58,2,71,0.0,1021,15,10,291,43,"greatfalls,mt"
2018-01-02 04:00:00,16,15,0.0,9.9,5,100,06:42 PM,08:16 AM,08:14 AM,06:00 PM,10,15,15,15,61,4,71,0.0,1021,15,10,288,45,"greatfalls,mt"
2018-01-02 05:00:00,16,15,0.0,9.9,5,100,06:42 PM,08:16 AM,08:14 AM,06:00 PM,10,15,15,15,64,7,70,0.0,1020,15,10,286,48,"greatfalls,mt"
2018-01-02 06:00:00,16,15,0.0,9.9,5,100,06:42 PM,08:16 AM,08:14 AM,06:00 PM,10,15,15,15,68,9,69,0.0,1020,15,10,284,50,"greatfalls,mt"
2018-01-02 07:00:00,16,15,0.0,9.9,5,100,06:42 PM,08:16 AM,08:14 AM,06:00 PM,10,15,15,15,72,26,69,0.0,1020,15,10,282,52,"greatfalls,mt"
2018-01-02 08:00:00,16,15,0.0,9.9,5,100,06:42 PM,08:16 AM,08:14 AM,06:00 PM,10,15,15,15,77,42,69,0.1,1019,15,10,281,55,"greatfalls,mt"
2018-01-02 09:00:00,16,15,0.0,9.9,5,100,06:42 PM,08:16 AM,08:14 AM,06:00 PM,10,15,15,15,81,59,69,0.1,1019,15,10,279,58,"greatfalls,mt"
2018-01-02 10:00:00,16,15,0.0,9.9,5,100,06:42 PM,08:16 AM,08:14 AM,06:00 PM,10,16,16,16,83,47,68,0.1,1019,16,10,283,59,"greatfalls,mt"
2018-01-02 11:00:00,16,15,0.0,9.9,5,100,06:42 PM,08:16 AM,08:14 AM,06:00 PM,9,16,16,16,84,35,66,0.0,1018,16,10,286,60,"greatfalls,mt"
2018-01-02 12:00:00,16,15,0.0,9.9,5,100,06:42 PM,08:16 AM,08:14 AM,06:00 PM,9,16,16,16,85,22,64,0.0,1018,16,10,290,61,"greatfalls,mt"
2018-01-02 13:00:00,16,15,0.0,9.9,5,100,06:42 PM,08:16 AM,08:14 AM,06:00 PM,9,16,16,16,86,16,63,0.0,1018,16,10,295,62,"greatfalls,mt"
2018-01-02 14:00:00,16,15,0.0,9.9,5,100,06:42 PM,08:16 AM,08:14 AM,06:00 PM,8,16,16,16,87,10,61,0.0,1018,16,10,301,63,"greatfalls,mt"
2018-01-02 15:00:00,16,15,0.0,9.9,5,100,06:42 PM,08:16 AM,08:14 AM,06:00 PM,8,16,16,16,88,3,60,0.0,1018,16,10,306,63,"greatfalls,mt"
2018-01-02 16:00:00,16,15,0.0,9.9,5,100,06:42 PM,08:16 AM,08:14 AM,06:00 PM,8,16,16,16,85,5,59,0.0,1018,16,10,307,62,"greatfalls,mt"
2018-01-02 17:00:00,16,15,0.0,9.9,5,100,06:42 PM,08:16 AM,08:14 AM,06:00 PM,8,16,16,16,82,7,59,0.0,1018,16,10,308,60,"greatfalls,mt"
2018-01-02 18:00:00,16,15,0.0,9.9,5,100,06:42 PM,08:16 AM,08:14 AM,06:00 PM,8,16,16,16,79,9,59,0.0,1018,16,10,309,58,"greatfalls,mt"
2018-01-02 19:00:00,16,15,0.0,9.9,5,100,06:42 PM,08:16 AM,08:14 AM,06:00 PM,8,16,16,16,78,7,59,0.0,1018,16,10,309,57,"greatfalls,mt"
2018-01-02 20:00:00,16,15,0.0,9.9,5,100,06:42 PM,08:16 AM,08:14 AM,06:00 PM,8,16,16,16,77,5,59,0.0,1018,16,10,308,55,"greatfalls,mt"
2018-01-02 21:00:00,16,15,0.0,9.9,5,100,06:42 PM,08:16 AM,08:14 AM,06:00 PM,8,16,16,16,75,3,59,0.0,1018,16,10,308,54,"greatfalls,mt"
2018-01-02 22:00:00,16,15,0.0,9.9,5,100,06:42 PM,08:16 AM,08:14 AM,06:00 PM,8,16,16,16,71,2,58,0.0,1018,16,10,310,51,"greatfalls,mt"
2018-01-02 23:00:00,16,15,0.0,9.9,5,100,06:42 PM,08:16 AM,08:14 AM,06:00 PM,7,16,16,16,67,2,58,0.0,1018,16,10,312,49,"greatfalls,mt"
