date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-4,-9,0.0,9.8,2,97,06:01 PM,07:41 AM,08:27 AM,06:07 PM,-18,-13,-8,-13,18,6,44,0.0,1031,-8,10,25,12,"greenbay,wi"
2018-01-01 01:00:00,-4,-9,0.0,9.8,2,97,06:01 PM,07:41 AM,08:27 AM,06:07 PM,-18,-14,-8,-14,18,5,43,0.0,1032,-8,10,24,12,"greenbay,wi"
2018-01-01 02:00:00,-4,-9,0.0,9.8,2,97,06:01 PM,07:41 AM,08:27 AM,06:07 PM,-19,-14,-8,-14,18,5,43,0.0,1032,-8,10,24,12,"greenbay,wi"
2018-01-01 03:00:00,-4,-9,0.0,9.8,2,97,06:01 PM,07:41 AM,08:27 AM,06:07 PM,-19,-14,-9,-14,18,4,43,0.0,1032,-8,10,23,12,"greenbay,wi"
2018-01-01 04:00:00,-4,-9,0.0,9.8,2,97,06:01 PM,07:41 AM,08:27 AM,06:07 PM,-19,-14,-9,-14,16,4,44,0.0,1033,-9,10,20,10,"greenbay,wi"
2018-01-01 05:00:00,-4,-9,0.0,9.8,2,97,06:01 PM,07:41 AM,08:27 AM,06:07 PM,-19,-14,-9,-14,13,4,45,0.0,1033,-9,10,18,9,"greenbay,wi"
2018-01-01 06:00:00,-4,-9,0.0,9.8,2,97,06:01 PM,07:41 AM,08:27 AM,06:07 PM,-19,-13,-9,-13,11,4,45,0.0,1034,-9,10,15,8,"greenbay,wi"
2018-01-01 07:00:00,-4,-9,0.0,9.8,2,97,06:01 PM,07:41 AM,08:27 AM,06:07 PM,-19,-13,-8,-13,13,5,42,0.0,1034,-8,10,129,10,"greenbay,wi"
2018-01-01 08:00:00,-4,-9,0.0,9.8,2,97,06:01 PM,07:41 AM,08:27 AM,06:07 PM,-19,-12,-7,-12,15,5,38,0.0,1034,-7,10,242,12,"greenbay,wi"
2018-01-01 09:00:00,-4,-9,0.0,9.8,2,97,06:01 PM,07:41 AM,08:27 AM,06:07 PM,-19,-12,-6,-12,16,5,34,0.0,1035,-6,10,356,14,"greenbay,wi"
2018-01-01 10:00:00,-4,-9,0.0,9.8,2,97,06:01 PM,07:41 AM,08:27 AM,06:07 PM,-20,-11,-5,-11,15,5,31,0.0,1034,-5,10,350,13,"greenbay,wi"
2018-01-01 11:00:00,-4,-9,0.0,9.8,2,97,06:01 PM,07:41 AM,08:27 AM,06:07 PM,-20,-9,-5,-9,13,6,28,0.0,1034,-5,10,344,12,"greenbay,wi"
2018-01-01 12:00:00,-4,-9,0.0,9.8,2,97,06:01 PM,07:41 AM,08:27 AM,06:07 PM,-21,-8,-4,-8,12,6,26,0.0,1034,-4,10,338,10,"greenbay,wi"
2018-01-01 13:00:00,-4,-9,0.0,9.8,2,97,06:01 PM,07:41 AM,08:27 AM,06:07 PM,-21,-8,-4,-8,13,6,26,0.0,1033,-4,10,331,11,"greenbay,wi"
2018-01-01 14:00:00,-4,-9,0.0,9.8,2,97,06:01 PM,07:41 AM,08:27 AM,06:07 PM,-21,-8,-4,-8,13,6,26,0.0,1033,-4,10,324,11,"greenbay,wi"
2018-01-01 15:00:00,-4,-9,0.0,9.8,2,97,06:01 PM,07:41 AM,08:27 AM,06:07 PM,-21,-8,-4,-8,14,6,26,0.0,1033,-4,10,317,11,"greenbay,wi"
2018-01-01 16:00:00,-4,-9,0.0,9.8,2,97,06:01 PM,07:41 AM,08:27 AM,06:07 PM,-20,-9,-5,-9,13,4,29,0.0,1033,-5,10,309,9,"greenbay,wi"
2018-01-01 17:00:00,-4,-9,0.0,9.8,2,97,06:01 PM,07:41 AM,08:27 AM,06:07 PM,-20,-10,-6,-10,12,2,33,0.0,1033,-6,10,301,8,"greenbay,wi"
2018-01-01 18:00:00,-4,-9,0.0,9.8,2,97,06:01 PM,07:41 AM,08:27 AM,06:07 PM,-19,-10,-7,-10,11,0,37,0.0,1034,-7,10,293,6,"greenbay,wi"
2018-01-01 19:00:00,-4,-9,0.0,9.8,2,97,06:01 PM,07:41 AM,08:27 AM,06:07 PM,-19,-11,-7,-11,13,0,38,0.0,1034,-7,10,302,7,"greenbay,wi"
2018-01-01 20:00:00,-4,-9,0.0,9.8,2,97,06:01 PM,07:41 AM,08:27 AM,06:07 PM,-19,-12,-7,-12,15,0,38,0.0,1035,-7,10,311,9,"greenbay,wi"
2018-01-01 21:00:00,-4,-9,0.0,9.8,2,97,06:01 PM,07:41 AM,08:27 AM,06:07 PM,-19,-12,-8,-12,17,0,39,0.0,1035,-7,10,319,10,"greenbay,wi"
2018-01-01 22:00:00,-4,-9,0.0,9.8,2,97,06:01 PM,07:41 AM,08:27 AM,06:07 PM,-19,-12,-8,-12,14,0,40,0.0,1035,-8,10,332,9,"greenbay,wi"
