date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-3,-8,0.0,9.9,2,97,06:10 PM,07:45 AM,08:30 AM,06:16 PM,-18,-11,-7,-11,14,7,41,0.0,1031,-7,10,52,10,"greensboro,nc"
2018-01-01 01:00:00,-3,-8,0.0,9.9,2,97,06:10 PM,07:45 AM,08:30 AM,06:16 PM,-18,-12,-7,-12,16,6,41,0.0,1031,-7,10,49,11,"greensboro,nc"
2018-01-01 02:00:00,-3,-8,0.0,9.9,2,97,06:10 PM,07:45 AM,08:30 AM,06:16 PM,-18,-13,-7,-13,17,6,42,0.0,1032,-7,10,45,12,"greensboro,nc"
2018-01-01 03:00:00,-3,-8,0.0,9.9,2,97,06:10 PM,07:45 AM,08:30 AM,06:16 PM,-18,-13,-8,-13,18,5,43,0.0,1032,-8,10,42,13,"greensboro,nc"
2018-01-01 04:00:00,-3,-8,0.0,9.9,2,97,06:10 PM,07:45 AM,08:30 AM,06:16 PM,-18,-13,-8,-13,15,7,43,0.0,1033,-8,10,44,11,"greensboro,nc"
2018-01-01 05:00:00,-3,-8,0.0,9.9,2,97,06:10 PM,07:45 AM,08:30 AM,06:16 PM,-19,-12,-8,-12,12,9,42,0.0,1033,-8,10,45,9,"greensboro,nc"
2018-01-01 06:00:00,-3,-8,0.0,9.9,2,97,06:10 PM,07:45 AM,08:30 AM,06:16 PM,-19,-12,-8,-12,9,12,42,0.0,1034,-8,10,46,7,"greensboro,nc"
2018-01-01 07:00:00,-3,-8,0.0,9.9,2,97,06:10 PM,07:45 AM,08:30 AM,06:16 PM,-19,-12,-7,-12,12,10,39,0.0,1034,-8,10,34,9,"greensboro,nc"
2018-01-01 08:00:00,-3,-8,0.0,9.9,2,97,06:10 PM,07:45 AM,08:30 AM,06:16 PM,-19,-11,-7,-11,14,9,37,0.0,1034,-7,10,22,12,"greensboro,nc"
2018-01-01 09:00:00,-3,-8,0.0,9.9,2,97,06:10 PM,07:45 AM,08:30 AM,06:16 PM,-19,-11,-6,-11,16,7,34,0.0,1035,-6,10,10,14,"greensboro,nc"
2018-01-01 10:00:00,-3,-8,0.0,9.9,2,97,06:10 PM,07:45 AM,08:30 AM,06:16 PM,-20,-10,-5,-10,15,6,31,0.0,1035,-5,10,122,13,"greensboro,nc"
2018-01-01 11:00:00,-3,-8,0.0,9.9,2,97,06:10 PM,07:45 AM,08:30 AM,06:16 PM,-20,-9,-4,-9,15,5,28,0.0,1034,-4,10,234,13,"greensboro,nc"
2018-01-01 12:00:00,-3,-8,0.0,9.9,2,97,06:10 PM,07:45 AM,08:30 AM,06:16 PM,-21,-8,-3,-8,14,4,24,0.0,1034,-3,10,346,12,"greensboro,nc"
2018-01-01 13:00:00,-3,-8,0.0,9.9,2,97,06:10 PM,07:45 AM,08:30 AM,06:16 PM,-21,-8,-3,-8,16,3,25,0.0,1034,-3,10,345,13,"greensboro,nc"
2018-01-01 14:00:00,-3,-8,0.0,9.9,2,97,06:10 PM,07:45 AM,08:30 AM,06:16 PM,-20,-8,-3,-8,17,1,25,0.0,1033,-3,10,344,14,"greensboro,nc"
2018-01-01 15:00:00,-3,-8,0.0,9.9,2,97,06:10 PM,07:45 AM,08:30 AM,06:16 PM,-20,-8,-3,-8,19,0,25,0.0,1033,-3,10,344,15,"greensboro,nc"
2018-01-01 16:00:00,-3,-8,0.0,9.9,2,97,06:10 PM,07:45 AM,08:30 AM,06:16 PM,-19,-9,-4,-9,17,0,29,0.0,1034,-4,10,338,13,"greensboro,nc"
2018-01-01 17:00:00,-3,-8,0.0,9.9,2,97,06:10 PM,07:45 AM,08:30 AM,06:16 PM,-19,-9,-5,-9,15,0,33,0.0,1034,-5,10,332,11,"greensboro,nc"
2018-01-01 18:00:00,-3,-8,0.0,9.9,2,97,06:10 PM,07:45 AM,08:30 AM,06:16 PM,-18,-10,-6,-10,13,0,37,0.0,1035,-6,10,327,8,"greensboro,nc"
