date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-4,-5,0.0,8.7,2,97,05:53 PM,07:33 AM,08:19 AM,05:59 PM,-11,-13,-5,-13,37,16,63,0.0,1030,-5,10,356,31,"hampton,va"
2018-01-01 01:00:00,-4,-5,0.0,8.7,2,97,05:53 PM,07:33 AM,08:19 AM,05:59 PM,-11,-13,-5,-13,38,15,62,0.0,1030,-5,7,354,32,"hampton,va"
2018-01-01 02:00:00,-4,-5,0.0,8.7,2,97,05:53 PM,07:33 AM,08:19 AM,05:59 PM,-11,-13,-5,-13,40,15,62,0.0,1030,-5,5,352,33,"hampton,va"
2018-01-01 03:00:00,-4,-5,0.0,8.7,2,97,05:53 PM,07:33 AM,08:19 AM,05:59 PM,-11,-14,-5,-14,42,15,61,0.0,1030,-5,2,349,35,"hampton,va"
2018-01-01 04:00:00,-4,-5,0.0,8.7,2,97,05:53 PM,07:33 AM,08:19 AM,05:59 PM,-11,-14,-5,-14,41,18,62,0.0,1031,-5,5,350,34,"hampton,va"
2018-01-01 05:00:00,-4,-5,0.0,8.7,2,97,05:53 PM,07:33 AM,08:19 AM,05:59 PM,-11,-14,-5,-14,39,22,62,0.0,1031,-5,7,351,33,"hampton,va"
2018-01-01 06:00:00,-4,-5,0.0,8.7,2,97,05:53 PM,07:33 AM,08:19 AM,05:59 PM,-11,-14,-6,-14,38,25,63,0.0,1031,-5,10,352,32,"hampton,va"
2018-01-01 07:00:00,-4,-5,0.0,8.7,2,97,05:53 PM,07:33 AM,08:19 AM,05:59 PM,-12,-14,-5,-14,38,25,61,0.0,1032,-5,7,350,33,"hampton,va"
2018-01-01 08:00:00,-4,-5,0.0,8.7,2,97,05:53 PM,07:33 AM,08:19 AM,05:59 PM,-12,-13,-5,-13,39,24,60,0.0,1032,-5,5,348,33,"hampton,va"
2018-01-01 09:00:00,-4,-5,0.0,8.7,2,97,05:53 PM,07:33 AM,08:19 AM,05:59 PM,-12,-13,-5,-13,39,23,58,0.0,1033,-5,2,347,34,"hampton,va"
2018-01-01 10:00:00,-4,-5,0.0,8.7,2,97,05:53 PM,07:33 AM,08:19 AM,05:59 PM,-12,-13,-4,-13,37,21,55,0.0,1032,-4,5,348,32,"hampton,va"
