date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-9,-15,0.2,3.3,1,97,06:14 PM,08:53 AM,09:41 AM,06:15 PM,-17,-25,-15,-25,33,95,88,0.0,1035,-15,10,325,26,"hancock,mi"
2018-01-01 01:00:00,-9,-15,0.2,3.3,1,97,06:14 PM,08:53 AM,09:41 AM,06:15 PM,-17,-25,-15,-25,32,96,88,0.0,1036,-15,8,324,24,"hancock,mi"
2018-01-01 02:00:00,-9,-15,0.2,3.3,1,97,06:14 PM,08:53 AM,09:41 AM,06:15 PM,-17,-25,-15,-25,31,96,88,0.0,1036,-15,7,323,23,"hancock,mi"
2018-01-01 03:00:00,-9,-15,0.2,3.3,1,97,06:14 PM,08:53 AM,09:41 AM,06:15 PM,-17,-25,-15,-25,29,97,87,0.0,1036,-15,5,323,22,"hancock,mi"
2018-01-01 04:00:00,-9,-15,0.2,3.3,1,97,06:14 PM,08:53 AM,09:41 AM,06:15 PM,-17,-25,-15,-25,29,98,88,0.0,1036,-15,7,320,22,"hancock,mi"
2018-01-01 05:00:00,-9,-15,0.2,3.3,1,97,06:14 PM,08:53 AM,09:41 AM,06:15 PM,-17,-25,-15,-25,29,98,88,0.0,1036,-15,8,317,22,"hancock,mi"
2018-01-01 06:00:00,-9,-15,0.2,3.3,1,97,06:14 PM,08:53 AM,09:41 AM,06:15 PM,-16,-24,-15,-24,29,98,88,0.0,1037,-15,10,314,22,"hancock,mi"
2018-01-01 07:00:00,-9,-15,0.2,3.3,1,97,06:14 PM,08:53 AM,09:41 AM,06:15 PM,-16,-24,-14,-24,29,98,87,0.0,1036,-14,8,308,22,"hancock,mi"
2018-01-01 08:00:00,-9,-15,0.2,3.3,1,97,06:14 PM,08:53 AM,09:41 AM,06:15 PM,-15,-23,-14,-23,29,98,86,0.0,1036,-14,7,303,22,"hancock,mi"
2018-01-01 09:00:00,-9,-15,0.2,3.3,1,97,06:14 PM,08:53 AM,09:41 AM,06:15 PM,-15,-22,-13,-22,30,97,85,0.1,1036,-13,5,298,23,"hancock,mi"
