date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-7,-13,0.0,9.9,2,97,06:27 PM,08:02 AM,08:46 AM,06:32 PM,-20,-17,-11,-17,15,5,45,0.0,1032,-11,10,355,12,"knoxville,tn"
2018-01-01 01:00:00,-7,-13,0.0,9.9,2,97,06:27 PM,08:02 AM,08:46 AM,06:32 PM,-20,-17,-11,-17,14,5,47,0.0,1033,-11,10,355,11,"knoxville,tn"
2018-01-01 02:00:00,-7,-13,0.0,9.9,2,97,06:27 PM,08:02 AM,08:46 AM,06:32 PM,-20,-17,-11,-17,13,4,49,0.0,1033,-11,10,355,10,"knoxville,tn"
2018-01-01 03:00:00,-7,-13,0.0,9.9,2,97,06:27 PM,08:02 AM,08:46 AM,06:32 PM,-19,-17,-11,-17,12,4,51,0.0,1033,-11,10,355,9,"knoxville,tn"
2018-01-01 04:00:00,-7,-13,0.0,9.9,2,97,06:27 PM,08:02 AM,08:46 AM,06:32 PM,-18,-17,-12,-17,13,17,58,0.0,1034,-12,10,240,10,"knoxville,tn"
2018-01-01 05:00:00,-7,-13,0.0,9.9,2,97,06:27 PM,08:02 AM,08:46 AM,06:32 PM,-18,-18,-12,-18,13,30,65,0.0,1035,-12,10,126,10,"knoxville,tn"
2018-01-01 06:00:00,-7,-13,0.0,9.9,2,97,06:27 PM,08:02 AM,08:46 AM,06:32 PM,-17,-19,-13,-19,13,44,71,0.0,1035,-13,10,11,10,"knoxville,tn"
2018-01-01 07:00:00,-7,-13,0.0,9.9,2,97,06:27 PM,08:02 AM,08:46 AM,06:32 PM,-17,-18,-12,-18,13,33,67,0.0,1036,-12,10,12,10,"knoxville,tn"
2018-01-01 08:00:00,-7,-13,0.0,9.9,2,97,06:27 PM,08:02 AM,08:46 AM,06:32 PM,-17,-17,-11,-17,12,22,62,0.0,1036,-11,10,13,10,"knoxville,tn"
2018-01-01 09:00:00,-7,-13,0.0,9.9,2,97,06:27 PM,08:02 AM,08:46 AM,06:32 PM,-17,-16,-10,-16,11,11,57,0.0,1037,-10,10,14,10,"knoxville,tn"
2018-01-01 10:00:00,-7,-13,0.0,9.9,2,97,06:27 PM,08:02 AM,08:46 AM,06:32 PM,-18,-15,-9,-15,12,8,51,0.0,1037,-9,10,129,10,"knoxville,tn"
2018-01-01 11:00:00,-7,-13,0.0,9.9,2,97,06:27 PM,08:02 AM,08:46 AM,06:32 PM,-18,-14,-8,-14,12,5,45,0.0,1037,-8,10,243,11,"knoxville,tn"
2018-01-01 12:00:00,-7,-13,0.0,9.9,2,97,06:27 PM,08:02 AM,08:46 AM,06:32 PM,-19,-13,-8,-13,13,2,40,0.0,1036,-8,10,357,11,"knoxville,tn"
2018-01-01 13:00:00,-7,-13,0.0,9.9,2,97,06:27 PM,08:02 AM,08:46 AM,06:32 PM,-19,-12,-7,-12,13,1,39,0.0,1036,-7,10,354,11,"knoxville,tn"
2018-01-01 14:00:00,-7,-13,0.0,9.9,2,97,06:27 PM,08:02 AM,08:46 AM,06:32 PM,-19,-12,-7,-12,13,1,38,0.0,1036,-7,10,351,11,"knoxville,tn"
2018-01-01 15:00:00,-7,-13,0.0,9.9,2,97,06:27 PM,08:02 AM,08:46 AM,06:32 PM,-19,-12,-7,-12,12,0,38,0.0,1036,-7,10,347,11,"knoxville,tn"
2018-01-01 16:00:00,-7,-13,0.0,9.9,2,97,06:27 PM,08:02 AM,08:46 AM,06:32 PM,-19,-13,-8,-13,12,0,45,0.0,1036,-8,10,346,10,"knoxville,tn"
2018-01-01 17:00:00,-7,-13,0.0,9.9,2,97,06:27 PM,08:02 AM,08:46 AM,06:32 PM,-18,-15,-10,-15,12,0,52,0.0,1037,-10,10,344,9,"knoxville,tn"
2018-01-01 18:00:00,-7,-13,0.0,9.9,2,97,06:27 PM,08:02 AM,08:46 AM,06:32 PM,-18,-16,-11,-16,12,0,59,0.0,1038,-11,10,343,8,"knoxville,tn"
2018-01-01 19:00:00,-7,-13,0.0,9.9,2,97,06:27 PM,08:02 AM,08:46 AM,06:32 PM,-17,-16,-11,-16,12,0,61,0.0,1038,-11,10,349,8,"knoxville,tn"
2018-01-01 20:00:00,-7,-13,0.0,9.9,2,97,06:27 PM,08:02 AM,08:46 AM,06:32 PM,-17,-16,-12,-16,11,0,63,0.0,1039,-12,10,354,8,"knoxville,tn"
2018-01-01 21:00:00,-7,-13,0.0,9.9,2,97,06:27 PM,08:02 AM,08:46 AM,06:32 PM,-17,-17,-12,-17,11,0,65,0.0,1039,-12,10,360,8,"knoxville,tn"
2018-01-01 22:00:00,-7,-13,0.0,9.9,2,97,06:27 PM,08:02 AM,08:46 AM,06:32 PM,-18,-17,-13,-17,11,0,65,0.0,1039,-13,10,240,8,"knoxville,tn"
2018-01-01 23:00:00,-7,-13,0.0,9.9,2,97,06:27 PM,08:02 AM,08:46 AM,06:32 PM,-18,-18,-13,-18,11,0,65,0.0,1039,-13,10,120,8,"knoxville,tn"
2018-01-02 00:00:00,-2,-14,0.0,9.9,2,100,07:34 PM,09:06 AM,08:46 AM,06:33 PM,-19,-18,-14,-18,11,0,64,0.0,1040,-13,10,1,8,"knoxville,tn"
2018-01-02 01:00:00,-2,-14,0.0,9.9,2,100,07:34 PM,09:06 AM,08:46 AM,06:33 PM,-19,-18,-14,-18,11,0,63,0.0,1040,-14,10,7,7,"knoxville,tn"
2018-01-02 02:00:00,-2,-14,0.0,9.9,2,100,07:34 PM,09:06 AM,08:46 AM,06:33 PM,-19,-18,-14,-18,10,0,61,0.0,1039,-14,10,13,7,"knoxville,tn"
2018-01-02 03:00:00,-2,-14,0.0,9.9,2,100,07:34 PM,09:06 AM,08:46 AM,06:33 PM,-20,-18,-14,-18,10,0,59,0.0,1039,-14,10,19,6,"knoxville,tn"
2018-01-02 04:00:00,-2,-14,0.0,9.9,2,100,07:34 PM,09:06 AM,08:46 AM,06:33 PM,-20,-18,-14,-18,12,0,58,0.0,1040,-14,10,21,7,"knoxville,tn"
2018-01-02 05:00:00,-2,-14,0.0,9.9,2,100,07:34 PM,09:06 AM,08:46 AM,06:33 PM,-20,-19,-14,-19,14,0,58,0.0,1040,-14,10,22,8,"knoxville,tn"
2018-01-02 06:00:00,-2,-14,0.0,9.9,2,100,07:34 PM,09:06 AM,08:46 AM,06:33 PM,-21,-20,-14,-20,16,0,57,0.0,1040,-14,10,24,9,"knoxville,tn"
2018-01-02 07:00:00,-2,-14,0.0,9.9,2,100,07:34 PM,09:06 AM,08:46 AM,06:33 PM,-21,-17,-12,-17,14,0,49,0.0,1040,-12,10,26,8,"knoxville,tn"
2018-01-02 08:00:00,-2,-14,0.0,9.9,2,100,07:34 PM,09:06 AM,08:46 AM,06:33 PM,-21,-15,-11,-15,11,0,42,0.0,1039,-11,10,28,7,"knoxville,tn"
2018-01-02 09:00:00,-2,-14,0.0,9.9,2,100,07:34 PM,09:06 AM,08:46 AM,06:33 PM,-22,-13,-9,-13,8,0,34,0.0,1039,-9,10,30,7,"knoxville,tn"
2018-01-02 10:00:00,-2,-14,0.0,9.9,2,100,07:34 PM,09:06 AM,08:46 AM,06:33 PM,-22,-10,-7,-10,7,0,29,0.0,1038,-7,10,26,6,"knoxville,tn"
2018-01-02 11:00:00,-2,-14,0.0,9.9,2,100,07:34 PM,09:06 AM,08:46 AM,06:33 PM,-22,-7,-4,-7,7,0,25,0.0,1037,-4,10,22,6,"knoxville,tn"
2018-01-02 12:00:00,-2,-14,0.0,9.9,2,100,07:34 PM,09:06 AM,08:46 AM,06:33 PM,-22,-4,-2,-4,7,0,20,0.0,1035,-2,10,18,6,"knoxville,tn"
2018-01-02 13:00:00,-2,-14,0.0,9.9,2,100,07:34 PM,09:06 AM,08:46 AM,06:33 PM,-22,-5,-2,-5,7,0,20,0.0,1034,-2,10,131,6,"knoxville,tn"
2018-01-02 14:00:00,-2,-14,0.0,9.9,2,100,07:34 PM,09:06 AM,08:46 AM,06:33 PM,-22,-5,-2,-5,7,0,20,0.0,1033,-2,10,244,6,"knoxville,tn"
2018-01-02 15:00:00,-2,-14,0.0,9.9,2,100,07:34 PM,09:06 AM,08:46 AM,06:33 PM,-22,-5,-2,-5,7,0,20,0.0,1032,-2,10,358,6,"knoxville,tn"
2018-01-02 16:00:00,-2,-14,0.0,9.9,2,100,07:34 PM,09:06 AM,08:46 AM,06:33 PM,-22,-6,-4,-6,7,0,24,0.0,1032,-4,10,251,5,"knoxville,tn"
2018-01-02 17:00:00,-2,-14,0.0,9.9,2,100,07:34 PM,09:06 AM,08:46 AM,06:33 PM,-21,-8,-6,-8,7,0,29,0.0,1032,-6,10,144,4,"knoxville,tn"
2018-01-02 18:00:00,-2,-14,0.0,9.9,2,100,07:34 PM,09:06 AM,08:46 AM,06:33 PM,-21,-9,-8,-9,8,0,33,0.0,1032,-8,10,37,4,"knoxville,tn"
2018-01-02 19:00:00,-2,-14,0.0,9.9,2,100,07:34 PM,09:06 AM,08:46 AM,06:33 PM,-21,-9,-8,-9,6,6,34,0.0,1032,-8,10,58,3,"knoxville,tn"
2018-01-02 20:00:00,-2,-14,0.0,9.9,2,100,07:34 PM,09:06 AM,08:46 AM,06:33 PM,-21,-9,-8,-9,5,13,34,0.0,1031,-8,10,79,2,"knoxville,tn"
2018-01-02 21:00:00,-2,-14,0.0,9.9,2,100,07:34 PM,09:06 AM,08:46 AM,06:33 PM,-21,-8,-8,-8,4,19,35,0.0,1031,-8,10,100,2,"knoxville,tn"
2018-01-02 22:00:00,-2,-14,0.0,9.9,2,100,07:34 PM,09:06 AM,08:46 AM,06:33 PM,-21,-8,-8,-8,3,42,34,0.0,1030,-8,10,96,2,"knoxville,tn"
2018-01-02 23:00:00,-2,-14,0.0,9.9,2,100,07:34 PM,09:06 AM,08:46 AM,06:33 PM,-21,-8,-8,-8,3,65,34,0.0,1030,-8,10,92,2,"knoxville,tn"
2018-01-03 00:00:00,-1,-7,0.0,8.3,1,89,08:43 PM,10:03 AM,08:46 AM,06:34 PM,-21,-7,-7,-7,3,88,33,0.0,1030,-7,10,89,1,"knoxville,tn"
2018-01-03 01:00:00,-1,-7,0.0,8.3,1,89,08:43 PM,10:03 AM,08:46 AM,06:34 PM,-21,-7,-7,-7,2,89,33,0.0,1029,-7,10,96,1,"knoxville,tn"
2018-01-03 02:00:00,-1,-7,0.0,8.3,1,89,08:43 PM,10:03 AM,08:46 AM,06:34 PM,-20,-7,-7,-7,2,90,33,0.0,1028,-7,10,103,1,"knoxville,tn"
2018-01-03 03:00:00,-1,-7,0.0,8.3,1,89,08:43 PM,10:03 AM,08:46 AM,06:34 PM,-20,-7,-7,-7,1,91,32,0.0,1028,-7,10,111,1,"knoxville,tn"
2018-01-03 04:00:00,-1,-7,0.0,8.3,1,89,08:43 PM,10:03 AM,08:46 AM,06:34 PM,-20,-6,-6,-6,1,94,32,0.0,1027,-6,10,168,1,"knoxville,tn"
2018-01-03 05:00:00,-1,-7,0.0,8.3,1,89,08:43 PM,10:03 AM,08:46 AM,06:34 PM,-20,-6,-6,-6,2,97,32,0.0,1027,-6,10,225,1,"knoxville,tn"
2018-01-03 06:00:00,-1,-7,0.0,8.3,1,89,08:43 PM,10:03 AM,08:46 AM,06:34 PM,-20,-6,-6,-6,2,100,32,0.0,1026,-6,10,282,1,"knoxville,tn"
2018-01-03 07:00:00,-1,-7,0.0,8.3,1,89,08:43 PM,10:03 AM,08:46 AM,06:34 PM,-20,-6,-5,-6,3,100,30,0.0,1026,-5,10,282,2,"knoxville,tn"
