date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-6,-11,0.0,8.7,2,97,05:55 PM,07:26 AM,08:09 AM,05:59 PM,-20,-17,-9,-17,30,37,42,0.0,1039,-9,10,12,23,"memphis,tn"
2018-01-01 01:00:00,-6,-11,0.0,8.7,2,97,05:55 PM,07:26 AM,08:09 AM,05:59 PM,-20,-18,-10,-18,30,27,43,0.0,1040,-10,10,13,22,"memphis,tn"
2018-01-01 02:00:00,-6,-11,0.0,8.7,2,97,05:55 PM,07:26 AM,08:09 AM,05:59 PM,-19,-18,-10,-18,29,17,45,0.0,1040,-10,10,13,22,"memphis,tn"
2018-01-01 03:00:00,-6,-11,0.0,8.7,2,97,05:55 PM,07:26 AM,08:09 AM,05:59 PM,-19,-18,-10,-18,29,7,47,0.0,1040,-10,10,14,22,"memphis,tn"
2018-01-01 04:00:00,-6,-11,0.0,8.7,2,97,05:55 PM,07:26 AM,08:09 AM,05:59 PM,-19,-18,-10,-18,28,13,49,0.0,1041,-10,10,15,21,"memphis,tn"
2018-01-01 05:00:00,-6,-11,0.0,8.7,2,97,05:55 PM,07:26 AM,08:09 AM,05:59 PM,-19,-19,-11,-19,26,19,52,0.0,1041,-11,10,15,19,"memphis,tn"
2018-01-01 06:00:00,-6,-11,0.0,8.7,2,97,05:55 PM,07:26 AM,08:09 AM,05:59 PM,-19,-19,-11,-19,24,25,54,0.0,1042,-11,10,15,18,"memphis,tn"
2018-01-01 07:00:00,-6,-11,0.0,8.7,2,97,05:55 PM,07:26 AM,08:09 AM,05:59 PM,-19,-19,-11,-19,25,19,53,0.0,1043,-11,10,16,19,"memphis,tn"
2018-01-01 08:00:00,-6,-11,0.0,8.7,2,97,05:55 PM,07:26 AM,08:09 AM,05:59 PM,-19,-19,-11,-19,25,13,51,0.0,1043,-11,10,18,20,"memphis,tn"
2018-01-01 09:00:00,-6,-11,0.0,8.7,2,97,05:55 PM,07:26 AM,08:09 AM,05:59 PM,-19,-19,-11,-19,25,7,50,0.0,1043,-10,10,19,20,"memphis,tn"
2018-01-01 10:00:00,-6,-11,0.0,8.7,2,97,05:55 PM,07:26 AM,08:09 AM,05:59 PM,-19,-17,-9,-17,22,5,45,0.0,1044,-9,10,17,18,"memphis,tn"
2018-01-01 11:00:00,-6,-11,0.0,8.7,2,97,05:55 PM,07:26 AM,08:09 AM,05:59 PM,-19,-15,-8,-15,20,2,40,0.0,1044,-8,10,16,17,"memphis,tn"
