date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,7,0,0.0,9.7,2,97,06:08 PM,07:56 AM,08:36 AM,06:08 PM,-6,2,2,2,4,8,58,0.0,1024,2,10,34,2,"moab,ut"
2018-01-01 01:00:00,7,0,0.0,9.7,2,97,06:08 PM,07:56 AM,08:36 AM,06:08 PM,-6,1,1,1,4,7,59,0.0,1024,1,10,43,2,"moab,ut"
2018-01-01 02:00:00,7,0,0.0,9.7,2,97,06:08 PM,07:56 AM,08:36 AM,06:08 PM,-6,1,1,1,4,6,59,0.0,1024,1,10,52,2,"moab,ut"
2018-01-01 03:00:00,7,0,0.0,9.7,2,97,06:08 PM,07:56 AM,08:36 AM,06:08 PM,-6,1,1,1,5,6,60,0.0,1024,1,10,62,2,"moab,ut"
2018-01-01 04:00:00,7,0,0.0,9.7,2,97,06:08 PM,07:56 AM,08:36 AM,06:08 PM,-6,1,1,1,5,5,60,0.0,1025,1,10,62,2,"moab,ut"
2018-01-01 05:00:00,7,0,0.0,9.7,2,97,06:08 PM,07:56 AM,08:36 AM,06:08 PM,-6,1,1,1,5,5,59,0.0,1025,1,10,62,2,"moab,ut"
2018-01-01 06:00:00,7,0,0.0,9.7,2,97,06:08 PM,07:56 AM,08:36 AM,06:08 PM,-7,0,0,0,5,5,59,0.0,1026,0,10,62,3,"moab,ut"
2018-01-01 07:00:00,7,0,0.0,9.7,2,97,06:08 PM,07:56 AM,08:36 AM,06:08 PM,-7,0,0,0,5,6,58,0.0,1026,0,10,53,2,"moab,ut"
2018-01-01 08:00:00,7,0,0.0,9.7,2,97,06:08 PM,07:56 AM,08:36 AM,06:08 PM,-7,0,0,0,4,7,57,0.0,1025,0,10,43,2,"moab,ut"
2018-01-01 09:00:00,7,0,0.0,9.7,2,97,06:08 PM,07:56 AM,08:36 AM,06:08 PM,-7,1,1,1,3,8,56,0.0,1025,0,10,34,1,"moab,ut"
2018-01-01 10:00:00,7,0,0.0,9.7,2,97,06:08 PM,07:56 AM,08:36 AM,06:08 PM,-7,2,2,2,3,15,53,0.0,1025,2,10,99,2,"moab,ut"
2018-01-01 11:00:00,7,0,0.0,9.7,2,97,06:08 PM,07:56 AM,08:36 AM,06:08 PM,-6,4,4,4,3,22,49,0.0,1025,3,10,164,2,"moab,ut"
2018-01-01 12:00:00,7,0,0.0,9.7,2,97,06:08 PM,07:56 AM,08:36 AM,06:08 PM,-6,5,5,5,3,29,46,0.0,1025,5,10,229,2,"moab,ut"
2018-01-01 13:00:00,7,0,0.0,9.7,2,97,06:08 PM,07:56 AM,08:36 AM,06:08 PM,-5,5,6,5,4,28,45,0.0,1025,6,10,229,3,"moab,ut"
2018-01-01 14:00:00,7,0,0.0,9.7,2,97,06:08 PM,07:56 AM,08:36 AM,06:08 PM,-5,6,6,6,5,26,44,0.0,1024,6,10,229,4,"moab,ut"
2018-01-01 15:00:00,7,0,0.0,9.7,2,97,06:08 PM,07:56 AM,08:36 AM,06:08 PM,-5,6,7,6,6,25,43,0.0,1023,7,10,229,4,"moab,ut"
2018-01-01 16:00:00,7,0,0.0,9.7,2,97,06:08 PM,07:56 AM,08:36 AM,06:08 PM,-5,5,5,5,6,28,45,0.0,1023,5,10,231,4,"moab,ut"
2018-01-01 17:00:00,7,0,0.0,9.7,2,97,06:08 PM,07:56 AM,08:36 AM,06:08 PM,-6,4,4,4,6,30,47,0.0,1023,4,10,233,3,"moab,ut"
2018-01-01 18:00:00,7,0,0.0,9.7,2,97,06:08 PM,07:56 AM,08:36 AM,06:08 PM,-7,3,3,3,6,33,49,0.0,1023,3,10,236,3,"moab,ut"
2018-01-01 19:00:00,7,0,0.0,9.7,2,97,06:08 PM,07:56 AM,08:36 AM,06:08 PM,-7,2,2,2,5,25,49,0.0,1023,2,10,222,2,"moab,ut"
2018-01-01 20:00:00,7,0,0.0,9.7,2,97,06:08 PM,07:56 AM,08:36 AM,06:08 PM,-7,2,2,2,4,18,49,0.0,1023,2,10,209,2,"moab,ut"
2018-01-01 21:00:00,7,0,0.0,9.7,2,97,06:08 PM,07:56 AM,08:36 AM,06:08 PM,-8,2,2,2,3,11,49,0.0,1023,2,10,196,1,"moab,ut"
