date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-10,-17,0.0,8.7,2,97,05:32 PM,07:35 AM,08:22 AM,05:37 PM,-19,-21,-15,-21,11,3,74,0.0,1028,-16,10,301,8,"newburgh,ny"
2018-01-01 01:00:00,-10,-17,0.0,8.7,2,97,05:32 PM,07:35 AM,08:22 AM,05:37 PM,-19,-20,-15,-20,10,2,74,0.0,1028,-16,10,302,7,"newburgh,ny"
2018-01-01 02:00:00,-10,-17,0.0,8.7,2,97,05:32 PM,07:35 AM,08:22 AM,05:37 PM,-19,-20,-15,-20,10,2,75,0.0,1028,-16,10,302,7,"newburgh,ny"
2018-01-01 03:00:00,-10,-17,0.0,8.7,2,97,05:32 PM,07:35 AM,08:22 AM,05:37 PM,-18,-20,-15,-20,9,2,75,0.0,1028,-16,10,303,7,"newburgh,ny"
2018-01-01 04:00:00,-10,-17,0.0,8.7,2,97,05:32 PM,07:35 AM,08:22 AM,05:37 PM,-19,-21,-16,-21,11,3,74,0.0,1029,-17,10,301,8,"newburgh,ny"
2018-01-01 05:00:00,-10,-17,0.0,8.7,2,97,05:32 PM,07:35 AM,08:22 AM,05:37 PM,-20,-22,-16,-22,13,3,73,0.0,1029,-17,10,299,9,"newburgh,ny"
2018-01-01 06:00:00,-10,-17,0.0,8.7,2,97,05:32 PM,07:35 AM,08:22 AM,05:37 PM,-21,-23,-17,-23,15,4,71,0.0,1030,-17,10,297,10,"newburgh,ny"
2018-01-01 07:00:00,-10,-17,0.0,8.7,2,97,05:32 PM,07:35 AM,08:22 AM,05:37 PM,-21,-22,-16,-22,16,4,66,0.0,1030,-16,10,304,11,"newburgh,ny"
2018-01-01 08:00:00,-10,-17,0.0,8.7,2,97,05:32 PM,07:35 AM,08:22 AM,05:37 PM,-20,-21,-15,-21,16,3,61,0.0,1030,-15,10,312,12,"newburgh,ny"
2018-01-01 09:00:00,-10,-17,0.0,8.7,2,97,05:32 PM,07:35 AM,08:22 AM,05:37 PM,-20,-20,-13,-20,17,3,56,0.0,1030,-13,10,319,14,"newburgh,ny"
2018-01-01 10:00:00,-10,-17,0.0,8.7,2,97,05:32 PM,07:35 AM,08:22 AM,05:37 PM,-20,-19,-12,-19,17,5,53,0.0,1029,-12,10,317,14,"newburgh,ny"
2018-01-01 11:00:00,-10,-17,0.0,8.7,2,97,05:32 PM,07:35 AM,08:22 AM,05:37 PM,-20,-18,-11,-18,18,8,50,0.0,1029,-11,10,315,15,"newburgh,ny"
2018-01-01 12:00:00,-10,-17,0.0,8.7,2,97,05:32 PM,07:35 AM,08:22 AM,05:37 PM,-19,-17,-10,-17,18,10,47,0.0,1028,-10,10,313,15,"newburgh,ny"
2018-01-01 13:00:00,-10,-17,0.0,8.7,2,97,05:32 PM,07:35 AM,08:22 AM,05:37 PM,-19,-17,-10,-17,17,23,50,0.0,1028,-10,10,308,14,"newburgh,ny"
2018-01-01 14:00:00,-10,-17,0.0,8.7,2,97,05:32 PM,07:35 AM,08:22 AM,05:37 PM,-18,-16,-10,-16,17,36,52,0.0,1028,-10,10,303,13,"newburgh,ny"
2018-01-01 15:00:00,-10,-17,0.0,8.7,2,97,05:32 PM,07:35 AM,08:22 AM,05:37 PM,-18,-16,-10,-16,16,48,55,0.0,1028,-10,10,298,11,"newburgh,ny"
2018-01-01 16:00:00,-10,-17,0.0,8.7,2,97,05:32 PM,07:35 AM,08:22 AM,05:37 PM,-17,-17,-11,-17,16,43,60,0.0,1028,-11,10,286,10,"newburgh,ny"
