date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-19,-26,0.0,8.7,2,97,05:39 PM,07:38 AM,08:22 AM,05:42 PM,-24,-32,-23,-32,21,27,93,0.0,1045,-23,10,303,12,"peoria,il"
2018-01-01 01:00:00,-19,-26,0.0,8.7,2,97,05:39 PM,07:38 AM,08:22 AM,05:42 PM,-25,-33,-24,-33,22,29,93,0.0,1045,-24,10,304,12,"peoria,il"
2018-01-01 02:00:00,-19,-26,0.0,8.7,2,97,05:39 PM,07:38 AM,08:22 AM,05:42 PM,-25,-33,-24,-33,22,31,93,0.0,1045,-24,10,306,13,"peoria,il"
2018-01-01 03:00:00,-19,-26,0.0,8.7,2,97,05:39 PM,07:38 AM,08:22 AM,05:42 PM,-26,-34,-25,-34,23,33,92,0.0,1046,-25,10,307,13,"peoria,il"
2018-01-01 04:00:00,-19,-26,0.0,8.7,2,97,05:39 PM,07:38 AM,08:22 AM,05:42 PM,-26,-35,-25,-35,23,33,92,0.0,1046,-25,10,303,13,"peoria,il"
2018-01-01 05:00:00,-19,-26,0.0,8.7,2,97,05:39 PM,07:38 AM,08:22 AM,05:42 PM,-26,-35,-25,-35,23,33,92,0.0,1046,-25,10,300,14,"peoria,il"
2018-01-01 06:00:00,-19,-26,0.0,8.7,2,97,05:39 PM,07:38 AM,08:22 AM,05:42 PM,-26,-35,-26,-35,23,34,92,0.0,1047,-26,10,296,14,"peoria,il"
2018-01-01 07:00:00,-19,-26,0.0,8.7,2,97,05:39 PM,07:38 AM,08:22 AM,05:42 PM,-26,-35,-25,-35,22,31,91,0.0,1047,-25,10,296,14,"peoria,il"
2018-01-01 08:00:00,-19,-26,0.0,8.7,2,97,05:39 PM,07:38 AM,08:22 AM,05:42 PM,-26,-34,-25,-34,22,28,90,0.0,1047,-25,10,297,14,"peoria,il"
2018-01-01 09:00:00,-19,-26,0.0,8.7,2,97,05:39 PM,07:38 AM,08:22 AM,05:42 PM,-25,-34,-24,-34,21,26,89,0.0,1047,-24,10,297,14,"peoria,il"
2018-01-01 10:00:00,-19,-26,0.0,8.7,2,97,05:39 PM,07:38 AM,08:22 AM,05:42 PM,-24,-33,-23,-33,21,21,88,0.0,1047,-23,10,293,15,"peoria,il"
2018-01-01 11:00:00,-19,-26,0.0,8.7,2,97,05:39 PM,07:38 AM,08:22 AM,05:42 PM,-23,-31,-22,-31,20,16,87,0.0,1047,-22,10,289,15,"peoria,il"
2018-01-01 12:00:00,-19,-26,0.0,8.7,2,97,05:39 PM,07:38 AM,08:22 AM,05:42 PM,-22,-30,-21,-30,19,11,87,0.0,1047,-21,10,285,15,"peoria,il"
2018-01-01 13:00:00,-19,-26,0.0,8.7,2,97,05:39 PM,07:38 AM,08:22 AM,05:42 PM,-22,-29,-20,-29,19,14,87,0.0,1046,-20,10,285,15,"peoria,il"
2018-01-01 14:00:00,-19,-26,0.0,8.7,2,97,05:39 PM,07:38 AM,08:22 AM,05:42 PM,-21,-28,-19,-28,19,17,87,0.0,1046,-19,10,286,15,"peoria,il"
2018-01-01 15:00:00,-19,-26,0.0,8.7,2,97,05:39 PM,07:38 AM,08:22 AM,05:42 PM,-20,-27,-19,-27,19,19,87,0.0,1045,-19,10,286,15,"peoria,il"
2018-01-01 16:00:00,-19,-26,0.0,8.7,2,97,05:39 PM,07:38 AM,08:22 AM,05:42 PM,-21,-28,-20,-28,21,22,89,0.0,1046,-20,10,285,14,"peoria,il"
2018-01-01 17:00:00,-19,-26,0.0,8.7,2,97,05:39 PM,07:38 AM,08:22 AM,05:42 PM,-21,-29,-20,-29,22,24,91,0.0,1046,-20,10,283,13,"peoria,il"
