date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-8,-13,0.0,8.7,2,97,05:41 PM,07:35 AM,08:22 AM,05:47 PM,-17,-18,-11,-18,15,0,63,0.0,1029,-12,10,320,12,"philadelphia,pa"
2018-01-01 01:00:00,-8,-13,0.0,8.7,2,97,05:41 PM,07:35 AM,08:22 AM,05:47 PM,-17,-18,-12,-18,18,0,63,0.0,1029,-12,10,321,13,"philadelphia,pa"
2018-01-01 02:00:00,-8,-13,0.0,8.7,2,97,05:41 PM,07:35 AM,08:22 AM,05:47 PM,-18,-19,-12,-19,20,0,63,0.0,1029,-12,10,322,14,"philadelphia,pa"
2018-01-01 03:00:00,-8,-13,0.0,8.7,2,97,05:41 PM,07:35 AM,08:22 AM,05:47 PM,-18,-20,-12,-20,22,0,63,0.0,1030,-12,10,323,15,"philadelphia,pa"
2018-01-01 04:00:00,-8,-13,0.0,8.7,2,97,05:41 PM,07:35 AM,08:22 AM,05:47 PM,-18,-19,-12,-19,19,0,63,0.0,1030,-13,10,315,13,"philadelphia,pa"
2018-01-01 05:00:00,-8,-13,0.0,8.7,2,97,05:41 PM,07:35 AM,08:22 AM,05:47 PM,-17,-18,-12,-18,15,0,64,0.0,1030,-13,10,308,12,"philadelphia,pa"
2018-01-01 06:00:00,-8,-13,0.0,8.7,2,97,05:41 PM,07:35 AM,08:22 AM,05:47 PM,-17,-17,-12,-17,11,0,65,0.0,1031,-13,10,300,10,"philadelphia,pa"
2018-01-01 07:00:00,-8,-13,0.0,8.7,2,97,05:41 PM,07:35 AM,08:22 AM,05:47 PM,-17,-18,-11,-18,14,1,61,0.0,1031,-12,10,306,12,"philadelphia,pa"
2018-01-01 08:00:00,-8,-13,0.0,8.7,2,97,05:41 PM,07:35 AM,08:22 AM,05:47 PM,-18,-18,-11,-18,18,1,57,0.0,1031,-12,10,312,14,"philadelphia,pa"
2018-01-01 09:00:00,-8,-13,0.0,8.7,2,97,05:41 PM,07:35 AM,08:22 AM,05:47 PM,-18,-18,-11,-18,21,2,54,0.0,1031,-11,10,317,17,"philadelphia,pa"
2018-01-01 10:00:00,-8,-13,0.0,8.7,2,97,05:41 PM,07:35 AM,08:22 AM,05:47 PM,-18,-17,-10,-17,20,2,50,0.0,1031,-10,10,315,16,"philadelphia,pa"
2018-01-01 11:00:00,-8,-13,0.0,8.7,2,97,05:41 PM,07:35 AM,08:22 AM,05:47 PM,-18,-16,-9,-16,19,2,46,0.0,1030,-9,10,312,16,"philadelphia,pa"
2018-01-01 12:00:00,-8,-13,0.0,8.7,2,97,05:41 PM,07:35 AM,08:22 AM,05:47 PM,-18,-14,-8,-14,18,2,43,0.0,1030,-8,10,309,15,"philadelphia,pa"
2018-01-01 13:00:00,-8,-13,0.0,8.7,2,97,05:41 PM,07:35 AM,08:22 AM,05:47 PM,-18,-14,-8,-14,19,14,43,0.0,1030,-8,10,306,15,"philadelphia,pa"
2018-01-01 14:00:00,-8,-13,0.0,8.7,2,97,05:41 PM,07:35 AM,08:22 AM,05:47 PM,-18,-14,-8,-14,20,26,44,0.0,1030,-8,10,302,15,"philadelphia,pa"
2018-01-01 15:00:00,-8,-13,0.0,8.7,2,97,05:41 PM,07:35 AM,08:22 AM,05:47 PM,-18,-14,-8,-14,21,37,44,0.0,1030,-8,10,299,15,"philadelphia,pa"
2018-01-01 16:00:00,-8,-13,0.0,8.7,2,97,05:41 PM,07:35 AM,08:22 AM,05:47 PM,-17,-14,-8,-14,18,35,48,0.0,1030,-8,10,285,13,"philadelphia,pa"
2018-01-01 17:00:00,-8,-13,0.0,8.7,2,97,05:41 PM,07:35 AM,08:22 AM,05:47 PM,-17,-13,-8,-13,16,33,52,0.0,1030,-9,10,271,11,"philadelphia,pa"
2018-01-01 18:00:00,-8,-13,0.0,8.7,2,97,05:41 PM,07:35 AM,08:22 AM,05:47 PM,-16,-13,-9,-13,13,30,56,0.0,1031,-9,10,257,9,"philadelphia,pa"
2018-01-01 19:00:00,-8,-13,0.0,8.7,2,97,05:41 PM,07:35 AM,08:22 AM,05:47 PM,-16,-14,-9,-14,17,28,56,0.0,1031,-9,10,266,11,"philadelphia,pa"
2018-01-01 20:00:00,-8,-13,0.0,8.7,2,97,05:41 PM,07:35 AM,08:22 AM,05:47 PM,-16,-15,-9,-15,21,26,57,0.0,1031,-9,10,274,14,"philadelphia,pa"
2018-01-01 21:00:00,-8,-13,0.0,8.7,2,97,05:41 PM,07:35 AM,08:22 AM,05:47 PM,-15,-15,-9,-15,25,25,58,0.0,1031,-9,10,282,16,"philadelphia,pa"
2018-01-01 22:00:00,-8,-13,0.0,8.7,2,97,05:41 PM,07:35 AM,08:22 AM,05:47 PM,-16,-16,-9,-16,25,18,57,0.0,1031,-9,10,281,16,"philadelphia,pa"
2018-01-01 23:00:00,-8,-13,0.0,8.7,2,97,05:41 PM,07:35 AM,08:22 AM,05:47 PM,-17,-17,-10,-17,25,12,57,0.0,1031,-10,10,280,17,"philadelphia,pa"
2018-01-02 00:00:00,-5,-11,0.0,8.7,2,100,06:47 PM,08:39 AM,08:22 AM,05:47 PM,-17,-17,-10,-17,25,6,56,0.0,1031,-10,10,279,17,"philadelphia,pa"
2018-01-02 01:00:00,-5,-11,0.0,8.7,2,100,06:47 PM,08:39 AM,08:22 AM,05:47 PM,-17,-17,-10,-17,26,6,57,0.0,1032,-10,10,282,17,"philadelphia,pa"
2018-01-02 02:00:00,-5,-11,0.0,8.7,2,100,06:47 PM,08:39 AM,08:22 AM,05:47 PM,-17,-17,-10,-17,27,6,58,0.0,1032,-10,10,284,18,"philadelphia,pa"
2018-01-02 03:00:00,-5,-11,0.0,8.7,2,100,06:47 PM,08:39 AM,08:22 AM,05:47 PM,-17,-18,-10,-18,28,6,58,0.0,1032,-10,10,286,18,"philadelphia,pa"
2018-01-02 04:00:00,-5,-11,0.0,8.7,2,100,06:47 PM,08:39 AM,08:22 AM,05:47 PM,-17,-18,-10,-18,27,5,59,0.0,1033,-10,10,282,18,"philadelphia,pa"
2018-01-02 05:00:00,-5,-11,0.0,8.7,2,100,06:47 PM,08:39 AM,08:22 AM,05:47 PM,-17,-18,-10,-18,27,4,61,0.0,1033,-10,10,278,18,"philadelphia,pa"
2018-01-02 06:00:00,-5,-11,0.0,8.7,2,100,06:47 PM,08:39 AM,08:22 AM,05:47 PM,-17,-18,-11,-18,26,3,62,0.0,1033,-11,10,273,18,"philadelphia,pa"
2018-01-02 07:00:00,-5,-11,0.0,8.7,2,100,06:47 PM,08:39 AM,08:22 AM,05:47 PM,-16,-17,-10,-17,25,3,59,0.0,1033,-10,10,277,18,"philadelphia,pa"
2018-01-02 08:00:00,-5,-11,0.0,8.7,2,100,06:47 PM,08:39 AM,08:22 AM,05:47 PM,-16,-16,-9,-16,23,3,57,0.0,1033,-9,10,280,17,"philadelphia,pa"
2018-01-02 09:00:00,-5,-11,0.0,8.7,2,100,06:47 PM,08:39 AM,08:22 AM,05:47 PM,-16,-15,-8,-15,21,4,55,0.0,1033,-8,10,284,17,"philadelphia,pa"
2018-01-02 10:00:00,-5,-11,0.0,8.7,2,100,06:47 PM,08:39 AM,08:22 AM,05:47 PM,-15,-14,-7,-14,20,4,53,0.0,1033,-7,10,280,16,"philadelphia,pa"
2018-01-02 11:00:00,-5,-11,0.0,8.7,2,100,06:47 PM,08:39 AM,08:22 AM,05:47 PM,-15,-12,-6,-12,18,5,50,0.0,1032,-6,10,276,15,"philadelphia,pa"
2018-01-02 12:00:00,-5,-11,0.0,8.7,2,100,06:47 PM,08:39 AM,08:22 AM,05:47 PM,-14,-11,-5,-11,16,5,48,0.0,1031,-5,10,273,14,"philadelphia,pa"
2018-01-02 13:00:00,-5,-11,0.0,8.7,2,100,06:47 PM,08:39 AM,08:22 AM,05:47 PM,-14,-11,-5,-11,18,9,48,0.0,1031,-5,10,269,15,"philadelphia,pa"
2018-01-02 14:00:00,-5,-11,0.0,8.7,2,100,06:47 PM,08:39 AM,08:22 AM,05:47 PM,-14,-11,-5,-11,20,13,48,0.0,1030,-5,10,266,15,"philadelphia,pa"
2018-01-02 15:00:00,-5,-11,0.0,8.7,2,100,06:47 PM,08:39 AM,08:22 AM,05:47 PM,-14,-11,-5,-11,21,16,49,0.0,1030,-5,10,263,15,"philadelphia,pa"
2018-01-02 16:00:00,-5,-11,0.0,8.7,2,100,06:47 PM,08:39 AM,08:22 AM,05:47 PM,-14,-11,-6,-11,19,14,52,0.0,1030,-6,10,256,14,"philadelphia,pa"
2018-01-02 17:00:00,-5,-11,0.0,8.7,2,100,06:47 PM,08:39 AM,08:22 AM,05:47 PM,-14,-11,-6,-11,17,11,55,0.0,1030,-6,10,249,12,"philadelphia,pa"
2018-01-02 18:00:00,-5,-11,0.0,8.7,2,100,06:47 PM,08:39 AM,08:22 AM,05:47 PM,-13,-11,-7,-11,15,9,58,0.0,1030,-7,10,242,10,"philadelphia,pa"
2018-01-02 19:00:00,-5,-11,0.0,8.7,2,100,06:47 PM,08:39 AM,08:22 AM,05:47 PM,-14,-11,-7,-11,16,12,57,0.0,1030,-7,10,246,10,"philadelphia,pa"
2018-01-02 20:00:00,-5,-11,0.0,8.7,2,100,06:47 PM,08:39 AM,08:22 AM,05:47 PM,-14,-12,-7,-12,18,16,56,0.0,1029,-7,10,249,11,"philadelphia,pa"
2018-01-02 21:00:00,-5,-11,0.0,8.7,2,100,06:47 PM,08:39 AM,08:22 AM,05:47 PM,-14,-12,-7,-12,19,19,56,0.0,1029,-7,10,253,12,"philadelphia,pa"
2018-01-02 22:00:00,-5,-11,0.0,8.7,2,100,06:47 PM,08:39 AM,08:22 AM,05:47 PM,-14,-12,-7,-12,19,45,56,0.0,1029,-7,10,250,12,"philadelphia,pa"
2018-01-02 23:00:00,-5,-11,0.0,8.7,2,100,06:47 PM,08:39 AM,08:22 AM,05:47 PM,-14,-12,-7,-12,19,70,57,0.0,1029,-7,10,247,11,"philadelphia,pa"
2018-01-03 00:00:00,-2,-9,0.0,7.0,1,89,07:58 PM,09:36 AM,08:22 AM,05:48 PM,-15,-13,-8,-13,18,96,57,0.0,1029,-8,10,244,11,"philadelphia,pa"
2018-01-03 01:00:00,-2,-9,0.0,7.0,1,89,07:58 PM,09:36 AM,08:22 AM,05:48 PM,-14,-11,-7,-11,15,65,58,0.0,1029,-8,10,255,9,"philadelphia,pa"
2018-01-03 02:00:00,-2,-9,0.0,7.0,1,89,07:58 PM,09:36 AM,08:22 AM,05:48 PM,-13,-10,-6,-10,11,33,58,0.0,1029,-8,10,266,8,"philadelphia,pa"
2018-01-03 03:00:00,-2,-9,0.0,7.0,1,89,07:58 PM,09:36 AM,08:22 AM,05:48 PM,-12,-9,-6,-9,8,2,59,0.0,1028,-8,10,277,7,"philadelphia,pa"
2018-01-03 04:00:00,-2,-9,0.0,7.0,1,89,07:58 PM,09:36 AM,08:22 AM,05:48 PM,-12,-8,-6,-8,6,2,60,0.0,1028,-9,10,191,5,"philadelphia,pa"
2018-01-03 05:00:00,-2,-9,0.0,7.0,1,89,07:58 PM,09:36 AM,08:22 AM,05:48 PM,-12,-7,-6,-7,3,2,61,0.0,1028,-9,10,106,3,"philadelphia,pa"
2018-01-03 06:00:00,-2,-9,0.0,7.0,1,89,07:58 PM,09:36 AM,08:22 AM,05:48 PM,-13,-7,-7,-7,1,2,62,0.0,1028,-9,10,20,1,"philadelphia,pa"
2018-01-03 07:00:00,-2,-9,0.0,7.0,1,89,07:58 PM,09:36 AM,08:22 AM,05:48 PM,-13,-6,-6,-6,1,3,55,0.0,1028,-8,10,52,1,"philadelphia,pa"
2018-01-03 08:00:00,-2,-9,0.0,7.0,1,89,07:58 PM,09:36 AM,08:22 AM,05:48 PM,-14,-5,-5,-5,2,3,49,0.0,1028,-7,10,83,1,"philadelphia,pa"
2018-01-03 09:00:00,-2,-9,0.0,7.0,1,89,07:58 PM,09:36 AM,08:22 AM,05:48 PM,-14,-4,-4,-4,2,4,43,0.0,1028,-6,10,114,2,"philadelphia,pa"
2018-01-03 10:00:00,-2,-9,0.0,7.0,1,89,07:58 PM,09:36 AM,08:22 AM,05:48 PM,-15,-4,-3,-4,4,36,41,0.0,1027,-5,10,105,3,"philadelphia,pa"
2018-01-03 11:00:00,-2,-9,0.0,7.0,1,89,07:58 PM,09:36 AM,08:22 AM,05:48 PM,-15,-4,-3,-4,5,68,38,0.0,1026,-3,10,95,4,"philadelphia,pa"
2018-01-03 12:00:00,-2,-9,0.0,7.0,1,89,07:58 PM,09:36 AM,08:22 AM,05:48 PM,-15,-4,-2,-4,6,100,35,0.0,1025,-2,10,86,5,"philadelphia,pa"
2018-01-03 13:00:00,-2,-9,0.0,7.0,1,89,07:58 PM,09:36 AM,08:22 AM,05:48 PM,-15,-3,-2,-3,6,76,37,0.0,1024,-2,10,98,5,"philadelphia,pa"
2018-01-03 14:00:00,-2,-9,0.0,7.0,1,89,07:58 PM,09:36 AM,08:22 AM,05:48 PM,-14,-3,-2,-3,5,52,38,0.0,1023,-2,10,110,4,"philadelphia,pa"
2018-01-03 15:00:00,-2,-9,0.0,7.0,1,89,07:58 PM,09:36 AM,08:22 AM,05:48 PM,-14,-2,-2,-2,4,29,39,0.0,1022,-2,10,122,3,"philadelphia,pa"
2018-01-03 16:00:00,-2,-9,0.0,7.0,1,89,07:58 PM,09:36 AM,08:22 AM,05:48 PM,-13,-4,-2,-4,8,52,44,0.0,1022,-3,10,106,5,"philadelphia,pa"
2018-01-03 17:00:00,-2,-9,0.0,7.0,1,89,07:58 PM,09:36 AM,08:22 AM,05:48 PM,-12,-5,-3,-5,11,76,48,0.0,1022,-3,10,90,7,"philadelphia,pa"
2018-01-03 18:00:00,-2,-9,0.0,7.0,1,89,07:58 PM,09:36 AM,08:22 AM,05:48 PM,-12,-7,-4,-7,15,100,53,0.0,1021,-4,10,75,8,"philadelphia,pa"
2018-01-03 19:00:00,-2,-9,0.0,7.0,1,89,07:58 PM,09:36 AM,08:22 AM,05:48 PM,-11,-7,-3,-7,16,100,55,0.0,1020,-4,10,62,9,"philadelphia,pa"
2018-01-03 20:00:00,-2,-9,0.0,7.0,1,89,07:58 PM,09:36 AM,08:22 AM,05:48 PM,-11,-7,-3,-7,17,100,57,0.0,1018,-3,10,50,10,"philadelphia,pa"
2018-01-03 21:00:00,-2,-9,0.0,7.0,1,89,07:58 PM,09:36 AM,08:22 AM,05:48 PM,-10,-7,-3,-7,18,100,59,0.0,1017,-3,10,37,10,"philadelphia,pa"
2018-01-03 22:00:00,-2,-9,0.0,7.0,1,89,07:58 PM,09:36 AM,08:22 AM,05:48 PM,-10,-8,-3,-8,20,99,62,0.0,1015,-3,10,25,12,"philadelphia,pa"
