date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,18,8,0.0,8.7,4,97,05:56 PM,07:55 AM,08:33 AM,05:54 PM,3,9,10,9,10,39,62,0.0,1023,10,10,357,5,"redding,ca"
2018-01-01 01:00:00,18,8,0.0,8.7,4,97,05:56 PM,07:55 AM,08:33 AM,05:54 PM,3,9,9,9,9,27,65,0.0,1023,9,10,355,4,"redding,ca"
2018-01-01 02:00:00,18,8,0.0,8.7,4,97,05:56 PM,07:55 AM,08:33 AM,05:54 PM,3,9,9,9,9,15,68,0.0,1024,9,10,353,4,"redding,ca"
2018-01-01 03:00:00,18,8,0.0,8.7,4,97,05:56 PM,07:55 AM,08:33 AM,05:54 PM,3,8,8,8,8,3,71,0.0,1024,8,10,351,4,"redding,ca"
2018-01-01 04:00:00,18,8,0.0,8.7,4,97,05:56 PM,07:55 AM,08:33 AM,05:54 PM,3,8,8,8,8,3,71,0.0,1024,8,10,352,4,"redding,ca"
2018-01-01 05:00:00,18,8,0.0,8.7,4,97,05:56 PM,07:55 AM,08:33 AM,05:54 PM,3,8,8,8,8,3,70,0.0,1024,8,10,353,4,"redding,ca"
2018-01-01 06:00:00,18,8,0.0,8.7,4,97,05:56 PM,07:55 AM,08:33 AM,05:54 PM,3,8,9,8,8,3,70,0.0,1024,8,10,354,4,"redding,ca"
2018-01-01 07:00:00,18,8,0.0,8.7,4,97,05:56 PM,07:55 AM,08:33 AM,05:54 PM,4,10,10,10,7,3,67,0.0,1025,10,10,242,4,"redding,ca"
2018-01-01 08:00:00,18,8,0.0,8.7,4,97,05:56 PM,07:55 AM,08:33 AM,05:54 PM,5,13,12,13,6,2,64,0.0,1025,12,10,129,4,"redding,ca"
2018-01-01 09:00:00,18,8,0.0,8.7,4,97,05:56 PM,07:55 AM,08:33 AM,05:54 PM,6,15,14,15,5,2,61,0.0,1025,14,10,16,4,"redding,ca"
2018-01-01 10:00:00,18,8,0.0,8.7,4,97,05:56 PM,07:55 AM,08:33 AM,05:54 PM,7,16,15,16,5,7,56,0.0,1024,15,10,122,4,"redding,ca"
2018-01-01 11:00:00,18,8,0.0,8.7,4,97,05:56 PM,07:55 AM,08:33 AM,05:54 PM,7,17,17,17,5,12,51,0.0,1023,17,10,227,5,"redding,ca"
2018-01-01 12:00:00,18,8,0.0,8.7,4,97,05:56 PM,07:55 AM,08:33 AM,05:54 PM,7,18,18,18,6,16,47,0.0,1023,18,10,333,5,"redding,ca"
2018-01-01 13:00:00,18,8,0.0,8.7,4,97,05:56 PM,07:55 AM,08:33 AM,05:54 PM,7,17,17,17,5,15,52,0.0,1023,17,10,328,4,"redding,ca"
2018-01-01 14:00:00,18,8,0.0,8.7,4,97,05:56 PM,07:55 AM,08:33 AM,05:54 PM,7,16,16,16,5,13,57,0.0,1022,16,10,324,3,"redding,ca"
2018-01-01 15:00:00,18,8,0.0,8.7,4,97,05:56 PM,07:55 AM,08:33 AM,05:54 PM,8,15,15,15,5,12,62,0.0,1022,15,10,319,2,"redding,ca"
2018-01-01 16:00:00,18,8,0.0,8.7,4,97,05:56 PM,07:55 AM,08:33 AM,05:54 PM,7,14,14,14,6,8,63,0.0,1023,14,10,332,3,"redding,ca"
2018-01-01 17:00:00,18,8,0.0,8.7,4,97,05:56 PM,07:55 AM,08:33 AM,05:54 PM,6,13,13,13,7,5,63,0.0,1023,13,10,345,3,"redding,ca"
2018-01-01 18:00:00,18,8,0.0,8.7,4,97,05:56 PM,07:55 AM,08:33 AM,05:54 PM,5,12,12,12,8,2,64,0.0,1023,12,10,358,4,"redding,ca"
2018-01-01 19:00:00,18,8,0.0,8.7,4,97,05:56 PM,07:55 AM,08:33 AM,05:54 PM,5,12,12,12,8,2,63,0.0,1023,12,10,239,4,"redding,ca"
2018-01-01 20:00:00,18,8,0.0,8.7,4,97,05:56 PM,07:55 AM,08:33 AM,05:54 PM,4,11,11,11,8,2,62,0.0,1024,11,10,119,4,"redding,ca"
2018-01-01 21:00:00,18,8,0.0,8.7,4,97,05:56 PM,07:55 AM,08:33 AM,05:54 PM,4,11,11,11,8,2,61,0.0,1024,11,10,0,4,"redding,ca"
2018-01-01 22:00:00,18,8,0.0,8.7,4,97,05:56 PM,07:55 AM,08:33 AM,05:54 PM,3,11,11,11,8,3,60,0.0,1024,11,10,0,4,"redding,ca"
2018-01-01 23:00:00,18,8,0.0,8.7,4,97,05:56 PM,07:55 AM,08:33 AM,05:54 PM,3,11,11,11,8,4,59,0.0,1024,11,10,0,4,"redding,ca"
2018-01-02 00:00:00,18,9,0.0,8.7,4,100,07:04 PM,08:57 AM,08:33 AM,05:54 PM,2,11,11,11,8,5,57,0.0,1024,11,10,0,4,"redding,ca"
2018-01-02 01:00:00,18,9,0.0,8.7,4,100,07:04 PM,08:57 AM,08:33 AM,05:54 PM,3,10,10,10,7,8,60,0.0,1025,10,10,116,3,"redding,ca"
2018-01-02 02:00:00,18,9,0.0,8.7,4,100,07:04 PM,08:57 AM,08:33 AM,05:54 PM,3,9,9,9,5,10,63,0.0,1025,9,10,231,2,"redding,ca"
2018-01-02 03:00:00,18,9,0.0,8.7,4,100,07:04 PM,08:57 AM,08:33 AM,05:54 PM,3,9,9,9,3,13,65,0.0,1026,9,10,346,1,"redding,ca"
2018-01-02 04:00:00,18,9,0.0,8.7,4,100,07:04 PM,08:57 AM,08:33 AM,05:54 PM,3,9,9,9,5,13,65,0.0,1025,9,10,231,3,"redding,ca"
2018-01-02 05:00:00,18,9,0.0,8.7,4,100,07:04 PM,08:57 AM,08:33 AM,05:54 PM,3,9,9,9,8,14,65,0.0,1025,9,10,117,4,"redding,ca"
2018-01-02 06:00:00,18,9,0.0,8.7,4,100,07:04 PM,08:57 AM,08:33 AM,05:54 PM,3,9,9,9,10,14,65,0.0,1025,9,10,2,5,"redding,ca"
2018-01-02 07:00:00,18,9,0.0,8.7,4,100,07:04 PM,08:57 AM,08:33 AM,05:54 PM,4,11,11,11,9,13,62,0.0,1025,11,10,120,5,"redding,ca"
2018-01-02 08:00:00,18,9,0.0,8.7,4,100,07:04 PM,08:57 AM,08:33 AM,05:54 PM,5,13,12,13,8,11,59,0.0,1025,12,10,238,5,"redding,ca"
2018-01-02 09:00:00,18,9,0.0,8.7,4,100,07:04 PM,08:57 AM,08:33 AM,05:54 PM,5,14,14,14,7,9,56,0.0,1025,14,10,356,5,"redding,ca"
2018-01-02 10:00:00,18,9,0.0,8.7,4,100,07:04 PM,08:57 AM,08:33 AM,05:54 PM,6,15,15,15,7,10,53,0.0,1024,15,10,344,5,"redding,ca"
2018-01-02 11:00:00,18,9,0.0,8.7,4,100,07:04 PM,08:57 AM,08:33 AM,05:54 PM,6,17,17,17,6,10,49,0.0,1023,17,10,331,5,"redding,ca"
2018-01-02 12:00:00,18,9,0.0,8.7,4,100,07:04 PM,08:57 AM,08:33 AM,05:54 PM,6,18,18,18,6,11,46,0.0,1022,18,10,319,5,"redding,ca"
2018-01-02 13:00:00,18,9,0.0,8.7,4,100,07:04 PM,08:57 AM,08:33 AM,05:54 PM,7,17,17,17,6,17,52,0.0,1022,17,10,322,5,"redding,ca"
2018-01-02 14:00:00,18,9,0.0,8.7,4,100,07:04 PM,08:57 AM,08:33 AM,05:54 PM,7,16,16,16,7,24,57,0.0,1022,16,10,326,4,"redding,ca"
2018-01-02 15:00:00,18,9,0.0,8.7,4,100,07:04 PM,08:57 AM,08:33 AM,05:54 PM,7,15,15,15,8,31,63,0.0,1021,15,10,330,4,"redding,ca"
2018-01-02 16:00:00,18,9,0.0,8.7,4,100,07:04 PM,08:57 AM,08:33 AM,05:54 PM,7,15,14,15,8,36,62,0.0,1021,14,10,338,4,"redding,ca"
2018-01-02 17:00:00,18,9,0.0,8.7,4,100,07:04 PM,08:57 AM,08:33 AM,05:54 PM,6,14,13,14,8,41,61,0.0,1021,13,10,347,4,"redding,ca"
2018-01-02 18:00:00,18,9,0.0,8.7,4,100,07:04 PM,08:57 AM,08:33 AM,05:54 PM,5,13,13,13,8,46,61,0.0,1021,13,10,356,4,"redding,ca"
2018-01-02 19:00:00,18,9,0.0,8.7,4,100,07:04 PM,08:57 AM,08:33 AM,05:54 PM,5,13,13,13,7,57,59,0.0,1021,13,10,239,3,"redding,ca"
