date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-4,-9,0.0,9.8,2,97,05:57 PM,07:39 AM,08:24 AM,06:02 PM,-18,-13,-8,-13,18,5,44,0.0,1031,-8,10,10,13,"richmond,va"
2018-01-01 01:00:00,-4,-9,0.0,9.8,2,97,05:57 PM,07:39 AM,08:24 AM,06:02 PM,-18,-14,-8,-14,18,5,45,0.0,1032,-8,10,125,13,"richmond,va"
2018-01-01 02:00:00,-4,-9,0.0,9.8,2,97,05:57 PM,07:39 AM,08:24 AM,06:02 PM,-18,-14,-8,-14,19,5,46,0.0,1032,-8,10,240,13,"richmond,va"
2018-01-01 03:00:00,-4,-9,0.0,9.8,2,97,05:57 PM,07:39 AM,08:24 AM,06:02 PM,-17,-14,-8,-14,19,6,47,0.0,1032,-8,10,356,13,"richmond,va"
2018-01-01 04:00:00,-4,-9,0.0,9.8,2,97,05:57 PM,07:39 AM,08:24 AM,06:02 PM,-17,-14,-8,-14,18,5,48,0.0,1032,-8,10,353,12,"richmond,va"
2018-01-01 05:00:00,-4,-9,0.0,9.8,2,97,05:57 PM,07:39 AM,08:24 AM,06:02 PM,-17,-14,-9,-14,16,4,49,0.0,1033,-9,10,351,11,"richmond,va"
2018-01-01 06:00:00,-4,-9,0.0,9.8,2,97,05:57 PM,07:39 AM,08:24 AM,06:02 PM,-17,-14,-9,-14,15,4,50,0.0,1033,-9,10,349,10,"richmond,va"
2018-01-01 07:00:00,-4,-9,0.0,9.8,2,97,05:57 PM,07:39 AM,08:24 AM,06:02 PM,-18,-13,-8,-13,16,4,46,0.0,1034,-8,10,347,12,"richmond,va"
2018-01-01 08:00:00,-4,-9,0.0,9.8,2,97,05:57 PM,07:39 AM,08:24 AM,06:02 PM,-18,-13,-7,-13,16,4,42,0.0,1034,-7,10,346,13,"richmond,va"
2018-01-01 09:00:00,-4,-9,0.0,9.8,2,97,05:57 PM,07:39 AM,08:24 AM,06:02 PM,-18,-13,-7,-13,17,4,39,0.0,1034,-7,10,345,15,"richmond,va"
