date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-21,-28,0.0,3.4,2,97,05:41 PM,07:59 AM,08:45 AM,05:43 PM,-27,-38,-27,-38,30,53,93,0.0,1046,-27,10,294,17,"rochester,mn"
2018-01-01 01:00:00,-21,-28,0.0,3.4,2,97,05:41 PM,07:59 AM,08:45 AM,05:43 PM,-27,-38,-27,-38,29,59,93,0.0,1046,-27,10,295,16,"rochester,mn"
2018-01-01 02:00:00,-21,-28,0.0,3.4,2,97,05:41 PM,07:59 AM,08:45 AM,05:43 PM,-27,-37,-27,-37,28,65,94,0.0,1046,-27,10,296,16,"rochester,mn"
2018-01-01 03:00:00,-21,-28,0.0,3.4,2,97,05:41 PM,07:59 AM,08:45 AM,05:43 PM,-27,-37,-27,-37,27,71,94,0.0,1047,-27,10,297,15,"rochester,mn"
2018-01-01 04:00:00,-21,-28,0.0,3.4,2,97,05:41 PM,07:59 AM,08:45 AM,05:43 PM,-27,-37,-27,-37,25,76,95,0.0,1047,-27,7,300,14,"rochester,mn"
2018-01-01 05:00:00,-21,-28,0.0,3.4,2,97,05:41 PM,07:59 AM,08:45 AM,05:43 PM,-28,-37,-27,-37,23,81,96,0.0,1047,-27,5,304,13,"rochester,mn"
2018-01-01 06:00:00,-21,-28,0.0,3.4,2,97,05:41 PM,07:59 AM,08:45 AM,05:43 PM,-28,-37,-28,-37,21,86,96,0.0,1047,-28,2,307,12,"rochester,mn"
2018-01-01 07:00:00,-21,-28,0.0,3.4,2,97,05:41 PM,07:59 AM,08:45 AM,05:43 PM,-27,-37,-27,-37,22,86,96,0.0,1047,-27,5,305,12,"rochester,mn"
2018-01-01 08:00:00,-21,-28,0.0,3.4,2,97,05:41 PM,07:59 AM,08:45 AM,05:43 PM,-27,-37,-27,-37,23,85,96,0.0,1047,-27,7,302,13,"rochester,mn"
2018-01-01 09:00:00,-21,-28,0.0,3.4,2,97,05:41 PM,07:59 AM,08:45 AM,05:43 PM,-27,-37,-26,-37,24,85,96,0.0,1047,-26,10,300,14,"rochester,mn"
2018-01-01 10:00:00,-21,-28,0.0,3.4,2,97,05:41 PM,07:59 AM,08:45 AM,05:43 PM,-25,-34,-25,-34,20,80,95,0.0,1047,-25,10,299,13,"rochester,mn"
2018-01-01 11:00:00,-21,-28,0.0,3.4,2,97,05:41 PM,07:59 AM,08:45 AM,05:43 PM,-24,-32,-23,-32,16,75,94,0.0,1047,-23,10,298,11,"rochester,mn"
2018-01-01 12:00:00,-21,-28,0.0,3.4,2,97,05:41 PM,07:59 AM,08:45 AM,05:43 PM,-23,-29,-22,-29,13,70,93,0.0,1046,-22,10,298,10,"rochester,mn"
2018-01-01 13:00:00,-21,-28,0.0,3.4,2,97,05:41 PM,07:59 AM,08:45 AM,05:43 PM,-22,-30,-22,-30,15,68,93,0.0,1046,-22,10,292,11,"rochester,mn"
2018-01-01 14:00:00,-21,-28,0.0,3.4,2,97,05:41 PM,07:59 AM,08:45 AM,05:43 PM,-22,-30,-21,-30,17,66,93,0.0,1046,-21,10,286,13,"rochester,mn"
2018-01-01 15:00:00,-21,-28,0.0,3.4,2,97,05:41 PM,07:59 AM,08:45 AM,05:43 PM,-22,-30,-21,-30,20,65,93,0.0,1045,-21,10,280,14,"rochester,mn"
2018-01-01 16:00:00,-21,-28,0.0,3.4,2,97,05:41 PM,07:59 AM,08:45 AM,05:43 PM,-23,-31,-22,-31,20,52,94,0.0,1045,-22,7,277,13,"rochester,mn"
2018-01-01 17:00:00,-21,-28,0.0,3.4,2,97,05:41 PM,07:59 AM,08:45 AM,05:43 PM,-24,-32,-24,-32,21,39,94,0.0,1045,-24,5,274,12,"rochester,mn"
2018-01-01 18:00:00,-21,-28,0.0,3.4,2,97,05:41 PM,07:59 AM,08:45 AM,05:43 PM,-25,-33,-25,-33,22,27,95,0.0,1046,-25,2,271,10,"rochester,mn"
2018-01-01 19:00:00,-21,-28,0.0,3.4,2,97,05:41 PM,07:59 AM,08:45 AM,05:43 PM,-25,-33,-25,-33,23,19,94,0.0,1045,-25,5,270,11,"rochester,mn"
2018-01-01 20:00:00,-21,-28,0.0,3.4,2,97,05:41 PM,07:59 AM,08:45 AM,05:43 PM,-25,-33,-25,-33,24,11,93,0.0,1045,-25,7,268,12,"rochester,mn"
2018-01-01 21:00:00,-21,-28,0.0,3.4,2,97,05:41 PM,07:59 AM,08:45 AM,05:43 PM,-25,-33,-24,-33,26,3,92,0.0,1045,-24,10,267,12,"rochester,mn"
2018-01-01 22:00:00,-21,-28,0.0,3.4,2,97,05:41 PM,07:59 AM,08:45 AM,05:43 PM,-25,-33,-24,-33,28,4,92,0.0,1044,-24,10,266,13,"rochester,mn"
2018-01-01 23:00:00,-21,-28,0.0,3.4,2,97,05:41 PM,07:59 AM,08:45 AM,05:43 PM,-25,-33,-24,-33,30,5,91,0.0,1044,-24,10,265,14,"rochester,mn"
2018-01-02 00:00:00,-11,-23,0.8,8.7,2,100,06:48 PM,09:03 AM,08:45 AM,05:44 PM,-24,-33,-23,-33,32,7,91,0.0,1043,-23,10,264,15,"rochester,mn"
2018-01-02 01:00:00,-11,-23,0.8,8.7,2,100,06:48 PM,09:03 AM,08:45 AM,05:44 PM,-24,-33,-23,-33,32,7,91,0.0,1043,-23,10,261,15,"rochester,mn"
2018-01-02 02:00:00,-11,-23,0.8,8.7,2,100,06:48 PM,09:03 AM,08:45 AM,05:44 PM,-24,-33,-23,-33,31,7,90,0.0,1042,-23,10,258,15,"rochester,mn"
2018-01-02 03:00:00,-11,-23,0.8,8.7,2,100,06:48 PM,09:03 AM,08:45 AM,05:44 PM,-24,-33,-23,-33,31,7,90,0.0,1041,-23,10,256,15,"rochester,mn"
2018-01-02 04:00:00,-11,-23,0.8,8.7,2,100,06:48 PM,09:03 AM,08:45 AM,05:44 PM,-25,-33,-23,-33,35,7,85,0.0,1041,-23,10,255,17,"rochester,mn"
2018-01-02 05:00:00,-11,-23,0.8,8.7,2,100,06:48 PM,09:03 AM,08:45 AM,05:44 PM,-25,-34,-23,-34,40,7,80,0.0,1040,-23,10,255,19,"rochester,mn"
2018-01-02 06:00:00,-11,-23,0.8,8.7,2,100,06:48 PM,09:03 AM,08:45 AM,05:44 PM,-26,-34,-23,-34,44,7,75,0.0,1039,-23,10,255,21,"rochester,mn"
2018-01-02 07:00:00,-11,-23,0.8,8.7,2,100,06:48 PM,09:03 AM,08:45 AM,05:44 PM,-25,-34,-22,-34,42,17,79,0.0,1038,-22,10,249,21,"rochester,mn"
2018-01-02 08:00:00,-11,-23,0.8,8.7,2,100,06:48 PM,09:03 AM,08:45 AM,05:44 PM,-24,-33,-22,-33,40,28,82,0.0,1037,-22,10,243,20,"rochester,mn"
2018-01-02 09:00:00,-11,-23,0.8,8.7,2,100,06:48 PM,09:03 AM,08:45 AM,05:44 PM,-23,-32,-21,-32,37,38,86,0.0,1036,-21,10,237,20,"rochester,mn"
2018-01-02 10:00:00,-11,-23,0.8,8.7,2,100,06:48 PM,09:03 AM,08:45 AM,05:44 PM,-21,-30,-20,-30,38,28,85,0.0,1034,-19,10,235,23,"rochester,mn"
