date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,30,21,0.0,8.7,5,97,05:35 PM,05:59 AM,06:40 AM,05:45 PM,21,22,24,22,13,14,94,0.0,1016,21,2,347,7,"santamaria,ca"
2018-01-01 01:00:00,30,21,0.0,8.7,5,97,05:35 PM,05:59 AM,06:40 AM,05:45 PM,21,22,24,22,13,13,94,0.0,1016,21,5,346,7,"santamaria,ca"
2018-01-01 02:00:00,30,21,0.0,8.7,5,97,05:35 PM,05:59 AM,06:40 AM,05:45 PM,21,22,24,22,13,12,94,0.0,1016,21,7,346,7,"santamaria,ca"
2018-01-01 03:00:00,30,21,0.0,8.7,5,97,05:35 PM,05:59 AM,06:40 AM,05:45 PM,21,22,24,22,13,11,94,0.0,1016,21,10,345,7,"santamaria,ca"
2018-01-01 04:00:00,30,21,0.0,8.7,5,97,05:35 PM,05:59 AM,06:40 AM,05:45 PM,21,22,24,22,12,10,93,0.0,1016,21,10,334,6,"santamaria,ca"
2018-01-01 05:00:00,30,21,0.0,8.7,5,97,05:35 PM,05:59 AM,06:40 AM,05:45 PM,21,22,24,22,11,9,93,0.0,1017,21,10,322,6,"santamaria,ca"
2018-01-01 06:00:00,30,21,0.0,8.7,5,97,05:35 PM,05:59 AM,06:40 AM,05:45 PM,21,22,24,22,10,8,93,0.0,1017,21,10,310,6,"santamaria,ca"
2018-01-01 07:00:00,30,21,0.0,8.7,5,97,05:35 PM,05:59 AM,06:40 AM,05:45 PM,20,26,26,24,9,8,82,0.0,1017,23,10,217,6,"santamaria,ca"
2018-01-01 08:00:00,30,21,0.0,8.7,5,97,05:35 PM,05:59 AM,06:40 AM,05:45 PM,20,28,28,26,8,8,71,0.0,1017,25,10,123,6,"santamaria,ca"
2018-01-01 09:00:00,30,21,0.0,8.7,5,97,05:35 PM,05:59 AM,06:40 AM,05:45 PM,20,30,30,28,7,7,61,0.0,1018,28,10,30,6,"santamaria,ca"
2018-01-01 10:00:00,30,21,0.0,8.7,5,97,05:35 PM,05:59 AM,06:40 AM,05:45 PM,20,31,31,29,7,7,57,0.0,1017,28,10,44,6,"santamaria,ca"
2018-01-01 11:00:00,30,21,0.0,8.7,5,97,05:35 PM,05:59 AM,06:40 AM,05:45 PM,19,32,32,30,6,6,53,0.0,1017,29,10,58,5,"santamaria,ca"
2018-01-01 12:00:00,30,21,0.0,8.7,5,97,05:35 PM,05:59 AM,06:40 AM,05:45 PM,19,33,33,31,5,6,48,0.0,1016,30,10,71,5,"santamaria,ca"
2018-01-01 13:00:00,30,21,0.0,8.7,5,97,05:35 PM,05:59 AM,06:40 AM,05:45 PM,19,32,32,31,6,13,50,0.0,1016,30,10,69,5,"santamaria,ca"
2018-01-01 14:00:00,30,21,0.0,8.7,5,97,05:35 PM,05:59 AM,06:40 AM,05:45 PM,19,31,31,30,7,20,52,0.0,1015,29,10,66,6,"santamaria,ca"
2018-01-01 15:00:00,30,21,0.0,8.7,5,97,05:35 PM,05:59 AM,06:40 AM,05:45 PM,19,30,30,29,8,28,54,0.0,1015,29,10,63,7,"santamaria,ca"
2018-01-01 16:00:00,30,21,0.0,8.7,5,97,05:35 PM,05:59 AM,06:40 AM,05:45 PM,19,29,29,27,8,30,62,0.0,1015,27,10,158,6,"santamaria,ca"
2018-01-01 17:00:00,30,21,0.0,8.7,5,97,05:35 PM,05:59 AM,06:40 AM,05:45 PM,19,27,27,25,8,33,71,0.0,1015,25,10,253,5,"santamaria,ca"
2018-01-01 18:00:00,30,21,0.0,8.7,5,97,05:35 PM,05:59 AM,06:40 AM,05:45 PM,19,25,25,23,9,35,80,0.0,1016,23,10,347,4,"santamaria,ca"
2018-01-01 19:00:00,30,21,0.0,8.7,5,97,05:35 PM,05:59 AM,06:40 AM,05:45 PM,20,25,25,23,10,27,83,0.0,1016,22,10,233,5,"santamaria,ca"
2018-01-01 20:00:00,30,21,0.0,8.7,5,97,05:35 PM,05:59 AM,06:40 AM,05:45 PM,20,25,25,22,12,18,86,0.0,1016,22,10,118,6,"santamaria,ca"
2018-01-01 21:00:00,30,21,0.0,8.7,5,97,05:35 PM,05:59 AM,06:40 AM,05:45 PM,20,22,25,22,14,9,88,0.0,1017,22,10,3,7,"santamaria,ca"
2018-01-01 22:00:00,30,21,0.0,8.7,5,97,05:35 PM,05:59 AM,06:40 AM,05:45 PM,20,22,24,22,14,9,89,0.0,1016,22,10,4,7,"santamaria,ca"
2018-01-01 23:00:00,30,21,0.0,8.7,5,97,05:35 PM,05:59 AM,06:40 AM,05:45 PM,20,22,24,22,15,8,90,0.0,1016,21,10,6,8,"santamaria,ca"
2018-01-02 00:00:00,30,21,0.0,7.2,6,100,06:39 PM,07:03 AM,06:41 AM,05:46 PM,20,22,24,22,15,7,91,0.0,1015,21,10,7,8,"santamaria,ca"
2018-01-02 01:00:00,30,21,0.0,7.2,6,100,06:39 PM,07:03 AM,06:41 AM,05:46 PM,20,21,24,21,16,9,92,0.0,1015,21,10,5,8,"santamaria,ca"
2018-01-02 02:00:00,30,21,0.0,7.2,6,100,06:39 PM,07:03 AM,06:41 AM,05:46 PM,20,21,24,21,16,10,93,0.0,1015,21,10,2,8,"santamaria,ca"
2018-01-02 03:00:00,30,21,0.0,7.2,6,100,06:39 PM,07:03 AM,06:41 AM,05:46 PM,20,21,24,21,16,11,93,0.0,1015,21,10,0,8,"santamaria,ca"
2018-01-02 04:00:00,30,21,0.0,7.2,6,100,06:39 PM,07:03 AM,06:41 AM,05:46 PM,20,21,24,21,15,30,93,0.0,1015,21,10,1,8,"santamaria,ca"
2018-01-02 05:00:00,30,21,0.0,7.2,6,100,06:39 PM,07:03 AM,06:41 AM,05:46 PM,20,21,24,21,13,50,92,0.0,1015,21,10,2,7,"santamaria,ca"
2018-01-02 06:00:00,30,21,0.0,7.2,6,100,06:39 PM,07:03 AM,06:41 AM,05:46 PM,20,21,24,21,12,69,91,0.0,1015,21,10,3,6,"santamaria,ca"
2018-01-02 07:00:00,30,21,0.0,7.2,6,100,06:39 PM,07:03 AM,06:41 AM,05:46 PM,19,26,26,24,10,66,78,0.0,1015,24,10,16,6,"santamaria,ca"
2018-01-02 08:00:00,30,21,0.0,7.2,6,100,06:39 PM,07:03 AM,06:41 AM,05:46 PM,19,28,28,26,8,63,66,0.0,1015,26,10,29,6,"santamaria,ca"
2018-01-02 09:00:00,30,21,0.0,7.2,6,100,06:39 PM,07:03 AM,06:41 AM,05:46 PM,18,30,30,28,7,60,53,0.0,1016,28,10,42,6,"santamaria,ca"
2018-01-02 10:00:00,30,21,0.0,7.2,6,100,06:39 PM,07:03 AM,06:41 AM,05:46 PM,18,30,30,29,6,47,51,0.0,1015,29,10,76,6,"santamaria,ca"
2018-01-02 11:00:00,30,21,0.0,7.2,6,100,06:39 PM,07:03 AM,06:41 AM,05:46 PM,18,31,31,30,6,34,49,0.0,1015,30,10,110,6,"santamaria,ca"
2018-01-02 12:00:00,30,21,0.0,7.2,6,100,06:39 PM,07:03 AM,06:41 AM,05:46 PM,18,32,32,31,6,21,46,0.0,1015,30,10,144,5,"santamaria,ca"
2018-01-02 13:00:00,30,21,0.0,7.2,6,100,06:39 PM,07:03 AM,06:41 AM,05:46 PM,18,31,31,30,7,25,50,0.0,1014,30,10,133,6,"santamaria,ca"
2018-01-02 14:00:00,30,21,0.0,7.2,6,100,06:39 PM,07:03 AM,06:41 AM,05:46 PM,19,31,31,29,7,30,53,0.1,1014,29,9,122,6,"santamaria,ca"
2018-01-02 15:00:00,30,21,0.0,7.2,6,100,06:39 PM,07:03 AM,06:41 AM,05:46 PM,19,30,30,29,8,34,56,0.1,1013,28,9,110,6,"santamaria,ca"
