date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-0,-6,0.0,10.0,2,97,06:16 PM,07:35 AM,08:17 AM,06:20 PM,-17,-9,-4,-9,23,0,36,0.0,1038,-4,10,28,15,"shreveport,la"
2018-01-01 01:00:00,-0,-6,0.0,10.0,2,97,06:16 PM,07:35 AM,08:17 AM,06:20 PM,-17,-10,-4,-10,23,5,35,0.0,1038,-4,10,29,15,"shreveport,la"
2018-01-01 02:00:00,-0,-6,0.0,10.0,2,97,06:16 PM,07:35 AM,08:17 AM,06:20 PM,-18,-10,-5,-10,23,10,34,0.0,1038,-5,10,29,15,"shreveport,la"
2018-01-01 03:00:00,-0,-6,0.0,10.0,2,97,06:16 PM,07:35 AM,08:17 AM,06:20 PM,-19,-11,-5,-11,23,16,32,0.0,1039,-5,10,30,15,"shreveport,la"
2018-01-01 04:00:00,-0,-6,0.0,10.0,2,97,06:16 PM,07:35 AM,08:17 AM,06:20 PM,-19,-11,-5,-11,22,44,34,0.0,1039,-5,10,27,15,"shreveport,la"
2018-01-01 05:00:00,-0,-6,0.0,10.0,2,97,06:16 PM,07:35 AM,08:17 AM,06:20 PM,-18,-12,-6,-12,21,72,36,0.0,1040,-6,10,24,15,"shreveport,la"
2018-01-01 06:00:00,-0,-6,0.0,10.0,2,97,06:16 PM,07:35 AM,08:17 AM,06:20 PM,-18,-12,-6,-12,21,100,38,0.0,1040,-6,10,21,15,"shreveport,la"
2018-01-01 07:00:00,-0,-6,0.0,10.0,2,97,06:16 PM,07:35 AM,08:17 AM,06:20 PM,-18,-12,-6,-12,20,77,37,0.0,1041,-6,10,21,15,"shreveport,la"
2018-01-01 08:00:00,-0,-6,0.0,10.0,2,97,06:16 PM,07:35 AM,08:17 AM,06:20 PM,-18,-12,-6,-12,19,54,37,0.0,1041,-6,10,21,15,"shreveport,la"
2018-01-01 09:00:00,-0,-6,0.0,10.0,2,97,06:16 PM,07:35 AM,08:17 AM,06:20 PM,-18,-11,-6,-11,18,31,36,0.0,1042,-6,10,22,15,"shreveport,la"
2018-01-01 10:00:00,-0,-6,0.0,10.0,2,97,06:16 PM,07:35 AM,08:17 AM,06:20 PM,-18,-10,-4,-10,18,43,33,0.0,1042,-5,10,22,15,"shreveport,la"
2018-01-01 11:00:00,-0,-6,0.0,10.0,2,97,06:16 PM,07:35 AM,08:17 AM,06:20 PM,-18,-9,-3,-9,18,55,30,0.0,1042,-3,10,23,15,"shreveport,la"
2018-01-01 12:00:00,-0,-6,0.0,10.0,2,97,06:16 PM,07:35 AM,08:17 AM,06:20 PM,-19,-7,-2,-7,17,67,27,0.0,1042,-2,10,24,15,"shreveport,la"
2018-01-01 13:00:00,-0,-6,0.0,10.0,2,97,06:16 PM,07:35 AM,08:17 AM,06:20 PM,-19,-6,-2,-6,17,56,26,0.0,1041,-2,10,24,15,"shreveport,la"
2018-01-01 14:00:00,-0,-6,0.0,10.0,2,97,06:16 PM,07:35 AM,08:17 AM,06:20 PM,-18,-6,-1,-6,16,44,25,0.0,1040,-1,10,23,14,"shreveport,la"
2018-01-01 15:00:00,-0,-6,0.0,10.0,2,97,06:16 PM,07:35 AM,08:17 AM,06:20 PM,-18,-5,-1,-5,15,33,24,0.0,1039,-0,10,23,13,"shreveport,la"
2018-01-01 16:00:00,-0,-6,0.0,10.0,2,97,06:16 PM,07:35 AM,08:17 AM,06:20 PM,-18,-6,-1,-6,17,23,26,0.0,1039,-1,10,27,13,"shreveport,la"
2018-01-01 17:00:00,-0,-6,0.0,10.0,2,97,06:16 PM,07:35 AM,08:17 AM,06:20 PM,-18,-7,-2,-7,18,14,29,0.0,1039,-2,10,30,13,"shreveport,la"
2018-01-01 18:00:00,-0,-6,0.0,10.0,2,97,06:16 PM,07:35 AM,08:17 AM,06:20 PM,-18,-8,-3,-8,20,4,31,0.0,1039,-3,10,34,13,"shreveport,la"
2018-01-01 19:00:00,-0,-6,0.0,10.0,2,97,06:16 PM,07:35 AM,08:17 AM,06:20 PM,-18,-9,-4,-9,20,5,32,0.0,1039,-4,10,38,13,"shreveport,la"
2018-01-01 20:00:00,-0,-6,0.0,10.0,2,97,06:16 PM,07:35 AM,08:17 AM,06:20 PM,-18,-9,-4,-9,20,5,33,0.0,1039,-4,10,41,14,"shreveport,la"
2018-01-01 21:00:00,-0,-6,0.0,10.0,2,97,06:16 PM,07:35 AM,08:17 AM,06:20 PM,-18,-10,-5,-10,20,5,34,0.0,1039,-5,10,45,14,"shreveport,la"
