date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,26,18,0.0,7.2,6,97,05:18 PM,05:42 AM,06:56 AM,05:58 PM,18,20,20,20,1,34,90,0.0,1015,19,10,350,0,"universitypark,pa"
2018-01-01 01:00:00,26,18,0.0,7.2,6,97,05:18 PM,05:42 AM,06:56 AM,05:58 PM,18,19,19,19,1,32,92,0.0,1014,19,10,248,0,"universitypark,pa"
2018-01-01 02:00:00,26,18,0.0,7.2,6,97,05:18 PM,05:42 AM,06:56 AM,05:58 PM,18,19,19,19,1,31,93,0.0,1014,19,10,146,0,"universitypark,pa"
2018-01-01 03:00:00,26,18,0.0,7.2,6,97,05:18 PM,05:42 AM,06:56 AM,05:58 PM,18,19,19,19,1,30,94,0.0,1014,19,10,44,0,"universitypark,pa"
2018-01-01 04:00:00,26,18,0.0,7.2,6,97,05:18 PM,05:42 AM,06:56 AM,05:58 PM,18,19,19,19,1,34,94,0.0,1014,18,7,51,1,"universitypark,pa"
2018-01-01 05:00:00,26,18,0.0,7.2,6,97,05:18 PM,05:42 AM,06:56 AM,05:58 PM,18,19,19,19,2,39,95,0.0,1014,18,5,58,1,"universitypark,pa"
2018-01-01 06:00:00,26,18,0.0,7.2,6,97,05:18 PM,05:42 AM,06:56 AM,05:58 PM,18,18,18,18,2,44,96,0.0,1014,18,2,65,1,"universitypark,pa"
2018-01-01 07:00:00,26,18,0.0,7.2,6,97,05:18 PM,05:42 AM,06:56 AM,05:58 PM,18,21,21,21,2,42,86,0.0,1014,21,5,89,2,"universitypark,pa"
2018-01-01 08:00:00,26,18,0.0,7.2,6,97,05:18 PM,05:42 AM,06:56 AM,05:58 PM,18,24,24,23,3,40,75,0.0,1015,23,7,113,2,"universitypark,pa"
2018-01-01 09:00:00,26,18,0.0,7.2,6,97,05:18 PM,05:42 AM,06:56 AM,05:58 PM,19,27,27,26,3,38,65,0.0,1015,26,10,136,3,"universitypark,pa"
2018-01-01 10:00:00,26,18,0.0,7.2,6,97,05:18 PM,05:42 AM,06:56 AM,05:58 PM,18,27,27,26,4,49,63,0.0,1014,26,10,143,4,"universitypark,pa"
2018-01-01 11:00:00,26,18,0.0,7.2,6,97,05:18 PM,05:42 AM,06:56 AM,05:58 PM,18,27,27,26,6,59,60,0.0,1014,26,10,150,5,"universitypark,pa"
2018-01-01 12:00:00,26,18,0.0,7.2,6,97,05:18 PM,05:42 AM,06:56 AM,05:58 PM,17,27,27,26,7,70,57,0.0,1013,26,10,157,6,"universitypark,pa"
2018-01-01 13:00:00,26,18,0.0,7.2,6,97,05:18 PM,05:42 AM,06:56 AM,05:58 PM,17,27,27,26,7,59,57,0.0,1012,26,10,162,6,"universitypark,pa"
2018-01-01 14:00:00,26,18,0.0,7.2,6,97,05:18 PM,05:42 AM,06:56 AM,05:58 PM,17,27,27,26,7,48,57,0.0,1011,26,10,166,6,"universitypark,pa"
2018-01-01 15:00:00,26,18,0.0,7.2,6,97,05:18 PM,05:42 AM,06:56 AM,05:58 PM,17,27,27,26,7,38,56,0.0,1011,26,10,171,6,"universitypark,pa"
2018-01-01 16:00:00,26,18,0.0,7.2,6,97,05:18 PM,05:42 AM,06:56 AM,05:58 PM,17,25,25,24,5,30,63,0.0,1011,24,10,157,4,"universitypark,pa"
2018-01-01 17:00:00,26,18,0.0,7.2,6,97,05:18 PM,05:42 AM,06:56 AM,05:58 PM,17,23,23,23,4,23,70,0.0,1012,22,10,143,3,"universitypark,pa"
2018-01-01 18:00:00,26,18,0.0,7.2,6,97,05:18 PM,05:42 AM,06:56 AM,05:58 PM,17,21,21,21,2,16,77,0.0,1013,21,10,129,1,"universitypark,pa"
2018-01-01 19:00:00,26,18,0.0,7.2,6,97,05:18 PM,05:42 AM,06:56 AM,05:58 PM,17,21,21,21,2,18,79,0.0,1013,20,10,88,1,"universitypark,pa"
2018-01-01 20:00:00,26,18,0.0,7.2,6,97,05:18 PM,05:42 AM,06:56 AM,05:58 PM,17,20,20,20,2,20,81,0.0,1014,20,10,48,1,"universitypark,pa"
2018-01-01 21:00:00,26,18,0.0,7.2,6,97,05:18 PM,05:42 AM,06:56 AM,05:58 PM,17,20,20,20,2,22,83,0.0,1014,19,10,7,1,"universitypark,pa"
2018-01-01 22:00:00,26,18,0.0,7.2,6,97,05:18 PM,05:42 AM,06:56 AM,05:58 PM,17,19,19,19,2,20,85,0.0,1014,19,10,7,1,"universitypark,pa"
2018-01-01 23:00:00,26,18,0.0,7.2,6,97,05:18 PM,05:42 AM,06:56 AM,05:58 PM,17,19,19,19,3,17,86,0.0,1014,19,10,6,1,"universitypark,pa"
2018-01-02 00:00:00,27,17,0.0,8.7,6,100,06:21 PM,06:47 AM,06:56 AM,05:58 PM,17,19,19,19,3,15,88,0.0,1014,18,10,5,1,"universitypark,pa"
2018-01-02 01:00:00,27,17,0.0,8.7,6,100,06:21 PM,06:47 AM,06:56 AM,05:58 PM,17,18,18,18,3,16,89,0.0,1013,18,10,6,2,"universitypark,pa"
2018-01-02 02:00:00,27,17,0.0,8.7,6,100,06:21 PM,06:47 AM,06:56 AM,05:58 PM,16,18,18,18,3,17,90,0.0,1013,18,10,6,2,"universitypark,pa"
2018-01-02 03:00:00,27,17,0.0,8.7,6,100,06:21 PM,06:47 AM,06:56 AM,05:58 PM,16,18,18,18,3,17,91,0.0,1013,18,10,6,2,"universitypark,pa"
2018-01-02 04:00:00,27,17,0.0,8.7,6,100,06:21 PM,06:47 AM,06:56 AM,05:58 PM,17,18,18,18,4,17,92,0.0,1013,17,7,123,2,"universitypark,pa"
2018-01-02 05:00:00,27,17,0.0,8.7,6,100,06:21 PM,06:47 AM,06:56 AM,05:58 PM,17,18,18,18,4,16,93,0.0,1013,17,5,240,2,"universitypark,pa"
2018-01-02 06:00:00,27,17,0.0,8.7,6,100,06:21 PM,06:47 AM,06:56 AM,05:58 PM,17,18,18,18,4,15,94,0.0,1013,17,2,357,2,"universitypark,pa"
