date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01 00:00:00,-6,-12,10.1,8.3,1,26,04:07 AM,03:11 PM,08:15 AM,06:06 PM,-13,-12,-7,-12,48,81,63,0.2,1025,-8,5,121,8,"albuquerque,nm"
2019-01-01 01:00:00,-6,-12,10.1,8.3,1,26,04:07 AM,03:11 PM,08:15 AM,06:06 PM,-13,-13,-8,-13,46,76,64,0.1,1025,-8,3,122,8,"albuquerque,nm"
2019-01-01 02:00:00,-6,-12,10.1,8.3,1,26,04:07 AM,03:11 PM,08:15 AM,06:06 PM,-14,-13,-8,-13,45,71,66,0.1,1026,-9,2,123,8,"albuquerque,nm"
2019-01-01 03:00:00,-6,-12,10.1,8.3,1,26,04:07 AM,03:11 PM,08:15 AM,06:06 PM,-14,-14,-9,-14,44,66,67,0.1,1026,-10,0,124,8,"albuquerque,nm"
2019-01-01 04:00:00,-6,-12,10.1,8.3,1,26,04:07 AM,03:11 PM,08:15 AM,06:06 PM,-14,-15,-10,-15,43,67,69,0.1,1027,-10,0,124,7,"albuquerque,nm"
2019-01-01 05:00:00,-6,-12,10.1,8.3,1,26,04:07 AM,03:11 PM,08:15 AM,06:06 PM,-14,-15,-10,-15,43,67,72,0.5,1027,-11,0,125,7,"albuquerque,nm"
2019-01-01 06:00:00,-6,-12,10.1,8.3,1,26,04:07 AM,03:11 PM,08:15 AM,06:06 PM,-14,-16,-11,-16,42,68,74,0.7,1028,-12,0,126,6,"albuquerque,nm"
2019-01-01 07:00:00,-6,-12,10.1,8.3,1,26,04:07 AM,03:11 PM,08:15 AM,06:06 PM,-13,-16,-9,-16,43,79,72,0.4,1026,-10,0,122,16,"albuquerque,nm"
2019-01-01 08:00:00,-6,-12,10.1,8.3,1,26,04:07 AM,03:11 PM,08:15 AM,06:06 PM,-11,-15,-8,-15,45,89,71,0.7,1023,-8,0,119,27,"albuquerque,nm"
2019-01-01 09:00:00,-6,-12,10.1,8.3,1,26,04:07 AM,03:11 PM,08:15 AM,06:06 PM,-10,-15,-6,-15,46,100,69,1.0,1021,-7,0,115,37,"albuquerque,nm"
2019-01-01 10:00:00,-6,-12,10.1,8.3,1,26,04:07 AM,03:11 PM,08:15 AM,06:06 PM,-10,-15,-6,-15,39,89,73,0.5,1021,-7,2,109,36,"albuquerque,nm"
2019-01-01 11:00:00,-6,-12,10.1,8.3,1,26,04:07 AM,03:11 PM,08:15 AM,06:06 PM,-9,-14,-6,-14,32,78,77,1.6,1022,-7,3,103,34,"albuquerque,nm"
2019-01-01 12:00:00,-6,-12,10.1,8.3,1,26,04:07 AM,03:11 PM,08:15 AM,06:06 PM,-9,-14,-6,-14,24,67,81,2.1,1022,-7,5,97,33,"albuquerque,nm"
2019-01-01 13:00:00,-6,-12,10.1,8.3,1,26,04:07 AM,03:11 PM,08:15 AM,06:06 PM,-9,-13,-6,-13,22,64,80,1.1,1022,-6,5,87,30,"albuquerque,nm"
2019-01-01 14:00:00,-6,-12,10.1,8.3,1,26,04:07 AM,03:11 PM,08:15 AM,06:06 PM,-8,-13,-5,-13,20,61,78,1.0,1021,-6,5,78,26,"albuquerque,nm"
2019-01-01 15:00:00,-6,-12,10.1,8.3,1,26,04:07 AM,03:11 PM,08:15 AM,06:06 PM,-8,-12,-5,-12,18,57,77,1.3,1021,-6,5,68,22,"albuquerque,nm"
2019-01-01 16:00:00,-6,-12,10.1,8.3,1,26,04:07 AM,03:11 PM,08:15 AM,06:06 PM,-8,-12,-5,-12,22,58,75,0.6,1022,-6,5,69,21,"albuquerque,nm"
2019-01-01 17:00:00,-6,-12,10.1,8.3,1,26,04:07 AM,03:11 PM,08:15 AM,06:06 PM,-9,-12,-5,-12,25,59,74,1.2,1022,-6,5,69,20,"albuquerque,nm"
2019-01-01 18:00:00,-6,-12,10.1,8.3,1,26,04:07 AM,03:11 PM,08:15 AM,06:06 PM,-9,-12,-5,-12,28,60,72,1.6,1023,-6,5,70,19,"albuquerque,nm"
2019-01-01 19:00:00,-6,-12,10.1,8.3,1,26,04:07 AM,03:11 PM,08:15 AM,06:06 PM,-10,-13,-6,-13,23,60,71,0.8,1023,-6,5,72,20,"albuquerque,nm"
2019-01-01 20:00:00,-6,-12,10.1,8.3,1,26,04:07 AM,03:11 PM,08:15 AM,06:06 PM,-10,-13,-6,-13,18,61,70,0.1,1024,-7,5,75,20,"albuquerque,nm"
2019-01-01 21:00:00,-6,-12,10.1,8.3,1,26,04:07 AM,03:11 PM,08:15 AM,06:06 PM,-11,-14,-7,-14,14,61,69,0.1,1024,-8,5,77,21,"albuquerque,nm"
2019-01-01 22:00:00,-6,-12,10.1,8.3,1,26,04:07 AM,03:11 PM,08:15 AM,06:06 PM,-11,-14,-7,-14,14,67,71,0.1,1024,-8,5,75,18,"albuquerque,nm"
2019-01-01 23:00:00,-6,-12,10.1,8.3,1,26,04:07 AM,03:11 PM,08:15 AM,06:06 PM,-10,-13,-7,-13,15,72,74,0.2,1025,-8,5,72,16,"albuquerque,nm"
2019-01-02 00:00:00,-3,-10,1.1,8.3,1,19,05:07 AM,03:49 PM,08:15 AM,06:06 PM,-10,-13,-7,-13,16,78,76,0.2,1025,-8,5,70,13,"albuquerque,nm"
2019-01-02 01:00:00,-3,-10,1.1,8.3,1,19,05:07 AM,03:49 PM,08:15 AM,06:06 PM,-10,-14,-7,-14,16,79,76,0.1,1025,-8,6,70,15,"albuquerque,nm"
2019-01-02 02:00:00,-3,-10,1.1,8.3,1,19,05:07 AM,03:49 PM,08:15 AM,06:06 PM,-11,-14,-8,-14,16,81,75,0.0,1025,-8,6,70,17,"albuquerque,nm"
