date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01 00:00:00,-11,-17,5.9,3.5,1,26,04:13 AM,03:04 PM,08:27 AM,05:55 PM,-16,-19,-14,-19,11,86,85,1.8,1023,-15,2,79,6,"aspen,co"
2019-01-01 01:00:00,-11,-17,5.9,3.5,1,26,04:13 AM,03:04 PM,08:27 AM,05:55 PM,-16,-19,-14,-19,11,85,85,0.9,1023,-15,2,78,7,"aspen,co"
2019-01-01 02:00:00,-11,-17,5.9,3.5,1,26,04:13 AM,03:04 PM,08:27 AM,05:55 PM,-17,-20,-15,-20,12,85,84,0.2,1024,-15,2,77,7,"aspen,co"
2019-01-01 03:00:00,-11,-17,5.9,3.5,1,26,04:13 AM,03:04 PM,08:27 AM,05:55 PM,-17,-20,-15,-20,12,85,84,0.3,1024,-16,2,76,8,"aspen,co"
2019-01-01 04:00:00,-11,-17,5.9,3.5,1,26,04:13 AM,03:04 PM,08:27 AM,05:55 PM,-18,-20,-15,-20,14,84,81,0.2,1023,-16,2,74,8,"aspen,co"
2019-01-01 05:00:00,-11,-17,5.9,3.5,1,26,04:13 AM,03:04 PM,08:27 AM,05:55 PM,-18,-20,-15,-20,17,83,78,0.5,1023,-16,2,72,8,"aspen,co"
2019-01-01 06:00:00,-11,-17,5.9,3.5,1,26,04:13 AM,03:04 PM,08:27 AM,05:55 PM,-19,-20,-15,-20,19,82,75,0.6,1022,-16,2,71,9,"aspen,co"
2019-01-01 07:00:00,-11,-17,5.9,3.5,1,26,04:13 AM,03:04 PM,08:27 AM,05:55 PM,-19,-21,-15,-21,18,77,77,0.3,1022,-16,3,76,8,"aspen,co"
2019-01-01 08:00:00,-11,-17,5.9,3.5,1,26,04:13 AM,03:04 PM,08:27 AM,05:55 PM,-18,-21,-16,-21,18,72,80,0.2,1023,-16,4,81,8,"aspen,co"
2019-01-01 09:00:00,-11,-17,5.9,3.5,1,26,04:13 AM,03:04 PM,08:27 AM,05:55 PM,-18,-22,-16,-22,18,67,82,0.2,1023,-17,5,86,8,"aspen,co"
2019-01-01 10:00:00,-11,-17,5.9,3.5,1,26,04:13 AM,03:04 PM,08:27 AM,05:55 PM,-17,-18,-14,-18,18,76,77,0.1,1022,-15,4,102,8,"aspen,co"
2019-01-01 11:00:00,-11,-17,5.9,3.5,1,26,04:13 AM,03:04 PM,08:27 AM,05:55 PM,-16,-14,-12,-14,18,86,72,0.3,1021,-13,3,118,8,"aspen,co"
2019-01-01 12:00:00,-11,-17,5.9,3.5,1,26,04:13 AM,03:04 PM,08:27 AM,05:55 PM,-15,-10,-10,-10,17,95,67,0.4,1020,-11,2,133,8,"aspen,co"
2019-01-01 13:00:00,-11,-17,5.9,3.5,1,26,04:13 AM,03:04 PM,08:27 AM,05:55 PM,-15,-10,-10,-10,16,87,66,0.2,1020,-11,4,159,7,"aspen,co"
2019-01-01 14:00:00,-11,-17,5.9,3.5,1,26,04:13 AM,03:04 PM,08:27 AM,05:55 PM,-15,-10,-10,-10,15,79,66,0.1,1019,-11,5,185,6,"aspen,co"
2019-01-01 15:00:00,-11,-17,5.9,3.5,1,26,04:13 AM,03:04 PM,08:27 AM,05:55 PM,-15,-10,-10,-10,14,71,65,0.1,1019,-11,7,210,5,"aspen,co"
2019-01-01 16:00:00,-11,-17,5.9,3.5,1,26,04:13 AM,03:04 PM,08:27 AM,05:55 PM,-16,-11,-11,-11,14,68,68,0.0,1021,-12,6,237,4,"aspen,co"
2019-01-01 17:00:00,-11,-17,5.9,3.5,1,26,04:13 AM,03:04 PM,08:27 AM,05:55 PM,-16,-13,-13,-13,13,64,70,0.2,1022,-13,6,263,4,"aspen,co"
2019-01-01 18:00:00,-11,-17,5.9,3.5,1,26,04:13 AM,03:04 PM,08:27 AM,05:55 PM,-17,-14,-14,-14,13,61,73,0.3,1024,-15,5,290,4,"aspen,co"
2019-01-01 19:00:00,-11,-17,5.9,3.5,1,26,04:13 AM,03:04 PM,08:27 AM,05:55 PM,-18,-17,-15,-17,12,48,75,0.1,1025,-16,7,202,5,"aspen,co"
2019-01-01 20:00:00,-11,-17,5.9,3.5,1,26,04:13 AM,03:04 PM,08:27 AM,05:55 PM,-19,-19,-16,-19,11,35,76,0.0,1027,-17,8,113,6,"aspen,co"
2019-01-01 21:00:00,-11,-17,5.9,3.5,1,26,04:13 AM,03:04 PM,08:27 AM,05:55 PM,-20,-22,-17,-22,10,23,78,0.0,1028,-18,10,25,7,"aspen,co"
2019-01-01 22:00:00,-11,-17,5.9,3.5,1,26,04:13 AM,03:04 PM,08:27 AM,05:55 PM,-20,-21,-17,-21,12,22,78,0.0,1028,-18,10,28,6,"aspen,co"
2019-01-01 23:00:00,-11,-17,5.9,3.5,1,26,04:13 AM,03:04 PM,08:27 AM,05:55 PM,-20,-19,-18,-19,13,21,79,0.0,1027,-18,10,31,4,"aspen,co"
2019-01-02 00:00:00,-7,-22,0.0,8.7,1,19,05:16 AM,03:41 PM,08:27 AM,05:56 PM,-20,-18,-18,-18,14,20,79,0.0,1027,-19,10,33,3,"aspen,co"
2019-01-02 01:00:00,-7,-22,0.0,8.7,1,19,05:16 AM,03:41 PM,08:27 AM,05:56 PM,-22,-21,-19,-21,13,21,72,0.0,1030,-20,10,38,4,"aspen,co"
2019-01-02 02:00:00,-7,-22,0.0,8.7,1,19,05:16 AM,03:41 PM,08:27 AM,05:56 PM,-25,-24,-20,-24,13,21,65,0.0,1032,-21,10,43,5,"aspen,co"
2019-01-02 03:00:00,-7,-22,0.0,8.7,1,19,05:16 AM,03:41 PM,08:27 AM,05:56 PM,-27,-27,-21,-27,13,22,58,0.0,1035,-22,10,48,6,"aspen,co"
2019-01-02 04:00:00,-7,-22,0.0,8.7,1,19,05:16 AM,03:41 PM,08:27 AM,05:56 PM,-27,-27,-21,-27,13,17,59,0.0,1032,-22,10,48,7,"aspen,co"
2019-01-02 05:00:00,-7,-22,0.0,8.7,1,19,05:16 AM,03:41 PM,08:27 AM,05:56 PM,-27,-27,-21,-27,14,12,59,0.0,1030,-22,10,49,7,"aspen,co"
