date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01 00:00:00,4,1,0.4,3.3,1,26,03:44 AM,02:18 PM,08:13 AM,05:05 PM,-3,-11,-8,-11,19,100,86,0.3,1010,-10,7,168,6,"bangor,me"
2019-01-01 01:00:00,4,1,0.4,3.3,1,26,03:44 AM,02:18 PM,08:13 AM,05:05 PM,-3,-9,-6,-9,24,100,87,0.2,1009,-7,6,170,8,"bangor,me"
2019-01-01 02:00:00,4,1,0.4,3.3,1,26,03:44 AM,02:18 PM,08:13 AM,05:05 PM,-2,-7,-3,-7,29,100,88,0.8,1008,-5,5,172,9,"bangor,me"
2019-01-01 03:00:00,4,1,0.4,3.3,1,26,03:44 AM,02:18 PM,08:13 AM,05:05 PM,-2,-4,-1,-4,33,100,89,1.0,1007,-2,3,174,11,"bangor,me"
2019-01-01 04:00:00,4,1,0.4,3.3,1,26,03:44 AM,02:18 PM,08:13 AM,05:05 PM,-1,-4,-0,-4,38,100,92,0.5,1005,-1,4,171,14,"bangor,me"
2019-01-01 05:00:00,4,1,0.4,3.3,1,26,03:44 AM,02:18 PM,08:13 AM,05:05 PM,0,-3,1,-3,43,100,95,1.3,1004,-0,5,169,17,"bangor,me"
2019-01-01 06:00:00,4,1,0.4,3.3,1,26,03:44 AM,02:18 PM,08:13 AM,05:05 PM,1,-3,1,-3,49,100,98,1.8,1002,1,6,167,19,"bangor,me"
2019-01-01 07:00:00,4,1,0.4,3.3,1,26,03:44 AM,02:18 PM,08:13 AM,05:05 PM,2,-3,2,-3,48,100,99,0.9,1000,1,7,173,19,"bangor,me"
2019-01-01 08:00:00,4,1,0.4,3.3,1,26,03:44 AM,02:18 PM,08:13 AM,05:05 PM,2,-3,2,-3,48,100,99,1.2,997,1,7,179,19,"bangor,me"
2019-01-01 09:00:00,4,1,0.4,3.3,1,26,03:44 AM,02:18 PM,08:13 AM,05:05 PM,2,-2,2,-2,47,100,100,1.6,994,2,8,185,19,"bangor,me"
2019-01-01 10:00:00,4,1,0.4,3.3,1,26,03:44 AM,02:18 PM,08:13 AM,05:05 PM,2,-2,3,-2,42,99,96,0.8,994,2,8,206,19,"bangor,me"
2019-01-01 11:00:00,4,1,0.4,3.3,1,26,03:44 AM,02:18 PM,08:13 AM,05:05 PM,2,-1,3,-1,37,98,93,0.7,994,2,9,227,19,"bangor,me"
2019-01-01 12:00:00,4,1,0.4,3.3,1,26,03:44 AM,02:18 PM,08:13 AM,05:05 PM,2,-1,4,-1,31,98,90,0.9,994,3,9,248,19,"bangor,me"
2019-01-01 13:00:00,4,1,0.4,3.3,1,26,03:44 AM,02:18 PM,08:13 AM,05:05 PM,2,-1,4,-1,33,96,85,0.4,995,3,9,268,20,"bangor,me"
2019-01-01 14:00:00,4,1,0.4,3.3,1,26,03:44 AM,02:18 PM,08:13 AM,05:05 PM,1,-0,4,-0,35,95,81,0.4,997,3,9,287,21,"bangor,me"
2019-01-01 15:00:00,4,1,0.4,3.3,1,26,03:44 AM,02:18 PM,08:13 AM,05:05 PM,1,-0,4,-0,37,94,76,0.6,998,3,9,307,21,"bangor,me"
2019-01-01 16:00:00,4,1,0.4,3.3,1,26,03:44 AM,02:18 PM,08:13 AM,05:05 PM,0,-1,3,-1,36,84,79,0.3,1000,2,10,308,17,"bangor,me"
2019-01-01 17:00:00,4,1,0.4,3.3,1,26,03:44 AM,02:18 PM,08:13 AM,05:05 PM,-0,-1,2,-1,35,75,82,0.0,1002,1,10,310,13,"bangor,me"
2019-01-01 18:00:00,4,1,0.4,3.3,1,26,03:44 AM,02:18 PM,08:13 AM,05:05 PM,-1,-2,1,-2,35,66,85,0.0,1004,0,10,311,9,"bangor,me"
2019-01-01 19:00:00,4,1,0.4,3.3,1,26,03:44 AM,02:18 PM,08:13 AM,05:05 PM,-2,-3,0,-3,35,46,85,0.0,1005,-1,10,312,9,"bangor,me"
2019-01-01 20:00:00,4,1,0.4,3.3,1,26,03:44 AM,02:18 PM,08:13 AM,05:05 PM,-3,-3,-1,-3,35,25,85,0.0,1006,-2,10,312,8,"bangor,me"
2019-01-01 21:00:00,4,1,0.4,3.3,1,26,03:44 AM,02:18 PM,08:13 AM,05:05 PM,-4,-4,-2,-4,36,5,85,0.0,1007,-3,10,313,7,"bangor,me"
2019-01-01 22:00:00,4,1,0.4,3.3,1,26,03:44 AM,02:18 PM,08:13 AM,05:05 PM,-5,-6,-3,-6,33,6,82,0.0,1008,-4,10,315,9,"bangor,me"
2019-01-01 23:00:00,4,1,0.4,3.3,1,26,03:44 AM,02:18 PM,08:13 AM,05:05 PM,-7,-8,-4,-8,31,6,79,0.0,1010,-5,10,316,12,"bangor,me"
2019-01-02 00:00:00,-5,-14,0.0,8.7,2,19,04:49 AM,02:51 PM,08:13 AM,05:06 PM,-8,-10,-5,-10,29,7,76,0.0,1012,-6,10,318,14,"bangor,me"
2019-01-02 01:00:00,-5,-14,0.0,8.7,2,19,04:49 AM,02:51 PM,08:13 AM,05:06 PM,-10,-12,-6,-12,27,8,72,0.0,1014,-7,10,318,15,"bangor,me"
2019-01-02 02:00:00,-5,-14,0.0,8.7,2,19,04:49 AM,02:51 PM,08:13 AM,05:06 PM,-13,-14,-8,-14,24,9,67,0.0,1015,-8,10,319,15,"bangor,me"
2019-01-02 03:00:00,-5,-14,0.0,8.7,2,19,04:49 AM,02:51 PM,08:13 AM,05:06 PM,-15,-16,-9,-16,22,11,63,0.0,1017,-10,10,319,16,"bangor,me"
2019-01-02 04:00:00,-5,-14,0.0,8.7,2,19,04:49 AM,02:51 PM,08:13 AM,05:06 PM,-16,-17,-10,-17,21,21,62,0.0,1018,-11,10,318,15,"bangor,me"
2019-01-02 05:00:00,-5,-14,0.0,8.7,2,19,04:49 AM,02:51 PM,08:13 AM,05:06 PM,-17,-18,-11,-18,19,31,62,0.0,1019,-12,10,317,15,"bangor,me"
2019-01-02 06:00:00,-5,-14,0.0,8.7,2,19,04:49 AM,02:51 PM,08:13 AM,05:06 PM,-18,-19,-12,-19,18,41,62,0.0,1020,-13,10,317,14,"bangor,me"
2019-01-02 07:00:00,-5,-14,0.0,8.7,2,19,04:49 AM,02:51 PM,08:13 AM,05:06 PM,-17,-18,-11,-18,16,46,61,0.0,1020,-12,10,317,14,"bangor,me"
2019-01-02 08:00:00,-5,-14,0.0,8.7,2,19,04:49 AM,02:51 PM,08:13 AM,05:06 PM,-17,-18,-11,-18,15,51,60,0.0,1020,-12,10,317,14,"bangor,me"
2019-01-02 09:00:00,-5,-14,0.0,8.7,2,19,04:49 AM,02:51 PM,08:13 AM,05:06 PM,-17,-17,-10,-17,14,56,59,0.0,1021,-11,10,317,14,"bangor,me"
2019-01-02 10:00:00,-5,-14,0.0,8.7,2,19,04:49 AM,02:51 PM,08:13 AM,05:06 PM,-16,-15,-8,-15,13,37,56,0.0,1020,-9,10,318,16,"bangor,me"
2019-01-02 11:00:00,-5,-14,0.0,8.7,2,19,04:49 AM,02:51 PM,08:13 AM,05:06 PM,-15,-13,-7,-13,12,19,53,0.0,1019,-7,10,320,17,"bangor,me"
2019-01-02 12:00:00,-5,-14,0.0,8.7,2,19,04:49 AM,02:51 PM,08:13 AM,05:06 PM,-13,-11,-5,-11,12,0,51,0.0,1018,-6,10,321,19,"bangor,me"
2019-01-02 13:00:00,-5,-14,0.0,8.7,2,19,04:49 AM,02:51 PM,08:13 AM,05:06 PM,-14,-11,-5,-11,11,0,49,0.0,1019,-6,10,317,19,"bangor,me"
2019-01-02 14:00:00,-5,-14,0.0,8.7,2,19,04:49 AM,02:51 PM,08:13 AM,05:06 PM,-15,-11,-6,-11,10,0,47,0.0,1019,-6,10,313,19,"bangor,me"
