date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01 00:00:00,13,9,0.0,5.4,3,26,03:42 AM,02:51 PM,07:52 AM,05:50 PM,16,14,15,14,10,95,94,0.5,1016,13,3,278,10,"birmingham,al"
2019-01-01 01:00:00,13,9,0.0,5.4,3,26,03:42 AM,02:51 PM,07:52 AM,05:50 PM,15,14,15,14,11,96,94,0.3,1016,13,4,281,9,"birmingham,al"
2019-01-01 02:00:00,13,9,0.0,5.4,3,26,03:42 AM,02:51 PM,07:52 AM,05:50 PM,14,14,14,14,12,98,94,0.5,1016,13,5,284,8,"birmingham,al"
2019-01-01 03:00:00,13,9,0.0,5.4,3,26,03:42 AM,02:51 PM,07:52 AM,05:50 PM,13,14,14,14,12,100,94,0.7,1016,13,6,287,7,"birmingham,al"
2019-01-01 04:00:00,13,9,0.0,5.4,3,26,03:42 AM,02:51 PM,07:52 AM,05:50 PM,12,13,13,13,11,95,94,0.4,1017,12,7,296,7,"birmingham,al"
2019-01-01 05:00:00,13,9,0.0,5.4,3,26,03:42 AM,02:51 PM,07:52 AM,05:50 PM,11,12,12,12,10,89,93,1.2,1018,12,7,306,8,"birmingham,al"
2019-01-01 06:00:00,13,9,0.0,5.4,3,26,03:42 AM,02:51 PM,07:52 AM,05:50 PM,11,12,12,12,9,84,93,1.6,1018,11,8,315,8,"birmingham,al"
2019-01-01 07:00:00,13,9,0.0,5.4,3,26,03:42 AM,02:51 PM,07:52 AM,05:50 PM,10,11,11,11,8,81,91,0.8,1019,10,8,325,9,"birmingham,al"
2019-01-01 08:00:00,13,9,0.0,5.4,3,26,03:42 AM,02:51 PM,07:52 AM,05:50 PM,9,11,11,11,7,79,89,0.7,1019,10,9,336,10,"birmingham,al"
2019-01-01 09:00:00,13,9,0.0,5.4,3,26,03:42 AM,02:51 PM,07:52 AM,05:50 PM,9,10,10,10,7,77,86,0.9,1019,10,9,346,10,"birmingham,al"
2019-01-01 10:00:00,13,9,0.0,5.4,3,26,03:42 AM,02:51 PM,07:52 AM,05:50 PM,9,11,11,11,6,75,83,0.5,1019,10,9,350,10,"birmingham,al"
2019-01-01 11:00:00,13,9,0.0,5.4,3,26,03:42 AM,02:51 PM,07:52 AM,05:50 PM,9,11,11,11,6,74,80,0.1,1019,11,10,353,10,"birmingham,al"
2019-01-01 12:00:00,13,9,0.0,5.4,3,26,03:42 AM,02:51 PM,07:52 AM,05:50 PM,9,12,12,12,5,72,76,0.2,1020,11,10,357,10,"birmingham,al"
2019-01-01 13:00:00,13,9,0.0,5.4,3,26,03:42 AM,02:51 PM,07:52 AM,05:50 PM,9,13,13,13,5,67,75,0.1,1020,12,10,349,10,"birmingham,al"
2019-01-01 14:00:00,13,9,0.0,5.4,3,26,03:42 AM,02:51 PM,07:52 AM,05:50 PM,9,13,13,13,5,61,73,0.0,1020,12,10,341,10,"birmingham,al"
2019-01-01 15:00:00,13,9,0.0,5.4,3,26,03:42 AM,02:51 PM,07:52 AM,05:50 PM,9,14,14,14,4,55,71,0.0,1021,13,10,333,10,"birmingham,al"
2019-01-01 16:00:00,13,9,0.0,5.4,3,26,03:42 AM,02:51 PM,07:52 AM,05:50 PM,9,13,13,13,5,44,75,0.0,1021,13,10,336,10,"birmingham,al"
2019-01-01 17:00:00,13,9,0.0,5.4,3,26,03:42 AM,02:51 PM,07:52 AM,05:50 PM,10,13,13,13,6,33,79,0.0,1021,12,10,339,10,"birmingham,al"
2019-01-01 18:00:00,13,9,0.0,5.4,3,26,03:42 AM,02:51 PM,07:52 AM,05:50 PM,10,13,13,13,8,22,83,0.0,1022,12,10,342,10,"birmingham,al"
2019-01-01 19:00:00,13,9,0.0,5.4,3,26,03:42 AM,02:51 PM,07:52 AM,05:50 PM,10,12,12,12,9,35,86,0.0,1022,11,10,269,10,"birmingham,al"
2019-01-01 20:00:00,13,9,0.0,5.4,3,26,03:42 AM,02:51 PM,07:52 AM,05:50 PM,9,11,11,11,10,47,89,0.0,1022,10,10,196,9,"birmingham,al"
2019-01-01 21:00:00,13,9,0.0,5.4,3,26,03:42 AM,02:51 PM,07:52 AM,05:50 PM,9,10,10,10,11,59,92,0.0,1022,9,10,122,9,"birmingham,al"
2019-01-01 22:00:00,13,9,0.0,5.4,3,26,03:42 AM,02:51 PM,07:52 AM,05:50 PM,8,9,9,9,11,53,90,0.0,1022,8,10,84,9,"birmingham,al"
2019-01-01 23:00:00,13,9,0.0,5.4,3,26,03:42 AM,02:51 PM,07:52 AM,05:50 PM,7,8,8,8,10,46,87,0.0,1022,8,10,46,10,"birmingham,al"
2019-01-02 00:00:00,12,6,0.0,5.4,2,19,04:41 AM,03:30 PM,07:52 AM,05:51 PM,5,6,8,6,10,39,85,0.0,1023,7,10,7,10,"birmingham,al"
2019-01-02 01:00:00,12,6,0.0,5.4,2,19,04:41 AM,03:30 PM,07:52 AM,05:51 PM,5,6,8,6,10,31,84,0.0,1023,7,10,9,9,"birmingham,al"
2019-01-02 02:00:00,12,6,0.0,5.4,2,19,04:41 AM,03:30 PM,07:52 AM,05:51 PM,5,6,8,6,9,23,82,0.0,1022,7,10,11,8,"birmingham,al"
