date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01 00:00:00,10,8,0.0,4.9,2,26,04:27 AM,03:23 PM,08:43 AM,06:16 PM,13,15,15,15,36,83,91,1.9,1009,14,7,237,14,"charleston,wv"
2019-01-01 01:00:00,10,8,0.0,4.9,2,26,04:27 AM,03:23 PM,08:43 AM,06:16 PM,12,13,13,13,37,83,92,1.0,1010,13,8,241,13,"charleston,wv"
2019-01-01 02:00:00,10,8,0.0,4.9,2,26,04:27 AM,03:23 PM,08:43 AM,06:16 PM,11,12,12,12,38,83,93,0.7,1011,11,8,245,12,"charleston,wv"
2019-01-01 03:00:00,10,8,0.0,4.9,2,26,04:27 AM,03:23 PM,08:43 AM,06:16 PM,10,11,11,11,38,83,94,0.9,1012,10,9,249,11,"charleston,wv"
2019-01-01 04:00:00,10,8,0.0,4.9,2,26,04:27 AM,03:23 PM,08:43 AM,06:16 PM,10,11,11,11,36,89,90,0.4,1014,11,9,255,12,"charleston,wv"
2019-01-01 05:00:00,10,8,0.0,4.9,2,26,04:27 AM,03:23 PM,08:43 AM,06:16 PM,9,12,12,12,33,94,86,0.0,1015,11,10,262,13,"charleston,wv"
2019-01-01 06:00:00,10,8,0.0,4.9,2,26,04:27 AM,03:23 PM,08:43 AM,06:16 PM,9,12,12,12,31,100,82,0.0,1016,11,10,269,14,"charleston,wv"
2019-01-01 07:00:00,10,8,0.0,4.9,2,26,04:27 AM,03:23 PM,08:43 AM,06:16 PM,8,11,11,11,29,99,83,0.0,1017,10,10,273,13,"charleston,wv"
2019-01-01 08:00:00,10,8,0.0,4.9,2,26,04:27 AM,03:23 PM,08:43 AM,06:16 PM,7,10,10,10,27,98,83,0.1,1018,10,10,277,12,"charleston,wv"
2019-01-01 09:00:00,10,8,0.0,4.9,2,26,04:27 AM,03:23 PM,08:43 AM,06:16 PM,6,10,10,10,26,97,83,0.1,1019,9,10,282,11,"charleston,wv"
2019-01-01 10:00:00,10,8,0.0,4.9,2,26,04:27 AM,03:23 PM,08:43 AM,06:16 PM,6,10,10,10,23,94,81,0.0,1020,9,10,284,11,"charleston,wv"
2019-01-01 11:00:00,10,8,0.0,4.9,2,26,04:27 AM,03:23 PM,08:43 AM,06:16 PM,6,10,10,10,20,92,79,0.0,1020,9,10,285,12,"charleston,wv"
2019-01-01 12:00:00,10,8,0.0,4.9,2,26,04:27 AM,03:23 PM,08:43 AM,06:16 PM,5,10,10,10,17,89,77,0.0,1021,9,10,287,12,"charleston,wv"
2019-01-01 13:00:00,10,8,0.0,4.9,2,26,04:27 AM,03:23 PM,08:43 AM,06:16 PM,5,10,10,10,15,89,76,0.0,1020,9,10,288,12,"charleston,wv"
2019-01-01 14:00:00,10,8,0.0,4.9,2,26,04:27 AM,03:23 PM,08:43 AM,06:16 PM,6,10,10,10,13,89,74,0.1,1019,10,10,289,12,"charleston,wv"
2019-01-01 15:00:00,10,8,0.0,4.9,2,26,04:27 AM,03:23 PM,08:43 AM,06:16 PM,6,11,11,11,10,89,72,0.1,1018,10,10,289,12,"charleston,wv"
2019-01-01 16:00:00,10,8,0.0,4.9,2,26,04:27 AM,03:23 PM,08:43 AM,06:16 PM,5,10,10,10,10,90,74,0.0,1019,9,10,293,11,"charleston,wv"
2019-01-01 17:00:00,10,8,0.0,4.9,2,26,04:27 AM,03:23 PM,08:43 AM,06:16 PM,5,10,10,10,9,91,75,0.0,1019,9,10,296,10,"charleston,wv"
2019-01-01 18:00:00,10,8,0.0,4.9,2,26,04:27 AM,03:23 PM,08:43 AM,06:16 PM,5,9,9,9,9,92,76,0.0,1020,9,10,300,9,"charleston,wv"
2019-01-01 19:00:00,10,8,0.0,4.9,2,26,04:27 AM,03:23 PM,08:43 AM,06:16 PM,5,8,9,8,9,93,78,0.0,1020,8,10,305,8,"charleston,wv"
