date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01 00:00:00,2,-1,1.0,4.8,1,26,04:32 AM,03:17 PM,08:53 AM,06:07 PM,9,4,7,4,59,87,83,0.6,1002,4,9,228,33,"cleveland,oh"
2019-01-01 01:00:00,2,-1,1.0,4.8,1,26,04:32 AM,03:17 PM,08:53 AM,06:07 PM,7,4,7,4,56,91,84,0.3,1004,5,9,238,32,"cleveland,oh"
2019-01-01 02:00:00,2,-1,1.0,4.8,1,26,04:32 AM,03:17 PM,08:53 AM,06:07 PM,6,5,7,5,53,96,84,0.0,1006,6,8,248,31,"cleveland,oh"
2019-01-01 03:00:00,2,-1,1.0,4.8,1,26,04:32 AM,03:17 PM,08:53 AM,06:07 PM,5,6,7,6,50,100,85,0.0,1008,7,7,259,30,"cleveland,oh"
2019-01-01 04:00:00,2,-1,1.0,4.8,1,26,04:32 AM,03:17 PM,08:53 AM,06:07 PM,4,3,6,3,46,100,85,0.0,1009,5,6,268,28,"cleveland,oh"
2019-01-01 05:00:00,2,-1,1.0,4.8,1,26,04:32 AM,03:17 PM,08:53 AM,06:07 PM,2,1,5,1,41,100,86,0.0,1011,4,6,278,25,"cleveland,oh"
2019-01-01 06:00:00,2,-1,1.0,4.8,1,26,04:32 AM,03:17 PM,08:53 AM,06:07 PM,1,-1,3,-1,36,100,86,0.0,1013,3,5,288,22,"cleveland,oh"
2019-01-01 07:00:00,2,-1,1.0,4.8,1,26,04:32 AM,03:17 PM,08:53 AM,06:07 PM,1,-2,3,-2,33,100,85,0.0,1013,2,6,293,20,"cleveland,oh"
2019-01-01 08:00:00,2,-1,1.0,4.8,1,26,04:32 AM,03:17 PM,08:53 AM,06:07 PM,-0,-2,2,-2,29,100,83,0.0,1013,2,6,299,17,"cleveland,oh"
2019-01-01 09:00:00,2,-1,1.0,4.8,1,26,04:32 AM,03:17 PM,08:53 AM,06:07 PM,-1,-2,2,-2,25,100,82,0.0,1014,1,7,305,14,"cleveland,oh"
2019-01-01 10:00:00,2,-1,1.0,4.8,1,26,04:32 AM,03:17 PM,08:53 AM,06:07 PM,-1,-2,2,-2,23,100,81,0.0,1014,1,6,314,14,"cleveland,oh"
2019-01-01 11:00:00,2,-1,1.0,4.8,1,26,04:32 AM,03:17 PM,08:53 AM,06:07 PM,-1,-2,2,-2,21,100,80,0.1,1015,1,4,323,15,"cleveland,oh"
2019-01-01 12:00:00,2,-1,1.0,4.8,1,26,04:32 AM,03:17 PM,08:53 AM,06:07 PM,-1,-2,2,-2,19,100,78,0.2,1016,2,2,332,15,"cleveland,oh"
2019-01-01 13:00:00,2,-1,1.0,4.8,1,26,04:32 AM,03:17 PM,08:53 AM,06:07 PM,-1,-2,2,-2,18,100,79,0.1,1016,1,3,337,15,"cleveland,oh"
2019-01-01 14:00:00,2,-1,1.0,4.8,1,26,04:32 AM,03:17 PM,08:53 AM,06:07 PM,-1,-2,2,-2,17,100,80,0.1,1017,1,4,342,15,"cleveland,oh"
2019-01-01 15:00:00,2,-1,1.0,4.8,1,26,04:32 AM,03:17 PM,08:53 AM,06:07 PM,-1,-2,2,-2,16,100,81,0.2,1017,1,5,347,14,"cleveland,oh"
