date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01 00:00:00,19,14,0.0,4.9,4,26,04:12 AM,03:15 PM,08:26 AM,06:12 PM,14,8,10,8,32,94,100,0.1,1012,8,10,210,8,"durham,nc"
2019-01-01 01:00:00,19,14,0.0,4.9,4,26,04:12 AM,03:15 PM,08:26 AM,06:12 PM,14,10,11,10,33,96,100,0.0,1011,10,10,212,9,"durham,nc"
2019-01-01 02:00:00,19,14,0.0,4.9,4,26,04:12 AM,03:15 PM,08:26 AM,06:12 PM,14,12,13,12,33,98,100,0.0,1011,11,10,214,9,"durham,nc"
2019-01-01 03:00:00,19,14,0.0,4.9,4,26,04:12 AM,03:15 PM,08:26 AM,06:12 PM,14,14,14,14,34,100,100,0.0,1011,13,10,216,9,"durham,nc"
2019-01-01 04:00:00,19,14,0.0,4.9,4,26,04:12 AM,03:15 PM,08:26 AM,06:12 PM,14,14,14,14,33,100,100,0.0,1011,13,9,220,9,"durham,nc"
2019-01-01 05:00:00,19,14,0.0,4.9,4,26,04:12 AM,03:15 PM,08:26 AM,06:12 PM,14,14,14,14,32,99,100,0.0,1011,13,8,223,9,"durham,nc"
2019-01-01 06:00:00,19,14,0.0,4.9,4,26,04:12 AM,03:15 PM,08:26 AM,06:12 PM,14,14,14,14,31,99,100,0.0,1011,14,7,227,9,"durham,nc"
2019-01-01 07:00:00,19,14,0.0,4.9,4,26,04:12 AM,03:15 PM,08:26 AM,06:12 PM,15,15,15,15,30,99,99,0.0,1012,14,6,230,9,"durham,nc"
2019-01-01 08:00:00,19,14,0.0,4.9,4,26,04:12 AM,03:15 PM,08:26 AM,06:12 PM,15,16,16,16,28,99,97,0.2,1013,15,6,233,10,"durham,nc"
2019-01-01 09:00:00,19,14,0.0,4.9,4,26,04:12 AM,03:15 PM,08:26 AM,06:12 PM,15,16,16,16,26,99,96,0.2,1014,16,5,237,10,"durham,nc"
2019-01-01 10:00:00,19,14,0.0,4.9,4,26,04:12 AM,03:15 PM,08:26 AM,06:12 PM,15,17,17,17,23,99,90,0.1,1015,17,6,248,11,"durham,nc"
2019-01-01 11:00:00,19,14,0.0,4.9,4,26,04:12 AM,03:15 PM,08:26 AM,06:12 PM,15,18,18,18,20,99,85,0.4,1016,18,8,259,11,"durham,nc"
2019-01-01 12:00:00,19,14,0.0,4.9,4,26,04:12 AM,03:15 PM,08:26 AM,06:12 PM,15,19,19,19,17,99,79,0.6,1017,19,10,271,11,"durham,nc"
2019-01-01 13:00:00,19,14,0.0,4.9,4,26,04:12 AM,03:15 PM,08:26 AM,06:12 PM,14,19,19,19,15,93,75,0.3,1017,19,10,285,10,"durham,nc"
2019-01-01 14:00:00,19,14,0.0,4.9,4,26,04:12 AM,03:15 PM,08:26 AM,06:12 PM,13,19,19,19,13,88,70,0.3,1017,19,10,300,9,"durham,nc"
2019-01-01 15:00:00,19,14,0.0,4.9,4,26,04:12 AM,03:15 PM,08:26 AM,06:12 PM,12,19,19,19,12,82,66,0.4,1017,19,10,314,7,"durham,nc"
2019-01-01 16:00:00,19,14,0.0,4.9,4,26,04:12 AM,03:15 PM,08:26 AM,06:12 PM,12,18,19,18,11,76,68,0.2,1017,18,10,287,6,"durham,nc"
2019-01-01 17:00:00,19,14,0.0,4.9,4,26,04:12 AM,03:15 PM,08:26 AM,06:12 PM,12,17,18,17,11,70,71,0.0,1018,17,10,261,5,"durham,nc"
2019-01-01 18:00:00,19,14,0.0,4.9,4,26,04:12 AM,03:15 PM,08:26 AM,06:12 PM,12,16,18,16,10,63,73,0.0,1018,16,10,234,4,"durham,nc"
2019-01-01 19:00:00,19,14,0.0,4.9,4,26,04:12 AM,03:15 PM,08:26 AM,06:12 PM,11,15,17,15,12,64,75,0.0,1019,15,10,162,3,"durham,nc"
2019-01-01 20:00:00,19,14,0.0,4.9,4,26,04:12 AM,03:15 PM,08:26 AM,06:12 PM,10,14,16,14,13,65,77,0.0,1021,13,10,91,2,"durham,nc"
2019-01-01 21:00:00,19,14,0.0,4.9,4,26,04:12 AM,03:15 PM,08:26 AM,06:12 PM,9,13,15,13,15,66,79,0.0,1022,12,10,19,1,"durham,nc"
2019-01-01 22:00:00,19,14,0.0,4.9,4,26,04:12 AM,03:15 PM,08:26 AM,06:12 PM,9,12,14,12,16,54,80,0.0,1022,11,10,19,2,"durham,nc"
2019-01-01 23:00:00,19,14,0.0,4.9,4,26,04:12 AM,03:15 PM,08:26 AM,06:12 PM,8,11,12,11,17,42,81,0.0,1023,10,10,18,2,"durham,nc"
2019-01-02 00:00:00,10,7,0.0,9.9,3,19,05:13 AM,03:53 PM,08:26 AM,06:13 PM,8,10,10,10,18,30,81,0.0,1023,10,10,17,2,"durham,nc"
2019-01-02 01:00:00,10,7,0.0,9.9,3,19,05:13 AM,03:53 PM,08:26 AM,06:13 PM,7,10,10,10,17,28,82,0.0,1023,9,10,27,2,"durham,nc"
2019-01-02 02:00:00,10,7,0.0,9.9,3,19,05:13 AM,03:53 PM,08:26 AM,06:13 PM,7,9,9,9,17,26,83,0.0,1023,9,10,37,3,"durham,nc"
2019-01-02 03:00:00,10,7,0.0,9.9,3,19,05:13 AM,03:53 PM,08:26 AM,06:13 PM,7,9,9,9,17,25,83,0.0,1023,8,10,46,4,"durham,nc"
2019-01-02 04:00:00,10,7,0.0,9.9,3,19,05:13 AM,03:53 PM,08:26 AM,06:13 PM,7,9,9,9,17,30,85,0.0,1024,8,10,54,4,"durham,nc"
2019-01-02 05:00:00,10,7,0.0,9.9,3,19,05:13 AM,03:53 PM,08:26 AM,06:13 PM,7,9,9,9,17,36,86,0.0,1024,8,10,61,5,"durham,nc"
2019-01-02 06:00:00,10,7,0.0,9.9,3,19,05:13 AM,03:53 PM,08:26 AM,06:13 PM,7,8,9,8,17,42,88,0.0,1024,8,10,68,6,"durham,nc"
2019-01-02 07:00:00,10,7,0.0,9.9,3,19,05:13 AM,03:53 PM,08:26 AM,06:13 PM,7,8,9,8,17,47,87,0.0,1023,8,10,67,7,"durham,nc"
2019-01-02 08:00:00,10,7,0.0,9.9,3,19,05:13 AM,03:53 PM,08:26 AM,06:13 PM,6,8,8,8,17,53,86,0.0,1023,8,10,65,8,"durham,nc"
2019-01-02 09:00:00,10,7,0.0,9.9,3,19,05:13 AM,03:53 PM,08:26 AM,06:13 PM,6,8,8,8,17,58,85,0.0,1022,8,10,64,9,"durham,nc"
2019-01-02 10:00:00,10,7,0.0,9.9,3,19,05:13 AM,03:53 PM,08:26 AM,06:13 PM,5,8,9,8,17,45,79,0.0,1021,8,10,69,8,"durham,nc"
2019-01-02 11:00:00,10,7,0.0,9.9,3,19,05:13 AM,03:53 PM,08:26 AM,06:13 PM,5,9,9,9,16,32,74,0.0,1021,8,10,74,8,"durham,nc"
