date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01 00:00:00,10,6,0.0,8.7,2,26,04:04 AM,02:52 PM,08:25 AM,05:44 PM,8,-2,1,-2,27,100,93,5.7,1009,-3,6,166,7,"easton,pa"
2019-01-01 01:00:00,10,6,0.0,8.7,2,26,04:04 AM,02:52 PM,08:25 AM,05:44 PM,8,2,4,2,30,97,95,2.9,1007,2,7,184,8,"easton,pa"
2019-01-01 02:00:00,10,6,0.0,8.7,2,26,04:04 AM,02:52 PM,08:25 AM,05:44 PM,9,6,7,6,33,94,96,0.4,1006,6,8,202,9,"easton,pa"
2019-01-01 03:00:00,10,6,0.0,8.7,2,26,04:04 AM,02:52 PM,08:25 AM,05:44 PM,10,10,10,10,37,91,98,0.5,1004,10,9,220,10,"easton,pa"
2019-01-01 04:00:00,10,6,0.0,8.7,2,26,04:04 AM,02:52 PM,08:25 AM,05:44 PM,10,11,11,11,41,81,96,0.3,1004,10,10,228,13,"easton,pa"
2019-01-01 05:00:00,10,6,0.0,8.7,2,26,04:04 AM,02:52 PM,08:25 AM,05:44 PM,10,12,12,12,45,71,93,0.0,1005,11,10,235,15,"easton,pa"
2019-01-01 06:00:00,10,6,0.0,8.7,2,26,04:04 AM,02:52 PM,08:25 AM,05:44 PM,11,12,12,12,49,60,91,0.0,1005,12,10,243,18,"easton,pa"
2019-01-01 07:00:00,10,6,0.0,8.7,2,26,04:04 AM,02:52 PM,08:25 AM,05:44 PM,9,12,12,12,48,50,87,0.0,1006,11,10,251,18,"easton,pa"
2019-01-01 08:00:00,10,6,0.0,8.7,2,26,04:04 AM,02:52 PM,08:25 AM,05:44 PM,8,11,11,11,47,40,83,0.0,1008,10,10,260,19,"easton,pa"
2019-01-01 09:00:00,10,6,0.0,8.7,2,26,04:04 AM,02:52 PM,08:25 AM,05:44 PM,7,11,11,11,46,31,79,0.0,1009,10,10,268,20,"easton,pa"
2019-01-01 10:00:00,10,6,0.0,8.7,2,26,04:04 AM,02:52 PM,08:25 AM,05:44 PM,5,10,10,10,43,28,74,0.0,1010,10,10,276,22,"easton,pa"
2019-01-01 11:00:00,10,6,0.0,8.7,2,26,04:04 AM,02:52 PM,08:25 AM,05:44 PM,4,10,10,10,40,25,69,0.0,1011,9,10,283,24,"easton,pa"
2019-01-01 12:00:00,10,6,0.0,8.7,2,26,04:04 AM,02:52 PM,08:25 AM,05:44 PM,3,10,10,10,37,22,64,0.0,1012,9,10,291,25,"easton,pa"
2019-01-01 13:00:00,10,6,0.0,8.7,2,26,04:04 AM,02:52 PM,08:25 AM,05:44 PM,2,9,9,9,35,19,63,0.0,1012,8,10,296,24,"easton,pa"
2019-01-01 14:00:00,10,6,0.0,8.7,2,26,04:04 AM,02:52 PM,08:25 AM,05:44 PM,2,8,9,8,33,16,63,0.0,1013,8,10,302,22,"easton,pa"
2019-01-01 15:00:00,10,6,0.0,8.7,2,26,04:04 AM,02:52 PM,08:25 AM,05:44 PM,1,8,8,8,31,13,62,0.0,1013,8,10,307,21,"easton,pa"
2019-01-01 16:00:00,10,6,0.0,8.7,2,26,04:04 AM,02:52 PM,08:25 AM,05:44 PM,2,7,8,7,29,8,64,0.0,1013,7,10,308,18,"easton,pa"
2019-01-01 17:00:00,10,6,0.0,8.7,2,26,04:04 AM,02:52 PM,08:25 AM,05:44 PM,2,5,7,5,28,4,66,0.0,1013,6,10,310,15,"easton,pa"
2019-01-01 18:00:00,10,6,0.0,8.7,2,26,04:04 AM,02:52 PM,08:25 AM,05:44 PM,2,4,6,4,26,0,68,0.0,1013,5,10,311,12,"easton,pa"
2019-01-01 19:00:00,10,6,0.0,8.7,2,26,04:04 AM,02:52 PM,08:25 AM,05:44 PM,2,3,5,3,24,0,68,0.0,1014,3,10,311,12,"easton,pa"
2019-01-01 20:00:00,10,6,0.0,8.7,2,26,04:04 AM,02:52 PM,08:25 AM,05:44 PM,2,2,4,2,21,1,68,0.0,1014,2,10,310,13,"easton,pa"
2019-01-01 21:00:00,10,6,0.0,8.7,2,26,04:04 AM,02:52 PM,08:25 AM,05:44 PM,1,0,3,0,18,1,69,0.0,1015,0,10,310,14,"easton,pa"
2019-01-01 22:00:00,10,6,0.0,8.7,2,26,04:04 AM,02:52 PM,08:25 AM,05:44 PM,1,-1,2,-1,16,3,70,0.0,1016,-0,10,312,13,"easton,pa"
